comment,id,date,num_likes
MOO YAH HO!!,XAIBOOM,2021-05-02T11:19:18Z,0
"Joshau, we can have lunch","Paul Mubarak Ching it is great,remebre always",2021-04-02T06:00:46Z,0
Thanks,"Paul Mubarak Ching it is great,remebre always",2021-04-02T05:59:54Z,0
Best location for a vlog. Excellent work!,Ticket for Two 티켓포투,2021-04-02T05:25:06Z,0
"Hey Tess, do you mind linking the Air BnB again, the link in the description isn’t working. Great video btw!",Roshane Ricketts,2021-03-06T20:37:40Z,0
"you guys im so sorry and i appreciate the effort but when you said tacos i thought you meant soft tortilla, carne asada, cebolla y cilantro not taco bell style tacos :( like, i keep seeing people make tacos with hard shell tortillas, tomatoes, cheese?? these are not authentic but if it tastes good then okay lol",Vanessa Vazquez,2021-02-18T19:48:29Z,0
I am so sure that you are my new idol!!!,iKath,2021-01-21T12:15:18Z,0
"nice video, think you&#39;re too pretty for your man, lucky guy. :)",joey ghe,2021-01-14T03:07:17Z,0
ur boyfriend looks like if tv static was a human,OJ,2021-01-12T04:41:28Z,1
Where did you get that blue blouse that you were wearing during dinner!🤩🤩,amari coburn,2020-12-10T18:15:59Z,0
"I just did a trip to Joshua tree trip as well and documented it!! Looks like we did totallllllt different things as I drove , camped, and hiked! But it’s fascinating to see the same place in a different light",20 Something,2020-11-11T17:17:49Z,0
Im planning my solo trip for my 30th Bday in OCT and I was kinda like tripping about it but now I wanna go after watching ur video. Any other tips or suggestions? ❤,Pablo Duarte,2020-08-31T08:23:01Z,0
"watching in 2020... <a href=""https://www.youtube.com/watch?v=mVFKQc0O55I&amp;t=4m00s"">4:00</a> &quot;drinking corona&quot; has totally different meaning :D haha",malamarky,2020-08-20T19:44:53Z,0
Where did you get the army green top in the intro clip??? 😍😍,Taylor Medlin,2020-07-28T06:21:29Z,0
Does anyone know what camera she uses?,A A,2020-07-08T02:34:13Z,0
Very nicee video !!!  i follow you since many years and that&#39;s how i improved my english .<br />Nassima.,NassinParijs,2020-06-28T17:37:14Z,0
I really like your videos. I watch this specially to practice my listening. Im from Colombia &lt;3,Sebastián Ceballos,2020-06-22T14:02:47Z,0
I was hoping to see more of the park.  Guess I’ll move on to another.,Delilah Rainelle,2020-06-21T16:02:16Z,0
Your youtube channel is an inspiration &lt;3,Jerine Nicole,2020-06-19T21:29:54Z,0
"R, rich. When you got money, you got luxury pouring from all holes. Also notice how unhappy she becomes when her boyfriend comes to her video blog.",draqon ofwhitestars,2020-05-17T16:58:22Z,0
Where is your white jumper from the one when you were eating tacos it’s so lovely ? X,laura Kavanagh,2020-04-17T13:36:29Z,0
Its 2020 &amp; they’re drinking corona beer,Antonia Riedel,2020-04-07T16:39:56Z,0
If you Mapquest before you lose cell service your maps won’t turn off they’ll keep going while you don’t have service. Just make sure you don’t turn them off. Quick tip hope it helps. 👌🏼,Ashley C,2020-03-28T14:23:00Z,0
I have these impulses every once in a while when I just binge watch all your vlogs and videos 😄 They always put me in such a good mood 🥰 sending love from Slovakia! xx,Lujza Alexandra Bucseková,2020-03-04T15:03:53Z,0
this shit had me cringing,thelonious funks,2020-02-21T19:15:27Z,0
Please don’t feel in your vlogs you constantly have to do something fun for us to like it. Of course we love that part of it but a lot of us watching really just enjoy watching you just casually live your life 😊😊😊 those tacos YUM 😍,Katie Benfield,2019-11-09T19:22:09Z,0
what cameras do you guys use? especially curious about the film ones,Cindy Zhang,2019-11-08T09:54:43Z,0
