comment,id,date,num_likes
"In this video, we chat about the time we almost broke up, if we will ever leave NYC, having kids, if I ever get jealous of Carrie and Pat?!?!... etc. <br />I hope you enjoy! These always feel like we are having a conversation with all of you. I love it :)",Tess Christine,2019-05-08T22:28:16Z,470
What about raising your future kids in California like southern California,Kathleen Hsu,2019-10-04T03:52:13Z,0
"Were you eating at the Culver&#39;s in Buffalo, MN??",Samantha Castellanos,2019-05-22T03:51:41Z,0
its pretty obvious you are in charge of this relationship. the guy is your stooge. the minute he gets out of line hes gone n he knows it,givmespace,2019-05-16T13:43:40Z,0
Tess Christine ❤️❤️❤️ where’s your phone case from..?,Catherine Fabian,2019-05-14T04:34:19Z,0
"@Mackenzie Myers She&#39;s originally from Wisconsin, but went to college in Minnesota.",Neely O'Connor,2019-05-10T20:25:04Z,0
We 100% left after the sparklers 😂,Jessica Sievers,2020-08-06T02:16:37Z,0
they&#39;re so lovely together,Mashiyat Nawal,2020-06-15T00:30:52Z,0
Those look yummy. I haven&#39;t tried their burger but I have tried their shake. Good luck on your wedding.,Jackie Baker's Vlog Adventures,2020-05-13T21:11:12Z,0
omg i loves Culver’s and it’s mainly Midwest,Isabella Carenen,2020-04-23T18:58:04Z,0
Aw Pat! Everyone at my school would go to Cuulver&#39;s after concerts too~,Rachel Nguyen,2019-12-03T04:43:15Z,0
i&#39;m sitting here trying to picture tess&#39; name being shelby and i just can&#39;t lol,m.,2019-12-02T20:10:08Z,0
I just figured it out!! Pat sounds very similar to Andy Biersack!,Nicole,2019-11-27T02:32:33Z,0
"From Madison WI - Culver’s is def Midwest! Founded in Sauk City WI. Come on girl, thought you were a Wisconsinite ;)",Vaeification,2019-11-26T19:49:40Z,0
i can’t be the only person who thinks that pat looks and sounds just like harry styles 😂,Deborah Antony,2019-11-25T14:17:59Z,31
Lol I was literally just gonna comment that!,Y S,2020-02-24T06:37:51Z,1
I saw their videos a few years ago and I swear her husband was british! Mandela effect?,Farima Z,2019-11-02T19:54:34Z,0
The only q&amp;a that I can watch fully without skipping through but thank you for being open and honest about the relationship and everything that goes behind one. It’s tough sometimes ! But worth it in the end (:,Tiffani P,2019-10-30T00:35:41Z,1
"<a href=""https://tesschristinelife.wordpress.com/"">https://tesschristinelife.wordpress.com</a>",Amani Fields,2019-10-24T17:15:38Z,0
I can&#39;t understand are you eating a meat?,Muma Gad,2019-10-01T12:38:46Z,0
OMG YES CULVERS FROZEN CUSTARD,lapaz57,2019-09-23T08:40:36Z,0
ive never eaten there before !!! gonna have to try it out ✈ !!!,checkoutmyfashion,2019-09-11T04:41:44Z,0
THE BROTHERS NAMES! Mine two brothers are named both of those names; that&#39;s crazy,Tab Snyder,2019-07-30T03:16:06Z,0
"Tess! I love your videos &lt;3 you seem like such a sweet and caring individual, Ive always wondered, what do you shoot your videos with??",Earth Angel,2019-07-25T16:57:15Z,0
Tess face expression after he said he wouldn&#39;t want to say something he regrets lol,Stephanie L,2019-07-07T23:11:38Z,0
I’ve had couple friends where I make us a throuple. I get it. Like just a family relationship,Lexi Zager,2019-07-07T07:19:07Z,0
Started smelling onion rings when Tess started on them 😊 love that they&#39;re genuine about their relationship,ornage cup,2019-07-07T02:25:09Z,0
You&#39;re beautifulll and by the way you actually look a lot like bathany mota !!,Liselotte van der Leest,2019-06-19T20:38:02Z,0
What did y&#39;all study in college?,Whittney Hall,2019-06-18T00:43:56Z,0
"Tbh, Click bait 😒",Aishwariya Sweety,2019-06-15T06:50:35Z,0
"Words tess can not pronounce properly: “mukbang” (not “mookbaang” as tess says), and “ASOS” (not a-s-oh-s” as she says) 🤦🏼‍♀️",mm,2019-06-15T00:42:19Z,0
* Mok-bah-ng,vwake,2019-06-15T20:49:27Z,0
"Ниифига не поняла , но мне понравилось 😘",V Soloviova,2019-06-13T05:12:53Z,1
You two are THE BEST. I´m so happy for you both!!!!!! Can´t wait for the big day ❤️❤️❤️❤️,Jime Rodríguez,2019-06-09T20:27:35Z,1
Dude you didn&#39;t get cheesecurds!!! Those are bomb at culvers,Kiera J,2019-06-09T16:43:39Z,0
Woot woot MN :),Kiera J,2019-06-09T16:42:22Z,0
