comment,id,date,num_likes
where do you live the place is so aesthetic ✊😍,himadri arora,2020-11-10T10:32:12Z,0
"I absolutely love Monday, Wednesday, &amp; Friday outfit!!❤❤",cutiebbylucas *_*,2020-05-19T23:35:26Z,0
Spring it&#39;s outfit it&#39;s so different😊,Intan Nisita,2020-04-06T00:27:27Z,0
Tess and this video❤️❤️❤️❤️❤️😫,Monica Yumul,2019-05-27T16:09:07Z,0
is this Boston? coz I&#39;ve always loved our older style apartment buildings and seriously think Boston is like my fav &lt;3 (considering I live 30 mins away haha),Linda Agudelo,2019-05-07T16:42:14Z,0
glad you&#39;re feeling better! love these looks. &lt;3,Angelina,2019-04-27T08:13:09Z,0
Idk why but you remind me a lot of Nikki Reed lol,Lilianna Duran,2019-04-24T00:09:36Z,0
"it’s not a tess fashion vid without her mentioning revolve, asos, reformation, or urban outfitters 😂",Ysla Erina Rose,2019-04-12T09:40:16Z,0
going to NYC in 2 DAYS and using this as inspo haha,Aditi Bhat,2019-04-08T15:32:07Z,0
Love your style girl! So inspirational 🌸💗 XOXO missmilano,Miss Milano,2019-04-05T09:13:55Z,0
YASSS FOR THE OOTW please do more &lt;3,booitsmichelle,2019-04-03T09:22:42Z,0
"Awesome as always. Im going to NY in the beginning of May, what is the weather like then? What type of clothes would you suggest i bring with me? (Visiting Florida the week before).",Nellie Maaninka,2019-04-02T13:39:02Z,0
"Everytime you upload a video, I get so excited. I&#39;ll say it again, Tess you&#39;re talented xo",Marie-Joëlle Champagne,2019-04-01T21:16:52Z,0
"Ah tess!! All these outfits are amazing, I’m obsessed!",Soetkin,2019-04-01T00:59:07Z,0
A thrifting vlog or tips for thrifting in the city would be such a fun video to watch! 💕💕,Logan Porter,2019-03-31T16:01:53Z,0
"<a href=""https://youtu.be/s_9n4pyxHW8"">https://youtu.be/s_9n4pyxHW8</a>",MA JEA BERNADETTE OLIS PEÑA,2019-04-04T05:45:24Z,0
Update makeup routine please! Love you 💕💕💕💕,Yazzy,2019-03-31T00:12:00Z,1
where&#39;s the jewelry from???,TheCz2000,2019-03-30T15:42:43Z,0
OMG LOVE IT!! 😍I JUST FILMED A OOTW LOL☺️,ANNAGISSAA,2019-03-30T15:11:33Z,0
"So glad to finally see fashion focused stuff and not just vlogging and the like. I mean you&#39;re awesome, but personally, I follow youtubers for what I can learn from them (fashion and beauty, in this case), not to know about their lives. But yeah I guess a lot of people do like that. I can still go to older videos.",Rogue849,2019-03-30T01:30:40Z,1
💛💛💛,Shivani Gogar,2019-03-28T23:01:01Z,0
