comment,id,date,num_likes
Looks comfortable and I feel like going there.,Katwadee Khanom,2021-04-15T15:38:46Z,0
"Ok i know this is a relatively old vlog but does anyone know where Tess&#39; brown leather jacket is from? Because I&#39;m pretty sure I&#39;m in looooveeee! Lots of love to everyone :)) Also this was so genuine and heartwarming, loved this vlog!! &lt;3",Louise Sandgap,2021-01-11T17:14:01Z,0
"i’m pretty sure it’s a vintage one she thrifted, she mentioned it in a haul a long time ago. i have one that’s similar that i thrifted that was made in 1980 and the styles are very similar.",ina sweeney,2021-01-16T11:25:24Z,0
So cute! If you guys go up there again check out Kinderhook! It’s a super small town but there is cute little shops and stuff!,Erika Henry,2020-01-14T02:10:02Z,0
Patrick trying to do the woah 😂,Grace W,2019-12-15T03:13:25Z,0
"her face and head tilt when he said, &quot;you&#39;re mine now.&quot; I&#39;M NOT OKAY 🥺❤️",m.,2019-12-05T20:54:15Z,0
“Responsible flowers” 🤣🤣😭,Lexi Carrillo,2019-12-02T18:41:23Z,0
You guys are the cutest!!!,Bec and Conor,2019-11-24T01:30:04Z,0
"wasted opportunity from patrick with the chickens, shoulda said: LOOK AT ALL THOSE CHICKENS",Zaynab Salim,2019-11-19T13:59:43Z,0
I love how she calls cornhole &quot;bags&quot; lol,Ciara Thomas,2019-11-17T03:04:45Z,0
I never comment on videos but i just had to comment because i loved this vlog so much. I can genuinely see how happy you are and how much fun you and Patrick have together and I love it!,Rachel Lynne,2019-11-07T13:57:58Z,1
they call the (bags) cornhole in the south. when i first heard it and seen the game i was like hmmm....is there a inside reason yall call it cornhole??? lmfao,Tara Saxon,2019-11-04T22:21:14Z,0
"What an amazing feel goof vlog. Also, can somebody tell me the backdrop music that runs through most of this vlog? Especially at around <a href=""https://www.youtube.com/watch?v=xD2Wabmc7ws&amp;t=15m20s"">15:20</a>? Please? I would really be grateful.",Dr Monisha Mishra,2019-11-03T22:46:13Z,0
That looks so cool!,Hope Johnson,2019-11-02T19:30:01Z,0
"Tess I love you, but it’s cornhole!!! Not bags 😂",Taylor Cary,2019-10-30T00:31:34Z,0
I never comment on any videos but I loved this video it was amazing more vlogs like these please,Leslie Acosta,2019-10-29T17:28:00Z,0
A lot of love 🥰🥰,Aurélie J.,2019-10-28T22:51:15Z,0
My favourite vlog you’ve posted ever 😍,Jessica LeBlanc,2019-10-28T09:55:05Z,0
"Super vlog, really enjoy it, it was so chill ! Looks like a perfect weekend, i would love to go to this place, it&#39;s look so cool, relaxing...😌",Luna Blandin,2019-10-27T23:54:59Z,0
The love here is so real and makes me happy. Love you watching you guys just be,Joanna Villanueva,2019-10-27T22:44:34Z,1
This was my favorite video you&#39;ve put out!! Soo authentic and cute :),Alyssa King,2019-10-27T14:26:17Z,0
“He’s so cute” “Our future” “you’re mine now.”  Is anyone else dying over how cute and in love they are?,Mariam Almozrouei,2019-10-27T01:54:20Z,19
I loved this vlog so much it made me happy &amp; smile! 💛,Myrthe,2019-10-26T20:35:59Z,1
"Hi :)☀️<br />If you love traveling through videos, come and have a look on my last one in Malta ! - Wanted to share our experience through a fun mini-film :) Would be super nice of you to give honest and/or objective opinions about it 😌, then I can improve myself. Why not a like (if you appreciate it of course!!) a comment under the video, if you feel like it, yeah! -  it&#39;s always encouraging, &amp; Would be really helpful!! 😍 Thank you so much! Olivia",Olivia Létin,2019-12-03T14:18:33Z,0
Definitely my romantic get away with my future boo 💍💋,Sherdils PAF,2019-10-26T17:10:54Z,0
Just so much happiness is radiating from this video and I couldn’t stop grinning the whole time while watching. Hope to find a relationship like this.,LeaveItToKenzie,2019-10-25T05:39:09Z,0
"<a href=""https://tesschristinelife.wordpress.com/"">https://tesschristinelife.wordpress.com</a>",Amani Fields,2019-10-24T17:15:18Z,0
looved this vlog. From where is the jeans you were wearing when playing the games?,Gin,2019-10-24T15:47:29Z,0
You&#39;re so pretty!! New subscriber ❤,Vanessa Carrillo,2019-10-24T01:06:05Z,1
you two are such an attractive couple i CANT,Anabelle Fry,2019-10-24T00:33:58Z,1
I was honestly so shook to see pat just vlogging like how unexpected and cute,Lael,2019-10-23T23:37:22Z,1
"loved this so much! 💕💕Ive never been glamping and now I cant wait to go hahaha, also I love when patrick vlogs 🤣",Alexandra Martinez,2019-10-23T03:05:42Z,1
this is so cute! its like a home vid,Aria !,2019-10-22T22:19:01Z,1
А где перевод,Михаил Аксёнов,2019-10-22T18:22:45Z,0
Omg I love the Bartlett house!!!!  I hope you had an awesome time.,Emma Flynn,2019-10-22T15:36:29Z,1
You can call them mild flowers? Or responsible flowers? 😂😂😂😂,Kari Gonzales,2019-10-22T05:56:06Z,0
Where do you get your flannels?,Bianca Regalado,2019-10-22T01:31:34Z,0
"&quot;it&#39;s very close, feels like Carrie&quot; I laugh so badly!!!! Cutest vlog ever, you&#39;re such a lovely couple 😊",sophie brdg,2019-10-21T20:31:16Z,1
Oh my gosh you were so close to me!! I&#39;ll definitely have to check it out,Alice De Benedetti,2019-10-21T20:24:52Z,0
also this was the cutest vlog I&#39;ve ever seen I loved every second of it,Alice De Benedetti,2019-10-21T20:32:50Z,0
This has to be by far my fav vlog!,Ashlea Jimenez,2019-10-21T16:46:55Z,1
"<a href=""https://www.youtube.com/watch?v=ADx6XuszpZA"">https://www.youtube.com/watch?v=ADx6XuszpZA</a>",Liali Events,2019-10-21T12:04:02Z,0
"Love this vlog! You make me smile, Tess :)",ng wan xin,2019-10-21T11:29:55Z,1
