comment,id,date,num_likes
"Hey girls, I just started my free android app QFIRST to make it easier to BREAK THE ICE and MEET LIKE-MINDED people for relationships or friendship.<br />No profile. All you need is a fun and anonymous icebreaker :) so yup search for &quot;QFIRST MEET LIKE-MINDED&quot; on google play store and try it. It&#39;s fairly new so be patient as I make daily improvements :))))",QFIRST,2020-10-27T23:32:16Z,0
I NEED A PART TWO ASAP!!!,Manasvi Shah,2020-09-02T18:17:35Z,0
Loved this! Please consider making more videos with them :),Samanta Rizzi,2020-08-10T21:21:17Z,0
I wish I could have best friends but I&#39;m too boring to be around...,rose vintage,2020-08-10T13:07:06Z,0
I NEED MORE!!!,Marlene,2020-07-29T09:14:34Z,0
I love you girls! Y&#39;all giving me the same feeling for spice girls when i was 8 yo HAHAHA,Bobbi and Me,2020-07-10T11:49:30Z,0
"I would honestly love if you guys did another video together!!! And talk some more about all of your jobs and careers, that would be really interesting",Natalie Bondarenko,2020-06-14T17:06:34Z,0
pls do a lady speedsticks mukbang when this quarantine is over,m.,2020-05-06T08:41:44Z,0
I wanna be friends with all of you,Sophia Ramirez,2020-04-12T19:45:19Z,0
You’re the ‘Sex on New York ‘ in real life!! Luuuuv youuu,Alexandra Dumitrache,2020-02-26T14:35:35Z,0
(Not so) patiently waiting for Episodes 2 - 100.,Laura Hunsaker,2020-02-19T15:46:43Z,0
"I love your Friendship !❤️ You are all amazing, you are so funny and i really like girl talk like this, it&#39;s so relaxing !!❤️",Luna Blandin,2020-02-19T03:14:41Z,0
Obsessed with your friend group,Grace Caroline Fletcher,2020-01-06T08:11:02Z,0
A ladyspeedsticks podcast or something would be so cool!!,Josephine Oceane,2019-12-21T04:45:15Z,0
Where is Carries dress from?! NY vibes 💯,Kali,2019-12-15T23:55:41Z,0
all of u are so pretty!,Anabelle Fry,2019-12-08T17:20:06Z,0
"Not to be dramatic or anything, but I&#39;d literally die for all of you (the boys included)",Lauren,2019-12-07T16:53:28Z,1
I meannn we do need a boys vid now!,Lauren,2019-12-07T16:51:58Z,1
"On the slim chance you see this, I feel like if you did this with the guys in your group (Pat, Josh, Louis) would be super interesting too. Whether that&#39;s separate from the girls, or as a big group, I&#39;d TOTALLY watch!",Laura Shirey,2019-12-05T14:49:42Z,1
That&#39;s so sweet that you made sure your husband got along with your friends. My former best friend&#39;s husband used to be very rude to me. She thought it was funny. We ended our friendship after 15 years of friendship.,Maria A,2019-12-05T02:28:42Z,0
