comment,id,date,num_likes
It is a different ball... there were 2 balls in the cup,gmac Wizard,2021-05-09T03:45:09Z,0
He took a different ball out the mug,Stalwart Shinobi,2021-05-08T18:39:24Z,0
Other channels: shots video gets more views than normal video.<br /><br />Vsauce: normal videos gets more views than shots video,rahul mukundan,2021-05-08T12:09:10Z,0
His wife must be a very happy woman ;),Ass Poopie,2021-05-08T08:12:19Z,0
Lero lero lero lero,Mateusz G.,2021-05-08T07:03:01Z,0
Q: How to stop ball bouncing? Ans: just throw it in mug and replace it with another ball ball which doesn&#39;t bounce 🌝,Ashutosh Bichare,2021-05-08T05:33:49Z,0
the ball bounced behind the cup. clean!,Googly,2021-05-07T18:26:35Z,1
There were 2 balls in a cup.....<br />It&#39;s not a magic...,Saransh Khosla,2021-05-06T11:28:36Z,0
You could have just taken a second ball out of the mug with less bounciness 😂,Daniel Luzzio,2021-05-06T05:18:04Z,0
That lick was WAAYYY too intense!,The Epic Life of Jacob,2021-05-06T04:24:33Z,0
"The fact that he said, &quot;rising&quot; educational youtbers.  Wasn&#39;t he rising in like 2013/2014?",Kirby Roberts,2021-05-06T02:55:20Z,0
I do believe that he grabbed a different ball,Marko Nikolovski,2021-05-05T18:48:36Z,0
2balls in the cup ...,Qriminal,2021-05-05T17:21:32Z,1
"They make balls where one half is bouncy and one half is not, that would be much easier to use for magic instead of changing balls entirely",10 11,2021-05-05T16:50:19Z,0
Different ball in cup,Bulk Dig,2021-05-04T17:49:44Z,1
Ligma!!!!!!!,Nick B,2021-05-04T13:50:19Z,0
Ligma,Mirage,2021-05-04T12:50:25Z,0
"Hi, it’s Michael from vsauce *comes out of fridge in the desert *.  *viewer screams *",Xotic Deku,2021-05-03T21:11:01Z,0
LETS GOOOOOOOO,sorrychangedmyusername,2021-05-03T12:39:36Z,0
"2 balls of different types, but same colour. One was already in the cup. Cheap magic trick 😏",Rio Riot,2021-05-03T07:28:15Z,0
Did he even ask for the ball&#39;s conscent before going down on it????,Depressed Alien,2021-05-03T05:19:13Z,0
i like how you pointed out that the ball was fun,Fishsticks,2021-05-03T01:46:43Z,2
"<a href=""http://www.youtube.com/results?search_query=%23ad"">#AD</a>",Raziel SSJ,2021-05-02T22:08:16Z,0
I think there already was one ball in the cup so you took out the one that didn&#39;t bounce and left the one that you bounced in,Deimis Deimis,2021-05-02T19:37:43Z,0
