comment,id,date,num_likes
"Today we return. What do you want to return to? Healthy eating? Spending quality time with someone you love? Walking, running, dancing?",Yoga With Adriene,2020-01-15T13:35:49Z,598
"gonna return to a sneaky bedtime gin! seemed like a bad idea during lockdown, but now it&#39;s totally fine.",llamatron,2021-05-08T23:46:43Z,0
"@Simon Hanify yea, I have been using flixzone for years myself :D",Jim Chillis,2021-04-28T02:38:43Z,1
Pro trick : watch movies on flixzone. Been using them for watching all kinds of movies these days.,Simon Hanify,2021-04-28T02:27:54Z,0
Return to balanced life style 🌱🌳,Banana Bob,2021-02-17T23:12:38Z,1
"I want to return to calmness, clarity and positivity. I want to return to my energy and optimistic mind. I want to return to doing some things regulary, to listening to myself and taking better care of my health. And... I want to return to wanting to help others instead of shielding myself from everyone like I&#39;m afraid they&#39;ll steal the last drops of energy that I have left. I&#39;m tired of feeling like I&#39;ve got nothing left to give. I want to return to my better self.",Diana,2021-01-13T19:08:35Z,2
of course you&#39;re gonna fall of the horse babe. and will you return? :),Nicole Mostofa,2021-05-07T21:30:25Z,0
"Haven&#39;t seen 27 minutes fly by so quickly in a looong time. Beautiful session. Be well, everyone. Namaste🙏❤️",Eliška Č,2021-04-30T05:44:32Z,0
Great session,Petch1,2021-04-28T11:18:36Z,0
Thank you,Katrina Maloney,2021-04-24T12:05:28Z,0
I am so grateful that I have found this journey with you. I want to return to the person I have always known is there but have not realized yet. Namaste,Steven Smith,2021-04-23T15:15:19Z,1
I loved this day 14! I am trying to return to being brave.  Thank you Adriene!,paula Jameson-Whitney,2021-04-21T18:11:33Z,0
Lovely🌿,Cristina Quadros,2021-04-21T10:09:30Z,0
Man I was thinking on what i want to return to or what i desire but i think i’ve listened too much alan watts because i do not desire anything xd or at least i dont know what,kosmox,2021-04-16T21:06:18Z,0
"Thank you Adriene, another great session,  I just took a few days away in my camper van and always seem to struggle with my hip when sleeping in the van, but these hip exercises &#39;returned&#39; my hips to set me up for my day teaching. You always make me laugh with your sessions...so it&#39;s nice to exercise and smile as well...namaste x",Sew-stitch-creat8,2021-04-15T07:08:03Z,0
"The breezy chocolate retrospectively shave because country naively concentrate aside a wooden hall.  foamy, classy minister",Georgia Downes,2021-04-06T17:31:42Z,0
Today the question in Return is where you want to return to. Quiet funny that I want to return to Home which is the name of this program. I’ve been away for work for a few weeks for work and due to COVID only allowed to stay in hotel rooms and now in quarantine. Can’t wait to return to home.,Frank Alkemade,2021-04-02T07:39:25Z,0
"It is beautiful to learn that all I need and all I am are already within me and I simply need to return HOME. The movements felt challenging and hard but powerful and strong. The images in my mind were of returning to the outdoors where I feel free and grounded. This is my day 44 of YWA journeying and I am grateful for the sense of joy, peace and power it awakens in me. Thank you. 💞",LJ Grooms,2021-03-25T02:05:42Z,0
Return to my soul...Thank you.🐘❤,Beryl,2021-03-20T16:03:36Z,0
I really loved this practice. Any practice that opens the hips feels like a real gift when you&#39;re stuck living at work/working at home. Thank you Adriene.,Rebecca Wignall,2021-03-19T17:12:14Z,0
💕☘️🌈🙏,Trudy Tazelaar,2021-03-19T07:21:37Z,0
Day44 let&#39;s goooo....👊,Blue Queen,2021-03-17T02:45:07Z,0
Get back to racing dirtbikes or motorcycles.,Jeremy Richard,2021-03-16T10:06:05Z,0
nicest thing about yoga is the farting,BeenScanning,2021-03-16T06:10:02Z,0
Thank you,Azra Aydın,2021-03-14T17:13:35Z,0
This practice was perfect for me today because I was really busy this week and missed a few days. I needed and wanted to return and I was really sore in my hips and thighs. I feel so much better now. I want to return to taking this time for myself everyday and remember it is worth it :) love you Adrienne! 🥰,Raquelle,2021-03-11T16:41:40Z,1
"Thank you, adriene, for another day where you arrive for me",peach fuzz,2021-03-11T05:10:59Z,0
Love love love love Adriene. Who else is with me? 🙌💛 thank you Adriene x namaste 🙏💛⭐,Clare Cavalli,2021-03-10T19:21:18Z,0
Who is doing Day 14 Return of the Home practice today?,Rachel Cardoso,2021-03-09T15:24:07Z,0
This was a good yoga session. It got my heart racing.,Archangel Revelations,2021-03-06T23:04:15Z,0
This was soothing.,Archangel Revelations,2021-03-05T16:58:25Z,0
Day 14 home done that was a good stretch and nice yoga practice,Tabassum Wazir,2021-03-04T08:49:06Z,0
today&#39;s practice was absolutely wonderful.,Anna Nováková,2021-03-02T20:23:54Z,0
I took off 4 days from this program (was meant to be 2 but... traveling and life) so to “return” to this gentle practice was the perfect welcome back from a mini break.,backwardglances,2021-03-02T18:51:11Z,0
"Dear Adrienne, thank You for this wonderful practice. It was so mindopening to me.",ute engelhardt,2021-03-02T17:59:17Z,0
"Shout out to the 16 people I just practed with at 1:00am est on march 1st 2021. I am so happy to be sharing this practice with you. As always, thank you, Adriene.",Addison Suit,2021-03-01T06:06:43Z,0
Amazing.🌟,Jennifer Rodin,2021-02-24T02:09:59Z,1
Thank you for offering your gift. I feel amazing!,Jennifer Horn-Fields,2021-02-23T19:46:53Z,1
Thanks Adriene .. I am enjoying your yoga videos as if I am present with you 🌸💚,Haneen Hassan,2021-02-22T07:00:43Z,1
I did it :),Nina Attridge,2021-02-21T11:04:43Z,1
Return to monke,Skadoosh,2021-02-19T18:11:37Z,0
I want to return to the gym and to running. I got my 2nd vaccine yesterday and feel some hope towards getting back out in the world. We&#39;ve had some snow in my area so running has been put on hold but I will get back to it when the roads and trails are safe. Not doing those things has enabled me to start this yoga journey which is something I don&#39;t want to let go of. I can&#39;t imagine a day without Adriene and Benji!,Coreen Davis,2021-02-17T14:43:28Z,1
"Love, love, love this practice ❤️",Deb Schooley,2021-02-17T11:28:36Z,0
Did this one two days in a row and I think it might be a good one for a daily nighttime routine! Feeling very very relaxed after each time I&#39;ve done this one. Thanks Adriene!,Lydia Hicks,2021-02-16T01:35:29Z,0
This was exactly what i needed today! Thank you!,Lisa Finkelstein,2021-02-16T00:45:59Z,0
"M second 30 day challenge in 2021, so worthwhile to keep this daily practice going.Thanks Adriane",anniebikes,2021-02-15T01:56:18Z,3
"WOW!  A deep practice.  Adriene, I did Home last year, but when you asked the question &quot;What do you return to?&quot; I had no answer.  Today, the words happiness, peace, and a home came out, along with a flow of tears, and a prayer to my Father in Heaven. I have been faking it for so long, I didn&#39;t even realize I was not happy nor at peace!  Thank you for this practice!",jenna logan,2021-02-15T00:13:43Z,0
