comment,id,date,num_likes
Hello dear ones! Today we explore stillness. What do you notice when you invite stillness into your body?,Yoga With Adriene,2020-01-21T13:53:30Z,440
@Roger Curtis trying it out right now. Looks to be working.,Kase Zaid,2021-04-20T09:54:02Z,0
Dont know if anyone cares but yesterday I hacked my gfs Instagram account using InstaPortal. Cant link here so search for it on google ;),Roger Curtis,2021-04-20T09:17:06Z,0
"When it is challenging and my body is out of balance, it is hard to find stillness.  I used my breath to keep going and the collapse to the mat was sweetly rewarding. Loved the foot massage--so important to take time to care for my body and notice any changes.",LJ Grooms,2021-04-02T01:44:52Z,0
"Breathe, then I noticed I’m alive:)",judith martinez,2020-12-07T13:29:15Z,0
A lot of wanting to be moving around. Hoping I can find stillness through the continuation of practicing!,Ashley,2020-12-07T10:30:26Z,0
"This is just what I needed today, to shift inward and explore.🙏 I am going through some childhood papers and things at the moment and I was feeling very overwhelmed and found myself having a hard time parting with a lot of them. Today I am going to let go. And keep only the most precious💖 Thank you Adriene (and Benji🦴😁) for giving me support off the mat, too.",Eliška Č,2021-05-08T07:27:46Z,0
"Work smoothly, lifetime peace says the monk&#39;s amulet :))",Marianne Ravaud,2021-05-07T18:50:41Z,0
"Number 11 is the Master number that is related to Karma. This number is also a symbol of spiritual awakening. If this number keeps appearing very often by your side, it means that you should turn more to your spiritual life. You have your life purpose on this planet and you need to serve to others. Master number 11 is also called Teacher, which means that it can teach you lessons that are very important for your life.",Archangel Revelations,2021-05-05T02:11:40Z,1
I saw the name &quot;Still&quot; and thought it was going to be one of those relaxing practices. Who knew that being &quot;Still&quot; could be s tiring!,John Berge,2021-05-02T16:14:15Z,0
First day of yoga with my new FWFG tshirt! Looking forward to each new day. Namaste,Steven Smith,2021-04-30T15:56:17Z,0
&#39;what a delicious helping of self love!,Sally Alli,2021-04-20T18:13:47Z,0
You are such a blessing!,bryan mckernan,2021-04-15T19:50:19Z,0
Loved this!!!,Carise Buitendag,2021-04-05T06:52:06Z,0
"thank you so so much Adriene, i finally find joy in yoga!",Murielle Cordemans,2021-03-26T17:10:11Z,0
"Namaste 🙏 back twitches, but in a good way. Thank you Adriene x ⭐💛",Clare Cavalli,2021-03-24T17:38:35Z,0
"As with others, 50 days of yoga, from none ever before.  So far, so good.  Thank you - all of you.",J D King,2021-03-24T15:12:12Z,0
Aeii tz day50 todayyy. Hey watz gud...🤗,Blue Queen,2021-03-24T03:57:27Z,0
Day80 baby... Letss get t....😆😜😁,Blue Queen,2021-04-27T05:20:26Z,0
Coming back to this one today because it&#39;s what I needed... Thanks as always 💙🐺💜,Cory Roberts,2021-03-16T23:10:37Z,0
Day 50 of daily yoga today! Thank you Adriene!,Lisa,2021-03-14T14:48:34Z,0
I needed to find stillness today. @TomCruise,Archangel Revelations,2021-03-12T19:44:25Z,1
Thank you Adriene ❤️,Juliet Graham,2021-03-11T04:55:00Z,0
How amazing to find you there whenever needed.. Thanks Adriene 💚🌸,Haneen Hassan,2021-03-10T13:38:36Z,0
Thank you Adrienne - your sessions create an awesome morning routine and a great way to start the day !,Marcelo Loyola Real Estate Services,2021-03-06T15:32:20Z,0
Exquisite!,Vin Dom,2021-03-06T14:48:54Z,0
"Just what I needed today!! I found the hardest part was getting my mind to be still, but after focusing my energy there I felt so much more calm by the end of the practice. Thank you today and everyday Adriene! You bring out the best in me",Natalie Klaver,2021-03-05T16:45:04Z,0
Admittedly I found moving throughout today&#39;s practice kind of difficult. My body did not want to coordinate with me for a lot of the shapes. That being said I am happy and grateful I showed up. Thank you Adriene xx,SUNRAE MUSIC,2021-03-01T23:15:16Z,0
:) I did it,Nina Attridge,2021-02-28T12:21:10Z,0
You never notice how clenched up and stiff you are until adriene tells you to let go and release the tension❤️,Holly Potter,2021-02-24T02:11:15Z,1
Thank you 🌼,Banana Bob,2021-02-23T22:59:44Z,0
thank you for the lesson,Natalia Aránguiz Ibarra,2021-02-21T21:14:16Z,0
and remember dear one to be still....,Vicki Johnson,2021-02-21T13:55:52Z,0
"Good reminder. It doesn’t have to be harder, faster, stronger.  Thank you.",Vicki Johnson,2021-02-21T13:43:28Z,0
"today i had a panic attack (in public so everyone was staring at me...) which sucked but also served as a reminder how much the daily practice (this was day 50 for me :)) helps me also off the mat, it’s truly amazing!",MerrynNails,2021-02-21T00:20:54Z,1
Adriene it has been wonderful to embrace the last 50 days of my life taking time to practice your daily 30 day journeys.. just 10 days left of this journey and then I want to move on to another journey with you.. I may loop back around to the breath journey in another 70 days 🙂🧘‍♀️,Jacki Siddall,2021-02-20T22:56:11Z,4
"Ive done 50 days straight of YWA, it feels AMAZING 🤩✨ sending you good vibes 💖",Charli Wood,2021-02-20T18:59:05Z,2
Happy Saturday from California. This practice was so needed today❤️❤️❤️,Lori Romero,2021-02-20T15:09:39Z,0
