comment,id,date,num_likes
Happy Day 12 everyone! How are you feeling today? What could you add to your life to feel more nurtured?,Yoga With Adriene,2020-01-13T13:48:06Z,593
Omg I really appreciate these burrito stretching days. I needed this today. Thanks so much and NAMASTE Adriene and fellow yogis.,Jenny Hendley,2020-12-18T16:48:18Z,0
Benji has a good life.  But it looks like he doesn&#39;t have a tail!,Chris Pierson,2020-12-11T04:31:24Z,0
Hello Adriene! I am feeling so grateful today for you and this incredible opportunity that I have to continue my practice here. I&#39;m really proud of myself for getting through day 12 and am so pumped to do it again tomorrow. Thank you!,John Houghton,2020-10-07T19:28:55Z,0
I loved day 12,Sammi Lou Porter,2020-08-30T20:29:52Z,1
Catherine C hugs!!!!!,Rebecca Warner,2020-08-25T07:45:00Z,1
day 12 on day 6 of this month :D,Nicole Mostofa,2021-05-06T20:21:49Z,0
"You have made a difference in my health and life, i love your teaching. You are the best!!!",Linda Warren,2021-05-05T13:41:18Z,0
Benji ♥️,Zeynep Özer,2021-05-02T18:24:17Z,0
But a peach cannot defeat Tai Lung! Maybe it can. If you are wiling to guide it. To nurture it. To believe in it. Thank you for this wonderful therapeutic session Adriene. Loved Benji here too. Such a great chance to pause.❤️ That namaste bow warmed my heart🥺🙏,Eliška Č,2021-04-28T05:44:18Z,0
"Love u Adrienne and Benji. You are changing the relationship I have with myself. Definetly for good, I&#39;m learning how to nurture and take care of my person :)",melina fruinque melina_fruinque@hotmail.com,2021-04-22T01:21:00Z,0
I love coming every morning to something new. Just bought my first FWFG shirt last night and look forward to wearing it during my yoga practice. Namaste,Steven Smith,2021-04-21T15:38:03Z,0
"I&#39;m 66 years old, and today during the practice I wanted to be held by my mother.  Such a good and sad memory.  Thank you",Patty Detore,2021-04-17T14:54:29Z,0
I just saw Benji is starting to lick your foot.,Orion Harmon,2021-04-13T17:21:07Z,0
this practice really cheered me up! it felt very lighthearted and loving and i was laughing and smiling a lot more than usual. :) thanks adriene!,shai,2021-04-13T07:37:59Z,0
"The cuddly skin problematically frighten because burn paradoxically pump amongst a extra-large extra-small exuberant close. neat, tearful production",Georgia Downes,2021-04-06T17:36:59Z,0
"I started laughing so much when Benji was just casually licking your foot😂 nobody will ever love our feet more than our dogs, that&#39;s for sure🐶",G R E T H A A L,2021-04-06T15:14:30Z,0
I was so peaceful I almost slept in the burrito blanket.,Lindah Mumbua,2021-03-26T04:47:00Z,0
"Don&#39;t mind me, just revisiting my favourite practice of this series before bed. Love it still 💖",anzuanias,2021-03-25T21:38:12Z,0
"Another absolutely beautiful, &quot;yummy&quot; practice. Thank you Adriene &amp; team  for letting us have a nurturing, supportive, funny, inspiring role model",Carise Buitendag,2021-03-25T04:13:23Z,0
Benji’s face when Adriene took the blanket was like “bruh”😂😂😂,coco chelle,2021-03-24T09:42:24Z,0
listen we&#39;d understand if you had to take a 20 minute break in the middle of the practice until Benji decided to move but gently nudging him to the side is unacceptable. He was clearly comfortable.,Schlo mo,2021-03-20T11:47:34Z,0
I LOVE this video. Benji just always makes me smile and makes me wish every time that I was practicing with an animal. THey bring such good energy. Also your humanness in this video is just the best.,McKenna Maltzahn,2021-03-19T12:24:20Z,0
Namaste,Gigi Santini,2021-03-16T23:46:05Z,0
"I love you Adriene. You bring so much joy and compassion and warmth into peoples lives by connecting us with our bodies and souls, and by just being your funny and honest self. Thank you &lt;3",Guðný,2021-03-16T19:05:56Z,0
Love Adriene’s playful energy on this practice ❤️,NADINE BENUEZA,2021-03-12T12:58:55Z,1
"Lol Benji! &quot;You put it there, of course ima lick it!&quot;<br />I have a compulsive licker too hahaha this had me rolling. Ill be honest i watched benji mostly on this one 😆",Amanda Ritzau,2021-03-12T10:25:10Z,0
A friend like u,Ralph Mondesir,2021-03-09T14:51:24Z,0
Needed that big time today. Thank you Adriene x namaste 🙏🙌⭐💛,Clare Cavalli,2021-03-08T17:38:32Z,0
I am going to try nurturing myself right now. Then I am going to lay in the sunshine.,Archangel Revelations,2021-03-02T15:41:10Z,1
What a perfect session to round out my weekend 😊,Sarah McIntyre,2021-02-28T19:08:57Z,0
"Thanks, Adriene, I really enjoyed this practice.",ArcadianWalnut,2021-02-26T00:36:03Z,1
Day 12 done i needed that,Tabassum Wazir,2021-02-23T09:23:30Z,1
I did it :),Nina Attridge,2021-02-21T11:04:05Z,1
i love the absolute calm environment and adrienne cracking jokes and then regretting,Ana Rita Teixeira,2021-02-20T19:57:52Z,1
"Loved doing this - just what I needed today, as moving tomorrow -  stress went down x",Rita Wright,2021-02-16T11:32:21Z,0
Am I the only one who doesn&#39;t come much further than bowing the head when you&#39;re supposed to lean forward in a seated position? This was confronting...,Jolien,2021-02-16T08:51:26Z,0
Benji being extra cute in this one😍,Banana Bob,2021-02-15T23:02:00Z,0
Nurturing for a busy day &lt;3 Thank you!,Debra Schooley,2021-02-15T11:39:14Z,0
"<a href=""https://www.youtube.com/watch?v=E_Xxqv_tBgU&amp;t=9m40s"">9:40</a> benji looks like he’s listening to his breath too ❤️",Lucy W,2021-02-14T19:01:59Z,0
I guess I really needed to be nurtured today since I was crying by the end of the practice. My mom is in hospice care and we have been going to see her daily. I work in the counseling field and have been strong for everyone during this past year. Now I need some nurturing. I got that today. It seems I get what I need no matter when I get to these videos..💕,Coreen Davis,2021-02-14T14:02:59Z,1
"Having completed Breath in January, I&#39;m now following Home in February 2021.  And how appropriate is this?  It&#39;s Valentines Day today!  What better day to give yourself a bit of loving :)",Sharon Swkingsbridge,2021-02-14T06:09:15Z,1
"I find it amazing how often this practice gives me exactly what I needed each day, even if I didn&#39;t know I needed it.",SlantyOlis,2021-02-13T22:40:43Z,0
"It&#39;s snowing where I am today and this was the perfect practice :) love when the practices just line up like that, serendipity :) have a great day everyone",Sydney,2021-02-13T15:50:17Z,0
"Thank you so much for your yoga, it has helped restore me after covid and really improved my physical and mental well being! You are wonderful!",claire white,2021-02-12T15:30:50Z,0
"I almost switched out this practice for tomorrow (Day 13&#39;s) practice because I thought I needed something more upbeat to start my day. Turns out, being nurtured and held was also something I needed too - thank you for that reminder Adriene!",Lydia Hicks,2021-02-12T14:13:51Z,0
Great way to start a Friday❤️ I realized I need to blanket myself in love more often,Lori Romero,2021-02-12T13:32:17Z,0
"Returning to in-person work this week has been exciting, nerve-wracking, and...loud. I didn&#39;t realize how &quot;noisy&quot; our lives are, literally and metaphorically. 11 months of my entire world being inside my home has given me the gift of silence. This practice is helping get me ready for one more of day of &quot;noise&quot; and then the precious gift of the weekend and more yoga practice in quiet Home.",Elle B,2021-02-12T13:29:05Z,1
This was such a heartwarming practice 🥰 special thanks to Benji of course for the cuteness overload 💕,Shelly M,2021-02-12T11:28:22Z,5
As I laid down in burrito pose... didn&#39;t orange guy 🐈 decide to lay on my legs... when I sat up he looked so salty.. lol... but now he is sitting with me on the mat..  until I get up that is,Jacki Siddall,2021-02-12T09:02:54Z,5
Today doing Nurture I simply busted in tears at the end of the class.  is it normal to get so emotional when practicing yoga and/or meditation?,Ana Marquez,2021-02-12T08:05:09Z,1
"Me too but at the beginning...for me nurturing myself is hard, I feel undeserving some days",tina mcewin,2021-02-12T12:29:04Z,0
Thank you @Adriene for such practice. With love from Algeria 🇩🇿❤️,Abla Herida,2021-02-12T07:58:57Z,1
"Kung hei fat choi!<br />Wishing you love, happiness, health and prosperity! 💕<br />Although we are Italians we love celebrating Chinese New Year! 🌍🙏<br />Much love to you darling Adriene, Benji and the rest of the world. <br />Stefano, Emiliano &amp; Logan 🌈🙋🏻‍♂️🙋🏼‍♂️🐶❤️💕",Stefano Scheggi,2021-02-12T07:42:51Z,1
