comment,id,date,num_likes
Hello dear friends! Welcome HOME! Today we take 6 minutes to settle in and just breeeeathe. Where in the world are you practicing from today?,Yoga With Adriene,2020-01-01T14:38:14Z,1654
France !,Camille Mre,2021-03-11T19:54:54Z,0
"Kyoto, Japam",Audrey Flett,2021-03-06T16:42:57Z,0
"Namaste Adrien, am from India 🇮🇳",Thasli Parvin,2021-01-03T11:41:59Z,0
Minnesota! Also brrrrrrr.........,Marguerite Losinski,2021-01-01T17:29:42Z,0
"Bogotá, colombia 🦋❤️",Tikal Tikal,2020-08-08T14:52:03Z,0
"I started yoga with Adriene with home, I have then worked through all the other 30 days of yoga.  I have been working through them all in chronological order, second time through I started with the earliest, so after a year this is the first time I am back to doing home and I am really excided to see how I do,  over a year later.",Julie C,2021-05-04T08:47:36Z,0
"I love your vibe already! Ready for this challenge, thanks for the opportunity!",Gianna Vervaet,2021-05-04T05:54:41Z,1
@Gianna Vervaet yes! 💪🏼😁,Rae Lou,2021-05-04T06:57:39Z,0
@Rae Lou How nice! Let&#39;s do this!,Gianna Vervaet,2021-05-04T06:52:33Z,1
I’m just starting too. Enjoy! 😊🙏🏼,Rae Lou,2021-05-04T06:38:46Z,0
New to Yoga and came across your channel. Looks exciting!!! I&#39;m looking forward to starting tomorrow. Thank you!!!!,Nou Vang,2021-05-03T05:22:29Z,0
I will be starting this tomorrow! I am excited for this new 30 day journey. :),Nicole Mostofa,2021-05-01T00:41:35Z,0
"I&#39;m doing this one for May 2021, anyone else?",Queen Janeway,2021-04-30T18:49:17Z,0
AHHHHHHHHHHHH lets gooo :D,Amelia lalllalala,2021-04-27T16:39:31Z,0
I am doing Home to try and recover from pain from a bad pulled muscle all the way up my back to my head. This is my way to heal and find strength again. Thank you! &lt;3,Bianca Reuter,2021-04-26T11:55:11Z,0
✅,Big Mood,2021-04-17T23:36:05Z,0
Im going to start the challenge tomorrowww❤cant waitt,Maria Rodrigues,2021-04-15T22:19:26Z,0
I love Indians becouse India gave Yoga for Human being ❤️❤️❤️❤️,G. S,2021-04-11T02:01:51Z,0
Practicing from North Carolina!,Elizabeth Scott,2021-04-09T02:48:55Z,0
"Joining this yoga journey, to heal from a broken and wounded heart from a 3 year break up, in hopes to return to the feeling of home within myself.  “I am strong” is what i tell myself every morning to keep me going as well as my morning routine of Yoga with Adriene, I am ready to feel at Home again ♥️Anyone else starting this in April 2021? <br />Coming from Salt lake city Utah 💕✌🏽",Thalia Eagar,2021-04-07T13:01:34Z,0
"As someone that used to say “yoga was something I’d never be able to do” to finding out how amazing it is during the start of 2020, I’m looking forward to getting back into it with this series. Thank you for allowing us to join you on this amazing challenge",Phil Better Show,2021-04-07T12:13:00Z,1
"Hey, i just want to thank you because you make me feel so save and calm to star this jorney. Thank you very for this ❤️❤️❤️❤️",Ida Rocovski de Oliveira,2021-04-04T01:46:06Z,0
"I’m here for April 2021, needing to connect to myself and my body after a really busy month with no yoga, so I’m really excited to get back to it with this yourney! Sending best wishes to everyone. You are awesome!💖🌿",Eliška Č,2021-04-01T08:22:18Z,2
"Hi! I just finished the 2021 Breath Yoga Journey. I have created a great habit of yoga journeying (is that a verb?) in the evening after I have read for my kids, so now they fall asleep to the sight of me doing yoga(-ish) poses and to the sound of Adrienes voice. They don&#39;t understand the words (as we&#39;re danish) but we all find a great calm and comfort in the ritual. I&#39;m greatful to discover that there are so many more videoes. I&#39;m in for the next 30 days - keep &#39;em coming. Lots of love &lt;3",Anne Andersson Boysen,2021-03-22T19:46:34Z,2
"Just happy to find this channel, I really need this right now ♡",Camille Mre,2021-03-11T19:56:11Z,2
&quot;<br />Ĺl,Ceanna Khelcy Bete,2021-03-02T19:18:16Z,0
💗,Azra Aydın,2021-03-02T15:12:43Z,0
I absolutely love your 30 day journeys. You have such a calming yet fun and loving presence which makes me come back each day. I can&#39;t seem to get enough during these times. Thank you :),Claire Cole,2021-03-01T21:53:49Z,0
"Anyone else doing this with me March 2021?! <br />Thank you Adriene, March to me this year weighs very heavy on me (obvious reasons) and I’m so excited to use this HOME journey to help me through it. Openly and fully❤️<br />-Sara from California!",SaraJenelle95,2021-03-01T19:25:05Z,11
