comment,id,date,num_likes
"It&#39;s Day 28, darling ones!  Today try to keep an open mind and open heart so that you can be open to receive the gifts coming your way. What are some other ways in which you will nourish yourself today?",Yoga With Adriene,2020-01-29T14:58:27Z,423
With an open space! Cleaning up and clearing up my habitat. I love us and I thank us!!!,Zoom in. Zoom out!,2020-12-23T19:06:42Z,1
@Katja Karakina Praying that you did and you always will.,Ky C.,2020-09-29T10:32:15Z,2
I love my daily practice with you! Awesome! Thanks! 😊🙏❤,Carina Anklew,2020-08-26T03:35:01Z,1
Other ways : Just let it go...........don&#39;t think about anything too much...don&#39;t think about something or someone you dislike...just let it go..everything happens for  a reason and never forget the lessons....,S.Vigneshwaran,2020-08-02T06:02:08Z,1
Work outside,Corina Delattre,2020-07-22T17:21:56Z,1
At home yoga journey has changed my mornings for the best. I feel alive after each session and the few times I have missed a day I just don&#39;t have the same energy throughout the day. Namaste,Steven Smith,2021-05-08T15:30:08Z,0
You are a blessing to this Earth❤️,Alldread Productions,2021-05-03T21:29:51Z,0
"It&#39;s my birthday today 🎂 so that was nice and nourishing, just what I needed 👍😃✌️",VvAaMmPpIiRrEe,2021-04-28T05:38:08Z,0
Getting all the feels of being nourished today 🙂 thank you Adriene x namaste ⭐🙏🦋,Clare Cavalli,2021-04-26T17:47:54Z,0
Hearts 💕,hasanija nadarevic,2021-04-22T17:26:37Z,0
"i cried today. at the beginning and at the end. im not usually a crier (its own problem lol) but i have had wisdom tooth pain all today which has lead to a headache as well, but i told myself i would feel better for showing up for myself this evening. i do. i feel an emotional release. <br /><br />i have commented here only once or twice but after each practice i read the comments and am proud of everyone. those from a year ago and those from now. namaste, thank you all&lt;3",Hufflepuffle,2021-04-18T22:05:45Z,1
Sometimes I underestimate the power of short and slow practices that goes less than 20min but when I do finish them I realize the importance of slowing down . That one made me feel just great,Soup Reality,2021-04-12T10:44:06Z,0
Tz day 58... <br />Ahmmmm yeaahhh Dun n Dusted😉👊😊,Blue Queen,2021-04-01T04:45:22Z,0
Day88 letzz go 2 days to go n dn I&#39;m dun😖🥰😁,Blue Queen,2021-05-05T06:23:54Z,0
I love yooouuu toooo,Azra Aydın,2021-03-28T17:40:35Z,0
"Hey, Adriene can you tell me where you get your mat and what kind it is.",ed hendrix,2021-03-26T23:38:03Z,0
Time to nourish our souls.,Archangel Revelations,2021-03-26T14:34:36Z,1
"Different vibe from you on that one, chill level 1000",Jeremy Richard,2021-03-09T00:34:30Z,1
God is good 🙇 🌟 I shall accepte  and be open to the blessings 💖,Banana Bob,2021-03-03T22:58:05Z,1
I really loved this one. My quads have never stretched like this before. That position got me hella laughing!,C M Huynh,2021-03-02T20:46:39Z,0
"Just about to finish 60 DAYS of yoga in quarantine thanks to gorgeous Adriene, my (distant) friend and I are so thankful and proud!",Karen Killeen,2021-03-02T11:48:48Z,1
thanks Adriane!,Natalia Aránguiz Ibarra,2021-03-01T21:22:55Z,0
I really enjoyed practice today. Namaste ❤️,Lori Romero,2021-02-28T14:48:59Z,0
Doing a daily practice with you since January 2 of this year has opened.both my body and my soul so much Adriene. On day 28 of home I am on day 58 of practice with you and all the others who continued on this yoga journey with me since January. Whether it is with the home journey or one of your other yoga journeys. We are now living life with an openness that years ago we could only dream of. Much appreciation for this practice up to now and as long as I am capable of doing so :) Namaste 🙏,Jacki Siddall,2021-02-28T12:22:44Z,5
"So true ✨ don’t know what I would do without these yoga practices now, they’ve become a beloved part of my day. Sending good vibes out there 💖 and knowing others are in this journey too is so comforting ✨",Charli Wood,2021-02-28T18:17:39Z,1
Thank you for your gift.<br />Namaste 🙏❤️,Stefano Scheggi,2021-02-28T07:10:18Z,2
"Day28. Don&#39;t hate,meditate, Feel great.<br /><br />Yoga with Adrienne.<br />Let&#39;s go.",Blue Queen,2021-02-28T02:38:24Z,5
Beautiful on a sunny Sunday morning 🌱☀️,Serena Schiavo,2021-02-21T07:56:26Z,0
"Adriene, you probably aren&#39;t going to read it, but when you said &quot;I love you&quot; in the end I whishpered &quot;I love you too&quot; out loud, hehe. I wonder if anyone else did.",Diana,2021-02-06T19:59:23Z,1
"how am i supposed to do this when there is loud ass breathing in my ear, btw my teacher forced me here ... FGKJFGFHGH GOD",lol hi,2021-02-04T15:33:51Z,0
You’re the best! I love you! Sending light ♥️,Dayanna Martinez,2021-01-06T03:38:23Z,1
"<b>*Smug post alert!*</b> Today I completed doing yoga every single day of the year! Woo Hoo! You, Adriene, have been in my front room once, sometimes twice, a day since 1st Jan 2020! I&#39;ve done all of your 30-day courses and a ton of random picks too and I feel great! I&#39;ve laughed many times, cried a couple, and I may have sworn at you once or twice whilst holding a pose as you talk about something or other...er, yeah...sorry about that! I did this in conjunction with seeing if I could not drink booze for a year too (Swap one bad habit for a good one) and I bloody succeeded! Hoo rah! Now I know that life is better with a little daily practice and that I don&#39;t really need to be drinking as much booze, if at all. I&#39;m set up nicely for 2021, so thank you so much, and I am looking forward to &#39;Breath&#39; starting tomorrow!",Mark Mathews,2020-12-31T10:40:18Z,6
"@colette welby Oh, thanks so much, Collette! Wishing you well too!",Mark Mathews,2021-03-13T11:50:48Z,0
"Well done Mark, what a transformational year you had and hope all is good in 2021",colette welby,2021-03-13T10:53:57Z,1
"@Elle B Yes, Elle! Brilliant work! A month at a time is the right approach! So pleased for you and I&#39;m rooting for you. Feeling good is the name of the game!",Mark Mathews,2021-02-27T19:48:19Z,1
"An amazing set of accomplishments! You&#39;re also an inspiration. I started 2021 with the goal of daily yoga and not drinking alcohol for one month. Felt good so I tried another month. Still feeling good as February comes to an end, goin&#39; for March now too!",Elle B,2021-02-27T15:42:55Z,0
doing this practice while three large pots of homemade veggie stock simmer away on the stove felt specially appropriate.,yumekai1,2020-12-29T01:05:56Z,1
🙏🙏🙏,Sandra Sunny,2020-12-28T20:09:44Z,0
"I&#39;m so surprised how this journey is already coming to it&#39;s end. How is it day 28 already? This is the first  set of 30days I have been doing actually in 30 days, instead of spread out over a month or 2 (or 3). I&#39;m really enjoying this journey Home. Especially as the crazy year that&#39;s been 2020 is coming to an end, it has felt really suiting and powerful and comforting. So next to feeling really proud for almost finishing this challenge, it&#39;s also making me a little sad that it&#39;s soon to be finished. Practicing at home, but with the love and support I feel from Adriene and everyone in the comment section, has been wonderful &lt;3",Elieska,2020-12-28T09:43:54Z,0
&quot;don&#39;t go to childs pose yet&quot;.. guilty!,Elizabeth Kyer,2020-12-27T13:36:58Z,1
🙏❤ I love you.,sowainternetowa,2020-12-27T10:25:40Z,0
Namaste :),judith martinez,2020-12-17T13:23:44Z,0
Taking a moment of silence for all those &quot;roadblocks I put up to not even receive&quot; ... But thankful that I can be open to new paths :),Erin C,2020-12-16T21:41:37Z,1
"Adriene, I love you ❤️ Thank you for being you 🌸",ana hasan,2020-12-15T13:36:09Z,0
I&#39;m old and developed vertigo today and still doing practice. I do not want to miss a day on my 30 day round 3.,Half Baked Hippie,2020-12-15T01:43:05Z,1
"I love you Adriene, Thankyou x",jennie turner,2020-12-07T18:44:07Z,0
T can&#39;t find words to thank you Adriene you are such a good teacher and person i love you 💗,souha khenifar,2020-12-05T11:22:04Z,1
"So much gratitude for this journey that has accompanied me through the month of November. As the air turns more chilly, it’s been lovely to cozy up with this practice on the journey home. Grateful for the right-sized practices that are achievable before the whirlwind workdays start ... or sometimes are perfect right before bed. Thank you Adriene.🙏🏻🥰🧘🏻‍♀️",Heather Daigle Xu,2020-11-28T15:04:48Z,4
Only two days left!,Emily Beauchamp,2020-11-28T13:52:14Z,2
@L C Awesome!,Emily Beauchamp,2020-11-28T18:28:55Z,0
Yes.  Today was the first day (in 7 years) that I was able to hold both ankles when lying on my abdomen.  Progress!,L C,2020-11-28T16:32:02Z,1
day 321th in books..,Rahul Malik,2020-11-27T02:15:09Z,1
I love the music at the end of the video. Very uplifting 💞,Andi B,2020-11-25T12:16:00Z,1
"Omg day 28, I feel like I was just at day 1 a week ago!",MC Media,2020-11-22T16:10:16Z,1
