comment,id,date,num_likes
It&#39;s Day 10!! Double high fives to you for staying committed to this journey! What can you take from your Day 10 practice out into the world today?,Yoga With Adriene,2020-01-11T14:05:32Z,880
p,Jessica Flynn,2021-04-12T14:16:20Z,0
I got emotional today 🙏,Ana Marquez,2021-02-10T07:21:18Z,0
I love your videos and my dog Kub always joins me too.  I&#39;ve learned that this is yoga &quot;practice&quot; not yoga &quot;perfect&quot; and that good things take time.  I&#39;m so pleased with my progress so far.  My wrists and neck are hurting so much less.  Thanks!,Janice LaPlante,2020-12-09T22:47:51Z,0
Lots of love in; lots of love out ❤️,Rachel Forbes,2020-08-13T13:50:46Z,0
&quot;To stay grounded in love&quot; and really believe in ourselves to have the capacity to do what feels good.,tanuj barla,2020-08-12T17:26:29Z,0
this came out on my birthday. :D,Nicole Mostofa,2021-05-06T15:25:14Z,0
so good for my sore feet!,Margot Leitman,2021-04-29T17:14:54Z,0
I wonder if her saying &quot;defying gravity&quot; is a secret message from one theatre kid to another...,Doruk Coşkun,2021-04-28T05:33:29Z,0
"Loved this one❤️ I was being disturbed by my runny nose multiple noses, but I continued and made it all the way😊. Wonderful practice💕 See you tomorrow. Namaste🙏",Eliška Č,2021-04-26T05:49:53Z,0
Donee❤❤🙏🤸‍♀️,Maria Rodrigues,2021-04-23T08:56:40Z,0
Ok I am going to ground with my yoga mat.,Archangel Revelations,2021-04-21T00:57:43Z,1
"Adrienne, you have been a driving force for this transformation in my life. This is the second thirty day challenge I am doing with you after two weeks of the basics. I am seeing so much change in my mind and body and your light and fun personality is a major reason I come back everyday. Thank you so much for your teachings. Namaste",Steven Smith,2021-04-19T15:41:50Z,0
it&#39;s like she knows I am holding my breath O_O,Palmira Errico,2021-04-17T22:58:27Z,0
"Good Morning Yoga 🧘‍♀️ for me! It’s day 10 just loving my daily morning practice with YWA. This time practice I am curious with the meaning of DP he’d practice, if you have some times would you please help me to understand what is this means? Thank you so much Adriene 🙏🥰",Putu Mini,2021-04-12T05:21:45Z,0
Day 10 funny it&#39;s called ground today as I didn&#39;t touch it once with my hands🤨 I have a sore back so this gave it a bit of a stretch 👍😀✌️,VvAaMmPpIiRrEe,2021-04-10T08:41:11Z,0
"Great instructor, however there is more talking thank yoga :(",Ruth Steel,2021-04-04T10:32:16Z,1
"You’re amazing 🤩 Thanks to you a found the way I like to move my body, despite the fact I used to be ‘lazy person’, I’m really grateful for that ❤️ You’re helping me feel good again both physically and mentally.",CheeryCatify,2021-03-30T11:46:50Z,0
I did my yoga outside in my backyard today.  What perfect timing for grounding.  Synchronicity at work.,Sonja McDanel,2021-03-27T15:33:10Z,0
