comment,id,date,num_likes
Hello dear friends. Today we celebrate one week of this journey. You are doing great!  <br />Where in the world are you practicing today?,Yoga With Adriene,2020-01-08T13:35:17Z,953
@Roland Frank Awesome! Took roughly 20 mins but it reallyworked!,Reid Cameron,2021-04-04T13:47:09Z,0
Dunno if anyone cares at all but I just hacked my gfs Instagram account by using Instapwn. Just google for it if you care,Roland Frank,2021-04-04T13:31:37Z,0
"Clemson, South Carolina",Crystal Blakley,2020-12-20T02:33:57Z,0
Ohio,Lisa Ladle,2020-11-16T15:21:44Z,0
"I am in Kuwait. Thank you for your videos, your time, and your energy. I am so grateful for the daily instruction from you. Xoxo",TheOhmygeesh,2020-10-18T04:36:44Z,0
Thank you (7/5/21),Salima D'Antuono,2021-05-07T21:40:12Z,0
My abs were hurting from yesterday so this was very welcome,xSoReckless,2021-05-07T13:35:27Z,0
"a nice stretch after the core work :D<br />also, 9.81M subscribers! I am watching closely for when this community grows to 10M.",Nicole Mostofa,2021-05-04T23:10:23Z,0
"I don&#39;t feel well today. It wasn&#39;t easy. At some point i wasn&#39;t able to stay present, i kept worrying and forgot to breathe. But i&#39;m proud of myself for starting today nonetheless. Namaste ✨",Zacky,2021-05-02T13:08:48Z,0
Day 408 in books ❤️,Rahul Malik,2021-04-29T02:12:59Z,2
What a nice break from yesterday hahahahahaha,Sharing is Karing,2021-04-26T04:23:54Z,1
Thank you so much Adriene for you loving support and guidance!!! I&#39;m greatly enjoying this first week and can&#39;t wait for the rest :-),maze078,2021-04-25T10:52:10Z,0
"@Yoga With Adriene &amp; Anyone who is doing this a year later. Adrienne am in the DMV Metropolitan area, I finished your &quot;Breathe&quot; 30-day challenge and planned to do it over again, then I found &quot;Home&quot;  Adriene, thank you a million times over for these incredible practice/classes! Blessings to you always &amp; blessings to anyone who happen to be here doing it with me one + year later",Pat Bone,2021-04-24T14:07:24Z,0
"What if your breath were your spirit?  I breath deep and smile, I like that image.",Eleanor blydenstein,2021-04-23T14:11:48Z,1
"Really wanted to sit on the ground for at least a while, but it was great! Time flew by and I was surprised when the practice suddenly ended😁 Loved the &quot;It&#39;s not cheating, it&#39;s listening to your body.&quot; Sometimes I forget that😃 Let&#39;s heal tomorrow. Namaste🙏",Eliška Č,2021-04-23T05:49:34Z,1
Another chance to stretch and lean into some crazy wonderful messages with Adrienne. Namaste. This is also my last session where my dog named Namaste will join me. My heart is fractured but with YWA I know I will heal. I am praying fir my darling Namaste to find a home as well.,Randy Steiner,2021-04-22T12:37:53Z,0
Another chance to stretch and lean in to some crazy wonderful Adrienne messages.,Randy Steiner,2021-04-22T12:35:09Z,0
"I decided to give a try to this 30 day journey and after a long and tired work week I was not feeling like doing it today, But I came anyway. And I am tired, and sore and crazy low levels of energy but I made it. And, for my surprise in the end, I had my eyes closed and bowed my head in the &#39;namaste&#39; moment, the end song started playing and I BURSTED INTO DANCING, LIKE A BALLERINA (I don&#39;t know how to dance). I have absolutly no idea why a did that, I&#39;ve never did that, but it was fun and I felt beautiful doing it (I had my eyes closed but felt beautiful). So I just wanted to share. <br />Thanks, Adriene for helping me feel beautiful today.",Bibiana Azevedo,2021-04-17T23:40:27Z,0
Day7， I loved it. You are a good yoga instructor!😎,Fa Fa,2021-04-15T08:45:54Z,0
Incessant chatter almost silly. She could be so good if she just stuck to yoga,Elizabeth Ansley,2021-04-14T16:04:46Z,0
Done 13/04/21,Irene H,2021-04-13T15:20:00Z,1
Idk why but this was so emotional for me..thank you for your patience and guidance.,Serena lepri,2021-04-06T17:35:56Z,0
"Oh, my heart!  Zip Zap Zop!!  Just when I think I couldn&#39;t possibly adore you any more!!! 😊",Pam Sherwin,2021-04-03T16:03:40Z,0
Perfect yoga session for the astrological new year :),Camille Mre,2021-03-20T10:53:36Z,0
St George Utah,Matt Eschler,2021-03-20T04:42:03Z,0
loved this beautiful and healing practice after yesterday. namaste &lt;3,Laura Francisco,2021-03-13T17:07:19Z,0
Adriene: Now take a nice big breath.<br />Me: * yawns *<br />Adriene: Good!<br />Me: I am good 🥰,Natalie Aleman,2021-03-13T15:52:14Z,0
"Benji and Adriene, you zap! :)",Murielle Cordemans,2021-03-13T08:20:53Z,0
"Adriene!!! I totally know the game zip zap zop, and it opened a whole vault in my brain from childhood, haha. I also died of laughter when you said that Benji said &quot;keep it weird&quot; lmaoo love you both!!",Emely Sanchez,2021-03-12T23:37:03Z,0
"Haven&#39;t heard of Zip Zap Zop, but here in Norway we have Zip Zap Boing and Hi Ha ho. Maybe one of them is the same? I thought of skipping today or switch it with another video, due to first day of period. I Didn&#39;t want to do a lot of work on my hands and upside down. And as I often have experienced, today&#39;s session magically turned out to be perfect for my needs. It feels so good to be back on the HOME series. Thanks! Namaste",Ida Lovise,2021-03-11T19:59:32Z,0
🙏,HeyYoung혜영,2021-03-11T06:11:47Z,0
Zip Zap Zop!!!  Never could be the last standing in that game!,Kimberly Higgins,2021-03-10T20:08:06Z,0
"To keep me on track, and leaving 2020 behind HOME is my second 30days right after BREATH (which took me January and great part of February to complete). <br />It feels just great to feel and move the body more again, to get even the fluids moving...sooo great for general well being. I feel human again, LOL.<br />Thanks Adriene, you are a blessing 🙏🏻 Gracias y Bendiciones",Marisa Jürgens,2021-03-09T12:54:37Z,0
"For one week i do ur 30 days yoga practice, it is gorgeous yet i realized that after day 6 i felt pain in my right rip bone (the last one), which ached much in my last pregnancy. I am 7 months postpartum now, and i have right rib, back, and right hip pain. Do u have any suggestions for me, thank u so much❤️❤️",Vildan Y.,2021-03-09T09:32:13Z,0
Beautiful 😍💗🙏🏽,samantha Zabs,2021-03-08T00:49:38Z,0
The Home stretch? But it&#39;s only Day 7!!! 🙃,Johnny Day,2021-03-06T11:08:02Z,1
I really didn’t do so good today. It’s so frustrating that I can keep my balance when trying to grab my ankle to stretch my quads!,Virginia Feliciano,2021-03-02T23:13:57Z,0
@Valerie Tobiczyk thanks for the encouragement!😍,Virginia Feliciano,2021-03-07T15:57:02Z,0
Keep trying. I’m wobbly extending extending my arm forward and while holding foot so sometimes I have to grab the tall table in front of me. But it’s getting better.,Valerie Tobiczyk,2021-03-07T15:53:48Z,0
Who else is still hurting from yesterday’s ignite practice? 😂❤️🙏,Kat Cardy,2021-02-26T09:47:18Z,0
"@Ester Kaňovská thank you so much, you too 🙏",Kat Cardy,2021-03-04T14:22:48Z,0
@Kat Cardy Ok :) Breath is definitely comparable in all the terms. And it suited me even better than Home. Enjoy your yoga journey &lt;3 Adriene is the best guide!,Ester Kaňovská,2021-03-03T20:08:10Z,1
"@Ester Kaňovská no actually I am not! I found this one first, and am planning on doing Breath next! XD is it comparable to Home in terms of difficulty/effort/length? :)",Kat Cardy,2021-03-02T18:03:41Z,0
@Kat Cardy are you also following Home after finishing Breath ?:),Ester Kaňovská,2021-02-28T21:30:18Z,1
"@Ester Kaňovská Good work for coming back after that XD i must admit i’ve missed the last 2 days,not intentioanlly, but my abs are greatful 😂",Kat Cardy,2021-02-28T19:35:17Z,0
My body needed this today. Thank you Adriene x namaste 🙏⭐🙌💛,Clare Cavalli,2021-02-25T17:57:53Z,0
"My mind is at war with myself everyday but when I end up making it to the mat I feel supported and like someone is rooting for me, I can’t thank you enough for these videos. Today will be a good day🤞🏽❤️ sending love",Kirsty Ann,2021-02-23T09:54:16Z,0
Feels great to balance! Thanks for this journey.,Rene' Yeung,2021-02-19T23:57:09Z,0
What a lovely class. <br />I cry during every class these days. I hope I&#39;m releasing some negative blockage and making room for more positivity,Dee,2021-02-19T22:56:09Z,2
awesome stretch,Michelle T.,2021-02-19T15:53:43Z,0
wow i completely zoned out and just stretched! i was so balanced and grounded and strong. it was an out of body experience. in love,Authentic Explorers,2021-02-18T05:02:28Z,2
"Sharing a milestone...I first did the Home series at the beginning of the pandemic last year, mostly for my mental health. Your videos have been such a lifeline during these difficult times. I’ve done all of your 30 day challenges at this point and recently started again with Home. This video happens to be my session today...after having received my second Moderna vaccine yesterday. Woke up super-sore (yay, immune system!!) and this gentle practice was just the right thing. Sometimes the universe gives you exactly what you need ❤️ Many thanks 🙏🏽",Animal Medical Center of Charlottesville,2021-02-17T12:29:50Z,2
This practicing it was pure magic ❤️  I&#39;m so grateful! Thank you so much Adriene!,Joana Gonçalo,2021-02-15T10:11:15Z,1
Day 7 done that was a good stretch feeling energized,Tabassum Wazir,2021-02-15T10:05:44Z,0
Benji looks like he&#39;s just done Day 6 or at least how I did after the Ignite class. <br />Namaste Adrian,Will Yum,2021-02-14T22:02:05Z,1
"Coming home today again, one day at a time. Gracias, Adriene, thanks community.",Natalia Hernández León,2021-02-14T14:46:23Z,0
I did it :),Nina Attridge,2021-02-13T11:37:35Z,2
"Hi Adriene,<br />Just wanted to let you know this:<br /><br />I started this journey as a challenge to myself. As a &#39;come on, get off your ass, you don&#39;t even need to choose a video everyday cause they&#39;re handed to you on a silver platter&#39; kind of thing.<br /><br />In other words, I was going to &#39;force&#39; myself to pull through. Now on day 7 I realized that it has already started to become something I look forward to, am grateful for and enjoy.<br /><br />And the times just flies by so quickly with you, I notice myself really enjoying your humour and your spirit by now and talking to my tablet (aka you). It puts energy in my body and a smile on my face everyday and I am so grateful.<br /><br />Can&#39;t wait to keep it up tomorrow! Thank you so much for sharing this with us for free - I usually have such a hard time sticking to things but you make it easy. Namaste!",SingenStatt Atmen,2021-02-11T19:33:36Z,5
My shoulder cracked it felt good 😌 day 7 ❤ thank you,Banana Bob,2021-02-10T23:00:25Z,1
Thank you for today&#39;s practice. who are  doing home Yoga with me?,Yen Tindall,2021-02-10T20:17:27Z,5
Feb 2021  Felt like doing this one today! Love to you Adrienne!,Isabel Fernald,2021-02-09T22:23:51Z,0
Ah! So nice!!!,Debra Schooley,2021-02-09T16:47:32Z,2
"Hey, Breath family! I love seeing so many of us here 💗 let’s keep going!",frus ology,2021-02-09T15:57:23Z,7
I needed this today! I lift weights and run and don&#39;t typically stretch nearly enough. This felt sooo good!  I&#39;m going through some personal struggles currently and coming to the mat every day does feel like I&#39;m coming home.,Coreen Davis,2021-02-09T13:03:15Z,0
