comment,id,date,num_likes
Hello dear friends! Today we explore unconditional love - starting with ourselves. How are you feeling after this sweet Yoga Kiss? x,Yoga With Adriene,2020-02-02T12:06:21Z,809
Feeling awesome ❤️,562love,2021-02-28T05:04:38Z,0
"Thank you Adriene, feeling awesome!",Elvira Byrnes,2021-02-27T18:15:16Z,0
I feel blissed out and totally grounded. What a beautiful practice. Thank you! Almost done the Bridge February series! :),Julia Waller,2021-02-27T15:06:31Z,0
"I enjoy the longer practices but boat is just a struggle, have been doing yoga for about 3 years now, and still struggle with boat!!! Good core work though. 😍",Isabel Kimble,2021-02-25T16:32:33Z,0
"This flow was lovely, thank you!",Kaileen Marie,2020-12-31T20:18:38Z,0
Thank you Adriene and Benji! You always bring me back. Ahhhhhhh...... And your sweet &#39;n sassy sense of humour is the cherry on top. With much love and gratitude XO,Jessica Atkinson,2021-04-28T15:28:41Z,0
I love you,روابي عبدالله,2021-04-24T16:47:56Z,0
This was a really helpful session - going a bit deeper and a bit more thoughtfully on some old familiar moves. Always good to be invited to reconsider and remember with humility.,Rebecca Ritchie-Timms,2021-04-22T17:59:09Z,0
Beautiful practice❤️thank you and lots of 😘😘😘😘😘😘,Iza Ruebenbauer,2021-04-17T16:25:47Z,0
Always a good one. Thank you Adriene.,Katharine Vincent,2021-04-07T14:23:54Z,0
My sweet little dog wanted to support my back in boat pose by sitting behind me😂💞🐶,Nela Janigová,2021-04-05T11:40:27Z,0
Thank you! You kept me sane thru the pandemic.,Kent L,2021-04-03T23:47:40Z,0
I practiced with you - my kittens practiced with Benjy,J&G Network,2021-03-29T21:25:17Z,0
So relaxing thanks,Rebecca Beckett,2021-03-21T16:24:08Z,0
This has just done me the world of good.  A day working from home at the dining table and my back was done in.  Thanks Adrienne.  I started with you one year ago and I think we’re mates for life!,Lynn Manning,2021-03-16T17:57:11Z,0
"This just didn&#39;t vibe with me. I left the mat feeling worse than before I started the practice. I felt frustrated and defeated by things I&#39;ve done plenty of times before in YWA practices. Basically sobbing right now, and I have no clue why this video brought that on. Couldn&#39;t find that unconditional self love she talked about today.",Leslie,2021-03-14T22:50:13Z,0
"These monthly playlists are such an awesome way to rediscover your past videos and experience new things no matter how long ago these videos are made, just shows how revelatory truth is. Thanks Adriene and YWA Team.",Lawrence Seiji Abbott,2021-03-08T18:31:34Z,0
