comment,id,date,num_likes
Hello sweet friends. We are nearing the end of our journey - only three practices left! How are you feeling after your Day 27 practice?,Yoga With Adriene,2020-01-28T13:54:10Z,476
"@Mustafa Langston Yea, I&#39;ve been using Flixzone for years myself =)",Joseph Raphael,2021-05-09T05:36:50Z,0
A trick : watch movies on Flixzone. I&#39;ve been using them for watching loads of movies recently.,Mustafa Langston,2021-05-09T05:25:18Z,0
Loved and loving &lt;3 Thank you soosoo much,Murielle Cordemans,2021-04-02T06:54:30Z,0
Awesome! That was difficult...and I was able to do it! Thinking to myself &quot;I am strong and I love this practice!&quot; all the way through it and for the rest of this day. Thank you!,j,2021-03-17T16:23:59Z,0
Just thank you so much I&#39;m so glad I found you and yoga 💕,Carol Kolimbarides,2021-02-17T19:11:36Z,0
This was so good,Hazal Baytore,2021-04-29T21:45:12Z,0
Wonderful 😄 thank you Adriene x namaste 🙌🦋🙏⭐,Clare Cavalli,2021-04-25T15:47:11Z,0
I took my first in-person yoga class yesterday and I was nervoussssss! But I was well prepared and it was all thanks to Adriene who is a lovely teacher. Thank you for sharing your wisdom.,Taylor Wade,2021-04-23T19:14:53Z,0
i’ve only been doing this for a few days and adriene has already changed my perspective on myself and my life i’m literally in love with you miss,dahlia,2021-04-01T18:59:11Z,1
Day57... dude 2 more dayz b4 day60... 😊😆yaayyyaa,Blue Queen,2021-03-31T03:22:49Z,1
Day87 IV BEEN SOOOO LAZZZYY TIRED TODAY.. BUHH HEY IM KINDA MOTIVATED RN... SOO LETZZ GO,Blue Queen,2021-05-04T07:07:45Z,0
Love this flow,Stephanie x,2021-03-27T09:35:35Z,0
Thank you for this wonderful practice this morning!,Rene' Yeung,2021-03-26T15:56:32Z,0
It&#39;s time to integrate a little more awareness into my life and do some yoga.,Archangel Revelations,2021-03-25T14:56:42Z,0
Wonderful A. Thanks!,Vin Dom,2021-03-11T04:04:06Z,0
"Wonderful practice to demonstrate how much stronger I am in body, soul and mind as I navigated the practice around my 5 year old grandson today :)",Debra Schooley,2021-03-06T16:09:48Z,0
"INTEGRATE movement <br />As a way of nourishing <br />Mind, body and heart",Dee.Romano,2021-03-02T15:25:27Z,0
"After Breathe, I did a couple of Bridge sessions, before heading into Home - so almost 2 straight months of daily Yoga with Adriene.  Which playlist/course do you recommend I do next?",Annie Fox,2021-02-28T10:13:11Z,0
"Very nearly skipped today, SO glad I didn’t 🧘‍♀️✨💖",Charli Wood,2021-02-27T18:57:03Z,0
I am feeling emotional after this 27 day journey. Not in a bad way. I am so glad I have decided to integrate daily yoga into my practice with Adriene. This is my 57th day straight of yoga with just Adriene. I am glad and grateful for this opportunity to journey into a better version of myself.  Loving myself and remembering to breath. ❤🧘‍♀️,Jacki Siddall,2021-02-27T09:19:59Z,3
@Sasha Alexandra Nemeckova she has a series called 30 days of yoga... it was her original 30 day from 2015,Jacki Siddall,2021-02-27T21:58:36Z,0
"Which one are you doing next? I&#39;m going back in time one year at a time, so it&#39;s Dedicate for me 🧘🏻‍♀️",Sasha Alexandra Nemeckova,2021-02-27T21:18:13Z,0
I am doing the 30 days of yoga series... and if I calculated it right It should start March 3rd be done april 1st and I start the next 30 day on April 2nd and end May 1st,Jacki Siddall,2021-02-27T20:53:03Z,1
"Yes! Me, too. Already stressing about which 30 day challenge to do next....and when to finish off this one, in a 28 day month! HA!",Leigh Shemaria,2021-02-27T20:18:28Z,0
Another 57 dayer here. Sending all the ❤️,Sasha Alexandra Nemeckova,2021-02-27T17:09:09Z,0
Nawgh day27 baby. Oh man I&#39;m Soo proud of myself. 2 dayz to go before the end mark n the  beginning of the restart.🤗😊👊💯💯,Blue Queen,2021-02-26T23:29:29Z,1
"Do you ever have one of those moments where you said something awkward, and then keep replaying that cringeworthy moment over and over in your head for hours or days? I&#39;ve been experiencing that for the past 48 hours, and this practice finally let me unlock that blockage and release it. Ahhhhh.... Thank you Adriene and YWA friends &lt;3",Elle B,2021-02-26T13:31:16Z,2
I love that feeling!!!,Katherine Clark,2021-03-21T18:12:19Z,0
omg i laughed OUT LOUD when benji wouldn’t let her take his paw haha so cute,Lua,2021-02-08T17:53:41Z,1
