comment,id,date,num_likes
"I invite you to contemplate what it feels like to be courageous this week, finding ways to carve out the time to show up for yourself and for others, as well as honoring that pause. <br />A pause to sit up tall, to anchor in the breath, a pause that allows you to respond from a true place, rather than just react. <br /><br />The courage to show up. That is where it starts.<br />And it starts with you.<br />And me too. <br />I’ll see you on the mat.",Yoga With Adriene,2020-06-07T12:26:04Z,829
"Not sure if courage is what I need.  I&#39;m physically a wreck, sciatic,and fibromyalgia pain constant 7-10 😪.  Mental status just as bad.  But Adriene always knows what I need so if she says it&#39;s courage,  so be it...something tells me I&#39;m going to cry at some point.",dawnangel1966,2021-04-08T14:57:02Z,0
@nofirstname nolastname hi. Whilst I agree that Adrienne yoga classes are excellent. She is not medically qualified to give you specific classes that will provide the treatment for your back. Have you visited an osteopath or physiotherapist or even your doctor?  Best wishes for a positive outcome. 🙏,78fisguard,2021-04-08T06:01:57Z,0
Thanks so much!❤️,Theo Huioiesin,2020-10-10T13:13:27Z,0
"Thank you, Adriene!  Iʻm so grateful to have you in my life :)",Mia Pereira,2020-10-08T17:47:20Z,0
"That was absolutely brilliant - I feel fierce and ready for this day!  Thank you and the longer the better bahahahahhaha!  I was laughing out loud with you!  Day 8 <a href=""http://www.youtube.com/results?search_query=%23ywaaction"">#ywaACTION</a>, Day 403 of daily practice with you!  Namaste &amp; Peace ~",Tamiah Johnston,2020-10-08T13:47:45Z,0
"This is my favorite practice in YWA so far. I do it at least twice each week and it has really made me stronger. Love it. Thank you, Adriene, for building strength, confidence and courage for this community. Peace, Benji!",Stacy Lynn,2021-05-07T13:51:32Z,0
Thank you for another great practice!! Your awesome.,Michelle Bowen,2021-04-30T11:45:01Z,0
This was a really good one!,Moon Maiden Healing,2021-04-30T00:08:56Z,0
"I’m a little behind on these for April cause I was traveling and stuff and took a few days off but I woke up and did a sacral chakra meditation today and then decided to do yoga first thing this morning. This is the one that was next for me and you just happened to be wearing orange so I was like cool, still right on track. I started doing this and about halfway through I touched the screen to see how much time was left and there was still about 14 minutes so I debated with myself whether or not I had enough energy yet to finish it or if I wanted to pause it and finish it later cause I was just feeling kinda blah while doing it. Anyways, I ended up pushing through and just doing it till the end and now I feel great. It’s funny what we tell ourselves while in the middle of things even though deep down we know that pushing through is way more rewarding than giving up and picking up where we left off and completing something later. Thanks for being there with me through my internal debates and being consistent even when I’m not. You rock Adrienne.",Hannah Faith,2021-04-23T21:43:38Z,0
"I love you Adrienne. Thank you for helping me and many others turn their life around. Not just by the yoga practice, but by talking to us, encouraging us. Especially during this period of isolation. I’m in tears. Really appreciate you. You deserve all the blessings in the world",Tala Paints,2021-04-23T14:01:04Z,0
Vinaka &gt;&gt;O&lt;&lt; So good,Daniel Weetman,2021-04-23T02:56:37Z,0
The longer the better,Giorgi Sakvarelidze,2021-04-22T19:11:42Z,0
I am a long time gym rat.  Your videos have gotten me through the pandemic while our local gym has been closed. Thank you!,latka681,2021-04-22T10:54:36Z,0
Lovely!,Kay Snikpoh,2021-04-22T10:00:23Z,0
Thank you - from me and my cat :)   she recognizes your voice when I start the video and heads to the mat!,Kelly Perry,2021-04-21T11:09:06Z,0
"I feel like you always give me just the right encouragement for the day. I appreciate your thoughts and classes. Could not have made it through this isolated time without you, thanks!",Wendy Morris,2021-04-18T17:15:13Z,0
"Thank you so much for this practice! I feel great! Sending love, peace, and courage to all who read this!😊✌☮🌠✨⭐💜❤💙🧡💛💚",Jax Skal,2021-04-18T16:08:15Z,0
"Thanks again, Adriene -was feeling a bit nervous about this one but I really enjoyed it and as ever feel fab after it. Sun is shining -time to go see the sea! Xxoo",Mary Burgess,2021-04-17T11:33:24Z,0
Can anyone explain to me why I always start yawning and get watery eyes at the beginning of a yoga session?,Janne Elens,2021-04-16T10:50:39Z,0
Loved today’s practice! Thank you!,Pia Albinsson,2021-04-16T10:12:10Z,0
"Should I be sad about how often I search for a yoga for... mood swings, grief, depression, calm, etc?  In any case, I&#39;m super grateful that so many of these types of practices exist - for myself, and for all of you beautiful humans who need a lift, a boost, encouragement,  and a huge community that supports you/us.  Allow yourself to feel all the feelings, they are real but they don&#39;t need to rule you. Thank you for indulging me. Love and Namaste!",JnJ Esco,2021-04-14T22:20:35Z,0
"everyone can use a little courage everyday 🤍 thank you, Adriene!! Namaste ✨",Aaliyah Alexander,2021-04-14T01:05:33Z,0
Super cool. 👍 Thank you 😊,Alisonhilaryco,2021-04-14T00:45:55Z,0
This has quickly become one of my favorites!,Wyoma Smith,2021-04-13T11:34:52Z,0
