comment,id,date,num_likes
Hello sweet friends! Where are you practicing from today? Let&#39;s check in!,Yoga With Adriene,2020-09-16T15:52:25Z,175
"♥️ Swellendam, South Africa",Janene Steenkamp,2021-04-29T16:59:08Z,0
@Kaida What a wonderful country~!!! Cok guzel~!!!,Patrick T. Randolph,2021-04-16T14:39:36Z,1
Turkey👋🏽,Kaida,2021-04-16T08:09:52Z,1
"Lincoln, NE :-)))))",Patrick T. Randolph,2021-03-05T06:01:04Z,0
@Sablelyn and dont ping me,RAYMOND ZENG,2021-01-12T15:30:32Z,0
Thanks so much for this sweet but short little yoga practice.,Carolyn Long,2021-05-04T21:13:51Z,0
This is stopid,Chase Repka,2021-04-28T18:07:02Z,0
Adriene you are a life saver or in persian ; خییییلی خفن بود 💙😃🎉,Maryam Nazar,2021-04-11T16:21:47Z,0
💖💖💖,Sushrusha Aryal,2021-04-11T02:07:54Z,0
THIS SUCKS WHAT THE I HAVE TO DO ONLINE SCHOOL  AND DO THIS SHIT WTF,Savage Games,2021-04-06T15:15:04Z,1
"&quot;Luckily, the ground is always there to catch you&quot;. HA! Never thought of it that way before!",S L-R,2021-03-31T15:51:24Z,1
"Honestly I&#39;m trying so hard to achieve my dream...n yesterday was full of devastating n self doubts..bt today while doing airplane pose I literally whispering I can do it, I can crack it...after doing yoga my heart ❤️ is full of positivity now<br />THANK YOU SO MUCH ADRIENE.. lots of love 💕😘",nilima sutar,2021-03-28T04:09:51Z,1
I like this yoga PE,Malaysia Drake,2021-03-25T23:31:06Z,0
"I love how it kind of look like on <a href=""https://www.youtube.com/watch?v=H0ZqRJWd_sg&amp;t=3m42s"">3:42</a> she was doing the Naruto run.",Connor Santos,2021-03-22T17:37:26Z,0
"Thanks, Adriene~! Our little one joined again today!!! Her tree pose was GREAT . . . falling creativity and all~!!!!!",Patrick T. Randolph,2021-03-19T05:26:32Z,1
I&#39;m 28 and I loved the airplane mode. My wife didnt tho hahahahahaha,NotoriousJASS,2021-03-16T18:40:13Z,0
That was fun.,Pakislav,2021-03-13T12:07:41Z,0
who is here for online school LMAO,ITZ_TINY_GIANT_2.0,2021-03-11T20:22:19Z,0
Thank you so much that was fun,Emily Graham,2021-03-05T09:08:40Z,0
"Thanks, Adriene! These short ones are wonderfully fun!",Patrick T. Randolph,2021-03-05T07:41:59Z,1
England London Thanks Adrienne,Benjamin McHugh,2021-03-03T12:31:53Z,0
Everyone: I love the aeroplane even though im like 20<br />Me: I&#39;m not even 10.... lol,George Kadi,2021-03-01T12:26:52Z,0
"This was exactly what I needed this morning! I did the Breath yoga journey in January and I decided I wanted to switch every couple months what I was doing in the mornings. So I have started dance fitness in February. I realized a couple days ago I wasn&#39;t feeling as happy, strong, flexibility, and like I was &quot;losing my breath&quot;. I realized I missed yoga! I decided I was just going to do different yoga challenges each month. So this month I finishing off with yoga. I am a dancer, and I love to dance. But I think I need yoga in the mornings and I can dance in the evenings/weekends. <br /><br />The fun and child like atmosphere really renewed my spirit today. I love zooming around like an airplane (and going slow too), and grabbing sunshine and clouds out of the sky, making dog noises and shaking my tail, and having my branches grow and leaves fall. The imagery today was amazingly beautiful and I could help but smile and laugh and play this morning!",Melanie H,2021-02-17T13:12:58Z,0
What a lovely practise &lt;3,Linda Leith,2021-02-16T22:19:11Z,0
🙏,Emma Carlsson,2021-02-13T18:46:50Z,0
What is the first Yoga PE I should do with my class or suggest for elementary students. Ty,Ellen Meixsell,2021-02-02T14:03:10Z,0
me: doing the airplane like Adriene<br />my neighboor cleaning the snow off his lawn facing my window: what the hell????,Roxanne Franco,2021-02-02T13:40:59Z,0
"Thank you for this! This will help me in my P.E class and our lesson in pe class is about yoga,our teacher said we need to practice 3 yoga pose and present it right now after recess so Im exited 😃",[° Itz_Bow_Gacha°],2021-02-02T02:37:21Z,0
Thank you💚💚,jcarlos,2021-01-31T18:39:37Z,0
Who else didn&#39;t do any of this-,ursintub,2021-01-28T11:58:55Z,0
Thank you !,Coi Lemard,2021-01-26T06:58:04Z,0
"From Luna, my 7y daughter: this was fun❤❤❤❤❤😍😍😍😍😍👩👩",Alycia Leiby,2021-01-24T16:26:25Z,0
"I&#39;m 11 and at home doing online school, this motivated me lots, I&#39;ve started doing these everyday",Chloe Shepherd,2021-01-20T10:14:44Z,1
"Thank you for this, it brings me together with friends &amp; family in a healthy way. Love the short videos &amp; Benji!",Meli Miller,2021-01-20T03:35:28Z,0
Bad,daboss daboss,2021-01-14T12:09:38Z,1
I&#39;m not even a teenager- Anyone else?,• sxphuu •,2021-01-12T19:30:34Z,1
"I’m 21 and I did this this morning, and I imagined baby Cheyenne doing this practice and giggling, it was quite sweet and I feel very happy right now. Thank you for reminding me to honor the sweet child within ❤️",Cheyenne Isaac,2021-01-12T15:06:07Z,0
When I did plan I was faster then Mater from cars,Mist 19 19,2021-01-12T12:21:57Z,0
I have to do this for school,Mist 19 19,2021-01-12T12:21:05Z,0
"I don&#39;t know who loved this more, me or my high school students -- thank you, this made our mindfulness practices so fun!",Josh Ardis,2021-01-05T15:42:14Z,0
"I love they way you described tree, the branches, and the falling leaves. So creative and makes the practice fun. Thanks! (am practicing from Nashville, TN)",SongwriterGirl1,2021-01-01T15:08:25Z,0
