comment,id,date,num_likes
"Dear friends, let&#39;s welcome in the new year together. Are you IN?",Yoga With Adriene,2020-12-13T15:38:05Z,2595
"I just finished this wonderful 30 day journey and really enjoyed it and learned from it.  I&#39;m going to redo this journey as I really felt the benefit of daily practice and I&#39;ve started on another journey of running, am training for a marathon in November, its a mind marathon challenge where we strenghten our minds to make our body strong to complete the marathon.  I have found that my yoga practice has really helped with the running as I haven&#39;t ran in over 10 years due to back and hip injuries.  Now I feel strong and ready to take on a marathon challenge in my 50th year so thank you Adriene for your continued presence in my life with daily yoga practice and giving me the courage to take on something totally out of my comfort zone.  See you on the mat.  Love to Benji, my own dog Alfie joins me daily",Maura Hennessy,2021-03-25T08:49:07Z,0
Yes with you totally❤️🙏🏾,Daya Karmacharya,2021-02-23T16:13:30Z,0
Yes. :),Ann Wycoff,2021-01-30T19:11:04Z,0
Yes lm in,Radha Raju,2021-01-25T15:39:55Z,0
Yes!!!,Denise Reed,2021-01-20T13:07:52Z,0
Doing this in May!! So excited to do this. Day 1: May 1st :) Will be back and update.,Monica Summer,2021-05-01T15:25:11Z,0
I have tried to sign up for the 30 day challenge but the link does not work,Sandra Sparrowhawk,2021-04-24T17:50:55Z,0
"Dear Adriene, a very big thanks to you for this journey. I haven&#39;t been able to attend yoga classes for some time, and a friend reminded me of your channel, so I came back to where a lot of my journey began. It was a great experience, so simple, so pure and so powerful... I have just completed the 30 days and now going deeper on my own home journey in nature. Thank you, keep doing what you do",Mike Parry,2021-04-20T14:27:07Z,0
in,Faith Jones,2021-04-18T17:11:42Z,0
Thank You*<b>******</b>,brook samuel,2021-04-14T12:55:11Z,0
Would this be appropriate to do with my 11 year old son? Neither of us have done any yoga and are beginners. 🌻💛,Littlebee215,2021-04-10T14:54:35Z,0
"As my town has been in lockdown for pretty much a year (give or take a month or two) I&#39;ve not seen any friends in person for over a year, no routine, no freedom and fresh air and SO MUCH SITTING cooped up in one room- it has taken its toll physically and mentally. I remember the last time i felt good was when i was doing yoga daily, and this popped up on my recommendeds. Thank you! I know I&#39;m a few months late to this particular party but I am here now and I can&#39;t wait to start feeling human again.",I'm Tash,2021-04-03T17:18:37Z,0
A little bit late - but I am IN! Starting today x,Annemarie Henson,2021-04-02T18:10:16Z,0
"Just started this challenge today, and omg congrats Adriene, love the new studio! No more squeaky floors! :p",Dhanushree Pandya,2021-04-01T19:12:40Z,0
I&#39;m 3 months late but im getting to this challenge with aa positive mindset,Nanyonga Jackline Peace,2021-03-31T13:18:36Z,0
"I am in, starting today &lt;3",Lyra Love,2021-03-30T09:24:46Z,0
🙏❤️,Clare Lora,2021-03-14T05:02:41Z,0
Thank you thank you thank you 🙏🏼,I Altintas,2021-03-13T20:59:19Z,0
"Dear community and Adriene, can I also start with NO yoga experience (did a couple of sessions in my life but never a full course etc).",Katharina Katell,2021-03-11T16:37:40Z,0
I can&#39;t wait to start this i am a late commer who recently brought a yoga swing because of back pain then i found you adrian so i will be starting TOMMORROW i am a beginner what brought me here is a better quality of life without pain thank you for sharing with us your teachings and learnings as every other app i found wants money i dont want to be in a community based on money i want it based on the health of the next person💚💛💯🥰,Tracy Gaffney,2021-03-09T01:38:12Z,0
"I&#39;m starting a bit late, but I&#39;m here 💗 thank you Adriene",Darla Contessa,2021-03-08T10:34:18Z,0
"hi, i&#39;m new in yoga. very new. Is it okay if I join this Journey? or any other video suggestions for me to follow to get started with yoga? thx",Ayu .K.P,2021-03-07T06:28:04Z,0
What Is the name of track???,Antonaccina1,2021-03-07T05:50:49Z,0
2 months late but im starting today.,LORNA VITSHIMA,2021-03-05T12:53:09Z,0
💕💕💕😘💕💕💕,Saqib Jameel,2021-03-04T02:14:04Z,0
"I’m late, but I’m here! Glad to be back with you this year🥰🙏🏼🧘🏻‍♀️",Jeri Lynn Vizzi,2021-03-02T15:38:24Z,0
"Having completing it once, I&#39;ve restarted Breath. It&#39;s too yummy to only do once. It&#39;s like a dance. A long, slow, global dance. Namasté.",Rachel De Lacy Kostal,2021-03-02T01:50:17Z,0
second times a charm? Or something like that🙃,Kyameshia Joseph,2021-03-01T18:05:41Z,0
Would this be a good challenge to improve general flexibility as a part of speed training? If there&#39;s one more suited pls lemme know :),Georgia Hook,2021-02-22T14:08:50Z,0
"1st year, thank you!!!  🧘‍♀️💕☺️",Christine Cardimen,2021-02-21T02:28:23Z,0
"I lost my peace of mind... I started to found it with you and then I stopped doing it, because I was too busy. I started to feel it slip away, so I started doing your yoga off and on again, to try to retain it but I lost it and I don&#39;t know if I ever going to have it again, I try to do a video a day, but I fear I&#39;ll never be at peace again... I lost my peace of mind and I&#39;m scared...",Sonia Poulet,2021-02-20T12:26:26Z,0
Thanks Madam,himalaya ahuja,2021-02-20T06:06:54Z,1
Hello! Is this a beginner friendly program? I’d like to try and get into yoga ☺️,Nicole Harper,2021-02-19T17:05:37Z,0
"Adriene voice it&#39;s so sweet and soothing, no wander benji sleeps the entire classes. I and automatic peace just to hear her..",Ines Serra,2021-02-19T15:14:15Z,0
🤍🤍🤍,Rose Sarootsikan,2021-02-19T11:50:12Z,0
Hi Adriene! My name is Emiliano and we&#39;re doing the breathe 30 days w my gf and we&#39;re are loving it and probably will take the subscription! I was wondering if you can recommend some yoga classes in spanish in youtube cause I will love that my mom starts with it. But sadly she speaks only spanish if not I would recommend this channel. Thanks in advance!!,Emiliano Beron,2021-02-18T16:59:56Z,0
Nice job.,Kaushal Kumar,2021-02-18T06:43:17Z,1
"This has been amazing! I’m on day 17 and I can do up dog/back bends/twists that I’ve never been able to accomplish. I’ve learned that my low back pain was coming from my psoas muscle! I’ve discovered ways to heal pain I thought was chronic.. thanks Adrienne, you’re the best!",Natalia Weber,2021-02-18T01:10:33Z,0
"Thank you for what you do!! I’ve been coming to the mat because of you for several years now! And that is huge, because I am consistently inconsistent!! You have brought me through divorce, empty nest, relocation, and pandemic. And when you sang Whitney Houston to Benji I was reminded of why I have stayed here. You have made the mat a sacred place for me—Thank You!!",Rebecca Grider,2021-02-16T13:50:49Z,0
"Thank you very much , enjoyed it.",Dream Relax Videos,2021-02-15T21:01:33Z,0
I’m in,Sareen Sarna,2021-02-14T20:12:32Z,0
"hey i really like to walk barefoot it feels nice and relaxed<br />but my parents don&#39;t let me walk barefoot, you might have a tip for me",Wu Ming Weggeman,2021-02-12T20:47:02Z,0
thank you for great vid,Yoga-Holistica,2021-02-11T20:07:07Z,0
I&#39;ve just finished 30 days of Yoga because I&#39;m a beginner. Can someone please tell me which 30 day program to do next?  Thank you!!!,Mary Jo Vieira,2021-02-09T00:58:26Z,0
ik I&#39;m so late but i wanna try to do this.. I can&#39;t do this everyday since i don&#39;t have time but will definitely try to do it every other day,Jana Kanawati,2021-02-08T22:34:11Z,0
I am so thankful that I discovered Yoga with Adriene. I hadn&#39;t kept up with my yoga practice for quite a long time. I felt it difficult to motivate myself on my own since not going to a class. I am on day 26 of Breath 30 day yoga journey. I love Adriene&#39;s way of teaching and I haven&#39;t missed a day. I will continue with Adriene forever if possible.,Carol Lundstrom,2021-02-08T20:50:35Z,0
"Adriene, I just want to thank you for your gift to the world of free yoga. The small community I live in is rural. We do not have access to health clubs. I very much appreciate this gift of yoga in my own home.",3 V's,2021-02-08T17:21:34Z,0
Anyone else starting in February due to procrastinating?,Natalya Stewart,2021-02-07T04:03:38Z,1
Namaste!<br />Touched😄😘,K-pøp Vibeß,2021-02-05T16:15:31Z,0
I’m starting this today!,Kristi Irvin,2021-02-05T13:22:09Z,0
Malayali undo?🤔😏,Fathima Vp,2021-02-04T11:54:34Z,0
So beautiful what software do you use to edit your videos ?,Let ΑshieBee,2021-02-02T23:17:19Z,0
Had a really rough January. Really looking forward to doing this in February instead! :),Bailey Thompson,2021-02-02T03:37:22Z,1
Sending All Of You Beautiful Human Beeings Good Energy ❤️🙏🏻🧘🏻‍♂️,Enigma - Meditation Healing Music,2021-02-01T23:47:17Z,0
Thank you :),cathy basile,2021-02-01T17:30:42Z,0
"Thank you Adriene, just thank you &lt;3 so much",Lola Stanley,2021-02-01T16:48:26Z,0
"A year ago I did the 30 day challenge &#39;home&#39;.  When day 30 arrived- I FREAKED OUT. I didn&#39;t even make it 5 minutes. I just couldn&#39;t imagine doing this by myself.  WELL, I&#39;ve been following your calendar- you have literally ministered to me so deeply over the craziness of 2020 and I did this 30 day challenge.  And as I wipe a way tears, it&#39;s cause I did the full 50 minutes and I think I finally understand what it means to find what feels good.  Thank you Adriene.  Thank you.",AL Reed,2021-01-31T22:24:25Z,0
Thank you! These 30 days was so great for me 💜,נעמה בן צור,2021-01-31T18:11:33Z,0
"I&#39;m starting my 30 days today, January 31.  Thank you for making this series.",Rachael W,2021-01-31T08:41:38Z,3
"Can someone please tell me what the blue, flat square “pool” or pool cover? on ground is back behind the néw studio set doors in Breathe? I’m feeling distracted not knowing what I’m looking at! Thanks.",ell5659,2021-01-30T16:08:35Z,0
Dang I always tune into these within the last week of the journey. I&#39;ll be catching up!!,Cierra Pedone,2021-01-29T20:10:49Z,0
"Hey @yogawithAdriene!!<br />I am new to yoga classes.<br />Can you please help me by telling how to start ,from where to start ,what is the right time for doing it?<br />And also can you please guide me for increasing height after 20 yrs of age.<br />Also, I am a pcod suffering girl,can you tell me how to cure it?",Tanika Chauhan,2021-01-29T13:47:23Z,0
I would love to know what the intro music is for this journey! Every time I hear it I feel so relaxed and ready to start the new day’s practice 😊,Rachel Flora,2021-01-27T16:08:43Z,0
Benji doesn&#39;t even flinch when you say his name. This dog is chillaxin to the max.,Tessa S.,2021-01-27T11:10:00Z,0
How much does Benji get paid per episode?,Benjamin Stasiuk,2021-01-26T23:50:18Z,0
Hate to see the Adidas product placement (clothes). It&#39;s distracting and seems counter to the Adriene brand.  But I do appreciate 30 Days!,Bonnie Wright,2021-01-26T14:37:18Z,0
