comment,id,date,num_likes
"Welcome to BREATH, friends! <br />Remember that showing up is going to be the hardest and most challenging aspect of this journey. So today, commit to it, write it down, say it out loud. “I choose to show up on my mat for the next 30 Days. I can and I will.”<br /><br />Let me know where you&#39;re practicing from!",Yoga With Adriene,2021-01-01T13:20:56Z,2022
"From Punjab, India",Aastha Sharma,2021-03-18T10:43:56Z,0
"Mayne Island , B.C. Canada",Ginette Nielsen,2021-01-02T03:48:10Z,0
"Edmonton, Alberta, Canada :) Can&#39;t wait!",Jen Medos,2021-01-02T03:44:54Z,0
"Happy new year, everyone!<br />I choose to show up on my mat for the next 30 days.<br />I&#39;m from Brazil (Curitiba) 🙂",Luiza Pritsch Dec,2021-01-02T03:40:54Z,1
"So glad to be joining from Houston, Texas! Thanks for this gift, Adriene!",mwehrung,2021-01-02T03:33:09Z,0
"Just finished Home, and starting now with Breath, my last 30 days yoga journey, and then to continue with the monthly calendars.<br /><br />Thanks a lot Adriene! Thanks to you, I&#39;ve been able to find something that I&#39;ve learned to love a lot, get in better shape, to heal from a disc hernia and to start loving myself, I&#39;m really really grateful.<br /><br />Saludos desde México!!!",Jesús Campa,2021-05-06T14:13:45Z,0
I choose to show up on my mat for the next 30 days 🍃,Peanut Butter,2021-05-03T11:17:35Z,0
hoy empiezo 1mayo,Luna Marina Sanchis Pont,2021-05-01T12:47:01Z,0
"Choosing to end the school year with 30 days of yoga for relaxation, focus, meditation and grounding.  This has been a hard year.  I need this celebration and self-care.",Kara Benson,2021-04-30T23:03:50Z,4
Same here! A great graduation present for myself ❤️,Alecta Kaewa,2021-05-02T13:04:05Z,0
"I turned 65 today and I believe in letting people know what an impact they have had on my life. Without you, I can&#39;t imagine where I&#39;d be. Last year i had nerve pain shooting down my spine all the way to my toes. I worked that out with your yoga programs. (I have scoliosis and osteoarthritis.) We worked together every day and I have gotten so strong and proud. Two days with young grandchildren wore me out, but not my back! My bingo wings are gone. Thank you from the bottom of my heart and chakra. Namaste Barb",Barbara Putney,2021-04-30T16:00:54Z,9
جميل,ثنائي لينا و فيفي,2021-04-30T04:36:06Z,0
It&#39;s a very difficult time for me and today for the first time after a long period you made me smile and I feel like I can keep moving ;Thank You so much ❤,kosar bachari,2021-04-28T12:05:10Z,0
"Thais program its a real gift, thank you Adriene 💕",sonsoles bravo,2021-04-27T06:45:32Z,0
"thank you, first real relaxing and self acceptance feeling I had in days, only by listening to the video and breathing, and I appreciate it",Shosana Briga,2021-04-25T09:19:33Z,1
"Just finished 30-day &#39;True&#39; program. It probably took me more like 90 days, but hey. <br />Gonna try to do better this time. However it goes, it&#39;s got to be worthwhile, right?",artsguru 1,2021-04-22T16:28:03Z,1
"Hi Adriene &amp; Benji, I&#39;m back after over a year! Can&#39;t wait to get started! &lt;3",Hazel Johnson,2021-04-21T18:49:31Z,0
"I did the 2015 30 days of yoga, and you seem more sober these days, more calmed, haha. 6 years make you grow, love for the two adriene&#39;s tho",María Del Mar,2021-04-20T16:18:10Z,0
I&#39;m going to start next Monday and my intention is to have more energy ^^ I already have an open mind about Yoga because I know NOTHING and you will be my first guide! ^^ Can&#39;t wait to start :),Ewa Błońska,2021-04-17T15:12:10Z,0
"I have never practiced yoga, but I will try starting this journey tomorrow. Hopefully I can keep myself accountable to get myself out there every day for this. Thank you for sharing this with the world!",apple,2021-04-13T21:28:46Z,2
"I did a few of your classes over the week for the first time and thank you! You remind me of a dear yoga teacher I had in Nova Scotia, almost ten years ago. I have not practice in about 5 years, at least not regularly. I have watch the intro to the BREATH series and I will start with Day 1 tomorrow. Thank you for your work xo",Anne-Marie,2021-04-13T20:25:24Z,0
"Hello from Armenia! Will be beginning my journey tomorrow, and I&#39;m super excited &lt;3 <br />Small question: any preferred time of the day I should practice?",Tatev Kyosababyan,2021-04-13T20:07:32Z,0
"I’m having a really bad day today and I’m just watching this video because I could listen to you talk all day. I didn’t have the power to get on the mat today, but just getting in this seat and minding my breath for a few minutes helped so much. Thank you for all that you do, you’re such an inspiring person. ❤️",Marit Müller-Michaels,2021-04-12T16:22:18Z,1
"I just finished this series a few days ago, and all I can say is that it was amazing!!!! I never thought that I would enjoy it so much. Quickly after starting the practice these videos became one of the major hilights of my day.",Dylan Evans,2021-04-11T23:02:49Z,0
Just found this I’m gonna start today and hold myself accountable. Thank you Adrienne.,Brittany Sloan,2021-04-10T16:57:50Z,0
"Simply, thank you.",Moletagirl,2021-04-07T20:06:31Z,0
I clicked for the dog,Bobman P,2021-04-05T04:15:29Z,0
"Thank you for this 30 day journey, Adrienne! It was amazing and has really pushed my love for yoga into fruition. Now that I am finished the 30 day journey, what do you recommend next?? Do you have any other journeys like this to do next? Thanks again!",leah turner,2021-04-01T02:22:47Z,0
Yo Benji!,Mike Hagedorn,2021-03-31T19:56:58Z,0
I’m so excited!! It totally slipped my mind that with the new year brings another 30 day journey! It’s been months since I’ve practiced &amp; I felt the call for another challenge to bring me back.. I came on the channel to sift through old ones &amp; low and behold there’s the perfect one waiting! <br /><br />I’ve been struggling with my breath lately. Often breathing into my chest 😕 even when I think I’m breathing deeply into my belly. I have to be super intentional to get that good belly breath. <br />It’s been two and a half months since I’ve started CrossFit &amp; translating my breath work over has been a real struggle! I hope this helps. <br /><br />I thank the divine and I thank you Adriene for your consistency! ✨ <br /><br />Wholeness &amp; Love Always!💕,Nena Netero,2021-03-31T13:34:25Z,0
I&#39;m here to quite a bad habbit o mine  and I believe I can do this . good job😊,ملیکا فراهانی,2021-03-30T21:16:51Z,0
Lots of love in lots of live out 🌬🤍 Im with you Adriene,Erva Yıldırım,2021-03-28T14:57:59Z,0
"I&#39;m so happy and grateful I found this 30-Day Yoga. I&#39;ve been into your Yoga for Flexibility for almost a year now but not consistently everyday. I have lower back injury and I found this very helpful, I love doing it especially the quiet moment, praying and surrendering to the most HIGH my Flexibility and my weaknesses! It&#39;s wonderful! <br /><br />Now I&#39;ll do the 30-day yoga with you Adrienne! I just found it today after my Yoga for Flexibility guided by you! Thank you very much Adrienne, lots of love 💖💖💖",Filipina Abellanosa,2021-03-27T02:32:37Z,0
I can hear you heart beat Adriene. It’s playing through my tv and stereo. ♥️,Lisa Dacre,2021-03-24T19:06:39Z,0
Thank you!!!❤❤❤,Narayanamma M,2021-03-24T05:37:29Z,0
12:00 am today’s my day 1 gonna do number 1 when I wake up 🙏🏼 it’s been over a year since I’ve done yoga 🤩🔥,0 Seve,2021-03-19T06:58:19Z,0
I&#39;m excited to start! Thanks for all your videos from 🇨🇦.,R F-G,2021-03-17T04:21:28Z,0
"After 2 years injury and a surgerey on my shoulder, I finally can start with yoga today. Thx a lot to my fysiotherapist. See you for the next 30 days Breathe challenge",Marijke Deckx,2021-03-16T04:54:56Z,0
"I followed one of your 30 day journeys a few years ago, and I&#39;m definitely in much need of another one. Thank you for always doing what you do",Ian Samillano,2021-03-15T22:44:03Z,0
I&#39;m starting today and I am SOOOOOOO EXIITEEDDDDD  to beging this new journeyyyy!!!!!!! TY Adriene.,Selsabil Iguelmamene,2021-03-15T12:57:18Z,0
I just finished your 30 days of yoga from 6 years ago! I am looking forward to this new series 😁,Sill E,2021-03-11T16:17:29Z,0
"Really enjoying this new series. I like the pace and the new background is nice! Also, really appreciate the way the practice gently ends. Thank you!",Alicia Tyson,2021-03-06T17:00:32Z,0
starting day 1 tomorrow,sylvaine,2021-03-05T09:46:12Z,2
did u haha,Myria,2021-03-10T07:23:35Z,0
"This journey brought me back to yoga. It lighted the fire again for a daily practice. I&#39;ve recommended this to a couple of people and will continue to do so. My mom liked it so much that she wants to start the journey again this month. Thank you for this. It was definitely a life changer for many people.  Thank you for sharing YOUR time, heart, energy and practice with us!",lizbe smit,2021-03-04T05:27:10Z,0
Watching review,NAVDEEP kaur,2021-03-03T01:10:59Z,0
Starting this again in March! 💜 Here we go! 💕,jomobile79,2021-03-02T00:28:16Z,0
Day 1 for me!! Exciting because I&#39;ve never done yoga. I&#39;m here for it. Benji is going to be my spirit animal for the month of March. Let&#39;s do this.,Angelina M.,2021-03-01T22:33:01Z,3
Ready to start this journey on 1st March today! Just completed HOME so super excited to start another journey with the lovely Adriene xx,Ellie Chilvers,2021-03-01T15:06:17Z,1
It&#39;s almost the end of my exam season and I&#39;m really exhausted so I thought I&#39;ll treat my body and soul and start this journey. I hope it will help me recover from my back pain and anxiety I get each exam season.,Lou TheGremlin,2021-03-01T12:09:22Z,5
im a little late but lets gooo,wonho thee soloist,2021-03-01T10:55:59Z,1
Aw,Jamie Castro,2021-02-28T21:43:55Z,0
"Starting my journey two months later, but that&#39;s okay. My body requires it. Namaste Adriene. My appreciation for your generosity.",kangaroo432,2021-02-28T19:59:22Z,38
LesMissed I started today with a friend 💞,Myria,2021-03-10T07:23:05Z,1
@LesMissed I&#39;m having a good time. Wish you a good time as well!,deklifhanger,2021-03-08T17:47:06Z,1
"I only found this journey today, haha. Hope you&#39;re having a great time!",LesMissed,2021-03-08T17:22:56Z,4
Same here! So there are still people practicing at the same time as you,deklifhanger,2021-03-02T05:35:03Z,5
"I watched from the toilet, the moment I watched this video, is that okay?",TZR Thomas Raph,2021-02-28T13:00:49Z,0
I am so excited for this! Thank u!,Sababa Tamanna,2021-02-27T15:57:05Z,0
Happy to start and connect 😁,Alangkrita Baruah,2021-02-26T16:05:26Z,0
I loved the practice! May I ask what the title of the theme song is? I love it :(( it’s so inspirinf,Gabrielle de Guzman,2021-02-24T05:43:48Z,0
Hii mam...I am 13 years old girl..my weight 68 kg and my height 159 cm...I know it is over weight...so pls tell I want to loss upto 25 kg...pls tell the solution...😭😭🙏🙏,Govindasamy Perumalsamy,2021-02-22T10:20:11Z,1
@Lou TheGremlin thank u..,Govindasamy Perumalsamy,2021-03-01T17:28:13Z,1
"Hey Sahana, losing weight and getting healthy is a good goal :) doing regular workouts (yoga or other work out tutorials are great for that) and eating more balanced can help with that goal. Just don&#39;t pressure and starve yourself! Go in for long time and not fast results. And work on your mental health (yoga and meditation is great for that!). Hope that helps and I know these are hard times and changing your routine while living at home with parents is hard, but I believe in you! :)",Lou TheGremlin,2021-03-01T12:14:36Z,1
Thank you!  Starting today for a better 2021...from MI!  🧘‍♀️☺️,Christine Cardimen,2021-02-21T02:21:56Z,0
Nice,Sachin Jadhav,2021-02-20T15:38:10Z,0
Thanks Madam,himalaya ahuja,2021-02-20T06:07:15Z,1
"I love your approach to yoga, It is so gentle and encouraging and so easy to follow, so many times I&#39;ve had tears rolling down while doing some of these practices.Thank you for all that you share with us, Much Love and Blessings!",Marcela Talmazan,2021-02-19T18:14:30Z,0
I&#39;ll start from tomorrow hope it will work,GODWIT OP,2021-02-19T15:26:12Z,0
What breed of dog is Benji?? He looks a little like my dog Leyna (probably the ears and black and white spots) and she&#39;s a Blue Healer. Excited to start this yoga journey!,elleneurosis1,2021-02-19T10:35:57Z,0
"Hey, did Adriene move, or where is this filmed?",Dolce Gato Abdullahs Postkasse,2021-02-19T08:36:51Z,0
Praise,Devupalli Abhishek raj,2021-02-19T03:53:23Z,0
Good for health 👍,asdf jkl,2021-02-18T01:37:35Z,0
Good,Goku Keshav,2021-02-17T18:51:32Z,0
Love my morning yoga with you here in New Zealand ❤️,Jo Martis,2021-02-17T17:33:27Z,0
Yesterday I finished Adriene&#39;s &quot;30 days of yoga&quot; series from 2016. It was amazing and I didn&#39;t want it to end. So I am doing this 30 days challenge too lol. I can&#39;t believe how much Adriene has changed... but still so inspiring and has really improved my mental state :),Liv !,2021-02-15T22:19:29Z,0
Hello my dear. Agin i am here. Ready to star. Love you thnks for this feelin. Love from iran. Lets start.,Sanam Gg,2021-02-14T18:54:54Z,0
Starting on Valentine’s Day!,Julie Wentland,2021-02-14T15:33:52Z,0
thank you so much &lt;3,IonaH the idempotent funkþor,2021-02-13T23:42:18Z,0
"Hey guys I have a question for you all. I’m thinking about giving the high intensity workouts a rest for a while as I keep hurting my lower back. I do yoga maybe once every few weeks but I’m thinking about doing it every day. For all you yogis does yoga help strengthen and tone the body as if you were using weights or doing high intensity workouts? I was thinking about for cardio riding my stationary bike in the morning and then doing yoga in the afternoons To keep a good balance of cardio and strength. someone told me that the reason I keep hurting my lower back is that maybe because my abs are not strong enough. They also said that yoga is very good in building core muscles is this true? All I know is things to Covid and losing my job I have had no motivation to really work out and the high intensity workouts, when I do go to do them they just seem to hurt me. Thanks for your help",angems083,2021-02-13T15:20:32Z,0
Happy New Year to all and lots of angel blessings!,SUNDARAM SHARMA,2021-02-13T15:17:53Z,0
I&#39;m finally getting back into yoga thanx to this video,Fumbling Fairy,2021-02-12T15:07:53Z,0
Cool,Manish Katta,2021-02-12T13:52:00Z,0
Superb,riyas kp,2021-02-12T12:59:14Z,0
thank u. starting today,O'Nella P,2021-02-11T17:57:02Z,0
👍,Viral Diary,2021-02-11T14:25:15Z,0
Good,RAMRAJ JAT,2021-02-11T01:15:39Z,0
Have just seen this series today! Did.a breath session to relax. plan on starting this series tomorrow! I choose these next 30 days to start my challenge!,sezybabe100,2021-02-10T15:35:16Z,0
I commit 😊🧘,Anjali AD,2021-02-10T06:42:21Z,0
Super,Syed abuthakir S 5036,2021-02-10T05:54:47Z,0
It&#39;s third lockdown in my country and I feel like I am drowning. I really need some yoga 🧘‍♀️ Actually everybody needs some yoga nowadays. I think this is the only way to stay alive both mentally and physically 🌼🌼🌼,rahel,2021-02-10T04:40:44Z,5
Very nice yoga,Gourav Rathore,2021-02-10T01:04:36Z,0
Wonderful,my favourite doll barbie,2021-02-09T17:39:55Z,0
Breathing gives peaceful mind,Varsha Kumaresshan,2021-02-09T13:41:37Z,0
I just finished the 30 Days of Yoga as I am a beginner. Can someone please tell me which 30 day series I should do next?  I&#39;m 71. :) Thank you!,Mary Jo Vieira,2021-02-09T01:05:12Z,0
"Hi Mary Jo! There&#39;s no set order. If you like the structure of 30 days, you can learn more about the other journeys here - <a href=""https://help.fwfg.com/article/130-where-can-i-find-the-30-days-of-yoga-series-videos"">https://help.fwfg.com/article/130-where-can-i-find-the-30-days-of-yoga-series-videos</a>",Yoga With Adriene,2021-02-09T14:39:29Z,1
"Thank you dear Adriene!!! What a gift it is to have your videos and yoga classes, these are so nourishing and have brought me so much. Thank you thank you thank you. Your soul and spirit shine through the screen and your positive loving intentions are so beautiful!!! Love to you!",Alishia Vicich,2021-02-08T17:08:13Z,0
I am starting today feb 8 2021 !,Stephanie Capone,2021-02-08T15:58:15Z,0
Yoga is good for health 👍nice job🙏,Mitesh Ray,2021-02-08T15:06:44Z,0
Wow,pavi Saran,2021-02-08T07:51:43Z,0
Read some comments and so glad I did ! Life is tough right but now I know I’m not alone ❤️ We will be through this guys. I commit to 30 days ! A.F,Johnny Velette,2021-02-08T01:49:10Z,0
I have lots of trouble being consistent with long term activities so i am gonna try my best to go through this 30 while enjoying the process :),Noa Ramírez,2021-02-07T23:03:15Z,21
@Lynne G hello! so far it&#39;s been awesome! i had to skip some days because i didn&#39;t have time so I&#39;m only on day 15 but I&#39;m enjoying it a lot!! I&#39;m glad you also enjoyed it :D,Noa Ramírez,2021-02-28T09:38:23Z,0
