comment,id,date,num_likes
"I wish I could show you,<br />When you are lonely or in darkness,<br /><br />The Astonishing Light<br />Of your own Being!<br />HAFIZ<br /><br />How are you feeling after today&#39;s LOVE practice?",Yoga With Adriene,2021-01-26T14:31:27Z,998
Thankful.,Lari Hagan,2021-05-01T11:54:05Z,0
Thank you Adriene.,Fer-De-Lance,2021-04-30T14:35:24Z,0
@Orlando Moises i will try it out now. Looks good so far.,Eduardo Donovan,2021-04-20T15:55:19Z,0
Dont know if anyone gives a damn but yesterday I hacked my girl friends Instagram password using Instaportal. Find it on google if you wanna try it yourself,Orlando Moises,2021-04-20T13:46:57Z,0
LOVED! this series is so inline with my self love/self care journey.,Rebecca Thomas,2021-04-01T14:41:50Z,0
Benji is the most zen dog I&#39;ve ever seen!!!,Valiana Kosma,2021-05-08T21:10:10Z,0
thank you❤,Kalin Zehentbauer,2021-05-08T16:35:28Z,0
"I needed this today, thank you!",Kelly Kyutoku,2021-05-07T17:39:34Z,0
Thank you! Sending lots of love from my home to yours. ❤️,Joeffison Andrade,2021-05-07T06:56:44Z,0
Thank you🙏,Heather MacRae,2021-05-06T16:51:19Z,0
"Come for the yoga, stay for the profound words of wisdom. Thank you for this beautiful practice! 💜",Ellen Branstiter,2021-05-06T11:59:53Z,0
"Wow not only is she an awesome yogi, but she had an amazing voice! Sing it girl!",christen prudence,2021-05-06T03:14:59Z,0
"Was having a stressful day and didn’t manage yoga practice this morning, but this afternoon told myself to take time out and do the practice. I am feeling truly rejuvenated and feeling fab! Thank you for a great session",Jackie Haughie,2021-05-04T16:04:35Z,0
"I feel like a new human today&#39;s practice 🥰 Plus something crazy happened! <br />Normally I hesitate to bend forward in staff pose because I get a pain under my right shoulder blade...<br /><br />But today for some reason—I leaned into the pain, focused all my attention on that spot &amp; stretched FURTHER... And it was like I BREATHED OUT the pain!! Then my entire spine clicked &amp; released this HUGE amount of energy. It was so intense a wave of nausea swept over me and I started sweating. But as long as I held the pose—the energy just kept flowing out through the entire length of my spine! It was unreal and I feel incredible!!<br /><br />Thank you so much Adriene for helping me release goodness knows what kind of energy—I&#39;ve never experienced anything like this in my life  🙏🏼<br />Now to fill the newfound space with LOVE 😍❤️",Renee Aharon Art,2021-05-03T21:29:44Z,0
Day 25 Completed (May 3 2021) Self love is the key 😊,Cherry Lene Hernando,2021-05-03T15:22:25Z,0
🙏❤️,Clare Lora,2021-05-02T04:11:45Z,0
Benjie was so done😂😂😂,Marjorie Arpon,2021-05-02T02:21:08Z,0
me totally loving Benji&#39;s facial expression😂,Jojo Xtine,2021-04-30T16:16:21Z,0
Benji&lt;3&lt;3,Raya Kanama,2021-04-30T13:55:21Z,0
"Thank you Adriene!❤😇<br />Benji, we love you too...Frame is incomplete and our day is incomplete without you guys!..Thanks for showing up daily for us❤❤❤",HARSHITHA R,2021-04-30T02:29:39Z,0
So awesome to re visit these!!! Gracias! ❤️❤️❤️❤️,Terri Cerna,2021-04-30T00:58:35Z,0
Loooove how Benji jumped on you at the end of the practice - he is such a vibe xx,Nicole Subeva,2021-04-28T17:01:23Z,0
"All these days with your practice has been so special to me. This April has been a tough month here in Brazil, without this daily yoga I would be so stressed... Thank you",FemTrip Carol Lopes,2021-04-28T12:51:05Z,0
Thank You!,Jeremy Barnes,2021-04-28T05:16:52Z,0
"Anyone else hear Adriene&#39;s heart beat around <a href=""https://www.youtube.com/watch?v=DRNdD9c7HMc&amp;t=19m00s"">19:00</a>?",Eve Chase,2021-04-28T01:54:01Z,0
💜✝️🛐💜love this💜,2fortheloveofgod,2021-04-27T22:39:02Z,0
My favorite so far ❤️😍,yvonne kehoe,2021-04-26T13:27:20Z,0
Lot or love 💕❤️🥰 (25/4/21),Salima D'Antuono,2021-04-25T19:55:56Z,0
"Made it to the mat again today and I wonder if anyone has thought of any practices that could help a COVID 19 long halers ?  Or am I asking a question that has yet to be answered?  Hmm, Well see you tomorrow at the mat .",David Cates,2021-04-25T13:51:08Z,1
"Thank you Adriene. I appreciated the stretch in the hips today. And I appreciated mostly you comment, &quot;the mat has your back and so do I.&quot; I appreciate that and appreciate the gifts I receive from you and others. This is a good reminder that the challenges that I have do not have to be dealt with alone",Taylor Hill,2021-04-23T14:30:28Z,0
top,Maria Eduarda,2021-04-23T13:31:11Z,0
Benji taking a seat at the end :),Orla Martin,2021-04-21T19:18:52Z,1
Adriene *  starts doing  any pose* : Careful don’t do this...<br />Me who is ALWAYS doing exactly that : 👁👄👁,Grejsi Rudi,2021-04-20T20:26:24Z,0
"My cat normally runs away as soon as I unroll the yoga mat, but today for the first time he came and hung out while I practised, purred and gave me little kitty kisses - feeling the love :-)",Helen Murray,2021-04-20T08:03:19Z,0
Thank you Adriene &lt;3 &lt;3 &lt;3,astrumD,2021-04-19T09:14:49Z,0
Sending lots of love for you ❣️,Negar N,2021-04-17T18:05:46Z,0
"I burst at crying after this practice, thank you",ChibiScarlett,2021-04-16T23:08:24Z,0
wow I laughed too hard at the intro xD is it acceptable/safe to do yoga after a couple glasses of red btw? asking for a friend haha,Magdalena Sledzikowska,2021-04-16T22:03:44Z,0
Thanks for being there through practice and mindfulness Adriene ❤️ sending love,Beasehole,2021-04-16T12:52:54Z,0
&lt;3 &#39;annnnnd iiiiiiiiiii&#39;,Em Q,2021-04-16T06:30:51Z,0
I love this time with you and my mat everyday ❤️ thank you.,Erin Moseley,2021-04-15T16:58:18Z,0
Lmaoooo benji popping a squat on top you at the end 🥺💕💕💕,Libra Mystic l ASMR,2021-04-14T14:24:25Z,0
"Aww, watching you sing to Benji was adorable and so sweet. I’m pretty sure everyone does this with their pets. I sure do. I love how relaxed and open you are with your audience, like no one is even there :)",Jenny Boyce,2021-04-14T11:55:50Z,0
<b>me trying no to wake up anyone at my house</b><br />adriene: singing and shouting,Valen,2021-04-14T11:18:50Z,0
40 beautiful people from all around the wold were practicing with me today. Sending you some strength and happines!,Sirimande,2021-04-12T15:39:13Z,1
Thank you ❤🙏,Mersina K,2021-04-11T20:54:53Z,0
You are the best instructor and i love your voice when u Sing 🎶 😂💗🙏🏻,Raghda Ahmed,2021-04-11T09:58:43Z,0
This practice was really good for my menstrual cramps ❤️,Alice Buckland,2021-04-10T12:59:45Z,0
How nice!! Benji sitting on top of Adriene at the end.  I have done this video a bunch of times but I only listen to the voice..Love it.,Johanna Rosbeck,2021-04-09T23:37:18Z,0
"Thank you, Adriene for the beautiful practice!",Anastasia Babenko,2021-04-09T16:26:39Z,0
Thank you for making yoga so fun and accessible! So grateful that I found your channel❤️,Abbi Long,2021-04-09T15:30:16Z,0
ive never commented on a youtube video in my life and every day i wanna comment and say how much i love adriene and these videos. pure joy for my body and mind,Robin Baudreau,2021-04-08T02:14:19Z,0
"I was not feeling very motivated today, so hearing Adriene say to &quot;show up for yourself&quot; changed my mindset completely.  I am enjoying this practice and I thank you, Adriene, for always managing to say the right things at the right time.",Teresa S,2021-04-07T15:42:02Z,0
"I loved this practice!! I felt such strong emotions during it, especially when you told us to look at our hands ✨ I got a little bit teary, but with happiness! Thank you 🤍",courtney,2021-04-06T10:10:21Z,1
You’ve got some pipes Adriene! 😂 well done,john2k24,2021-04-05T17:09:31Z,0
