comment,id,date,num_likes
"Yoga offers a sublime opportunity to create an abundance of awareness with your inner world, which will then influence your relationship with the outer world. With each new breath, a new arrival. <br /><br />How are you feeling after today&#39;s session?",Yoga With Adriene,2021-01-03T14:34:14Z,2030
I’m feeling proud that I did it and more at oeace,Authentically Abigail,2021-05-09T03:03:26Z,1
"Relax and at Ease, I am grateful for my body for giving me the opportunity to move and be in the present moment on each breath.",Oey Magpantay,2021-05-04T08:44:12Z,1
@Sarah Rossiter hey I’m a newbie too so I feel you! It’s encouraging to see comments like this to know I’m not the only one who shakes and slips around haha! But like you said focusing on my breathing really gets me through. These videos that Adrienne has done have been life changing. Knowing it’s not so much about the Asanas but more so about the breath has been an game changer for me. Anyway stay strong my friend. We’re all in this together!,Connor Mouser,2021-05-04T02:29:27Z,1
Shaking. Couldn&#39;t do half of it. But I&#39;m gaining strength and awareness. Resting in child&#39;s pose and focusing on breath when it&#39;s too much for me.,Sarah Rossiter,2021-05-03T19:49:44Z,2
"I feel absolutely amazing and “in tune” if that makes sense. I just want to love and be at peace with myself, others, the Earth. I want experience other’s energies and share them. Adrienne, you probably get this a lot, but your Yoga instructions on here have begun to change my life. You are an amazing teacher! When I come to your channel I feel at home. Thank you for all you do!",Connor Mouser,2021-04-30T18:51:56Z,0
Checking in for accountability!<br />Day 2 ✅,Dragon Fly,2021-05-07T19:21:51Z,0
I’m here 🌞 to begin again 🙏💖✨,Andria Nikoupolis Weliky,2021-05-07T14:49:04Z,0
"Namaste and thank you to the wonderful yoga guru, Adrienne &lt;3",Saffron Trail,2021-05-07T11:47:21Z,0
The hardest part is actually breathing without maintaining any pose lol.,Lola Veneta,2021-05-06T16:56:09Z,0
"Day 2 done ✅  i must say these yoga sessions are far better than those tiresome exercise videos. Strain on my body is minimal &amp; i can feel my strength building up ,will continue this journey! ❤️",Yamini Sharma,2021-05-06T10:42:30Z,0
"Day 2: stiff and sore, can’t stop yawning, but iT feels great 🤣",Sofie,2021-05-06T08:24:15Z,0
"Sometime I need that type of yoga, that is not only a sport for the body but also for the spirit.",Indriya,2021-05-05T13:54:21Z,1
Thank you.,Johnny Mountaintop,2021-05-05T11:31:43Z,0
thank you.,ivovelo,2021-05-05T04:36:03Z,0
Just what I needed today!,casandra losey,2021-05-04T17:55:12Z,0
Thank you so much... namaste to all my fellow yogis.. and we all are in this together!! Let’s breathe and start the new arrival !! ☺️,Anshu Sinha,2021-05-04T04:29:00Z,1
Adriene thank you so very much for doing this for everybody so we can freely enjoy the practices! You are amazing!,Слави Славов,2021-05-03T12:13:34Z,0
My arms are burning 🥵,sarah K.Mansour,2021-05-02T20:50:38Z,0
Thank you so much for today&#39;s practice. Have a nice day whoever is reading this :),Rana Rene,2021-05-02T13:10:50Z,3
I am not doing the 30 day journey but selecting classes I feel will be the right one for me on the day....Loved this one. Arrival with each breath. thank you Adrienne!,TheCafecroissants,2021-05-02T10:04:47Z,0
Finished day 2 on 5/1/21 here&#39;s to another day,CuteMuffins,2021-05-02T04:58:34Z,0
Love u madam from india,maharshi,2021-05-02T01:57:08Z,0
Felt really good,Sylvie Voisin,2021-05-01T07:15:59Z,0
thank you,Incognegrow_,2021-04-30T16:49:17Z,0
doggy,GORDON DENNY,2021-04-30T13:18:30Z,0
I love all your types of yoga 😊,Mis ali,2021-04-30T01:48:56Z,0
"This is a really nice video that I find myself returning to. It makes me arrive into my body again, that is, it makes it easier for me to be and feel really present, instead of focused on and distracted by words and thoughts and brainy things like we so often are.",Sanna Karlsson,2021-04-29T16:36:19Z,0
Love your videos! Where do you buy your leggings from?,Michelle Brachman,2021-04-29T12:44:43Z,0
"Turns out I will likely cry at the end of every practice. Thank you, Adriene! These are wonderful.",Anna Klenc,2021-04-29T01:52:18Z,1
Sitting cross legged for this long is quite hard for me,Anastasiya Bazhenova,2021-04-28T21:39:35Z,0
Day two complete!!!! Feeling strong! April 27th 2021 crew!,CaffeinatedLady,2021-04-28T02:11:06Z,0
"April 27, day 2!",Cat Cat,2021-04-27T18:50:29Z,1
"Day 2 , check ☑️",Tv.Ankita,2021-04-27T14:43:48Z,1
this one was tough,great ghosts,2021-04-26T21:05:13Z,1
Day 2 complete 🥰🌈,Mersina K,2021-04-25T21:09:38Z,0
Day two wooopppp😊namaste,donataritha kinemo,2021-04-25T17:05:28Z,0
I just wish you to know you save me ✨,Arnold sommerfeld,2021-04-25T15:55:53Z,0
Thank you Adriene ❤️,Nivetha Pethuraj,2021-04-25T15:10:09Z,0
"Perhaps I’m tuning in better now, but I’ve been doing yoga with Adrienne for over a year and never noticed her heartbeat before this session.. I found it profoundly moving. Hope it continues to be audible in the sessions that follow.",artsguru 1,2021-04-25T10:54:14Z,0
"I periodically get stuck for a few months where I forget how much yoga helps against my back pain and anxiety, and each time I come back to your videos, it not only gives instant mental and physical relief, but it feels like meeting an old friend and sometimes I cry tears of joy. You light up my life, Adriene!",Aurelie Mattmüller,2021-04-23T21:01:31Z,1
Hi Adriene. I am 10 weeks pregnant. Do you think these videos are suitable for me ?,Betül,2021-04-23T11:02:29Z,0
"Arrive, show up and see what happens! My new MANTRA!",Zahra Moazami,2021-04-22T16:21:23Z,0
Good,jayasudhan s,2021-04-22T13:04:04Z,0
Day 2 YEAHH!!!,Mandukhai Batbaatar,2021-04-21T23:00:29Z,0
"I started following one of Adrienne&#39;s 30-day journey in 2019, and that was when I first fell in love with Yoga. That was when I started to learn about the power of breathing! The physical and mental changes that I experienced at the time was so amazing that after completing the 30 day journey, I decided to continue doing Yoga by myself. And for a long time, life was good.<br /><br />I am currently back to who I was before Yoga. Basically stressed, depressed, and constantly tired. I stopped doing Yoga a few months so I didn&#39;t think getting back into will be difficult. But oh boy, I started Day 1 yesterday and oh my god! Poses that used to feel so easy for me somehow became very very difficult. My legs were shaking and when I woke up today, my whole body is sore! I did not want to continue with this. But guess what, I am not gonna give up cause I will reach to that point in life where I can feel good again! <br /><br />I know it&#39;s a long comment but I really needed to do this and since I don&#39;t really have friends that can possibly understand this, I figured the comment sections would have plenty! Stay safe everybody!",Hazi Juzaili,2021-04-20T11:19:26Z,1
What to do if I can&#39;t perform certain position?,Venkatesha Prasad,2021-04-20T02:55:13Z,0
Practicing with earphones and I noticed I can hear your heartbeat during the first few minutes ❤,Fra Donaghy Music,2021-04-19T21:12:47Z,0
Lovely practice. Is helping me so much with anxiety and shortness of breath. Thank you. 🙏,Virgínia Cunha,2021-04-18T14:16:53Z,0
Beautiful practice!,AKaur,2021-04-17T16:42:12Z,0
Anyone else  do day 2 a long time after day 1,Vale,2021-04-17T01:11:37Z,0
"Adriene I absolutely adore you and your videos, but my gosh, having to listen to your heartbeat in this new series of videos is getting me really stressed, whenever you go silent I&#39;m trying to listen to the sound of my breath and focus, but all I can hear is your heartbeat, and it makes my heart start to race and I get really annoyed. <br />Please please pleaaaaase can you do something about your microphone picking up on that thudding :(",NATALYA PATON,2021-04-16T12:00:56Z,0
Day 2... Done! Ok... the longest 15 seconds of my life... but... I loved them &lt;3,Valiana Kosma,2021-04-16T09:15:03Z,0
"day 2! i appreciate the reminder at the end that oftentimes, the hardest part is showing up and arriving. every moment is a new chance to arrive. thank you adriene!",apple,2021-04-15T16:43:21Z,0
thank you thank you thank youuuuuuuuu it is so grateful to be here for the second day!,Luísa de Oliveira,2021-04-15T11:09:03Z,2
