comment,id,date,num_likes
"The energetic body can often go unnoticed. We don’t even realize we are quite off balance until things are so bad they begin to show up in a more harsh or glaring way.<br />Practices such as yoga and breath techniques, like Nadhi Shodhana, offer us a way to better keep in alignment. <br />How are you feeling today after this Balance practice?",Yoga With Adriene,2021-01-10T14:47:05Z,888
"I feel balanced, toned, and aligned! I feel clear and satisfied!",Dustin Query,2021-04-18T21:25:18Z,0
Feeling good!  Will like to do it again to learn to be more balance.....will do this again!  Thank you Adriene,Pat Bone,2021-03-24T12:57:08Z,0
Completed another day,GODWIT OP,2021-03-10T15:01:49Z,0
feeling more centered,Expressively Yanna Marie,2021-03-10T01:59:46Z,0
"at peace, thank you!",Shiko Mucai,2021-03-09T17:58:46Z,0
"<a href=""https://www.youtube.com/watch?v=JAOUZR3Jw3E&amp;t=11m30s"">11:30</a> you say the wrong leg. You need to be more careful with that..",erin armstrong,2021-05-08T01:33:22Z,0
Adrienne: switch and seal your nostrils <br />Me with a crooked diaphragm: 👁️👄👁️,Joanna Tsakou,2021-05-06T18:11:42Z,0
love her channel but struggle when she mixes up left and right at least once per practice.  When she says right leg back and then switches to referencing it as the left my brain feels like the game twister.,George Newcomb,2021-05-05T14:05:20Z,0
Day 9 complete thank you♥️,Mersina K,2021-05-05T03:08:46Z,0
Thank you Adriene for a wonderful practice ! I look forward to this every single day 💖 I wish every one who participated (or just past by) a peaceful day full of love and light 🙏🏽,Melly Silva,2021-05-04T19:00:18Z,1
Day 9 on May 4th :-),Cat Cat,2021-05-04T15:59:07Z,2
Day 9: OuR FirST dAy BacK to ThE offiCe aFtER a WhoLE YEAR oF remOTe WoRkiNG...iT wasN&#39;t EasY to shoW uP to tHE MaT todaY buT i diD and iM GlAD,MOMENT,2021-05-03T11:26:48Z,1
Namaste Adriene &lt;3,Jenin Husseiny,2021-05-02T19:54:04Z,0
Good balance,jayasudhan s,2021-05-02T12:42:15Z,0
"I&#39;d give this ten thumbs ups if I could.  Brilliant!  Somehow, by the end, hip tightness I&#39;ve had for an age following an injury, was released.  Yet another example of the miraculous healing power of yoga.",Mark Carlisle,2021-05-01T14:49:42Z,0
🙏,Karen Wilson,2021-05-01T05:47:54Z,0
"I feel so clumsy doing this ugh, but I feel the burn!",NobleNova,2021-04-26T00:34:18Z,0
I showed up on the yoga mat today even though I am menstruating and not feeling in. Glad I did.,Archangel Revelations,2021-04-24T17:56:21Z,0
Thanks!!!,Fatma Yildrim,2021-04-22T19:58:57Z,0
"day 9 complete, this was my favourite one so far!",nat,2021-04-22T17:31:06Z,0
day 9 done ❤️,apple,2021-04-22T16:38:47Z,0
Day 9 Completed (April 17 2021) Most of the time I was not able to maintain my balance but good try I guess will keep coming back in this session seems I need to work on balancing my body more. 🙂,Cherry Lene Hernando,2021-04-17T15:02:19Z,0
Special and beautiful day!! Thanks a lot Adrien!,Michelle Mesri,2021-04-17T14:10:52Z,0
"I&#39;m so grateful for you Adriene, I see christ in you, that light that brings peace to those around them, a fountain of love and kindness. Thankyou ❤️",Teacher Pure,2021-04-16T20:31:08Z,0
so proud of myself day 9!!,Ellie Mackintosh,2021-04-16T19:39:55Z,0
43 people did yoga with me 😍 thank you Adrienne ❤️,archana raj,2021-04-15T12:15:26Z,0
"This is the only class I have disliked so far out of all the videos! I had such a hard time I couldn’t finish the class, just felt enraged and frustrated and walked away to comment. <br />Will try again another day. Ugh.",Miranda Angel,2021-04-14T21:34:00Z,0
Luv it!,Adriana Zamora,2021-04-14T11:52:37Z,0
It&#39;s been nine days and my mind body are responding beautifully..thankyou so much. I am committed to do this daily. <br />You are Incredible<br />So much love to you ..so grateful that I found your channel.,Shalu Gupta,2021-04-11T16:33:30Z,1
Felt really good after the balancing asanas <br />Thank you namaste,honest by self,2021-04-11T03:36:26Z,1
"I just wanted to leave a comment because I have noticed that the views go down the further I get in this series. I missed Day 9 which was supposed to be yesterday because, after spending all day consumed with chemistry homework, I was just beat. In hind sight I probably should&#39;ve done this yesterday morning and it may have helped my concentration. BUT today I came back and did Day 9 and Day 10 this morning (I usually do it in the evening) and I feel so great. If you miss a day, YOU ARE NOT ALONE!!! I know this is easier said than done sometimes, but don&#39;t be discouraged. Like Adriene says, this practice is a great place to learn to fall with grace, just pick yourself back up and be gracious to yourself in understanding that you are human and missing a day doesn&#39;t mean you&#39;ve failed. Anyways, All the Love to every one of you and Namaste. &lt;3",Allison Beeson,2021-04-10T16:53:47Z,5
Came and found more then expected alternate nostril breathing was more very interesting . This journey has made getting back into cycling a lot easier . Thank you for this unexpected benefit,David Cates,2021-04-09T15:06:46Z,0
"Really enjoyed this one!  Will be practicing it again tomorrow  :)  <br /><br />I&#39;m enjoying the under 30 min classes now, too; don&#39;t feel like I&#39;m cutting time out of the rest of my day, which helps me relax and enjoy it.",Lora Edmiston,2021-04-08T16:24:33Z,1
My deviated septum said no for the first part,Sill E,2021-04-08T15:04:54Z,0
"I struggle with balance, it was frustrating realizing I have a LONG way to go.  Between this practice and the tree pose, the struggle is real for me🤪. I love this yoga and I am able to stretch into poses I never thought your body could go😮but balance, ugh!  Thank you Adriene, my body is changing and my breathing has become more deep, rather than shallow.",Jerrie Comstock,2021-04-06T11:58:36Z,2
It was the best class until now to me! Thank u soooooo much Adriene. ❤️,Isadora Machado,2021-04-03T19:07:37Z,0
🙏🏼,mkhadjavi,2021-04-03T05:53:47Z,0
I&#39;m new to the practice and I&#39;m happy I showed up till now. It has really helped me with my sleep. I&#39;m so happy and grateful.,Negin Msh,2021-03-31T14:01:52Z,1
Day 9 Balance is a perfect title for this practice 😳 much enjoyment 🙏🏻 Big shout out to Adrienne spreading awareness of the body through movement and breathe ❤️ sending the love right back to you.,Beasehole,2021-03-31T12:24:50Z,0
Thank you...!!!,urmila ramakrishnan,2021-03-30T04:47:08Z,0
Day 9: I started this journey on 21 March. I am inspired by all of you lovely people and I got this idea (on day 4) to leave a comment every day after each session. I rarely finish things like this so if I can do it then you can do it. Look for my comment each day and remember you&#39;re not alone. Breathe.,Stefana Lavinia,2021-03-29T09:02:39Z,5
@Chandre James Thank you! It’s nice to know I’m not alone x,Stefana Lavinia,2021-03-30T18:34:21Z,0
"You are not alone. This happens to me sometimes too especially if i don&#39;t have alot of time on that day , it feels like I just rushed through everything. But I think that&#39;s okay , as long as you showed up , tomorrow will be better 💛",Chandre James,2021-03-30T09:23:12Z,1
