comment,id,date,num_likes
"Remember, one present moment is a window to the next… and we get to practice that on the mat. Trust that whatever you are coming to the mat with is good, darling. Maybe embracing the mantra - Everything is as it should be. <br />What if that were true?",Yoga With Adriene,2021-01-29T14:11:51Z,725
"Yes everything is ok, lots of love Adriene and thank you!",Annette Hansen,2021-03-29T09:07:36Z,0
"I sooooo desperately want to do the crow but it&#39;s just not happening, done this session in 2 parts, love you adriene xxxx",Marie Dines,2021-02-25T21:04:57Z,0
Lol I&#39;m on day 28 now but at least I am still completing it. Had life come up but here I am,Ora Zenou,2021-02-24T16:46:33Z,0
Thank you. I am going through something at present. This was really precious to me in this moment.,rockandseven57,2021-02-01T22:47:42Z,0
"It is true! Because it is as it is, right where I am!  I must accept that! 🧘🏻‍♀️🙏🏻😘",Beth Stahl,2021-02-01T19:16:11Z,0
Thank you Adriene! ❤😇,HARSHITHA R,2021-05-08T14:45:23Z,0
🙏❤️,Clare Lora,2021-05-08T03:00:55Z,0
"This is the first time I&#39;ve been able to do a practice longer than 30 minutes without giving up before the end or feeling totally dead by the time i finished. Finished this one vulnerable and humbled, but also so alive and refreshed. Namaste all who practiced for these videos 💙",Lauda 69,2021-05-06T18:16:18Z,0
"Day 28 Completed (May 6 2021) As person who has an uneven hips, definitely the practice that involves balancing is hard but a great way to exercise and strengthen my hips. 🙂",Cherry Lene Hernando,2021-05-06T15:35:55Z,0
omg i held crow pose for like 5 seconds !,leah,2021-05-04T15:44:48Z,2
"This was amazing, it felt so good! Thank you so much, I was really needing it! :)",Isabel O'Ramos,2021-05-03T17:24:31Z,0
I love this one &amp; have been repeating it for many days before moving forward. Thank you! ❤️,Janna,2021-05-02T19:58:10Z,0
"Was it just me or could you hear Adriene´s heartbeat during the last 2 minutes of the video? maybe even before, but i didnt notice until the end",dadadada379,2021-05-01T09:41:00Z,0
This one was amazing!! I think it has become in one of my favorites. Thank you Adriene!,1ptitsa,2021-04-30T19:30:35Z,0
I was panic when not seeing Bengi at the beginning of this video. Thousands of questions came to my mind like &quot;Where is he? Was there something wrong happen to him?&quot; lol really love that guy,Arya Ngo,2021-04-30T01:00:27Z,0
I did crow pose today!! So happy!,Meg,2021-04-29T12:31:03Z,0
Trust you? I would die for you!,Julian Stewart,2021-04-29T00:09:14Z,0
Thank you Adriene (28/4/21),Salima D'Antuono,2021-04-28T20:03:13Z,0
"This session was so needed i love it ,it was super awesome 👏🏻 🌷💞",Raghda Ahmed,2021-04-28T19:46:28Z,0
Good morning fellow travelers of this eye opening journey . You may not have added last year when you  thought about the trust issue 🤔. It was nice if a bit difficult at first but once I let myself open up it was  mind expanding 🖖,David Cates,2021-04-28T16:07:47Z,1
thank you!,Wild Whispers Music,2021-04-27T22:43:55Z,0
I didn&#39;t really feel good and it was hard for me to show up especially to this practice today. But I did it anyway and I am proud of myself. &lt;3,Sirimande,2021-04-22T16:32:52Z,1
"I swear Adriene always know exactly what I need to hear and when I need to hear it. I&#39;ve been super stressed with school and life in general lately and just hearing &quot;trust that you are exactly where you&#39;re meant to be&quot; has made all the difference. It&#39;s like you&#39;re a mindreader, thank you so much!",silly samira,2021-04-21T04:05:07Z,0
Knew this one would be intense haha 🙏🏻 🔥 💧 thanks to Adriene and everyone else coming together in mindful practice. Every present step in a positive direction is amazing !fractional things add up over time to create a large impact 🌍 ❤️ love you.,Beasehole,2021-04-20T13:01:22Z,0
really thank you so much!!!! <br />this is the greatest routine one can imagine :),BonDelire,2021-04-19T10:42:02Z,0
Great workout,Monica Abemon,2021-04-19T09:34:42Z,0
"I gave up with a crow. Its been around two years of those yoga videos but when i even try to get in a crow position, I can feel my bones in elbows and wrists breaking.",Olga Cherniak,2021-04-19T07:56:09Z,1
"In january I could not do the series because our beloved dog passed and I needed to choose between practices I have on my playlist. Ihen I returned to it, fell off, returned... and today I am here on day 28. Barely, but alive and kicking. Love you, Adriene 🌻",ShadyImagination,2021-04-18T21:24:59Z,0
Thank you Adriene. Sending everyone love from South Africa this morning!!,Lihle Ntuli,2021-04-15T05:48:20Z,0
"love this practice today - Namaste, thank you adriane",Claudine Charlery,2021-04-14T14:17:46Z,0
"Finding it difficult to commit to the 26 days of Breath, so I randomly pick one and Trust sounded like what I needed. Trust was EXACTLY hat my body, mind and hear needed! Thank you 🧘🏽‍♀️",Clememcia Deleon,2021-04-14T14:15:47Z,0
"Day 28 - I started looking at the length of the video. I was bummed out thinking it&#39;s longer than usual. But I hopped in my mat anyway. Then this funny angel kept on saying you&#39;re exactly where you should be, and boy, was she right. The practice felt like 5 minutes. By the end of it I was wishing it to have lasted longer. Thank you, Adrienne. 🌹",Jamie Sanglay,2021-04-10T08:45:26Z,0
Missed one day but here I am 🙇‍♀️🖤,Theodora,2021-04-09T22:31:26Z,0
"One of my favorites, thank you !!",Mary H.,2021-04-05T13:28:26Z,0
Namaste to all is at it should be!,Gabkath Offbro,2021-04-03T08:46:35Z,0
thankyou so much adriene . your yoga sessions really bring whole change to my day. being open to experiences of life and trusting yourself to life. lots of love,Gaelyn Apreh,2021-04-03T04:25:01Z,0
"Loved this. Thank you for a beautiful, loving reminder to trust.",Lesley Lina,2021-04-02T03:50:59Z,0
I sooo appreciate all that you do. Thank you❤️,Stay Wyld,2021-03-31T21:39:22Z,0
LOL its SO SO SO insensitive to suggest &quot;everything is as it should be&quot; when we are in a pandemic and people are dying every day. I immediately shut off the video and will not ever be coming back to this channel.,Natalie Grosse,2021-03-31T16:51:42Z,0
Waaaahhhhhhh,Keys,2021-03-30T23:49:29Z,0
Came back here for a little trust inspiration. I recognize the lack when I procrastinate.,Landisiwe,2021-03-30T17:47:03Z,0
"Day 28! Wow, I really got this :)",Belle Princess,2021-03-30T12:31:12Z,0
Excellent!!! Thank you very much 🙏🧘‍♀️!!,Josy Andrade,2021-03-30T02:31:08Z,0
"2 days left, i trust that Begin will destroy me<br />but for creation you need destruction",Negritis,2021-03-28T21:25:52Z,0
Thank you to make me learning everyday something new ❤️,Lucy Hop_E,2021-03-28T19:27:35Z,1
Another great practice. Adriene is truly a phenomenal teacher and guide. The woman is magical. So grateful to have found her classes.,Gwendolyn Logan,2021-03-28T18:39:29Z,1
"Love this practice, love &amp; gratitude Adriene ❤️🧘‍♀️🌻",Debra Taylor,2021-03-24T22:36:18Z,0
"This was such a good practice. And at the end, when everything is quiet, you can here Adriene’s heart beat. So cool. Thank you so much Adriene! Your video are so so good and you are just so fun. After every practice I’m left feeling so much better. Thank you :)",Danika Schnell,2021-03-24T19:16:42Z,0
Ahhhh loved 💕💕,Sara Burdick,2021-03-24T17:02:59Z,0
so lovely! I had a big hiatus for January and feb but I&#39;m pleased to say march brought me back to my mat and I am finishing strong!!,Mackenziie3,2021-03-23T23:00:03Z,0
"me thinking &quot;phew, this practice is really exhausting today&quot;<br />Adriene: &quot;nobody said it&#39;s gonna be easy&quot;<br />she knows. every. single. time :D",Bauxxi,2021-03-22T15:18:40Z,3
Little off topic but goes with when you say “you are exactly where you are suppose to be”. I’ve always thought deja vu is just the universe telling you that you are exactly where you are suppose to be.,reinc83,2021-03-22T01:19:49Z,2
of course i trust you!!,Baptiste Borie,2021-03-21T15:19:50Z,1
"It is likely you’ll never see this comment what with the 1k+ posts. Today’s practice opened a flood of emotions for me. Not sure if it was the hip work, the “trust” factor or the fact that I’ve made progress to lift my feet from the ground momentarily for crow, but clearly yoga is opening something within and I am thankful I took the leap to trust your guidance and my intuition and that I am trusting the process. Many thanks. ❤️ namaste.",C. Swader,2021-03-21T13:53:38Z,1
"Second time through Breath, Finally lifted into Crow today, my first time. If felt natural. Amazing",nom sola,2021-03-21T12:27:09Z,1
I use to be pretty good with yoga back in the day. I got away from it for years and tried some classes at my club. I did not feel confident due to show offs that had mastered some moves including the instructor. Here I feel confident and comfortable thanks to you Adriene. I just adore Benji too. I just lost my beloved baby doggie so coming to this practice is for healing a broken heart and helping get some stress relief. Thank you for making the world a beautiful and better place Adriene and Benji,Monica Buletza,2021-03-18T11:20:11Z,2
I’m here still completing the breath journey I started back in January because yoga with Adriene is just too good 🧘🏻‍♀️,supkika,2021-03-17T13:44:25Z,2
Brilliant,Live Love Laugh,2021-03-17T08:36:16Z,0
<b>singing</b> i JuSt diD a sQuAaaAAATtt aNd mY peEt touChed the GroUnd!!!!!   (seriously though it&#39;s been a rough day and it&#39;s the little victories),S.D,2021-03-16T00:39:51Z,0
"Thank you Adriene, and thank you to those leaving encouraging messages below.  I&#39;m behind in time, doing today&#39;s practice, however, I LOVED IT!  Love that it&#39;s unique and not following known patterns but really and truly practicing breath AND trust in myself:)  Wishing everyone an awesome day!",Margaret Fazio,2021-03-15T11:30:11Z,5
"Trust yourself,<br />Trust your heart,<br />And all will fall into place.<br /><br />Namaste.",Daniel Draper,2021-03-15T09:37:15Z,0
"Just finished the video, and couldn&#39;t do a crow pose when you were. First try after, nailed it. Don&#39;t know why, but I felt like I had to let you know. Feels awesome. Thanks Adriene",Jakalodo,2021-03-14T18:53:37Z,0
"Adriene, I have no words to thank you for everything you do and everything you transmit, you have helped me every day on my path of self-love, of healing, of finding myself. your energy is incredible, thanks for existing. you are my hero",Fernanda Revuelta,2021-03-13T22:44:57Z,0
Everything is as it should be. And what if that was true?,Steven Elder,2021-03-12T14:27:07Z,0
This was my favorite one yet,Hugh Jass,2021-03-12T03:51:46Z,0
Wife joined me again for today.🙏,kikt kikt,2021-03-11T15:40:24Z,0
