comment,id,date,num_likes
"The environment of the yoga I choose to teach and share is one that doesn’t just accept but encourages you to show up as is. It says, come as you are, darling.  I add the darling in.<br />It is safe here. Come, darling, soften inward toward your breath.",Yoga With Adriene,2021-01-04T14:23:28Z,2131
You are a God sent angel. Each series you create is just wow. Thank you 💖,Kiran Riyait,2021-05-05T20:17:39Z,0
Really love your 30 day... It&#39;s perfect for those who have not been in regular practice... Many thanks! 🙏🏽,PappaVeee,2021-04-05T23:01:15Z,0
"Hi Adriene! I&#39;m really enjoying your yoga. You have a very soothing voice to listen to and that&#39;s important when practicing yoga. I have a question for you. You said in one of your videos that you are from Austen, Texas so I&#39;m assuming that&#39;s where you&#39;re taping from with your 30 day challenge. But do I see snow in the background outside?",Norma Lisoy,2021-03-24T16:00:13Z,0
"Thank you, Adriene! Today was great!",ferchudj,2021-03-03T03:03:03Z,0
my chest feel so clear and light I can&#39;t explain it. That ocean breath was honestly making me into super woman 😍 I followed the whole way through with no breaks ❤ thankyou,Bizzy B,2021-02-19T00:11:39Z,0
"Checking in for accountability! Loving it! Was so tired and wanted to take a nap today ... instead I grabbed my yoga mat and DID IT!<br />Day 3 ✅<br />How are you doing, @ellaine?",Dragon Fly,2021-05-08T18:53:55Z,0
I think this is a part of my anxious nature but in the beginning I was very irritated that when will the main thing start!!!!!!!! Uh.,Simran Datkhile,2021-05-08T14:46:39Z,0
Who&#39;s here doing this joga challenge in May?,angie t,2021-05-07T08:57:31Z,1
Day 3 done ✅ my journey is going nice &amp; smooth I&#39;m starting to feel more relaxed &amp; every morning I&#39;m getting excited to do these yoga sessions. Thank you!,Yamini Sharma,2021-05-07T06:16:36Z,0
"regarding what you were saying about the breath: i recently finished your first 30 day series from six years ago before beginning this one. the first thing i noticed when i began this one was how much your voice dropped, which i would attribute to the practice with the breath and relaxing of the muscles around it. it would seem you have leveled up 😊",Joel Vining,2021-05-06T20:13:25Z,0
Thank you &lt;3 you are just fab! So so enjoying this,Serena Henson,2021-05-06T17:56:31Z,0
Cheers for those of us doing it again months later lol,Laneeka Li,2021-05-06T12:51:17Z,0
Thank you.,Johnny Mountaintop,2021-05-06T11:28:57Z,0
Thank you love.,Marja Kocbek,2021-05-06T10:11:19Z,0
"Thank you, Adriene.",ivovelo,2021-05-06T04:48:51Z,0
"Thank you, thank you, thank you. I had most magical experience with this class paired with a favorite playlist today. I hope all who participated felt as much magic and beauty in their hearts as I did! Such a powerful feeling. Thank you Adriene for this safe space.",Casey Clum,2021-05-05T23:01:03Z,0
Loved the breathing today! I found myself doing it more often than not and it felt like it helped a lot in my plank moments to focus on my breath.,casandra losey,2021-05-05T17:23:31Z,0
Really beautiful...I was in the moment ❤️ present ❤️,Aliva Das,2021-05-05T08:25:51Z,0
The forces to not show up were too strong yesterday but I showed up today 5/3/21,CuteMuffins,2021-05-04T05:37:08Z,0
Let’s keep this going my may peeps! You got this and I’m here with ya!,Lily Becerril,2021-05-03T19:17:06Z,2
Iim in love with you,Alan Guzman,2021-05-03T08:21:46Z,0
Day 3 and I can tell My body strength is stepping up since I committed to myself and the yoga practices,Princess Boog,2021-05-01T18:36:22Z,0
Anyone starting in may 🏆,Princess Boog,2021-05-01T18:34:57Z,1
"Day 3 complete, yay! This practice was exactly what I needed today. I am in a period of transition in my life, where my fear of letting people in is slowly slipping away and I am letting go of my past neuroses, negative thoughts, and loneliness. With this new openness and connectedness I am experiencing comes an officious voice of dread that says I will never be good enough for any of it. New experiences and new people are coming into my life, which I am so grateful for, but at the same time it all strikes a familiar fear into my heart and the urge to perform for these people or things, or to cower away from them, often comes to the surface.<br /><br />Spending this time on the mat, connecting with my breath, feeling the energy flow within me and really paying attention to the nuances within my body, and knowing that others are on a similar, beautiful journey, all helps me to realise the weight of what I&#39;ve carried throughout my life and what I no longer need to carry. Thank you, Adriene, for your amazing presence here and for this soul-serving series!<br /><br />P.S. I am really excited to listen to your upcoming conversation with Russell Brand!",H Spikey,2021-04-30T09:03:18Z,0
April 28th. Day three. Such gratitude for Adriene. I love this series so far.,sarah brink,2021-04-29T02:15:29Z,0
3 rd day done 🧡,moneko,2021-04-28T21:27:59Z,0
Day 3 on April 28th.,Cat Cat,2021-04-28T16:07:10Z,0
The breathe was working till those lunge poses. Then my brain went to rehearsing Dory&#39;s &quot;Just keep swimming&quot;,Jordan Dellinger,2021-04-28T16:01:38Z,0
Day 3 check ☑️,Tv.Ankita,2021-04-28T13:30:17Z,0
"thank you Adriene, I already start to feel better and more relaxed in my body and practice. wonderful experience",Moranino,2021-04-27T17:12:08Z,0
Day 3 complete 🥰 Thank you..feeling good,Mersina K,2021-04-26T02:50:54Z,0
So wonderful to think of my favorite dogs....and my breath is my anchor....my anchor is my breath.,Sarah Guy-Levar,2021-04-25T21:12:56Z,0
Music for relaxation,freda wilkinson,2021-04-24T21:15:30Z,0
Day 3 done! Consistency is king.,Temaine Wright,2021-04-24T14:32:36Z,0
"Anyone starting at the end of april, were in this together!!!",Beedeebee,2021-04-23T21:02:49Z,1
Good,jayasudhan s,2021-04-23T13:13:40Z,0
"Starting very late this year, thank you for being a part of my recovery from long covid.",Fra Donaghy Music,2021-04-22T21:15:03Z,0
"I just started this and am loving it, because I have Benji in the form of a cat. Only the cat wants to lie on my mat. Right when I&#39;m coming down from downward dog or plank. I guess I&#39;m getting a cat sized yoga mat?",Yoshi9000,2021-04-22T19:35:13Z,0
I feel so blessed to be able to take part in this practice 💖,Melly Silva,2021-04-22T19:10:33Z,0
These 34 minutes passed in the blink of an eye😇,Pankhuri Gupta,2021-04-22T14:27:35Z,1
Everyone. Wear yoga pants. Joggers won&#39;t work. :&#39;),Shilpi Mandal,2021-04-22T03:39:40Z,1
Namaste &lt;3,Jenin Husseiny,2021-04-21T19:59:34Z,0
"started in april &lt;3 as soon as we started to repeat the mantra &quot;My breath is my anchor, my anchor is breath&quot; i felt so emotional because it really hit home for me, struggeling with panic attacks and trying to remind myself in those times of my breath, this mantra gave me sense of control and power, my breath really is my anchor",Sobbie,2021-04-19T07:56:44Z,1
"My thoughts exactly ! I thought instantly of my panic attacks, and how great this mantra would be to keep me calm.",Melly Silva,2021-04-22T19:11:49Z,1
Thank you so much for this latest 30 day challenge.  I&#39;m loving it.  You really are quite a remarkable teacher.,Ruth Clyndes,2021-04-16T23:36:42Z,0
On day 3 and already feel the boost up energy and calm in me🙏 namaste,Mina Yazdani,2021-04-16T21:10:14Z,0
Rising from a low lunge to warrior 1 was such a powerful feeling. I audibly said “wow”.,Sarah B,2021-04-16T21:08:19Z,0
back for day 3 today! thank you.,apple,2021-04-16T16:35:26Z,0
Alhamdulillah for Ramadan x Breath day 3. Really helped to root and support some of the trickier poses with my breath.,Amina Koroma,2021-04-15T09:26:23Z,1
This practice is about to be awesome!,Dustin Query,2021-04-15T00:54:11Z,1
"As predicted, this practice went phenomenally!!",Dustin Query,2021-04-15T01:31:25Z,0
i just love these classes,Jana Kurucova,2021-04-14T05:44:18Z,0
"At first I thought you wouldn’t stop talking in this specific video, I thought I click on a therapy video rather than a yoga video, the beginning was way way way too much talking, but then it got better hopefully tomorrow is less talking in the start.",Melissa Moreno,2021-04-13T23:41:52Z,0
Namaste 🙏 3,Karen Wilson,2021-04-13T06:27:56Z,0
"Day 3 Completed ( April 11, 2021) Thank you for this session. Till tomorrow 😊",Cherry Lene Hernando,2021-04-11T15:18:02Z,0
who ever is here in april 2021 i have your back! this is the first time i’ve really sat down and wanted to do yoga as a part of my everyday life! I’m already obsessed! I hope whoever is reading this has the power to do amazing things! stay motivated you have this!,Ellie Mackintosh,2021-04-10T08:07:04Z,2
"On my second round :)<br />Every day slowly introducing more of the foundation-serious into my practice for more awareness and accuracy.<br />So thankful for this opportunity, adriene &lt;3<br />It&#39;s the one thing that gets me out of bed and my depression-bubble these days :)",Töchterchen Frost,2021-04-09T10:05:18Z,1
Thank you.,Fer-De-Lance,2021-04-08T16:18:39Z,1
"Doing this series this month and just sent it to my sister who finished thyroid surgery a little while ago and is recovering physically, emotionally, and mentally. You are such a caring and patient teacher that I knew she could follow along and not feel left behind. Thank you Adriene from the bottom of my heart.",Tiffany Chiang,2021-04-08T15:18:50Z,1
"Extended child’s pose - so totally could have fallen asleep, it’s my favourite. Very aware of my big toes touching and the wave of my torso breathing. Thank you, found it hard on my wrists but rewarding",Helen Butterworth,2021-04-08T09:59:52Z,2
Adriene! you have created a community of love and safety! i am so proud of all of you and i love you❤️keep showing up for yourself,Roisin Sousou,2021-04-07T21:56:34Z,2
❤️❤️❤️❤️❤️❤️,passant hassan,2021-04-07T08:43:12Z,1
Thank you SO much Adriene and Benji for helping us get through the pandemic!,SDNR Community Engagement,2021-04-07T01:26:42Z,1
"Wow Adriene,  you said our beautiful bellies.&quot; I have NEVER said that about my belly...,ever. I am 51. Yoga is about the breath and the mind. I need to start saying to myself that my belly is beautiful. You worked on my breath, my body, and my mind today.  Thamk you. ❤",Yvette Bennett,2021-04-05T16:14:28Z,1
The motivational words in between really makes you adhere to ur goal<br />Thank you namaste☺️,honest by self,2021-04-05T02:00:17Z,3
💖,Jelly Beans,2021-04-04T03:07:19Z,1
Doing the challenge in April!,petithobbit,2021-04-04T01:57:34Z,2
"Hello , Day 3 Got up and made it to the mat was harder then I thought .But I made it ,",David Cates,2021-04-03T20:20:02Z,2
"Had a great session, thank you Adriene :)",connor haas,2021-04-03T16:52:26Z,1
"April 3, my day 3. Let&#39;s go",Pam Be Better,2021-04-03T13:51:27Z,1
"That was awesome! Feeling super strong after that, slow yoga is definitely my favourite. Your guidance enabled me to correct myself more than I&#39;ve ever got in a class before! Thank you Adriene &lt;3",Anna R,2021-04-03T13:47:24Z,1
🤍,Read 1Q84,2021-04-03T12:48:44Z,1
Oooo it&#39;s chilly this Good Friday.  Hopefully this will warm me up. Anchoring our energy.,Archangel Revelations,2021-04-02T15:23:16Z,2
"I loved this practice! and you made me laugh like three times, especially with your downward facing dog dedications- &#39;dedicate it to your friends, maybe its more of a d-a-w-g&#39; 😂😂😂",Raluca,2021-04-01T09:18:21Z,1
"day 3 of yoga with adriene, day 3 of crying during yoga",Gabi Pinto,2021-03-31T16:08:23Z,1
"My breath is my anchor; my anchor is my breath. So easy, so helpful. Thank you 🙏🏻",Jane Scanlon,2021-03-30T16:05:21Z,1
Thanks for the great intro into ocean breath!,Jana Lebensverliebt,2021-03-29T07:22:31Z,1
"Wait, I can hear Adriene&#39;s heartbeat? I kept freaking out because I thought my heartbeat was that fast. It&#39;s odd. Loving this so far. I really got a boost in energy at the end of the first session, but after two session I had a lot of lower backpain, like a disc that slipped, not an uncommon pain for me. Picking this up after my weekend.",Sulicius,2021-03-29T07:17:53Z,1
"with the bit at the end, on the floor, i got to witness the beautiful sight of all the dust under my wardrobe that has accumulated for the past 3 years! 😀",Alex,2021-03-28T19:19:31Z,1
🙏🏼,mkhadjavi,2021-03-27T07:17:17Z,0
thank you so much for this I really appreciated and it calmed me from such a stressful wack week 😌,Alice Liu,2021-03-26T11:23:27Z,0
"you&#39;re killing me with these downward dogs.... ive been much less active since before corona (used to cycle to college everyday/walk around a lot, now not at all) and really feeling how tight my legs have gotten from sitting all the time. by the end of the month i might be able to put my heels on the ground again lol",o o,2021-03-26T11:16:54Z,0
Thanks for a great yoga session today Adriene!,Norma Lisoy,2021-03-25T17:18:14Z,0
I was having a hard time today and this session really was a great help for me!! you&#39;re such an awesome instructor. Thank you so much. Startng a bit late but  I hope I can continue doing this.,Negin Msh,2021-03-25T16:00:08Z,1
"Good morning to all, day 3 Namaste 🙏🏻",Beasehole,2021-03-25T13:01:05Z,0
Loved today&#39;s practice. Its so nice to practice in the early morning before study and work so I can take these lessons with me for the day. :) thank you,sinead k,2021-03-25T06:40:20Z,0
"Wow, I loved today&#39;s practice! It gets a bit quicker with the things we already did in the last classes and you add more things, and it gets really entertaining and relaxing. I loved it!",Daiana Chaves,2021-03-25T02:18:59Z,0
