comment,id,date,num_likes
"Replenish that which needs to be replenished, so that you can feel good. The world needs you feeling your best. <br /><br />Cue the ripple effect.",Yoga With Adriene,2021-01-06T14:20:41Z,1295
@Gemma Hirst same. It was rough getting started. But I&#39;m so glad I pulled through. I genuinely feel mood did a complete 180 thanks to this practice 😌💖,Vannie Sevilla,2021-04-28T20:40:56Z,0
🙏,zora bel,2021-04-19T15:15:16Z,0
"After everything I did yesterday, I needed that.  Thank you Adrienne.",Fer-De-Lance,2021-04-10T17:03:31Z,0
@Ashley Downton I think she is in far west Texas. It is very serene.,Beth Stahl,2021-03-12T21:38:13Z,0
this felt soooo good! thank you Adriene!,s y,2021-03-10T17:01:15Z,0
Day 5 is done ✅<br />I should work on my upper body strength more 😅💪🏼,sarah K.Mansour,2021-05-05T21:12:26Z,0
"I legitimately almost cried at the end, and I&#39;m not even sure why.",Brenna Wiley,2021-05-05T03:51:59Z,0
Day 5 check ☑️,Tv.Ankita,2021-05-03T03:28:44Z,0
your smile brings hope and joy.,Mugdha Chaturvedi,2021-05-02T05:25:57Z,0
"Day five, April 30th: I really enjoyed this one! Learned something new and I&#39;m getting better at the lunges and planks.",CaffeinatedLady,2021-05-01T02:00:35Z,0
"Mmkay. Day 5, April 30th :)",Cat Cat,2021-04-30T14:39:22Z,0
Who else hears the intro and outro music and feels super safe and cozy. Like home.,Julia Okerlund,2021-04-30T08:37:38Z,5
Yes Day 5 complete thank you ❤🙏,Mersina K,2021-04-29T21:18:54Z,0
Adriene thanks for taking us step by step in this journy. I feel better every day and that I&#39;m in good and caring hands,Moranino,2021-04-29T17:09:23Z,0
DaY 5 = thAT wAS toUGH,MOMENT,2021-04-29T15:32:56Z,0
in A goOD wAY,MOMENT,2021-04-29T15:33:05Z,0
Today was the hardcor 🥵🥵,Sneha Gund,2021-04-28T10:09:53Z,0
Good,jayasudhan s,2021-04-27T12:23:11Z,0
Awesome! Thank you!,Jan Skantz,2021-04-27T05:00:46Z,0
Day 5 complete. That was tough !,Temaine Wright,2021-04-26T14:16:40Z,0
Namaste 🙏,Suus,2021-04-25T08:03:11Z,0
Thank you Adriene ❤️,Patricia Brizuela,2021-04-24T02:27:25Z,0
Namaste &lt;3,Jenin Husseiny,2021-04-23T19:01:21Z,0
Thank you 🙏 Namaste,gana jargalsaikhan,2021-04-23T05:44:49Z,0
So fast! Hard to keep up,Jack Maxwell,2021-04-21T21:38:01Z,0
"back today! this one was harder especially as someone that hasnt done yoga lol! but again, very appreciated.",apple,2021-04-18T16:17:48Z,0
"I participated in the other yoga journeys in the past years, for some reason this one drives me nuts, I feel so bored all the time :( I am not sure why but I will keep trying.",Julia s,2021-04-18T12:41:51Z,0
Here for day 5!! who&#39;s with me??,The World n Us,2021-04-17T11:09:46Z,1
I loved this! Xx,Kirsty McKee,2021-04-16T13:13:56Z,0
I’m so glad I found your videos. They are helping me a lot with not only my physical health but my mental health as well,Kyrie l,2021-04-16T01:05:00Z,0
"I am grateful, this afternoon, to be participating in the &quot;Breath&quot; journey!",Dustin Query,2021-04-15T19:26:47Z,0
okay... benji is a blessing because the second I lay down for yoga time my heeler attacks my face with kisses right when I get into a position where I can&#39;t escape her.... lol,Sarah Brady,2021-04-15T01:48:32Z,0
"Day 5 Complete (April 13, 2021) ❤️😊",Cherry Lene Hernando,2021-04-13T15:21:13Z,0
Thank you so much for this amazing video ♥️ I feel great!,Magdalena Karakaya,2021-04-12T06:12:27Z,0
Think this may of been my favourite day so far! Love when you can feel the burn when doing yoga!,catriona lauder,2021-04-11T16:29:02Z,0
"This one had me working today, damn haha Thanks Adriene =)",Joseph Agudelo,2021-04-10T14:04:58Z,0
Day 5 was so great!,Adriana Zamora,2021-04-09T23:48:35Z,0
Such a beautiful practice! I welcomed the heat loved it so much! Thank you so much Adriene! 😁,Warrior Spirit Teachings,2021-04-09T22:10:43Z,0
The pigeon toed downward dog felt amazing! Never tried that before.<br />Thank you. ❤,Yvette Bennett,2021-04-09T15:04:52Z,0
Day 5 in the books! Proud of myself 🌻,Elisa Simmons,2021-04-09T00:12:30Z,0
"&quot;Thank you very much&quot;  lol I love her! Amazing practice, amazing message, simply amazing journey ❤",Christen Kotschwar,2021-04-08T02:42:18Z,0
Day five check <br />High five on replenishing the good ones.<br />Thank you namaste,honest by self,2021-04-07T00:14:54Z,1
Day 5 (Replenish) is definitely my favourite so far in the BREATH 30 Day Yoga Journey! I am 5 days in and I loved the pace of this video. I really enjoyed how quickly we got to move between the poses because some days my mind tends to wander when holding a pose for 20-30 seconds but when we moved between the downward dog and the warrior poses all my thoughts left and I could truly focus on Adriene&#39;s voice:)<br />Thank you Adriene for giving us this channel to escape to when we need it!,Kate Moore,2021-04-06T15:52:05Z,1
Those eagle twists! Thank you for the guidance. 🙏,petithobbit,2021-04-05T23:40:19Z,0
Wonderfull (i did it!!! Still on my Way : 5/4/21),Salima D'Antuono,2021-04-05T20:47:23Z,0
I planted it into the Earth and then I cried for a bit.,Archangel Revelations,2021-04-05T18:33:08Z,1
"Thank you for this work out ,got the vaccine shot and my arm is talking to me . But I came and finished ,",David Cates,2021-04-05T13:33:01Z,1
🤍,Read 1Q84,2021-04-05T12:05:51Z,0
whew! that was tough! recovering from surgery and this series is helping me regain strength. 🙏🙏🙏,Becca Brown,2021-04-04T19:51:25Z,0
Anyone else doing this in April? :3,Tamara Marie Ida,2021-04-04T03:10:18Z,7
@Kate Moore Yesss &lt;3,annikid,2021-04-06T22:22:10Z,0
Yes!! Just started this 30 Day Yoga journey on April 2nd!,Kate Moore,2021-04-06T15:54:44Z,1
It is the first time that I saw Benji awake,Menar Pamukçu,2021-04-03T20:17:56Z,0
"So much love love love to YOU Adriene🌱 i’m just getting started even tho I knew about 30 day joga journey, this is the moment I feel it’s the best for me to recover, to feel the spring, new life, new energy and the hope for the power of letting go of the old,bad, unhealthy habits,thoughts  and relationship that came along the way recently. <br />Thank you🌿🌼❤️",Sofia Csiffáryová,2021-04-03T16:56:16Z,0
"Reaching 5th video in 3 weeks.... Oh well, whatever works 😅",DonOnnie,2021-04-03T11:41:41Z,0
So nourishing!,Sonia Feder-Lewis,2021-04-01T17:58:45Z,0
"I have never been able to stick with any kind of workout daily, but this makes my day better, can’t wait for tomorrow",Erika Luna,2021-04-01T03:03:51Z,0
Exactly what i needed! Thank you Adrienne,Maria Vardikou,2021-03-31T20:41:34Z,0
"Wow some moves I couldn&#39;t do today, but I couldn&#39;t do downward facing dog or plank just a few short weeks ago so maybe someday <br />🤞🤞🤞🙏🙏🙏",Lora Edmiston,2021-03-30T14:31:34Z,0
I had skipped a day of yoga before this session so when I saw a 23 minute session called “Replenish” I was kind of bummed because I thought it would be super easy and restorative. Ummm I was wrong 😅 this session made me break a little sweat. Yay ❤️,par_kor,2021-03-28T14:20:07Z,0
Day 5 ...definately the hardest day so far...but feel so good after 😃,sinead k,2021-03-27T17:16:20Z,1
"gonna repeat this Day 5 for 2 more days, so far the best day ! &lt;3",Vic Boss,2021-03-27T12:59:14Z,0
"Good morning day 5 ☁️🌤☁️Was a harder one this morning.. many distractions, dog running around getting into things. Did my best to not get roused by emotion and remain grounded/let go. Not all days will be ideal namaste 🙏🏻  ❤️",Beasehole,2021-03-27T12:30:58Z,1
feeling reborn,Anna Utkina,2021-03-27T09:00:50Z,0
Namaste. &lt;3,Shanna Froust,2021-03-26T14:33:33Z,0
thanks for the body shakes- I&#39;m back at it after a few months rehab from surgery and it feels good to be back!,Beth Larkin,2021-03-26T10:19:55Z,0
Thank you so much!!🥰,Julia Dr,2021-03-26T07:11:04Z,0
Done with day 5.🙏,Self Love coach,2021-03-26T05:27:30Z,0
Adrienne I skipped a day between 4 and 5 and was just wondering if this was dangerous??,Joseph Plourde,2021-03-25T23:46:29Z,0
"Dumb me--yesterday&#39;s workout was a little too easy, so I scrolled through the library looking for something harder. Then I thought, no, I&#39;ll just keep going and see what happens. Well, this workout was just the ticket. I&#39;m already feeling my body responding to these workouts. Just what I needed.",Lisa Scovill,2021-03-25T15:16:42Z,0
Day 5: I started this journey on 21 March. I am inspired by all of you lovely people and I got this idea (on day 4) to leave a comment every day after each session. I rarely finish things like this so if I can do it then you can do it. Look for my comment each day and know you&#39;re not alone. Breathe.,Stefana Lavinia,2021-03-25T12:12:18Z,0
"@crazytlccool hi! Oh yeah that was hard! I struggled with the arm twist at min 8, there’s blockage in my shoulders, particularly the left.. I’m curious to see if it will loosen up",Stefana Lavinia,2021-03-27T22:15:18Z,0
Hey Stefana! Nice to see you again! I noticed more motivation for todays practice. Those twists during downward dog though... oh my! Am I doing this right? lol!,crazytlccool,2021-03-27T18:17:50Z,1
Thank you for being here to help me on this journey.,Lexie Houchins-Park,2021-03-24T22:10:27Z,0
Thank you!!!❤❤❤,Narayanamma M,2021-03-24T05:38:58Z,0
Thank you..!!,urmila ramakrishnan,2021-03-24T04:29:42Z,0
"hello to all my late starters :) You CAN do this, one day at a time i believe in you",gabriella de simone,2021-03-24T02:34:44Z,2
best one so far :),Dagmara Aulich,2021-03-23T11:50:39Z,0
My favourite day so far!,Stephanie,2021-03-23T07:46:01Z,0
My shoulders cracking when we did that locust pose 😳,sofia c,2021-03-23T04:58:41Z,0
"I thoroughly enjoyed day 5! I really do feel replenished. Adriene, thank you 🙂❤️",Thulani Mbombo,2021-03-22T20:36:35Z,0
I was already scratching the back of my neck when Adriene said &quot;Try not to fidget here&quot;. I felt so guilty haha...,S T,2021-03-22T18:48:52Z,0
🙏❤️,Clare Lora,2021-03-22T02:34:09Z,0
Thank u mam,maharshi,2021-03-22T01:52:30Z,0
For anyone who may be struggling through these like me because of chronic illness or you’re in a postpartum state (both of which are my current state) you can slow down the speed  by clicking the right ellipses in the corner and select playback speed. She sounds a little drunk 🤣 but helpful when moving hurts or creates pain 🖤,Hey Addles,2021-03-20T17:47:53Z,0
"While I was doing this practice, at least 80 other people all over the world were doing it with me (it went from 1,491,208 to 1,491,288) and I know I&#39;m not alone! I have this incredible community growing with me. Thank you, Adriene!",Camila,2021-03-20T13:31:48Z,0
oh nice,Damian Bouchan,2021-03-19T18:32:13Z,0
Cute dogo POG also who is here from a class,Cortez Sotelo,2021-03-18T20:22:08Z,1
I love how Benji is so relaxed during class. What a beautiful location. Loved today’s journey. 🙏🙏🧎🏻‍♀️🧘‍♀️,Ms. Tokarz,2021-03-17T13:20:34Z,0
"Excellent, thank you Adriene ❤️🙏🏻☺️",claudia corsetti,2021-03-17T08:30:33Z,0
OMG THIS IS SO NOT REPLENISHING AT ALL 😆🥵,Lit Clothing,2021-03-17T06:15:29Z,0
Thank you to anyone who did this with me today ❤️,Ahana,2021-03-16T04:14:17Z,10
Day 5😊,Nflower Celik-Alvis,2021-03-16T00:20:02Z,1
That was my first time doing a twist in down dog. I appreciate how you built the stability to be able to reach that point. Great class!,JenniferC77,2021-03-15T15:28:53Z,0
thanks &lt;3,Lieke Huijbregts,2021-03-13T22:07:04Z,0
"I don‘t know what it is, but this is the best practice for when I have a headache. After 2/3 of the video I feel a sensation in my spine and neck, and by the end of the video my headache is gone. Works every time. Thank you so much Adriene!",rinarin,2021-03-13T17:40:16Z,0
"I complained to myself the entire session..and then I realized we were finishing up and then was sad for not appreciating the short sweet today.<br />It was hard!! I have major stiffness issues and the twists always almost make me cry because I can barely do them. But I know if i keep going how good I&#39;ll feel, and how much easier it will be later.  I forgive myself for not keeping up. I forgive myself for the mental turmoil I put myself through after getting sick and not being very patient.. I forgive myself for not being patient when I needed to do several variations to make it through today. Looking forward to tomorrow. 👑",Amanda,2021-03-11T15:53:53Z,0
Big difference between Day 5 and Days 1 through 4. This has become a lot more  challenging.,Debbie Dananberg,2021-03-11T13:36:43Z,1
This one is really challenging. Got my thighs trembling on that middle part. But thanfully finished it. Namaste everyone! You got this! 😇🙏,Jenny G,2021-03-11T10:09:52Z,1
I felt very exhausted and unsatisfied when i remembered i still had yoga before bed. it&#39;s difficult to avoid the temptation to just go straight to sleep but now I am feeling very exhausted... and satisfied!! i&#39;m so much more at peace and i&#39;m getting close to happy tears right now 😊 to anyone seeing this: have a wonderful day/night! we love you. i am proud of you.,Roonil Wazlib,2021-03-11T03:18:40Z,1
¡Dulce! Thanks a lot!,Flory W,2021-03-10T14:35:11Z,0
"Hi all, I started this series on March 6. Done yoga exercises before but wanted to do something special for myself, just having started retirement. I already love the slow, but powerful, flow of the sessions. A practical thing: How do you people avoid sliding on the mat in downward facing dog? I tried naked feet and then socks, but I feel I need to apply extra force just to remain in the pose. Any tricks out there for the best way?<br />I am in Denmark by the way. <br />Poul",Poul Ravn Sørensen,2021-03-10T10:15:37Z,2
I did day 5 today and felt that things are getting serious now 😅,Marion Conan,2021-03-09T16:54:25Z,1
"Awesome yoga session ! We did it at 0.75 speed wich was the perfect speed for us this morning and we had a little jiggle because you sound a little tipsy haha we love you Adriene. Thanks for being part of our lives, my boyfriend and I, each and every morning since 2 weeks. Sending love from Quebec, Canada xoxoxoxox :)",Crystal-Mary Rouleau,2021-03-09T15:03:58Z,0
"Forgot how challenging this particular practice is! Felt so awesome to return to it and find that in just over a month, I have grown so much stronger and move with a little more ease. 120 people practicing at the same time. Blessings to all!",windjourney,2021-03-08T16:43:52Z,5
I always feel so good after these practices!,Megan comer,2021-03-07T22:32:40Z,0
Thank you Adriene ! Love you! Love from İstanbul !,BETÜL ÖZGE,2021-03-07T16:28:46Z,0
"If only you knew, how you hit my every chore with everything you say..every day..<br />I send you SO much love and light Adriene ❤️ God bless all that you say and do ❤️",Rawa Mehdi,2021-03-07T08:22:04Z,0
"Struggled with making it to the mat today, the last two days I haven’t been eating as healthy as I should be and I’m feeling a bit sluggish. I’m so glad I made it though! Thanks for this practice. Happy day 5 everyone! ✨",Cira C,2021-03-07T08:00:20Z,1
"Beginner here, &amp; day 5 in March. I can do this challenge. I got this :)",Belle Princess,2021-03-07T07:30:57Z,1
"Update: My wrists hurt so bad in 1st class. Then again in the 2nd. Not so much in 3rd. Today, my right wrist hurt only a little near the end. Amazing to see such fast progress in my joints.Thanks Adriene :)",Belle Princess,2021-03-07T07:57:21Z,0
Trying not to be mad at myself for realizing how tense and stiff my body is and how hard i find it to do the poses and the flows correctly. it&#39;s difficult but hoping I will see a difference at the end of these 30 days..!,Annaland,2021-03-07T07:28:29Z,1
"Thank you Adrienne. I had a choice today to have a good day or a bad day. I chose good, thank you for being a part of my good day. I&#39;m feeling stronger already, more able to listen and breathe on the mat.",Taylor Hill,2021-03-07T01:05:40Z,0
"Thank you Adrienne for your beautiful nourishing way. It is so very therapeutic. You have such a gift. This is a wonderful journey helping so many people, myself included. Just what we need right now to heal and move forwards.",Kate Rowles,2021-03-06T18:37:03Z,2
"Oh, Adriene! I am incredibly grateful for what you are sharing with us! Since May 2020, my life changed completely - just because I come back on the mat with you every day! Your words are as soft as the overall mood of your videos! I love it! Thank you so much! Namaste",Luiza Preda,2021-03-06T06:25:58Z,1
