comment,id,date,num_likes
"We continue to dedicate time, attention and energy to finding conscious breath. <br />Informing the brain on what that looks like, the body, what that feels like.<br />Finding yourself. Find What Feels Good. <br />Gift yourself this time to search for sensation, for meaning.<br />Maybe it’s time to deepen your relationship with yourself?",Yoga With Adriene,2021-01-24T14:38:55Z,594
Thank you.,Fer-De-Lance,2021-04-27T14:52:12Z,0
Thank you Adrienne. This brings clarity before my biig move out into the world again after Covid. You have no idea how influencial you have been in my journey toward stability. Thank you for bringing me back to this place today to practice with you and my fellow Yogiis! &lt;3,Amber Rose LOVE,2021-03-30T20:48:52Z,0
💖,Sally Ogden,2021-03-09T10:52:10Z,0
🙏,Ernest Warkentin,2021-01-30T09:47:55Z,0
:),Valerie M,2021-01-25T20:54:12Z,0
Thank you!,Sharon Robinson,2021-05-09T06:30:40Z,0
"Day 23 and I&#39;ve had a moment with my breath and body during the ascension into Mountain Pose that put things into a newer perspective for me, and carried me throughout the remainder of todays Yoga. Beautiful stuff, Adriene :) always a pleasure to share my mornings with your spirit &lt;3",TheKnownEnergy,2021-05-03T22:33:07Z,0
Obrigado! :),Joeffison Andrade,2021-05-03T17:10:06Z,0
Day 23 Completed (May 1 2021),Cherry Lene Hernando,2021-05-01T14:31:16Z,0
Who else is late to this party? (You can’t be late if there is no schedule) 💜,Cláudia Almeida,2021-05-01T09:57:20Z,0
🙏❤️,Clare Lora,2021-05-01T03:50:45Z,0
Thank you Adriene!!❤😇<br />I just love this: lots of love in and lots of love out🤗,HARSHITHA R,2021-04-28T06:17:11Z,1
💜✝️🛐💜,2fortheloveofgod,2021-04-24T21:29:48Z,0
In love (23/4/21),Salima D'Antuono,2021-04-23T19:27:00Z,0
"Good Morning  to all ,made it to the mat and left it in thought again being dedicated to myself for any 1 reason almost sounds selfish . But the centering on breathing helps to bring the world into a clearer view and it is a nice tool to help center yourself when things go a little weird .",David Cates,2021-04-23T14:14:59Z,2
💚,Nadine Leon Gobet,2021-04-21T08:56:03Z,0
Forel,Aleyah Aldeen Magbojos,2021-04-19T02:38:36Z,0
The love of Adriene for Bengi in today video melted me &lt;3,Arya Ngo,2021-04-17T01:18:09Z,0
"So beautiful....Thank you, Adriene.",Kun Wang,2021-04-15T17:39:12Z,0
"Wow, first time I do a practice with you with my airpods on and damn, I can listen to your heart beat all the time! I got emotional x",souslalune,2021-04-15T12:14:13Z,0
"Day 23 First time I haven’t attended upon waking up. Was slightly upset, thrown off course of my daily routine.  However the sun is shining and so are all of us, regardless the time of day or routine fall out. All is well 🙏🏻 ☀️ sending love to you all ❤️ 🌳",Beasehole,2021-04-14T20:04:56Z,1
Thank you for what you do!,MissSophiestication,2021-04-11T19:38:00Z,0
Thank you Adriene. Today coming to the mat allowed me the space to pause and put my finger on what is stressing me out about my day. I found out I just have a lot of commitments and I&#39;m scared they are going to take away the &quot;me&quot; time Im craving.,Taylor Hill,2021-04-11T15:14:26Z,0
This was the best one yet for me personally; thank you for allowing me to feel Adriene,Stefanie W.,2021-04-09T22:54:27Z,0
"I’m a bit late following this 30 day practice, but I’m loving it all the same. Today was very special for me, today and for the past e days my son has been in hospital on ITU in the UK, fighting to overcome the effects of too many recreational drugs. It is heartbreaking to sit and just watch him go through such a dark journey alone. I’m not religious so cannot pray for him, but today I felt I was able to dedicate my practice and send him some additional love and energy to help his fight. Thank you Adriene. Jude",Judith Hornsby,2021-04-08T07:13:59Z,0
"Thank you, Adriene for the practice",Anastasia Babenko,2021-04-07T14:57:30Z,0
Beautiful session,barbara callebaut,2021-04-04T09:54:13Z,0
I have been the most anxious I have ever been in my life these past two weeks and I have felt immense comfort in your videos Adriene. Thank You (:,Sarah Parry,2021-04-04T01:04:49Z,0
I loved this video. It was very peaceful. Thank you very much,Cynthia Tricot,2021-03-31T07:47:32Z,0
"After practice: I noticed a sliight opening in my hips and theighs again which was nice. When you said we are focusing. I giggled. I have a million thoughts during yoga, but you always bring our focus back to the source of love. I find new angles and positions each time and can get feel it stretch deeper aspects of my muscles and that allows for nerve endings to be free again. I am so happy that you decided to make these videos for people with chronic pain, emotional and physical and alot of nerve damage and lung damage from the bad habits I have accumulated over the years and thought I got rid of. My perspective on my life has changed tremendously. Thank you Adriene &lt;3",Amber Rose LOVE,2021-03-30T21:28:59Z,0
"I&#39;m slowly, but surely working on the 30 days.)",Kathy K.,2021-03-25T23:41:55Z,0
Day 23! Slowly rising from the ashes :),Belle Princess,2021-03-25T14:11:37Z,0
