comment,id,date,num_likes
"Don’t decide where it ends. <br />You have the tools to explore space and sensation. <br />Move slowly, and mindfully. I invite you to stay open.",Yoga With Adriene,2021-01-18T14:14:43Z,761
Thank you.,Fer-De-Lance,2021-04-22T12:02:16Z,0
Día 17 ✅,Víctor Gauto,2021-02-17T15:07:52Z,0
Thank you ❤️,may loveslife,2021-01-28T10:56:02Z,0
"Thanks for sharing your knowledge with us, we are here, were are present,greatings from Buenos Aires Argentina 🙏🏻",Mariela Cristina,2021-01-27T10:02:27Z,1
"Came to the mat completely knackered after a loong day. Now feeling refreshed, happy and calm. Thank you. Truly wonderful practice❤",zofaja Z,2021-01-22T20:03:30Z,0
thank you adriene we all love you,Soud Hagag,2021-05-08T15:55:47Z,0
Can anyone explain to me why this made me lightheaded? Intrigued by the science,Rachel Kenny,2021-05-08T10:25:39Z,0
Mmm that felt so good today.,Caroline Benzel,2021-05-05T14:36:20Z,0
"Definitely a day im coming back to, thanks adriene :)",Steven Sicari,2021-05-03T01:18:36Z,0
"I just want to say thank you for doing this, my body and mind feel more at peace since I started this 30 day challenge. At first I wasn&#39;t sure how long I&#39;d last, now I&#39;m confident this was a new path for me and these first thirty days are only the beginning.",Parker White,2021-05-02T02:57:34Z,0
"really enjoying this - today I changed my time for doing it and really felt more energised after it. Started my day not feeling very positive and struggled to get to the mat, but when I did push myself I felt so much better. Thank you",Jackie Haughie,2021-04-26T14:48:46Z,0
Day 17 Completed ❤️ ☺️,Cherry Lene Hernando,2021-04-25T15:49:39Z,1
Thank you! Have a nice day. :),Joeffison Andrade,2021-04-22T06:39:52Z,0
Thank you❤❤❤😇,Narayanamma M,2021-04-22T02:25:02Z,0
Thank you Adriene😇,HARSHITHA R,2021-04-21T02:05:47Z,0
Love it! 17/4/21,Salima D'Antuono,2021-04-17T21:21:50Z,0
Got to the mat on another Saturday morning and the world is bright as lease in WNY today . See you tomorrow .,David Cates,2021-04-17T14:12:36Z,1
feel good~~ 17.04.2021,Jessica Tan,2021-04-17T01:45:08Z,0
Thank you Adriene for the wonderful practice.,Paramita Moitra,2021-04-16T06:27:53Z,0
Thank you...!!!,urmila ramakrishnan,2021-04-15T08:35:49Z,0
🙏❤️,Clare Lora,2021-04-15T02:47:15Z,0
"That’s the first time to comment here but I’ve made. It to day 18 because of you, very grateful for you Adriene 🤍🌿 I truly love you<br />Blessings from Egypt",Disha Freestyle,2021-04-13T14:06:42Z,1
"Appreciating the positivity brought with each day and active practice. Much thanks Adriene, sending love to you aswell 💕",Beasehole,2021-04-08T13:03:50Z,0
Team Doing Day 17 on April 4th even though I started Jan 1. Slow and steady!,Kate Killet,2021-04-04T17:16:59Z,1
Big fan of YWA in general. Maybe its just me today but this one was especially great for me. Thank you!!,Caleb Ferguson,2021-04-01T13:15:49Z,1
