comment,id,date,num_likes
We are at the halfway mark! You are doing great!<br /><br />Do you notice anything changing or evolving? Did you find something new today?,Yoga With Adriene,2021-01-16T14:49:13Z,897
Yuppiieeee....me reached here,Delhi Locals,2021-04-27T13:55:01Z,0
Thank you.,Fer-De-Lance,2021-04-20T16:16:04Z,0
Yes! I feel so different. I has become part of my day. I do the challenge first thing in the morning and the rest of the day is heaven! Thank you Adriene,Sachin Solomon,2021-04-11T02:52:30Z,0
Today plank was easy ;),Nadine Leon Gobet,2021-04-07T08:44:30Z,0
"Hello Adriene from Scotland🏴󠁧󠁢󠁳󠁣󠁴󠁿<br />I am proud of myself for showing up. I feel that I have a new friend now, meeting you every morning. Thank you for your warmth and kindness. <br />My body feels stronger, with more space, cleaner breaths and less stiff joints.<br />More than anything I’m loving the dopamine rush after working out. It helps me to meet the day in a happy way. Namaste 🙏",skyscraperwean,2021-03-27T11:26:49Z,0
"I&#39;m a few months late doing this journey but loving every minute!! With three kids 6 and under, my preference is to practice in the morning to start my day consciously. It doesn&#39;t always happen but its amazing at any time of day either way. Thanks Adriene!",The World n Us,2021-05-07T15:53:48Z,1
İt has Been a while since i wasnt on the mat and today with this amazing video İ come to realize how much i missed yoga and adriene!!! You are the best💐💐💐💐,Sedef Kafa,2021-05-02T23:14:11Z,0
"I&#39;m really enjoying the yoga, even though I&#39;m not as flexible as you Adrienne, but I&#39;m hooked.",Fiona Beckett,2021-05-02T22:11:22Z,0
I do my own home practice each weekday and one of these classes every Saturday. So this was week  15 for me. These classes are very doable but also challenging. A perfect balance. Thank you Adrienne. This is quite a blessing.,Fred Cohen,2021-05-01T12:41:00Z,0
Amazing!,ASA,2021-04-29T02:19:58Z,0
i was quite reluctant to show up today but i am very glad that i did! and i&#39;m happy to say that i kept up with the faster pace as well. thank you!,apple,2021-04-28T16:26:10Z,0
Entering my 25 happily with today’s practice🙏,Dashka D,2021-04-25T15:34:46Z,0
happy 25th!!,apple,2021-04-28T16:26:22Z,0
&quot;Good old leg baby&quot; i almost had to pause the video from laughing 😆😆,E Stern,2021-04-25T03:48:32Z,0
My cat is also called benji and came and joined me at the same time as the dog right at the end there. I love synchronicity. Thanks Adrienne,Meirion Hughes,2021-04-23T11:27:57Z,0
Day 14 Completed (April 22 2021) Thank you 🙂,Cherry Lene Hernando,2021-04-22T15:40:58Z,0
"Made on incorrect entry haha. This should be Day 15 (April 23, 2021) I&#39;m saying yes to Day 16. 🙂",Cherry Lene Hernando,2021-04-23T14:52:34Z,0
Adriene&#39;s videos make me both laugh out loud and cry. I love her and this series so much! It has helped me slowly but surely get back into practice since quarantine started last year and I couldn&#39;t go back to a studio. Thank you for being such an authentic person and instructor!,Jessica Coffey,2021-04-20T18:19:46Z,0
Halfway completed! Feeling awesome<br />Thank you namaste,honest by self,2021-04-18T03:21:07Z,1
I’ve never been able to touch my toes standing but 15 days in and it feels easy let’s goooo,Jared Stiger,2021-04-15T18:18:20Z,0
"Thank you, to those that have helped me on this journey , your words and likes keeps surprising myself by making it to the mat everyday , so again thank you again",David Cates,2021-04-15T15:44:54Z,1
"After today&#39;s practice..<br />&quot;I want to be grounded in my self, not in any thing.&quot;<br /><br />Ps I love how Benji decided this is where it ends 😂",Slap Happy,2021-04-15T10:04:13Z,0
Namaste :),judith martinez,2021-04-13T18:08:59Z,0
My puppy is so intrigued with Benji! She tried to follow him off the screen. Wish I could post a picture!,Ashley Hegmans,2021-04-13T02:03:13Z,0
Thank you...!!!,urmila ramakrishnan,2021-04-11T09:00:52Z,0
"I felt so strong today, transitions are easier. I can tell I’m Improving. I even feel myself standing taller outside of practice :) I love how I’m feeling.",Camille Garcia,2021-04-10T02:48:40Z,0
