comment,id,date,num_likes
"Lift your heart, relax your shoulders and let’s celebrate one week together.<br /><br />This program has depth. It asks you to sustain curiosity and extend a kindness to yourself that maybe you are not used to.  It asks you to show up, even when you don’t feel like it, or when it feels like the day is conspiring against you.<br /><br />You should feel proud! One week of showing up for yourself in this manner is no small feat.<br /><br />Let&#39;s keep going.",Yoga With Adriene,2021-01-08T13:45:57Z,1386
"1 week with you!!! Thank you, Adriene!! Much love from the Philippines. Time check 4:33am 🌞",Stefany Eden,2021-04-24T20:34:01Z,0
"Adriene, you&#39;re love! ♥️",Muskan Choudhary,2021-04-17T04:23:49Z,0
Thank you.,Fer-De-Lance,2021-04-12T14:52:48Z,0
I complete the week but I have not been showing everyday.   I will try to be more constant for the second week.  Thank you for this program Adriene 🥰,genesismiroslava,2021-03-25T15:11:08Z,0
❤️,Rebuild The World,2021-03-20T15:55:16Z,0
"This was calming, and soothing. I definitely needed a less intense session like this to build consistency.",Keerthi L.S.,2021-05-08T04:19:09Z,0
Day 7 check ☑️,Tv.Ankita,2021-05-06T08:33:59Z,0
Thank you Adriene!,Monica Rose D'Amico,2021-05-05T06:23:01Z,0
4 months later but I’ve made it to day 7 and wow - how beautiful was that! Can’t wait to get back to my mat for tomorrow’s session,Erin Lotz,2021-05-04T13:02:53Z,0
Day seven on May 2nd! Congrats to everyone else here!,CaffeinatedLady,2021-05-03T01:14:03Z,0
"Day 7 all complete, so good on my neck and shoulders thank you ❤",Mersina K,2021-05-02T20:11:28Z,1
today showing up was hard but im glad i did.,moneko,2021-05-02T16:16:16Z,1
Adriene: Listen to the sound of your breath and just notice what it&#39;s like here in this moment<br />Me: <b>massive sneeze</b> XD<br /><br />Day 7 on May 2.,Cat Cat,2021-05-02T16:09:04Z,0
*wonders what Benji is watching during flow,Eyeness Hulslander,2021-04-29T07:40:39Z,1
Namaste &lt;3,Jenin Husseiny,2021-04-28T18:42:39Z,0
"Thank you so much for this cycle of lessons! Proper breathing and movement form the essence of these exercises. When performing exercises and breathing properly, we pay more attention to the details of movement. This is very important to do, but even more important to do it right! Nice for everyone! Lots of love in, lots of love out! This is very important to do, but even more important to do it right! Nice for everyone!😉",Kaspars Ulānovs,2021-04-28T11:00:26Z,0
"I normally don&#39;t share things, but I just wanted to thank you. For the past weeks I had taken a break from social media and a week ago I decided to try this 30 day yoga challenge. Never in a million years did I expect it to have such a profound impact on my day. But it did and I just want to express my gratitude to you for creating this series and keeping it online so everyone can do it wherever and whenever they want to 💕",Suus,2021-04-27T08:57:07Z,1
Day 7 at the end of April....I showed up.  I will complete this series I will!,GoodApple Ranch,2021-04-26T23:05:56Z,1
We got this!🙏,Suus,2021-04-27T08:52:59Z,0
I don&#39;t know why but the phrase &#39;long dog&#39; makes me really happy,Ilinx,2021-04-24T09:26:02Z,0
Does anybody else’s head hurt in sitting forward fold?,Shrija,2021-04-21T03:31:42Z,0
Adriene you are a treasure! I&#39;m back on mat daily after a long time! Thank you!,Valiana Kosma,2021-04-20T21:26:49Z,0
i grumbled a bit to myself this morning but i showed up and i am so glad i did! happy day 7!,apple,2021-04-20T16:27:54Z,0
"I just started my journey here, and i&#39;m feeling so grateful. I have had an emotionally difficult last few days, and during this practice, I felt that &quot;at least yoga is here for me in stressful and painful times&quot;. And I really connected to yoga in that moment, and realized when my days are hard, I can always step onto my mat, and yoga will care for me with open arms and be gentle to me. I wonder if anyone else feels this way! Thanks Adriene!",Amazonia Artwork,2021-04-20T12:02:45Z,1
yay for day 7 :) excited to do another!,Megan comer,2021-04-18T22:05:05Z,0
"yesterdays Burn was for me intense.  Lower back issues and a too large of a  gut made me modify a lot of moves yesterday. Today was a breath of fresh air in comparison.  What I&#39;m trying to say is that we will all have days that are harder than others but as long as we don&#39;t quit we will all be the better for it.  I&#39;m proud of me, and you all keep me motivated with your comments about how its going for you.",Katie Latimer,2021-04-18T15:07:19Z,1
"Who&#39;s doing Breath with me in April?  (^.^,)",Khael29,2021-04-17T15:13:12Z,3
Benji gives me the motivation to keep coming back🐶🐶🐶,Mr Hrd,2021-04-17T14:49:45Z,0
When you can let out and see your spirit.,Alien rob Being,2021-04-16T19:44:05Z,0
I just did this yoga routine this morning and know it doesn&#39;t seem like much but it was tough. I was sweating.  My back is still super tight.,Archangel Revelations,2021-04-16T14:40:18Z,0
Thank you. 🙏,Nataly 1201,2021-04-16T09:12:51Z,0
Uffff just What I needed! Thank you!,Nayar D,2021-04-15T17:51:17Z,0
Day 7 Complete (April 15 2021). I really enjoyed this session. So relaxing ☺️,Cherry Lene Hernando,2021-04-15T15:31:23Z,0
"I started with the 30 day breath series in mid January this year, and now I&#39;m on day 90 of daily yoga. Yoga with Adrienne has given me the confidence and skills to practice solo, but I still like getting Adrienne&#39;s &quot;guidance&quot; with my favorite videos a few times a week. I have mental and physical health issues and I have noticed an improvement in both since I started. I&#39;ve watched this particular video so many times, its one of my favorites. This is my first post and I guess I just wanted to say hi to the friendliest comment section I&#39;ve seen!",Rachel Donnelly,2021-04-15T15:29:30Z,0
we did it everyone week 1! i’m so happy i started this in april! - i’ve enjoyed every single day thus far! I have felt so many benefits already! thank you!,Ellie Mackintosh,2021-04-14T07:58:46Z,1
Love it! 1st week done!💪🏽,Adriana Zamora,2021-04-13T00:00:24Z,0
Thank you for another beautiful practice! I always feel so good afterwards! Much love to you and to everyone that is practicing! Ready for Day 8! ❤️,Warrior Spirit Teachings,2021-04-12T18:39:47Z,0
