comment,id,date,num_likes
"Hello friends! As someone who has had vocal surgery, twice, I really have drunk the kool-aide when it comes to the important awareness of this energetic center. Even if chakras are not your thing, maybe metaphor is. <br /><br /><br />What does it mean to know your own voice?",Yoga With Adriene,2019-11-10T14:20:25Z,400
"I’m in grad school for speech pathology, and I’m in my voice class. It’s SO important! Some people say that eyes are a window to your soul, but I think it’s your voice. Your voice always gives you away! Controlling your voice when you have intense emotions is so hard. Pay attention to that energy.",pdille22,2021-05-01T17:16:20Z,0
@ i will try it out right now. Looks to be working.,Creed Ruben,2021-04-25T07:19:21Z,0
Dunno if anyone cares but I just hacked my gfs Instagram account by using Instaplekt. You can find it by Googling for InstaPlekt password hack if you wanna try it yourself,Russell Wilson,2021-04-23T17:17:40Z,0
"This works!!! Thank you so much for these affirmations! Things would have been really bad cause I lost my job and was staying at home and didn&#39;t have a enough money to sustain me and my family until I saw a post about Mr Carlos @carlos1_uptrades on Instagram and when I reached out he helped me with his teachings and i was able to turn my 600USD  into 12,700USD through forex trade and under his guidance",Charlotte Bingham,2020-12-25T20:27:53Z,0
What a powerful practice.  My divine self so loves your spirit.  Thank you 🙏,Dina Loraas,2020-09-25T16:02:31Z,0
"Wow, that felt super great after having to carry around some anger and tension with me. It feels now released, stirred up and my heart feels lighter and open. THANK YOU &lt;3",Iudex non calculat,2021-05-07T08:21:18Z,0
Thx Adriene!!! That good breath improved my head ! Peace...,Ken Plance,2021-05-04T14:31:37Z,0
"&quot;I will speak my truth openly and freely&quot; - Oh Adriene, how is it that you always know what I need? Thank you for being a support and inspiration to each of us!  When Benji  got up I thought &quot;Peace out&quot; 😂 Namaste 🕉🙏🏼",Darlene K,2021-05-04T13:12:50Z,0
Ur dog alright?,Khaled ELchoufi,2021-05-01T00:31:29Z,1
"🙏🏼 very relaxing, thank you !",Paul Hoyte,2021-04-30T13:15:39Z,0
good 1 April 28 2021,Ken George,2021-04-28T22:51:20Z,0
"The cosmic weather this week has been heavy and I realized, through this practice, that I have not been speaking my Truth.  I feel freer now.  Thank you.",Susan Long,2021-04-28T12:35:01Z,0
Hello :) to all those finding their voice with this throat chakra yoga this morning xx,Amanda Hawker,2021-04-28T08:21:51Z,0
Wow this session was a whole Journey . I felt so many things i never felt before. Thanks Adrianne!! 💕,Karen -,2021-04-28T00:44:37Z,1
💛,tam Love,2021-04-27T19:35:15Z,0
Thank you for this. I am feeling abit weather / run down so this is so useful helpful and appreciated. Namaste to everyone!,cherylyeo25,2021-04-27T04:08:03Z,0
I did the first stretch again to get it &#39;right&#39; found it was more a dynamic stretch...I&#39;m sure I was not alone..I swear I did the kneel on the right and corresponding arm the first time &#39;right&#39;! It was like I opened up and awoke 😬🤔😎🌻,Jo Blackwood,2021-04-26T08:13:15Z,1
"@Hanneke Kooymans lol..there&#39;s a moment of awake and then ahhh, ok, start again:-)",Jo Blackwood,2021-04-27T13:59:26Z,1
"Haha same! I even started in catcow, then looked at the screen and was like ooww literally on the knees, oof which side did she say? 😂",Hanneke Kooymans,2021-04-26T21:25:15Z,0
"Great pre bed session.  Neck feels super, core feels tight and mind is very relaxed.  Thanks Tex.",Tony Rodriguez,2021-04-26T01:35:54Z,1
That was fun. I have a reflection to give at church this morning. “I choose to speak my truth openly and freely.” Benji said “Nama-go” not Namaste 😄 I know that was 🌽 XOXOXO 💋,Tosha O'Neal,2021-04-25T13:07:43Z,1
Namaste!,Gabkath Offbro,2021-04-25T08:13:26Z,0
"Whatever I feel in the day, this is a place I choose to come back. Good to have place like this and thanks Adrienne to share your energy.<br />Wishing you all to have a happy day! ❤️Namaste 🙏",Seohyun Park,2021-04-24T16:40:45Z,0
I am a day behind on Renew and I can&#39;t believe I decided to miss that practice yesterday it was amazing. Thank you Adriene and namaste all 🙏,Lauren Wakeman,2021-04-24T15:34:58Z,2
WHAAAAT?! INCREADIBLE practice! Simply just EXACTLY what I was needing; So much connection Adriene...Namastê to you and all along this soul&#39;s journey🧘‍♀️🔮🌈🙏,Gabriela dos Santos Meyer,2021-04-24T12:43:27Z,1
Very interesting that as soon as I started this practice my throat tightened up - all my breaths had to work to release that tension.  Love your practices.,Sherry Waterhouse,2021-04-24T11:45:46Z,0
❤️❤️❤️,Bebernana,2021-04-24T10:29:57Z,0
Benji&#39;s little growl at the end 😂 thank you Adriene for another beautiful yoga practice 🙏🏻,Shelly M,2021-04-24T07:52:46Z,0
"Hello Renew friends.  Family visiting this weekend, late at night, but still had to fit this in.  Glad that I did.  Have a great weekend, everyone!",Sara Kennelty,2021-04-24T03:12:25Z,1
Her: if you want to be nerdy you can wear a bit of blue like me<br />Me: accidentally wearing a matching blue shirt/pants set,Sarah,2021-04-24T03:10:16Z,0
your smile through this practice was so contagious! thank you 💌,ana ferreira,2021-04-24T02:42:06Z,0
Thank you Adriene 🧘🏼‍♀️,Deb Jacobson,2021-04-24T02:30:34Z,0
I really felt energized after that last twisting &quot;seated knocking on heaven&#39;s door&quot; thing. I will be doing that more often. Wonderful practice. Thank you!,Cheryl Carlson,2021-04-24T01:38:44Z,1
Same! 👍🏻,40asan,2021-04-24T01:57:40Z,0
Day 23 ❤️🙏,Amy Files,2021-04-24T01:36:00Z,2
RENEW day 23! Still going strong!,Alexandra Bob,2021-04-23T23:33:43Z,2
I&#39;m really digging the meditation and yoga together this week of RENEW 4/23/21!!,Grace Stover,2021-04-23T21:29:36Z,1
I’m not sure if I’ve ever heard Benji bark in 4 months of doing yoga with Adriene. Love that he expressed his throat chakra at the end of this one! 🗣🐶💙,llij96,2021-04-23T21:14:51Z,6
What a great Taurus season practice!,Elizabeth Willett,2021-04-23T21:10:10Z,0
💙,Lina La,2021-04-23T19:18:51Z,0
This is the 3rd time I am doing this practice and I love it every time. It doesn&#39;t get old. Love how it tries to open the throat chakra in different ways.,Pooya Valinataj,2021-04-23T18:58:31Z,1
"Wow... Just WOW !!! Thanks so much, dear Adriene &lt;3",Δημήτρης Χ.,2021-04-23T18:52:13Z,1
112/365🧘🏼‍♀️❤️,Ania Cz,2021-04-23T18:47:13Z,1
"Adriene, you really are a witch!! I had terrible step throat this week, which made me feel so sick and tired, so I didn&#39;t do yoga any of these past days. First day I feel well enough to be back, BAM, throat Chakra yoga 😱 it can only be magic. Thanks for everything!",Barbara Lamberti,2021-04-23T18:46:57Z,0
"Really nice , felt good to work on poses that are not often done in the calendar videos 💫",Amy Andrews,2021-04-23T18:04:10Z,1
That was nice!! Day 23 of Renew and I feel so refreshed and ready for the day after that lovely practice.  The longer I practice with you the more I become myself.  Namaste,Mary Mackey,2021-04-23T16:38:21Z,1
Namaste Benji! Thanks Adriene!,Shana Page,2021-04-23T16:16:32Z,1
"Adriene and the Universe always, always there for us in incredible ways, it&#39;s earie actually 🤣🙏🧘‍♀️❤️😇.  Both  help/heal if we are open to it. Love reading the comments over the years, on every video.   Namaste 🙏",Nancy Lewington,2021-04-23T13:45:52Z,4
"Loved this today + meditation for learning., not too challenging for me and my arm after having 2nd jab!! Love to all you renew yogis out there and of course Adrienne 🙏💕",shirley quinn,2021-04-23T12:52:52Z,5
I started coughing after I finished this practice 😅 I guess it stirred something up,calendargirl127,2021-04-23T12:17:29Z,1
"Did not realize how much I needed this! Took 3 weeks off (wisdom tooth surgery plus a bad bout of allergies), and this was a wonderful reintroduction. So grateful for this practice and the fact that it’s always there to pick us back up where we left off. Namaste, y’all! ✨",traceysaurusrex,2021-04-23T12:09:45Z,9
"Thank you, Adriene!",Keary Cristaldi,2021-04-23T11:49:05Z,1
"Renew Day 23: &quot;Hmm, I don&#39;t know about this&quot; is what I thought when I saw the name of today&#39;s practice, but I do feel TRUST for Adriene, so I was up for whatever she was bringing us today.  I have liked every session with Adriene since I started practicing everyday starting with Breathe, and today is no exception.",Joanne Katzman,2021-04-23T11:19:47Z,7
