comment,id,date,num_likes
"Could you benefit from creating more space in your life to rest, relax, be still, go for a walk without your phone, or commit to a daily practice on the mat? <br />It&#39;s 13 minutes, baby. Take it.",Yoga With Adriene,2019-09-22T13:12:38Z,1631
So grateful for this kindness...know its power.xx,lesley hutton,2021-03-16T08:03:35Z,0
"Thank you soon much  Adrienne,  I love your meditation sessions xox",Susanne Lewis,2021-03-13T20:48:01Z,0
I&#39;m committed to Me for a da<br />ily practice with you in 2021 <br />I started with &#39; Breath &#39; I compelled this with you <br />In February I started &#39;Kiss &#39;<br />But after 9th day I was busy in life <br />From Today I am started again <br />Wish  me luck. <br />Thanks Adrean <br />Love you,priti jain,2021-02-27T10:43:45Z,0
Feel amazing! Thank you Adrienne! Namaste🙏❤️😊,40asan,2021-02-18T02:08:01Z,1
That was SO lovely 😊 Did this wrapped in a blanket on freezing cold day here in uk. Will definitely be doing it again. 💕,Carol Hollis,2021-02-06T17:09:15Z,1
I feel great. Thanks 🙏,Ceren Bernatis,2021-05-09T00:53:58Z,0
Beautiful! More meditations please :),Philomena Mateu,2021-05-08T16:21:10Z,0
Thank you so deeply for this and for all that you do Adriene ❤️ I really needed this and felt so low and unworthy but everything you guided me through in this meditation made me feel closer to the source and left me feeling loved and uplifted ✨ God bless you to continue this work to help all that need it 💛,H kaur,2021-05-07T11:53:14Z,0
"Allo Adriene,<br />j&#39;adore cette meditation. Merci xxx",Sabina Samperi,2021-05-07T00:57:33Z,0
Adriene please post more of meditation videos. Thank you,Arunabh Mishra,2021-05-06T16:06:23Z,0
Im a little lost lately this helped me🥰,Esther Escalera,2021-05-06T05:55:46Z,0
"I LOVE YOU Adriene, thanks for making all these LOVELY videos",Azin Baharian,2021-05-04T05:29:50Z,0
lots of love adriene &lt;33 thank u,Ana en la tierra de nadie,2021-05-03T13:57:42Z,0
Such a beautiful dog,ø WhiteWölff,2021-05-02T13:21:41Z,0
This is magic:),Iulia-Maria ALDEA,2021-05-01T07:43:59Z,0
I Love u too Adriene💖 for anyone who reads this comment: hope u have a good day! Remember you are worth of love.,Ana Paula Kayo Shida,2021-04-30T13:53:56Z,0
thanks for this video it was amazing we are doing mindful sessions at work and yours have been a great help for the yoga at work &lt;3 you are amazing!!,Carolina Reynolds- Martinelli,2021-04-30T10:44:41Z,0
"this is the first meditation that made me cry. it&#39;s been a tough year, i&#39;ve been so hard on myself. i needed this so much. thank you adriene, you&#39;re a gem ✨",ursula,2021-04-30T07:02:04Z,0
"What is the background music?, its really smoothing ....",kate chg,2021-04-30T00:06:15Z,0
"I just cried the whole time but I feel so lifted now , 😭💗 thank you so much",Lucy Martinez,2021-04-29T18:15:41Z,0
I have 10 practices to do 😁,Jasmeet Kaur,2021-04-29T15:18:30Z,0
Thank you so much for your sincerity  and generosity.  I love ya too!,Paul Shriver,2021-04-29T13:47:51Z,0
Oh wow I was crying from the start. Thank you from my heart to yours x,Kirsty Clegg,2021-04-29T08:53:09Z,0
"for anyone that is healing and learning to love themselves, i am so incredibly proud of you. youre doing so well. keep being you, you are loved",Lynelle Alcantara,2021-04-28T16:43:39Z,0
"just cried during the end. very emotional meditation for me, but i feel reconnected to my gratitude. thank you :-)",janel beedle,2021-04-28T13:55:12Z,0
Thank you ❤,Muna,2021-04-28T05:06:15Z,0
I love this meditation. Thank you. Namasté.,Diana Soto Rodríguez,2021-04-27T12:16:50Z,0
I&#39;m new to your channel and new to meditation.  Thanks so much for making this video xx,inspiring angel,2021-04-27T11:43:20Z,0
Beautiful meditation,chrissy larson,2021-04-27T05:26:19Z,0
"This meditation changed my life. Full stop. I first discovered this video about a year and a half ago, at one of the lowest points of my life. I found myself sobbing the entire time, and that’s when I realized that I wasn’t truly living, and I had the power and desire to get better. I started practicing yoga and meditating every day, being intentional about my lifestyle and food choices, worked at shifting my mindset, and made uncovering and embodying my highest self a priority. I had wrapped myself in layers upon layers of conditioning, masks, and limiting beliefs; I felt that I was drowning. It took a lot of self-awareness and effort, but it was worth it. After this video popped up again in RENEW, everything came full circle and I was hit with a wave of realization and gratitude. I’m so grateful for everything I have experienced and learned, and how far I’ve come. I’m at a point in my life where I can fully embrace my authentic self, and am fortunate to have the opportunity to empower others to come into alignment with their authentic self.<br /><br />If you are struggling, just know that you are enough, and you have the power to be your own hero. Start today with small shifts, and it will keep growing little by little. One day you will look back, with your eyes welled up with tears, and come to the realization that you fully and truly love yourself, and share it with the world. And it will be beautiful. 💜",brenna routhe,2021-04-26T15:09:20Z,1
"I&#39;ve cried and felt good and happy at the end , THANK YOU MY DEAR , I LOVE YOU, YOU ARE LOVE, I&#39;M LOVE and we are love &lt;3 Love from Algeria &lt;3",Bouhedib Chahrazed,2021-04-26T13:36:11Z,0
"RENEW checking in, started with Revolutions 13 and flowed to this mediation. Thank you Adriene. Namaste everyone❤️",Elvira Byrnes,2021-04-26T09:40:18Z,0
Thank you Adrienne for this! I needed it so much🙏🏻💗namaste ☁️,Dana Assaf,2021-04-26T05:38:26Z,0
Good 1. April 25 2021....the day the buses stopped.,Ken George,2021-04-25T19:43:25Z,0
Brilliant!,Ashley Johnson,2021-04-25T17:35:24Z,0
"This was amazing, it surprised me that the meditations are more difficult than the yoga&#39;s &lt;3",selectra,2021-04-25T17:04:28Z,1
"Thank you, Adriene for these moments! I felt loved, supported and accepted. I was moved to tears throughout the whole practice. ❤️",Derek Guzman,2021-04-25T16:20:53Z,0
We are all love!,Sally Shoffer,2021-04-25T14:08:18Z,0
It has been really hit or miss with me after nearly a solid year of daily. The last three weeks have given me many health challenges and I have given in more than I should have. Maybe. This was a great practice to get back a little bit of spark. Thank you.,Joyce Daneke,2021-04-24T16:11:12Z,0
I am love 🤍,love,2021-04-23T15:40:52Z,0
"feeling good for having meditated this morning. Much stress and this helps me more through it.. I did the Energizing Morning Yoga before this and that is fuel in the tank, too. Peace. We are all worthy of love.",Angel Tinnirello,2021-04-23T11:35:52Z,0
"I was honestly having one of the worst days of my life today, felt like the whole world was crumbling around me but then I remembered that I got to do the session today. This seriously brightened up my spirits and made me smile more than I ever thought I could! I just wanna say thank you Adriene for all that you’ve done for us, you’re an absolute blessing 💞💞",TheCrimsonAngel,2021-04-23T08:53:52Z,0
Thank you so much Adriene. I am so grateful for you.,Ana Luisa,2021-04-23T03:43:53Z,0
As tears roll down my face... I whisper... I am worthy of love 🙏,deborah swanstonkozik,2021-04-22T18:32:59Z,2
"This is definitely a good meditation for emotional release, depression was really bad today and this gave me the space to feel safe and loved and to tell myself that it&#39;s okay to cry",Fiona Glover,2021-04-22T15:15:28Z,1
"Needed this today, I showed up and tears flowed. I feel light. I am love itself🙏🏽❤️",Tiffany Webb,2021-04-22T13:54:10Z,1
The second I put my hands on the heart and belly the tears were flowing and I have no clue why. But it was a good one.  Thank you for that :),Vee Black,2021-04-22T06:04:55Z,2
"Thank you so much Adriene. M in a bad state of mind. This is helping me to find some grounding. I find my own comments from 2 months back with BRIDGE, now I am in RENEW. Wow",cherylyeo25,2021-04-22T03:16:21Z,1
The yoga practice and the meditation were just what I needed. My 15 week puppy was quite «disruptive» at the beginning of the meditation but relaxed right out and is now sleeping soundly. Life is good! Thank you.,MC Dauriac,2021-04-22T01:29:13Z,0
"slightly less than 6, 000 people just did that beautiful practice with me.",Lucia Song,2021-04-22T00:45:18Z,1
"I&#39;m beginning to think that the meditation might be MORE beneficial than the yoga, though I&#39;m keeping both for myself,  lol<br />The breathing, focusing and mindfulness is such a rich skillset to cultivate. <br />It&#39;s growing self-mastery and I feel a new sense of wholeness, of wellbeing within myself - and I am blessed because of it!<br />Adriene, thank-you for what you share with others!<br /><br />Namaste!   🙏",Brian Cyr,2021-04-22T00:40:04Z,0
Was a bit teary eyed at the end. This was so sweet🥰,Brittany-Ann H,2021-04-22T00:36:59Z,0
"Last time I took this, I had a massive panic attack for some reason. This time, I remembered that and almost had another one! But I sat with the discomfort until it went away all on it’s own! Had an amazing meditation and feel so refreshed, resilient, and full of LOVE!! 💕",Emily Sink,2021-04-21T23:10:08Z,0
Find it easy to breathe love out but actually really difficult to breathe love in and actually embody that breath. Feel a bit emotional but starting to learn I am worthy of love and just wanted to put this here in case anyone felt the same struggles ❤️❤️❤️,Natasha Jacques,2021-04-21T21:54:50Z,0
"Beautiful, thank you Adriene!",Sara Kennelty,2021-04-21T21:50:07Z,0
"This really relaxed all the tension in my neck shoulders helped me loosen up everything, felt so much better!",Missy E,2021-04-21T21:21:32Z,0
"today I was feeling so down that my little sister came up to me and told me to cheer up. I told her &quot;i don&#39;t feel like I have reasons to feel happy today&quot;, so she answered &quot;you have life&quot;. she is 11.<br />right after that I grabbed my mat to see if today&#39;s practice would do some good to me, and wow. Adriene, I look at you as a friend that I can always run to, and you&#39;ll always have the right things to say. at the end of this video I was crying and smiling at the same time, but I felt loved, and that seems like a reason to feel better.<br />thank you as always 💌",ana ferreira,2021-04-21T19:06:09Z,1
