comment,id,date,num_likes
"Dear friends. Today we reunite with our body, because we all know that sometimes we can get disconnected. What else do you need to reunite with today? xx",Yoga With Adriene,2019-08-18T14:10:11Z,347
"Loved it!  I need to reunite with my trust in myself, just relax and breathe - everything will be exactly as it&#39;s meant to be!  Day 5 <a href=""http://www.youtube.com/results?search_query=%23ywaground"">#ywaGROUND</a> - Thank you once again my friend, Namaste &amp; Peace ~",Tamiah Johnston,2020-11-05T12:47:53Z,0
@L E me too girl I think I skipped a whole week!... maybe two... ugh 😑 but I&#39;m back at it!,Rosita Fresita,2020-07-21T18:05:29Z,0
I needed this today. Missed a good portion of July&#39;s SHIFT. Figured today was as good a day as any to start again.,L E,2020-07-21T02:41:45Z,1
"Me: I need to reunite with my mind, thoughts, and feelings.<br />My sister: I need to reunite with my focus",Radha Tanwar,2020-07-20T15:07:42Z,0
"I had such an interesting experience today during this practice. Throughout Covid, I&#39;ve been somewhat disconnected with my &quot;fire&quot;. As I return to the city in one month, I found myself becoming almost aggressive moving through this flow! It was a nice release to let out building tension and it made me feel strong both physically and mentally. Thank you, forever!!",Martha Allen,2020-07-20T14:10:21Z,0
love this routine... i must remember it as a fave.  once again you caught me after one week plus of no yoga  -this time packing for a move!!!  Thank you Adriene for being the conduit of the Universe for me and providing what I need most! Namaste,Maryann Miller,2021-05-08T15:37:20Z,0
Wow!<br />I couldn’t finish .. thank you for sharing 🙏🏻,Jenn Rogers,2021-05-06T23:31:13Z,0
Love  how energized the practice makes me feel. Namaste!,Arthi Ramesh,2021-05-05T22:00:32Z,0
Perfect!!!!,Jayanthi Diana Gnanapathy,2021-05-04T12:14:01Z,0
Thank you this one was brill!,Just Checking In,2021-05-01T11:21:15Z,0
Thank you this was a brill one.,Just Checking In,2021-05-01T11:18:30Z,0
"To everyone who might feel guilty about leaving out some vinyasas: I am a yoga teacher myself and if I don&#39;t feel like doing them, I&#39;m just relaxing in downward dog. Listening to your body is the most important part of yoga!",Rainbow Kenny,2021-04-25T21:43:16Z,0
"Love this! &quot;Meet you in downdog&quot; or lower to your dog&#39;s paw! I agree, great T-shirt quote.❤",Susan Foster,2021-04-23T22:26:19Z,0
all the way down to your dog&#39;s paw LOL. great flow!! thank you!,Linda Hodnett,2021-04-21T12:55:31Z,0
