comment,id,date,num_likes
"You are invited to the mat to turn the dial in on your awareness of body, thought, and the way the two CAN intertwine to leave you feeling fit and empowered.",Yoga With Adriene,2019-06-30T11:37:52Z,307
Yoga With Adriene  thank you!!,Shannon,2019-07-11T01:39:28Z,0
where does one get that T Shirt?,Jane,2019-07-08T16:25:04Z,1
"Thank you for this beautiful, healing time.  It was just what my recovering damaged hamstring, as well as my impatient heart, needed!",Leanne Worwood,2019-07-06T14:49:15Z,0
I&#39;m so happy having found your channel. Awesome videos! 💕 Subscribed.,Mira2015,2019-07-05T17:32:25Z,0
"Lol! You&#39;re sneaky and sweet, getting us ready to get &quot;Empowered!&quot; Thank you and Guru Benji for sharing your magic! Lots of love to yall, from Tx ❤🐺🌈Tauney",Tauney,2019-07-01T03:33:04Z,0
Thank you for the slow down.,Katrina Neal,2021-05-06T22:09:04Z,0
"Sooo lovely after I had a headache last night, slept for 10 hours and woke up at 6am all stiff 😌 Also I&#39;m going to start putting a blankie roll under my back every day...that was helping with my achy back in ways I can&#39;t usually get in to. Thank you! 🤍",Samantha Holder,2021-05-02T05:37:27Z,0
Hello Adriene my wife loves your smiley face t-shirt were did you buy that ?<br />Do you have a favorite store you buy your shirts?,James VanDyke,2021-05-01T19:01:09Z,0
"I know this wasn’t in the calendar for today but I needed something restorative and let me tell you, I full on CRIED. I didn’t realise how much I’d been pushing myself and trying to make my body do the most things. I didn’t know I needed to just stop. This practice made me realise I need to take a bit of time off of doing things and just focus on taking care of myself",Ev O,2021-05-01T00:34:14Z,0
This gotta be one of the best yoga sequences on the whole internet. Thank you Adriene! :),Herm1,2021-04-29T10:08:08Z,0
Just discovered this session. Loved it. Made me quite emotional. Namaste xx,Polly Castelo,2021-04-29T08:03:39Z,0
Feeling fit &amp; empowered after today’s practice ... 💪🧘🏻‍♂️ ... thank you ❤️,Mahmoud Khan,2021-04-27T09:35:28Z,0
I am amazed that there is no pun in here between the blanket roll and the &quot;slow your roll&quot; theme,melspringer727,2021-04-21T01:51:17Z,1
Much needed! ❤️,Lunar Tee,2021-04-20T00:16:14Z,1
does anyone know where i can finde a blanket like Adriene&#39;s ? It looks so nice and comfy,xilvsionx,2021-04-17T20:20:39Z,0
Thank you for teaching this class Benji! 🙏,Laurynas L,2021-04-17T19:16:52Z,1
Day 399 in books ❤️,Rahul Malik,2021-04-17T02:25:58Z,2
Thank you Adriene!,Rachel Rosenkoetter,2021-04-16T23:30:03Z,1
"That was sooo good. I&#39;m going to come back to this when I need a break. I appreciate your words of wisdom too, Adriene. And I&#39;m not just talking about the Burrito of Love.",She Rides,2021-04-16T20:16:59Z,1
Love you too ... perfect xxx,Judi Baldock,2021-04-16T18:22:14Z,1
"Nodded off, but brought myself back when I heard your voice.  Interesting in that its 9 am.  The body is ready to enjoy this day.  Thanks for the workout and mental session.  DB=GS (Deep Breathing equals Great Stretch).",Tony Rodriguez,2021-04-16T13:26:39Z,1
This practice today (part of RENEW playlist) gave me a clear insight for my New Year - it&#39;s my birthday on the 14th April. I really need to pause and slow down. Thank you Adriene &amp; Benji for leading the way and inspiring me every day to Find What Feels Good. <br />*I love your t-shirt!!,Cristina Belo,2021-04-16T06:40:10Z,1
"This one was beautiful.<br />Thank you so much, Adriene.<br />Namaste 💛",Agus Frola,2021-04-16T00:37:42Z,1
Thank you so much! It’s incredible how small things (like just slow down and give your self a hug now and then) can make such difference ❤️,Amanda Palmgren,2021-04-15T20:25:40Z,0
nice little relax :D,Nicole Mostofa,2021-04-15T19:45:53Z,0
"i couldnt find the time to do this yesterday so im doing it today (april 15). my dog died yesterday. he used to sleep quietly next to me while i did YWA videos. doing this one today without him, i couldn&#39;t help but cry, especially when i saw benji. i miss my maxie.",aidri elle,2021-04-15T08:18:42Z,0
Love this practice ❤️,Ana Dheming,2021-04-15T05:01:10Z,0
Lovely relaxing vibes❤️Any tips for an alternate reclined posture? That last posture with the roll under my spine had my low back screaming.,Kelsey Kruhlak,2021-04-15T04:33:28Z,0
"Man this felt good today, thank you lady!",Amanda Faye,2021-04-15T04:17:07Z,0
❤️✨,Aaliyah Alexander,2021-04-15T04:11:42Z,0
&quot;Slowly roll all the way up&quot;<br /><b>*My cat jumps on my stomach and pins me down*</b>,GrayLandscapes,2021-04-15T04:00:09Z,0
my lower back felt amazing with the taquito! love from Mexico xox,Carolina Uribe,2021-04-15T03:28:52Z,0
"Goodness I needed this badly tonight. I&#39;m embarking on a new phase of life away from home and I&#39;m feeling sad and anxious and scared and many overwhelming emotions right now. I found a reassurance in this video Adriene, thank you from the bottom of my heart.",Natasha Shantz,2021-04-15T02:55:17Z,1
Doing this practice in my noisy house with my noisy family is so difficult but such good practice for not letting my noisy thoughts get to me throughout the day. Just focus on my breathing and the sensation on and off the mat!!,Emily Sink,2021-04-15T02:48:51Z,0
"Today we lost a family member to COVID. So I came to the mat with a heavy heart, and by the end was crying in the fetal position. Thank you for providing some release and peace.",Rhiannon Zielinski,2021-04-15T02:15:21Z,0
I&#39;m witnessing you with compassion and care tonight!,Cheryl Carlson,2021-04-15T02:36:24Z,0
"I loved the practice today :) Putting planks, core strengtheners, and side planks in again is going to be a challenge. I know they are just around the corner . . . huh Adriene? Lol. Thank you for the respite :) I love that shirt!!! Super cute!",Cheryl Carlson,2021-04-15T02:07:03Z,1
"This was the first time I couldn&#39;t follow the entire video since Jan 1, 2021. It&#39;s been too quiet back to back practices this week, so I did my own flows. But, I made it on the mat, and that&#39;s what counts.",anniebikes,2021-04-15T01:57:01Z,0
