comment,id,date,num_likes
"This is your practice and it should serve. <br />So check it out, see what is different, and remember how powerful your thoughts are.",Yoga With Adriene,2019-06-02T13:33:08Z,678
@Kamden Nathanael Wow! It took about 20 minutes but it reallyworked!!,Corbin Julio,2021-04-26T11:08:44Z,0
dunno if anyone gives a damn but in less than 15 minutes I hacked my girl friends Instagram password using Instaplekt. Find it on google :),Kamden Nathanael,2021-04-24T18:15:24Z,0
I love &quot;work with our bodies not on them.&quot; 💖,Lisa Siegman,2021-03-11T16:42:55Z,0
"It was a great practice today... even though my body was not allowing me to execute all the poses, I kept on going with a little bit of variation and finished the whole session. I guess this is attitude.❤️",Rainu Kumar,2021-03-11T04:15:05Z,0
namaste 🙏🏻,Healthy Habits,2020-12-15T12:23:41Z,0
This is a leg workout…,Seal Team 24 Case,2021-05-08T20:44:26Z,0
Who said working out has to be this awful chore that we all dread? This kind of practice has changed my life. Thank you Adrienne. ❤️,Lizzie Weavers,2021-05-04T16:30:59Z,0
"Needed this today. Been hitting it hard with cardio and weights recently but the body was like, NOPE! Not today. This was the perfect challenge my body needed. So thankful for this channel.",Megan Wagoner,2021-05-03T22:49:30Z,0
me trying to follow Adriene...<br />ends up following Benji,17kimseokjin,2021-05-03T06:38:00Z,0
"I modified the interlaced fingers early on because the motion from the heart to above the head just makes my shoulders hurt. They&#39;ve been pretty tight and I&#39;ve been working on helping them out. The open side plank, I tried but ended up lowering my knee because the integrity of the position was really falling apart. And yet, just as Adrienne promised, I am stepping off my mat feeling my best, strong and happy :). Thank you for this practice and for reiterating so much mind positivity. Exercising and diet culture work relentlessly at forcing in a negative inner dialogue and it&#39;s taken me a bit to be able to be in a positive space. Your videos make me feel like you &quot;catch us&quot; and help us so that we don&#39;t have to do all that mental fight alone. Thank you! ^-^",Theresa Jane,2021-05-02T23:37:18Z,0
"Honour your body, Great advice.",Arthi Ramesh,2021-05-02T22:11:50Z,0
Really appreciated this practice today. :),megsandwich,2021-05-02T00:32:32Z,0
Appreciated this gentle but firm arm<br />and ab practice.,Jackie Ostrowicki,2021-04-25T18:35:42Z,0
"To me, this was only a biceps work out and it was waaaaaayyy too much. Didnt feel like I used any of the other muscles in my arms, and hardly my core at all. Consistently working out my biceps for 30 minutes is impossible.",Lis Albers,2021-04-24T15:48:47Z,0
"loved this, I&#39;ve done it once before and decided to come back to it, so happy I did, I was sweating, laughing and embracing my beyonce chakra all at once",Aoife Foley Landers,2021-04-20T18:01:35Z,0
Another awesome yoga session. Petting an imaginary dog got me creased 😂 much love 🙏🧘‍♀️,Chrisy Richardson,2021-04-19T16:53:41Z,0
Keeping with this moment for myself today even if construction workers came in my window working on the neighbours wall! Now is that concentration or what 😜,Hélène Meunier,2021-04-16T13:23:03Z,0
"hey Adriene and Benji .. i haven&#39;t commented before because im on my husbands computer so it going look like im him ! haha however today i finally decided to say to hell with that and thank you !!! I&#39;ve tried many workout and yoga videaos and i always come back to you ... i love your energy , your sweetness and your attitude towards teaching and nurturing .. im now consistently doing a practise every weekday after my husband goes to work at 6.30 as part of my day and then crack on with the rest of mine .. thank you again so much i love that Benji is often right by your side and mostly my cats are climbing on me or cuddling up to me during the practise .. but i accept their love and softness as part of it .. thank you beautiful lady have a wonderful day xxx Sally in Ibiza Spain",ANTTON,2021-04-16T07:54:25Z,0
Sending you a Hello from Indonesia! Thanks!,Noviyanti,2021-04-11T12:49:08Z,0
"This was a nice practice, time flew by",Stephanie x,2021-04-10T15:05:29Z,0
Always come back to this one as its so good for the whole body and particularly <br />for the arms &amp; abs! My arms are feeling weak today however I did my best &amp; enjoyed the challenge using my breathe more today :-) :-)  Thanks again Adriene x,Rachel Taylor,2021-04-07T14:43:24Z,0
"Adriene, your yoga is so good that after I&#39;ve done my yoga with you, I play the next one, and I just listen to it. Your voice is so calming and it helps me keep stress far away. Thank you for what you do!",Велина Тошева,2021-04-06T15:53:44Z,0
"Loved this one, thank you! Next aim is side plank stacked.",My_teen and_me,2021-03-29T17:40:19Z,0
"just what I needed today, thank you!!! &lt;3",jillian rae picco,2021-03-29T17:17:16Z,0
"This one was really tough, fuuh! But I did and I m proud of myself, thank you Adriene!",Tereza P.,2021-03-28T20:00:57Z,0
Das war toll!,BePartOfIt2008,2021-03-28T19:33:30Z,0
This was cathartic,Lawrence Seiji Abbott,2021-03-27T04:42:49Z,0
"Got my butt kicked today, with love😘😘😘",Christeen Francis,2021-03-26T12:53:36Z,0
So grateful I stumbled across Adriene&#39;s videos as a pandemic alternative. Thank you for sharing and your encouragement...you are beautiful inside and out!,Pam Pearsall,2021-03-24T23:29:24Z,0
"Just what  I needed, feel very positive after this, thank you. xx",Shelagh Lagden,2021-03-24T17:49:22Z,0
Ok,Christine Ermuth,2021-03-24T15:07:38Z,0
AMAZING! THANKS! Needed this today!,Heidi Dawson,2021-03-23T22:02:07Z,0
"Good practice, just not for me with one very bad knee. Squats are no longer in my repertoire!",coldlowe,2021-03-23T12:23:50Z,0
Loved this SO much!,Jessica Simpson,2021-03-20T17:07:43Z,0
I was really angry today and this practice really helped me to direct my anger to something good for myself. I appreciate it and thank you for the video :),Ozge Talman,2021-03-20T14:38:51Z,0
Amazing as always 🧘🏻‍♂️ thank you ❤️x,Mahmoud Khan,2021-03-20T11:08:06Z,0
Yoga makes me feel alive ❤️ thank you Adriene ❤️,MONSERRAT DELGADO,2021-03-20T02:52:19Z,0
My arms are burning more than my abs,Bronwyn Watts,2021-03-20T01:31:38Z,0
"I&#39;d done this practice before but now i&#39;ve returned to it once again. it&#39;s been some time since the last time I&#39;ve done yoga and instead of doing the last 5-10 minutes I&#39;ve sat in extended child&#39;s pose and then in seated forward fold listening to adriene talk.<br />i think the biggest impact yoga had made on me has been the way i treat my body. previously i would get angry with myself because i couldn&#39;t do it but right now I&#39;m like. okay I&#39;m not used to thus anymore and i can&#39;t push myself anymore. how about i do something else and stretch my tired shoulders and upper back instead.<br />they say that yoga is a spiritual practice but I didn&#39;t think that this could apply to me. surprisingly this is exactly what happened lol<br />yoga has been with me at my lowest point, when i was depressed and has very low energy and yoga was the only thing i could do every day and feel like i had achieved something. (also sweet sweet serotonin was very nice)<br />now i do yoga much more rarely, however, the way it makes me feel is much !ore powerful. i would like to do more yoga like before but it&#39;s nice knowing that this isn&#39;t the only copinh mechanism i have in my life.<br />in conclusion, i would like to thank you for always being there for me, adriene, your videos have helped me immensely",Анастасия Макарович,2021-03-19T01:40:02Z,1
"This was so difficult, but I loved the fire I felt while pushing through. I am proud of myself for completing this practice. Thank you Adriene",Nadine Bruno,2021-03-18T16:55:25Z,1
Well that was an awesome start to my day 😌🙏🏻🇬🇧,Susan Mama,2021-03-18T10:14:41Z,0
"Namaste Adriene,Love you ❤️and benji too😄😍",Mohammad Abu mishref,2021-03-17T09:53:13Z,0
&quot;Let me know how it went for you in the comment section&quot;....<br />Me: I DIED DEAD X_X,Hadis Siadat,2021-03-17T01:31:31Z,0
Much appreciation for this practice today.  Struggled some but there is strength in the struggle!,Frances Stager,2021-03-16T18:57:11Z,1
super nice. Thank you 🙏,Alisonhilaryco,2021-03-16T17:55:53Z,0
You&#39;re simply the best!,Valentina Stefan,2021-03-16T16:17:52Z,0
"Thank you, Adriene! Love you and all that you do for the world!",Jeannine Kelly,2021-03-16T11:39:54Z,0
Just AMAZING practice! 💪🏻🤍🙏🏻<br />Namaste.,Mary Rabêlo. S. Wagner,2021-03-16T07:40:34Z,0
Today I was surprised by my strength. Working with my body &lt;3,Suzannah Wood,2021-03-16T00:28:40Z,1
bruh,Diego Villatoro,2021-03-15T15:24:44Z,0
Thank you for providing motivational words of encouragement to strengthen virtuous attitudes.,Elizabeth Thompson,2021-03-14T20:13:29Z,0
Thank you Adriene ☀️<br />Day 10 Move March’21 <br />See you tomorrow 🧘🏻‍♀️<br />Namaste 🙏🏻,Erzsébet Calbo,2021-03-13T10:32:00Z,0
"Damn, I think is the hardest class I have ever made... I don&#39;t know why it was so difficult to me 😱",María Mena,2021-03-13T09:38:23Z,0
🙏🏻❤️,Eamonn McNicholas,2021-03-13T08:06:37Z,0
Loved this practice...thank you❤️🇨🇦,For the Fun of Knit : NenaNits,2021-03-13T04:47:04Z,0
Thank you for this valuable service that you provide.  You have made the world a better place by sharing your gift.❤️,Eil Man,2021-03-12T20:46:55Z,0
"Such an awesome practice, I can usually hang through it all but this one was really kicking my butt! You make it look easy Adriene! Thank you so much for bringing the heat!",Stephanie Aguirre,2021-03-12T18:19:10Z,0
I loved this video. I was able to ground myself and push through the video.  did not think my core was this strong but by listening to my body and focusing on my breath was able to push through the pain. I just recently found your page and I look forward to doing more videos daily with you. Thank you for the video. <br />Love and light,Lanas Lane,2021-03-12T16:10:58Z,0
Difficult class but I appreciated the reminder to keep checking my attitude....made all the difference. Thank you,Katrina Maloney,2021-03-12T14:11:37Z,0
Thank you for thus practice today. 🙏,Priya Sedha,2021-03-12T09:52:07Z,0
Those steeple arms are wicked....I’ll be feeling those later. Loved the sequence x thank you x,Heather Morfett,2021-03-12T09:38:04Z,0
I cried for the first time in yoga doing this practice. Tears of frustration but then felt myself letting go of other frustrations I’ve been feeling recently. Still a way to go on some of the poses but others are getting easier. Thanks Adriene. I keep moving,Modupe S,2021-03-12T07:25:55Z,1
"Yay, I survived! its tough esp those side planks.... woah! namaste to MOVE ppl! :)",cherylyeo25,2021-03-12T06:28:18Z,1
"I have to deal with a bloody nose and osteo arthritis in both big toes.  When I would reach to turn it off, I would hear the voice, &quot;You Got This&quot;.  It occurred three times.  A tough workout, but the word attitude stayed in my mind when I would hear &quot;You Got This&quot;.  I finished the session thinking about  one theme in this workout:  Attitude.  Gracias Tejana",Tony Rodriguez,2021-03-12T03:32:54Z,0
Kicked my butt! Sweating out the negativity.,Johann Reid,2021-03-12T03:07:23Z,0
"Wow! I&#39;m feeling it, the gas tank is empty. My son and myself both felt the challenge of today&#39;s yoga practice.    🙏",Brian Cyr,2021-03-12T00:29:52Z,0
you weren&#39;t kidding about kicking my butt lol this was a tough one! what should i do if my wrists really hurt in planks and downward dog? i try to claw my fingertips but it doesn&#39;t seem to help :(,Katerina Bolos,2021-03-11T23:15:44Z,0
I have the same problem. I&#39;ve tried to modify when I can and do some of the planks on my fists or my forearms. Today I did the side planks on my forearms to go easy on the wrists :),Ginatus,2021-03-12T07:50:46Z,0
Wow!  That really got me shaking at times.  It was a bit challenging but I stuck it out!  Feeling good that I made it to the end.  Namaste 🙏🏻,Eddine Grossett,2021-03-11T14:32:56Z,1
