comment,id,date,num_likes
"Let&#39;s check in! Where are you practicing today? I&#39;ll start! Austin, TX, USA",Yoga With Adriene,2019-03-31T15:56:53Z,192
"Wageningen, The Netherlands!",Elle van Veelen,2021-05-05T21:59:14Z,0
hello from pakistan! &lt;3,maryam,2021-04-18T11:49:24Z,0
Estonia!,Katta-Triin,2021-03-25T10:22:11Z,0
"Hello from Lagos, Nigeria.",Regina Njoku,2021-03-24T09:59:04Z,0
"Goedemorgen, from Rotterdam, the Netherlands 🙏❤",Sonneponissimo,2021-03-09T09:41:12Z,0
Oh my goodness - this is yoga I can do in my tiny recording studio!  I&#39;m so happy to have found it.  Thank you!!,Anne Cloud,2021-05-07T12:15:21Z,0
Best Workbreak ever !!!! ❤,Stefanie B,2021-05-07T11:33:02Z,0
"I felt a headache coming up from sitting at my desk for too long, but this really helps! I never do yoga, but maybe I&#39;ll make a habit out of this, it was very relaxing!",Elle van Veelen,2021-05-05T21:58:26Z,0
OMGGGG This Feels Really Amazing! Thanks So So Much Dear!!❤️❤️❤️❤️❤️❤️😇,Stephanie Sasso,2021-05-04T21:49:40Z,0
Thank you Adriene♥️,S B,2021-05-04T18:30:28Z,0
Just did this little practice on my lunch break. So good!,Milda Tam,2021-05-04T09:00:26Z,0
"That was wonderful, thank you so much. Saving this one for sure",Kourtney L. Avila,2021-04-29T16:41:21Z,0
Practicing in Ireland today. This was just the short break to feel calmer and more grounded that I needed. Thank you!,Megan Armitage,2021-04-28T13:24:19Z,0
Love it !,iNhoom,2021-04-28T00:23:27Z,0
This was just what I needed today! Here&#39;s to trying starting a new habit!,Michael Dionne,2021-04-23T14:26:07Z,0
I am back in the office and have a standing desk that I did this practice at. It was energizing but safe and calming.  I love this channel and thank you for all that you do!!,Natalie Curtis,2021-04-23T13:49:05Z,0
I like that you fit the outfit according to the theme.,Acsomit,2021-04-23T10:34:44Z,0
Thanks Adriene. You&#39;re the best!,Stephane Carias,2021-04-20T15:45:23Z,0
What i love about Adrienne&#39;s videos is i can find what i need at any given time!!! This is just what i needed. Feelin good!!!☮️❤☺🙏,Maria Frey,2021-04-18T23:00:11Z,0
"During quarantine, I was doing yoga more often than ever - as I finally felt like I had more time to tend to it. I&#39;m now week 6 into an 8-month job story producing a new documentary-reality series for tv and have been glued to a computer and screens for 12 hours a day, and have not had the physical or emotional energy to keep it up. I finally jumped back in with this video and feel so much relief in my body and mind. Thank you, Adriene! Just like you say, <b>any</b> amount of time dedicated to practice is beneficial.",Lauren Leshansky,2021-04-18T22:57:21Z,0
"I followed this right after working. I gotta say, being chubby made this extra difficult :x",HEY JELLY,2021-04-16T03:05:43Z,0
Just what I needed!,Meli F,2021-04-15T22:07:14Z,0
"Ah si much better now, my difficult coworker just clocked in and taking this break was MUCH needed.",Daneesha Lewis,2021-04-15T12:29:20Z,0
Perfect while travelling.,Marielle Nerder,2021-04-11T09:39:53Z,0
I take care of young children and this is perfect for me to do during nap time!,Michaela Milner,2021-04-08T18:52:05Z,0
Totally needed this today. Thank you!,Tami Brass,2021-04-07T19:46:21Z,0
Were are your jeans from? They are super cute! I love your outfit today!,Camille Chiodo,2021-04-07T17:22:22Z,0
