comment,id,date,num_likes
"Happy February, my friends! Today&#39;s short session is perfect for a little check in to transform your mood/energy! 11 minutes for CARE. Are you taking some time to care for YOU?",Yoga With Adriene,2019-02-03T14:55:55Z,328
Happy February Adriene! 😀 it&#39;s quite a coincidence that I stumbled upon this video exactly one year after you posted it; it&#39;s the 1.2.2021 here!😂 I really needed this today! Thank you!😊,Strawberry Me,2021-02-01T17:45:55Z,0
I took the time to care 4 my hands fingers and wrists after a long day behind the computer. Fan-tas-tic!,Senem Sirin,2021-01-22T17:03:05Z,0
"<b>Only 18+</b> 👇👇👇 🔞<br /><a href=""http://i93302140.sweetloves.ru/"">i93302140.sweetloves.ru</a>",Samanta Franse,2020-10-28T09:44:59Z,0
This was amazing and my shoulders are very happy right now so thank u Adriene much love Namaste 💕💓💗💖💞❤🙏,Vanessa Morris,2020-09-10T00:51:16Z,0
"I just practiced this one that I missed yesterday, I realised my hips are tight and need some work so this was very yummy thank u Adriene much love Namaste and good night 💕💓💗💖💞❤🙏",Vanessa Morris,2020-09-10T00:11:24Z,0
"I do landscaping and general contracting work and have Been using this nightly as I noticed my hands seize shut after using machines all day, sooooo helpful, pain is already much less thanks Adriene!!!",Beccah Kult,2021-05-07T05:42:31Z,0
does this help with people who are on their computer a lot? i am in online school and my hands are in uncomfortable positions much more with typing and using my mouse. My hands even started cracking like people&#39;s knuckles -_-,Jones Triger,2021-05-06T12:59:48Z,1
Did this because my whole arm is aching due to too much typing,Elle Mendoza,2021-05-04T08:26:19Z,0
I&#39;m here after Chloe Ting&#39;s arm day and my wrist could not be more grateful,Konstanza Valenzuela Sanhueza,2021-05-03T01:30:57Z,0
Adrienne is my favorite,Maureen Kolman,2021-05-02T02:25:09Z,1
Thanks!,Magdalena Cueto,2021-04-28T16:50:16Z,0
I&#39;m a tattoo artist so I definitely need all hand yoga I can get 😂,Nox Nekori,2021-04-26T12:44:30Z,0
Perfect video for our gaymer wrists.,Khristanne,2021-04-24T21:27:49Z,0
Fantastic ADRIENE I have tennis elbow and shoulder pain doing this everyday has help greatly shoulder arm wrist feels more relaxed and pain free,Sandra Elliott,2021-04-23T07:52:29Z,0
I love this quickie! My handy and wrists feel amazing afterwards. Probably should do it more often. Thank you! :-),Alex Lemke,2021-04-22T18:56:41Z,0
Thanks now I get to wave my hands to you *virtually 😭💀,GabeXD,2021-04-21T09:14:10Z,0
This yoga really helps. As I am working in fro=nt of the computer for 16 hours a day. Thank you so much!,Shey Tolentino,2021-04-18T16:01:27Z,0
What a relaxing little puppy.  At the end when he came back on screen my whole mind and body relaxed and my worries disappeared.  Sacred lil pup.,Obsession Is Just Hatred Disguised,2021-04-15T19:48:46Z,0
"Adriene, Great little practice! Due to years of hand and wrist pain from desk work I&#39;ve been incorporating this into my daily routine, I can definitely feel it helping!",EngiNERD Brian,2021-04-13T15:44:34Z,0
I didn&#39;t know the pain till i felt it while doing this practice.. I was constantly doing ouch ouch.. It was more painful than big asanas for me! :/,Gurkiran Saggu,2021-04-12T17:26:23Z,0
"I work as a cook and a server, today was a busy day and my hands and wrists were tired and sore, I did this session and worked wonders! Gracias!  💜",Carolina Martinez,2021-04-11T05:52:34Z,0
Wow... this should feel good. Nope. Nerve tension completely aggravated :( Lots of breathing through finding what did not feel good at all or just completely impossible at this moment. Holding arms straight out was the best part. Will try another video when the angry nerves  stop making even typing difficult. Poor hands. I&#39;m so sorry I put you through that,shenyen,2021-04-10T05:07:41Z,0
"I get pain in my wists doing plank, pose, downward dowg etc. Even though I have done yoga for years and have studied the correct form, I still have pain. This was a nice routine that I will do on a regular basis. I do agree that it is a good workout for the arms and shoulders as well! Okay so now onto the practice for neck and shoulders lol",Susan Goodrich Lerner,2021-04-07T16:10:26Z,0
I will keep this in mind.,yoshikage kira,2021-04-06T21:12:01Z,0
This has turned into my goto short video  :) it gives you so much for the  11 minutes it takes to do! Thanks so much for this practice. Namaste Adriene + Benji ❤,lisa wang,2021-04-06T06:30:44Z,0
"This is a fantastic video for sonographers! We have so much hand, wrist, arm, shoulder &amp; neck pain from our jobs, this really helps, thank you!",Jennifer Cox Wemp,2021-04-05T15:00:24Z,0
"I didn&#39;t know how much I needed this!! I hope this can be done seated? I was going to share it with my coworkers for our Monday morning mindful session. Each week we do something different (not tomorrow, that&#39;s already taken)",Natz Bloom,2021-04-05T02:52:58Z,0
this video helped me figure out that i have carpal tunnel lmao,eli nolet,2021-04-04T22:56:38Z,0
Pfffff I could not even sit up and straight like that for longer than a minute before my back was screaming at me from the pain. I also couldn&#39;t even keep my arms lifted for that long before my shoulders were screaming from the pain as well :s pfff my body is so fucked up I can&#39;t even do this. But i can&#39;t do normal yoga because my hands and wrists hurts too much.,nofirstname nolastname,2021-04-04T10:00:13Z,0
"Superb!! Thank you soooooo much! Every time I need to address something specific, there you are! You truly are force for good! 💞😊😌🙏💞",ann march,2021-04-04T09:21:33Z,0
I was amazed by how many sensations the hand movements trigger 🤯 Thanks for this session 🥰,Martin Rivero Carrillo,2021-04-02T19:03:09Z,0
Wonderful yoga for the hands! Thank you and for all the other videos. Namaste.,A K,2021-03-30T02:35:22Z,0
"<a href=""https://www.youtube.com/watch?v=NxC4LhOrMFw&amp;t=8m29s"">8:29</a> &quot;Last little bit before we come on all fours&quot; I take it that wasn&#39;t for us  two legged Yoga students, but for Benji to get up to help with the last bit :)",Pete Russ,2021-03-27T13:01:42Z,0
I use a pottery wheel nearly everyday and i&#39;ve started to struggle with pain in my wrist and forearms. This is perfect.,Nicky Jones,2021-03-24T11:04:27Z,0
"Very similar to the stretches I learned to target my tennis elbow. hurts so good, thank you.",Toborn the Great,2021-03-21T18:05:01Z,0
Hi A.. do you have any exercise tips 😂 for musicians reg each finger ???? Movemens in all direction...,Henrik Haastrup,2021-03-21T09:58:50Z,0
I hope you don’t me sharing this video.,Sara Ma,2021-03-20T22:59:26Z,0
Do this before drumming a couple times a week,Remi Laliberte,2021-03-16T05:28:19Z,0
Thank you Adriene ☀️<br />Day14 Move March’21 <br />See you tomorrow 🧘🏻‍♀️<br />Namaste 🙏🏻,Erzsébet Calbo,2021-03-15T10:15:15Z,0
"Hi, this felt really good for my body. I have Contracture Duypuytrens (6 of my fingers and both thumbs are bend inwards) But whatever affliction our bodies have, its still important to move them - as much as we can!",Caroline Born,2021-03-14T11:48:53Z,0
"Hi Adriene, I love your videos. They have helped me a lot in my journey as a violinist. Heavey practice is really jard on the upper back, shoulders, neck, wrists, fingers and feet (from standing long hours).Could you please consider making a video for  instrumentalists ?",Elandri Vorster,2021-03-14T10:51:06Z,0
Love love love❤️❤️❤️❤️❤️❤️,Maryam Nazar,2021-03-11T16:36:19Z,0
"Adriene you’re a healing wizard! I once had a back pain and nothing healed me like your back yoga video. In recent days I had this weird pain in my palm, and again I found the cure in this video of yours 👍🏻",FolkeBernadotte2,2021-03-08T18:30:45Z,0
This is so good for a little yoga break at work. So helpful. Thank you!!!,Neima Eichenholz,2021-03-04T11:09:08Z,0
This was great for my ‘hairdresser’ hands and wrists! I’ll be adding this one into a regular rotation!  Thank you Adriene for helping me find what feels good... my hands certainly appreciated this one! 🙏🏼💖,Dawn Schenk,2021-03-03T23:05:18Z,1
Did this one to help with recovery from weight lifting. Loved it! Thank you!,Rita B,2021-03-03T07:26:57Z,1
Working my way through the wrist yoga playlist 🙂🖐️,Dragon Curve Enthusiast,2021-03-02T07:52:16Z,1
"Thank you so much for this practice, Adriene! I’m a massage therapist and I put some serious strain on my hands and wrists nearly everyday. I will be coming back to this one in particular very regularly. Thank you!!!!!",JJ The Flerkin,2021-03-01T23:39:00Z,1
"I have arthritis in my hands and elbows, this is so good for easing the pain and stiffness - I’m going to do it daily, 11 minutes it’s worth it.  Thank you dear Adrienne",claire curtis-thomas,2021-02-28T09:59:50Z,1
Just me feeling like I&#39;m wielding some sort of magic while &quot;turning that doorknob&quot;?,Louise Konstantia,2021-02-28T09:41:22Z,1
good check-in for the wrists.,Nicole Mostofa,2021-02-28T02:11:20Z,1
omg my hands are tight! Thanks for this!,Alisonhilaryco,2021-02-27T03:31:47Z,1
Shoulders got a good work and feel pretty good right now.,Tony Rodriguez,2021-02-27T02:05:29Z,1
Shoulders got a good work and feel pretty good right now.,Tony Rodriguez,2021-02-27T02:05:13Z,0
I was glad to do this .I am a knitter and my job is computer work. Thanks adriene.,VLM,2021-02-26T20:11:52Z,1
"Thank you for this Adriene! My hands, wrists, and arms were feeling sore and stiff after lots of gruelling housework lately, so this was just what I needed!",Lydia Bardsley,2021-02-26T15:08:36Z,1
Did anyone else sing 🎶 hey Macarena 🎶 when flipping your palms up???,Jodi Duchesne,2021-02-26T14:12:10Z,0
"here&#39;s my once a year comment 😅<br />the end result feels so much better than I was expecting. my hands are honestly tingling (I guess in a good way? lol), &amp; I realized this lil diddy helped my circulation a lot. I&#39;ve always been one to say &quot;I&#39;m not really cold, just my hands &amp; feet are.&quot; I connected the dots today! poor circulation! this will be a weekly routine for me now, which I&#39;ll also use for my feet &amp; ankles as well. thanks, Adriene! 💛",LL,2021-02-26T12:45:47Z,0
❤️❤️,Vrushali Khadilkar,2021-02-26T12:10:46Z,0
Good stuff! I can see the importance of tending to this regularly.,J. Clock,2021-02-26T10:57:18Z,0
Day 270 of daily yoga. Gracias X todo Adrienne..,Roger F,2021-02-26T10:07:24Z,0
Amazing! Thank you 🙏🏼,Bernardita Sandoval,2021-02-26T04:11:16Z,0
"Never did a hands-fingers-wrists yoga session before. That was refreshing. Thank you, Adriene.",Mark Miller,2021-02-26T02:55:35Z,0
