comment,id,date,num_likes
"Hello my friends. I hope you can take time to reunite not only with your breath, but with your story, your sense of self, and remember - in order to love and serve - you have to start with your relationship to you. x",Yoga With Adriene,2019-08-04T13:42:07Z,421
Steffi s friend,Rhonda Baroli,2020-12-31T15:37:15Z,0
I wuv you,Rhonda Baroli,2020-12-31T15:36:39Z,0
"Thank you Adriene. I needed this, this evening. The entire day felt like a 50 lb weight on my shoulders. Possibly triggered by learning of the passing of a friend today. I’ve been struggling with the raw mood and dark energy in the country lately as well. This session absolutely help me settle down. Hopefully it’ll be a good night of rest and sleep. 🙏🏽 namaste.",Marc Titus,2020-10-28T00:17:08Z,0
what about calming heavy breathing down after intense workout?,Jeff Sparky,2020-07-22T13:03:13Z,0
"Wowza, great message and great practice - yep, the SHIFT is happening for me definitely - self love is the most important and it&#39;s a doozy!  Thank you so much again, Day 22<a href=""http://www.youtube.com/results?search_query=%23ywashift"">#ywaSHIFT</a> - Namaste ~",Tamiah Johnston,2020-07-22T12:24:37Z,0
"Good evening<br />I want to share my experience after doing this practice of reunite with breath. <br />Past two weeks I was in ICU taking care of covid patients. Returning from there I was unable to get into my daily normal life schedule. <br />As you(dear Adriene) always says that breath comes first. I search for it and get a very beautiful starting. I am calm now, feeling new normal and more grateful. <br />Love you❤<br />Khyati from India🇮🇳",khyati sengar,2021-05-05T13:29:55Z,0
im shaking a little which means its a great exercise,noni xo,2021-05-03T12:11:10Z,0
Many thanks for sharing,manmeet paul,2021-04-30T11:59:17Z,0
Always a joyful experience to yoga along with you A. Thank you as always.,Relax Breathe Sleep,2021-04-27T14:55:06Z,0
Wow the ending was eye opening for me. Thanks 🙏,Diya Singh,2021-04-26T16:41:48Z,0
Please could you do more breathing sessions? X,LMfit Personal Trainer,2021-04-16T21:14:23Z,0
"Great. Some issue that was annoying me became apparent on my right side where my shoulder pain has also arisen, and the arms breath helped to clear it somewhat xx",LMfit Personal Trainer,2021-04-15T21:48:08Z,0
This felt really nice xx,Emma Rego,2021-04-15T19:14:04Z,0
Wonderful practice!  SO relaxing - love the dog!  He is very relaxed too :-),Mary Beth Dearmon Bailey,2021-04-09T01:43:15Z,0
Such an amazing practice each time I practice it. The breath exercise was helping me to create my energy and what I can allow and disallow.,Melonnie Ali,2021-03-31T12:15:00Z,0
"So I&#39;m currently on my yoga journey MOVE day 27 and yoga everyday this year, day 85. I currently have an arm/shoulder injury that is not allowing me to get in the mat like have been. So instead of pushing through this thing, im deciding to let it heal. However, that doesn&#39;t mean stop practicing yoga. I decided to do some breath work and the movements in this practice that I could. This will not stop me from uniting my mind, body, and spirit. I have to briefly (hopefully) take a different path, finding the fork in the road, not getting derailled.  Namaste beautiful people, thank you Adriene. 🙏",TMNTsamurai 84,2021-03-28T04:03:12Z,1
I&#39;ve had terrible anxiety today and after this video the elephant on my chest went away. I really like the ending  and will practice that again.,Hannah Pope,2021-03-21T04:15:39Z,0
I loved doing this and I&#39;ll do it again tomorrow! Thank you!,Aby :D,2021-03-16T21:16:08Z,0
