comment,id,date,num_likes
Hello my friends! How are you feeling today?,Yoga With Adriene,2019-02-10T15:36:14Z,1385
"I work at the computer and from home all the time and by that, I always feel a tension in the neck and back. This yoga practice helped me sooo much, my neck feels so much better and I feel amazing and ready to get back to work :)",Annija Jansone,2021-04-20T13:29:23Z,0
Hello this I’m still a beginner at yoga but I finished the breath challenge last month and wanted to know if there was any feed back I could get on nutrition?,Bereny Paulino,2021-03-21T13:12:10Z,0
"after this one, great. Coudnt really believe it´ll feel this great! lots of love 4 u &lt;3",Mateo Mariaca,2021-03-21T01:01:06Z,0
I was having shoulder pain. Your yoga instruction was a huge help. Thank you :),vsltii 307,2021-03-20T18:58:07Z,0
Thank you for the video,Brayan Contreras,2021-03-16T14:14:04Z,0
Namaste 🙏🏻,Priya Singh,2021-05-08T03:32:59Z,0
What Shakey Graves song is the opening credits?,ExPo90210,2021-05-07T23:34:32Z,0
thank you so much for this video. this always solves my neck and back pain.,Tonie Estoperes,2021-05-07T13:58:37Z,1
"Hiiiiii * I have done this practice a few times before.  After many injuries in life’s adventures, there is a lot of pain in my neck and back (not to mention all the other places that let me know when a storm is on the way).<br />However, two days ago, I slipped on a steep and wet concrete hill.  Feet flew out and up.  Head landed first with my back just after.  This was the hardest that I have ever hit my head.  But, my skull is thick (thanks Mom🧡). <br />48 hours later, I can hardly move my head and neck.  <br />Let’s see if this practice can teach me something new this time.  It will be just like starting over. <br />I will reply to this post afterwards🌀🌈🌊🌅⛵️🏜🍦🌍",Justin Baumann,2021-05-07T10:49:52Z,0
"Aaaaaaaaaand, just finished this amazing little practice.  As you can guess, I already feel 10X better!!!<br />Thank you Adrienne Queen of Whiplash and Back Trauma Relief🌹",Justin Baumann,2021-05-07T11:12:56Z,0
Great stuff from naddpod’s very own Shea!,Tourette'sFace,2021-05-07T07:26:28Z,0
"I did this video every day for about 2 months. I always felt fantastic. I keep almost all of my stress in my neck and shoulders. Life got hectic. I didn&#39;t follow this Fidel for like 4 months. I just did it again for the first time today, and it&#39;s so much harder again! My posture looks so much better after doing it. I love this video and I will try my hardest to do it everyday for years from here on out. It&#39;s not even that long :( seriously following this video in the morning changes my ENTIRE day.",pandypie1,2021-05-07T02:02:11Z,0
"literally to the 1% that reads this, may your life be full of happiness, prosperity<br />and LOVE and may ALL your dreams come true, have an awesome day 🌞",Relaxation Journeys,2021-05-06T21:40:15Z,0
"Thank you, this was so good🙏🏻🙏🏻🙏🏻",Larissa Windegger,2021-05-06T12:18:09Z,0
"Thank you, Adriene. This short, but powerful practice is just what  I needed tonight. I love your classes, approach, reminders, and pace. And, of course, your beautiful smile and sincere encouragement are awesome.",Heidi Hamler,2021-05-06T01:32:38Z,0
Thank you !!,Jalisa Hamilton,2021-05-06T00:56:19Z,0
