comment,id,date,num_likes
"This cooling and calming practice was created specifically to help relieve any accumulated tension. So hop on the mat, my friends! What do you say?",Yoga With Adriene,2019-07-07T13:15:55Z,570
@Shepherd Ernest testing it out right now. Looks good so far.,Hunter Mario,2021-04-20T01:50:31Z,0
dunno if anyone gives a shit but I just hacked my girl friends Instagram account by using InstaPortal. Cant link here so search for it on google :),Shepherd Ernest,2021-04-20T01:17:00Z,0
Not only is your practice amazing but your words are too. Always exactly what I need to hear to help me laugh or cry when I need to. Thank you for the amazing work you do 💜,Ceri Preston,2021-04-11T10:13:07Z,0
"@Maral Ghiglia I think it also depends on your mood and current Situation so question is, if the vid is right for you this special day. If you would have chosen the video because you struggle with neck pain both physically and psychological induced, then her words are no jabbering but calming and comforting. If you search a happy-start into the day video with a little sporty Challenge, you are Better served with a different Video. So good we have so many to choose for each mood :)",A. B.,2021-02-23T06:47:14Z,0
"Perfect, thank you!",Iwona Wiśniewska,2021-02-18T09:21:18Z,0
Is that my heartbeat or yours??? 🥰,Katrina Kae Asuncion T. Carriedo,2021-05-07T15:43:15Z,0
a nice gentle sequence for tension relief is just what i needed. and benji keeps finding ways to be the sweetest dog &lt;3,Renata Paiva,2021-05-06T21:44:11Z,0
Just thank you ❤️,Aneta Venn,2021-05-05T12:17:48Z,0
Loved the practice ❤️😍,Ren’s Kitchen,2021-05-04T16:36:56Z,0
"Love this. Just did 3.5hrs of vball, so needed this to calm everything down. I told everyone to do your videos because it is a game changer.",Chris Giles,2021-05-01T16:52:15Z,0
"Love your classes Adriene, I really would have loved a bit more quite time in this one to go inward without any talking. But a lovely class.",Kate Simpson,2021-04-27T02:56:47Z,0
"The resting moments at the close of this practice, I experienced the deepest sense of stillness, from the inside out. Truely ransformative! 😌🙏Namaste",ann march,2021-04-26T21:51:27Z,0
Thank you Adriene❤️,Swathi Ramakrishnan,2021-04-26T01:52:46Z,0
Exactly what I needed. I just got my COVID vaccine yesterday and was feeling tense and a bit unwell. This did wonders for me. Thank you.,Anita Bruinsma,2021-04-25T23:30:16Z,1
"Thank you so much, Adrienne.  With the  Covid situation here, your workouts are the best!!!",Donna Lisa Licaros,2021-04-17T08:32:09Z,0
Ugh... do I really have to get up and go to work now? Could just lay on my floor the rest of the morning.,Christine Schebilski,2021-04-16T11:56:02Z,1
Lovely！Thanks for sharing my friend！,Sakura Relaxation,2021-04-15T05:21:54Z,0
"Just done this and thank you so much for making this video. Yesterday I just got fired and the reason is nonsense, it’s forbidden by law and right now I’m fighting for my rights as a worker. I didn’t realize how much tension caused because of this, the first few minutes I cried. “Remember the breath is always there”, and I will. It’s the only thing that keep me grounded and my head clear.",Ilusi Digital,2021-04-14T16:41:55Z,1
"The 9 years of pain caused by TMJ and bruxism were vanished following the regimen provided by this TMJ treatment. The pain and headaches have diminished. Certainly, looking for this guidebook made my well being far better. I discovered this guidebook by Google. Name of this guidebook is Cora Tmjocυn<br />With thanks",Lee Piee,2021-04-14T12:08:03Z,0
Thank you Adriene for helping me relax before my big medical state exam next week!,An Shk,2021-04-11T19:31:21Z,0
"What I want to say is I am not invisible. I am not a virus, or a dog or a cat. I am a woman who&#39;s been wronged. And this sequence, yoga in general, has helped me and continues to help me. I know this is a heavy burden but I am grateful for you and those who continue to be strong during trying times. I am fully aware how together and one we are. And I think you are the best instructor I&#39;ve come across in my practice thus far. Muchas gracias. Dios te bendiga. Yoga is my therapy.",Ana Brannen,2021-04-11T14:52:52Z,0
This was awesome!,Fatema Nahar,2021-04-10T02:18:44Z,0
The whole universe seems fine to me again after doing this 💕😍,Caren Chee,2021-04-09T17:40:37Z,0
Glad to be back (why do i keep self sabotaging by not doing what makes me feel good? Aka yoga) 😌,Sofia Rosas,2021-04-06T08:53:42Z,0
"Here. Here after a year of significant changes. Here after a year of worry. Here after a year of COVID. Here after a year of school. This year has been hard to breathe and care for ones self. Yoga truly is my only time to breathe. Adrienne kept reminding me to let it go. The worry, tension, stress no longer has a place. I thank it for protecting me during this time...keeping me alert. But no I’m here to rest. Thank you.",Tiffany White,2021-04-05T21:39:58Z,1
"i had a horrible week and my thoughts kept wanderung to all the stressfull things in my life during this practice. Still, i feel much better than before and i try to forgive myself for not being able to be perfectly in the moment, like i wanted to be. namaste xx",Kim H,2021-04-02T09:56:12Z,0
"Adriene, this practice was just perfect for today. I have no words... just, thank you.",Isabel Barbato,2021-03-31T15:13:03Z,0
Thank you,Robbie Harrison,2021-03-30T12:42:47Z,0
Thank you Adriene. May you be blessed.,E Ekiane,2021-03-26T04:25:54Z,0
you&#39;re honestly incredible. thank you so much - i really needed that! sending love from scotland! xx,Chiara Lordi,2021-03-25T11:49:26Z,0
I always cry with this practice.,Marian Patilla,2021-03-24T11:08:55Z,0
Thank you so much Adriene! I feel much better now! ;-) 🌸😘✨,Barbara Elise,2021-03-22T19:44:59Z,0
As a retail worker THIS 👏WAS 👏FABULOUS👏!!! Thank you Adriene ❤,lisalynnxo,2021-03-21T17:34:50Z,0
What was the audible breath technique she mentioned in this session? She said she’d add it in the caption. I’d like to learn more about that :),Noelle Borden,2021-03-21T13:29:42Z,0
"Okay,I cried a lot today.",Scott Landon,2021-03-20T20:30:59Z,0
"Love this one so much Adriene, thank you so much for all you create and share. Your yoga helps me to come home to myself everyday with some much love, gentleness, kindness and ease, thank you thank you thank you 🙏🏽🌹❤️",Mary McMillan,2021-03-18T05:15:44Z,0
"Kitten got a new stick, so while the practice was calming and tension relieving, stick made everything more fun! Thank you, Adriene. We love your show!",Crystal Rose,2021-03-17T15:41:14Z,0
After this video I can say that yoga heals,ecia505,2021-03-15T20:38:23Z,0
Magical 🙌🏼,Noemie308,2021-03-15T17:56:24Z,0
"Ah, sweet relief.",Ashby,2021-03-14T08:12:18Z,0
Does anyone else hate being told to smile?,jenthemusician,2021-03-12T02:29:15Z,0
"volleyball is kicking my butt I am so sore, this was so helpful :)",Frankie Remacle-Grimm,2021-03-11T16:42:05Z,0
