comment,id,date,num_likes
Hello from another dimension! Where on Earth are you practicing today?,Yoga With Adriene,2019-10-27T13:52:02Z,561
"Brussels, Belgium!",Александра Смутчак,2021-03-24T08:18:12Z,0
"Pennsylvania, USA xoxo 👽 💚",Patricia Ponton,2021-02-15T14:34:59Z,0
Chicago IL~,Debbie Koller,2021-02-10T20:20:10Z,0
Greece!!! Thank you for everything💗😘,Marina,2020-12-02T17:25:24Z,0
"Surakarta, Indonesia 🇮🇩 😊🙏",Bunga Ramadani,2020-11-05T07:11:50Z,0
This made me so unbelievably happy! HEHE!,Fyre Heart Studios,2021-05-04T03:35:11Z,0
NANU NANU! ✌️💚✨,IamSarahAnn,2021-04-20T18:25:53Z,0
hahahah i love you Alien :-),esse,2021-04-19T18:53:46Z,0
"Ok, all the shits and giggles aside, this is actually a really great session that I find myself reteurning to quite often when I need something short and no other session really fits or when I just need something to brighten my mood and not take everything/myself too seriously. Thank you for this &lt;3",Rikke Larsen,2021-04-03T23:42:32Z,1
It is currently 0:42 AM and I just really wanna move before I finally get myself to bed but all the bedtime sessions are just more calm than I need right now. It is a weird time of day and it needs a weird session.,Rikke Larsen,2021-04-03T23:45:23Z,0
you are my favorite youtuber,Greasie Lids,2021-04-01T16:11:48Z,0
Adriene - &#39;&#39;Anjali Mudra&#39;&#39;<br />Me - Shouldn&#39;t she say &#39;&#39;ALIEN Mudra&#39;&#39;?,Moksha's Wonderland ツ,2021-03-28T01:01:12Z,0
This video made my day! 💜 thanks for making yoga so fun!,Александра Смутчак,2021-03-24T08:17:38Z,0
i just love Adriene so much,Lucy Idil Jordan,2021-03-08T07:49:58Z,0
i love you Adriene,Sam Koo,2021-02-25T02:16:42Z,0
Want mooooore of these abstract videos pleaseeeee,Ovunc Didem Ozsoy,2021-02-20T16:21:44Z,0
"I&#39;ve practiced Yoga with Adriene every day for 2021, and let me tell you, this video just kept me giggling. I love your energy and goofiness!",dinoholly7,2021-02-18T04:42:42Z,0
it’s not halloween today but watching/following this after a long day definitely brought a big smile to my face.<br />thank you adriene for always making me feel better inside &amp; out. 🙏💛✨,nickbbi,2021-02-16T03:56:40Z,0
"well i was actually just looking for a short late night yoga for relaxation before going to bed and that is where i endet up.😂 love your charisma and confidence shining through all your videos, thanks for your work Adriene!",Tiger Cat,2021-02-15T22:37:57Z,0
I needed a little extra today and stumbled across this gem!Thank you Adriene for the extra boost of yoga and laughter. FYI you have changed my life. Thank you for this past year of YWA. I am strong.,Debbie Koller,2021-02-10T20:19:36Z,0
"Hi, I know I&#39;m a year late to this party, but I just wanted to say I love this goofy alien vibe. More of this, pls.",Darci Rodecap,2021-02-07T00:57:56Z,0
This routine is one of my favorites.,Perla Villarreal,2021-02-04T00:38:00Z,0
You‘ve killed me with that E.T. sentence! Get ooooout 😂 thankful for you Adriene,BARBORA BRIEŠKOVÁ - LA LOBA,2021-01-21T10:55:47Z,0
my dog also was very intested ... mostly in the antennas!,Lyra Amber,2021-01-13T08:58:03Z,0
Amazing session,Arun Kumar,2021-01-08T09:56:47Z,0
"This is still my favorite yoga video ever, im doing it almost every day!",Madina,2021-01-01T23:10:35Z,1
Adriene: how many eyes you have.<br /><br />Me gets teased for wearing glasses and being 4 eyes,Nightysky aj,2021-01-01T14:54:44Z,1
we took a microdose of mushrooms and embarked on an inner space travel w you today. greetings from another dimension adriene !,Mario Galeano,2021-01-01T12:53:51Z,0
another fellow psychonaut. love the community,Cassiopea Staudacher,2021-01-01T12:55:45Z,0
Just the right practice today to send 2020 on its way. 😀,S Ertl,2020-12-31T23:12:07Z,0
Ayyeoooolmao,Bart,2020-12-27T02:44:37Z,0
Love the light tone of this. Silly and the perfect gateway for me to connect with my inner Home today.,windjourney,2020-12-22T16:02:07Z,0
Love it,Tasmanian Devil,2020-12-22T04:24:09Z,0
"Adriene, this was so fun!!! I seriously loved it. Thank you. [:",zoe x,2020-12-19T03:14:20Z,0
So funny haha thanks for this session 🙏🏻🙏🏻,Martin Rivero Carrillo,2020-12-16T00:12:32Z,0
Adorable and hilarious 💚,Karen McClenahan,2020-12-09T14:02:36Z,0
This was fun!,Anastasia Chernaya,2020-11-30T16:06:35Z,0
The breaths were waaaay too fast for me on this one. I&#39;m having a minor asthma attack. The movements just felt rushed. But I loved the alien concept! Would&#39;ve loved more thoughts about the universe and taking care of our human vessel. Something like that. Would love another one of these with a bit more of a slower pace and more care in that way. Thank you for everything you do!,KTnarnia,2020-11-30T08:23:01Z,0
Benji : i didnt sign up for this!,N J,2020-11-29T15:42:38Z,0
Loved loved loved this session! Nanoo nanoo...,Pat Tanumihardja,2020-11-23T11:26:48Z,0
This is my new favorite. Would not mind an entire Yoga with Alien series.,XANDRE,2020-11-21T20:07:21Z,0
"&quot;Make your way onto all fours&quot;<br />-Me, an alien with seven feet: <b>ACURBSI UEHKC EOMGH?</b>",Ameno Ameno Latire,2020-11-17T10:01:16Z,1
it wouldnt have been inner space travel without Eagle Pose. thats for sure!,Tomeeko Mitchell,2020-11-10T19:13:13Z,1
"This one made me laugh so much, thanks Adriene for being brave enough to be weird :)",Aaron Danaher,2020-11-09T14:14:43Z,0
Cute yoga segment!,Jeanna Raye,2020-11-09T04:03:33Z,0
"Greetings earthlings. Alien here, requesting a part two!",Oakley w. Stocks,2020-11-07T05:23:14Z,1
TOO DAMN CUTE!,Star Tsar,2020-11-04T17:43:09Z,0
"Nanu Nanu. <a href=""http://www.youtube.com/results?search_query=%23action"">#action</a>",Katrina Neal,2020-10-31T23:24:19Z,0
"Smile, smile, smile that&#39;s all I have to say ❤💥🎃🙏🏼👽👻🦇🕸🕷",Sam Smith,2020-10-31T22:41:16Z,0
I love the Mork &amp; Mindy reference at the end! Nanu Nanu! 🖖🏿😂,Reynold Keith Koker,2020-10-31T17:46:54Z,0
E.T. phoooone hoooome,Aja,2020-10-31T16:58:10Z,0
Thanks!,Vrushali Khadilkar,2020-10-31T12:07:46Z,0
A really fun practice! Thank you Adriene xx Nanu Nanu Namaste 💟💟,Liz Beardmore,2020-10-31T10:26:46Z,0
you are ridiculous and i love you.,simultaneousrelease,2020-10-31T06:14:08Z,0
"Starting with a full belly laugh at your fabulous “greetings from Alien and Boingy”  and smiling the rest of the way through. This was such a fun &amp; much needed escape to creating space in my heart and my head! ❤️ Thank you, best alien visit ever☺️",Lisa C,2020-10-31T02:05:42Z,0
Thank you Adriene 🧘🏼‍♀️,Deb Jacobson,2020-10-31T00:53:17Z,0
Wonderful practice I feel great with this one of was fun so thank u Adriene much love Namaste and good night 💕💓💓💖💞❤🙏,Vanessa Morris,2020-10-31T00:19:13Z,0
Live long and prosper!,Tony Rodriguez,2020-10-31T00:18:21Z,0
Laughter really is the best medicine!  Thank you Adriene for sharing your fun and quirky self with all of your You-tubers!  We are a fortunate group to have you in our lives!  Namaste from Canada!  😘,Carolyn London,2020-10-30T23:27:56Z,0
hi boingy and alien practicing from la,The Bandini’s,2020-10-30T23:08:31Z,0
I had so much fun today!  Boingy!,Ганна Чобаль,2020-10-30T21:29:29Z,0
"I&#39;m really starting to notice how much better my balance is slowly getting. My ankles don&#39;t burn, i feel more graceful and i didnt fall on my butt even doing this video after leg day",Emily Wigginton,2020-10-30T20:27:18Z,1
Thanks for fun session. Happy Halloween,Susan Winter,2020-10-30T19:22:37Z,0
"Just here to let y&#39;all know I think this video is a duplicate of <a href=""https://www.youtube.com/watch?v=MCOftdMld3E&amp;feature=youtu.be"">https://www.youtube.com/watch?v=MCOftdMld3E&amp;feature=youtu.be</a> , cause this video is GOLD",Frank Scola,2020-10-30T18:38:35Z,0
This. 👏🏻 Brings. 👏🏻 Joy. 👏🏻,Coralie Lap,2020-10-30T16:48:15Z,0
"Oooo practiced with almost 5,000 people today. That’s the most so far for me. Namaste everyone from Virginia 🙏",Kelly Pawlusiak,2020-10-30T16:38:15Z,0
"Really enjoyed this video, Really was fun, thank you Adriene &amp; thank you community 🙏 Namaste.",Wendy Marie Croft,2020-10-30T15:39:46Z,0
"So much fun!🎃 loved the balancing moves, finally managing them😁",Nancy Lewington,2020-10-30T14:48:34Z,0
This alien did not come in peace :&#39;D no chill &quot;next we make a knot out of us&quot; ps. Love the practices,Keimoj,2020-10-30T13:47:11Z,0
"Lol, so much fun to practice with you in Ohio!!  Happy Halloween!",Mary Mackey,2020-10-30T13:15:26Z,0
Thank you 💜🙏🏾,NevJamGal Meadow,2020-10-30T12:46:12Z,0
I love this &lt;3 &lt;3,Noora Lynn,2020-10-30T12:21:30Z,0
Yes! On the mat today.  that&#39;s all that matters.  I showed up. :) ~namaste xoxo,A Lochetto,2020-10-30T12:03:11Z,1
Nanu Nanu!,Erin Whitehead,2020-10-30T11:47:38Z,1
"This was so much fun!  Thank you, Alien and Boingy.  We love you both!  &lt;3",Starfish 185,2020-10-30T11:43:10Z,1
"I just did 3 vids in a row: breath of fire, yoga for zombies, and this. It was a great sequence to wake up in the morning and warm up my body. It also worked well with my anxiety because each section was short. I was able to take mental breaks as I needed and concentrate as best as I can. xo",Linda Park,2020-10-30T10:50:53Z,2
Thank you Adriene 💫😊<br />Day30 Action October’20 <br />See you tomorrow 🧘🏻‍♀️<br />Namaste 🙏🏻,Erzsébet Calbo,2020-10-30T10:17:59Z,0
That was fun! And a good stretch. Visiting from Pluto ✌️,Christina Andersen Reyn,2020-10-30T08:59:35Z,0
"Swapped today’s practice for Slow and Gentle Yoga, taking it easy today , suffering with isolating arthritis  so I needed some kind Adriene 🤗😉🧘🏼‍♀️🧘🏻‍♀️🙏💕",Gill Smith,2020-10-30T08:55:23Z,1
"The intro made me laugh so genuinely 💚 Thank you Adriene and Benji...I mean Alien and Boingy, for this fun practice 🖖👽",Mayamoto,2020-10-30T08:32:06Z,1
This was amazing! Looooooved it!,Natalie Besate,2020-10-30T06:30:42Z,0
"Action day 30! Day 26 of return to YWA. Easy, good feeling practice today.",William B,2020-10-30T03:27:23Z,0
"OMG!!! &quot;Welcome to yoga with Alien, I&#39;m Alien and this is Boingy&quot; I just died and went to joke heaven!!! :D You&#39;re just the best Adriene!",Clo,2020-10-29T22:57:46Z,0
"Love this, I dream of Jeannie😘",Amy Del Prete,2020-10-29T15:58:56Z,0
loved it!,Barbara Zen,2020-10-29T12:17:57Z,0
Is it weird I tried to figure out how did the cinematographer  got adriene to float from the sky...think I was having a childlike moment!🤔💕,Jo Blackwood,2020-10-29T07:01:08Z,0
Thanks for the laughs and a great stretch for my distance teaching body!,margarett0,2020-10-29T04:42:28Z,0
I love your silliness!!!,Nancy M,2020-10-28T12:25:18Z,0
😄♥︎,Kenny Jean,2020-10-28T09:28:52Z,0
I still remember when i got the notification for this video last year on Halloween after i went on a run with my uncle. I was  rushing to get home and do that practice cause it looked so much fun and it still made me smile one year later. So thank you alien :),Noah,2020-10-28T09:25:38Z,0
What fun!,Katrina Levin,2020-10-27T13:29:22Z,0
"Practicing in Chickamauga, Georgia at the foot of beautiful Lookout Mountain. <br /><br />On a side note, my five year old noted that she was glad you were able to come down from your space ship and do some yoga with us today. 😊",Shalleene Pickard,2020-10-26T21:05:01Z,0
Umm you disappointed me adriene. I was expecting you to fly and go back to space at the end of the video🥺,SprAha SiNgh,2020-10-26T03:12:55Z,0
"Oh, Adriene, this was perfect. As soon as you said “I’m Alien and this is Boingy”, I cracked up.<br />I did the rest of the practice, and it was great, but the laugh was my best yoga today.<br />Thank you so much, from a hilltop in Pennsylvania.",pietruin,2020-10-25T20:39:29Z,0
so creative! love this one,elixir,2020-10-25T16:05:26Z,0
"Loved this sooooo much, the entire practice wearing that thing on your head, yoga with alien.. couldnt stop laughing through the whole video!! :D",Clara Mantel,2020-10-25T07:25:37Z,0
"This was so much fun 😂😂😂😂😂😂 Nano Nano! 😂😂😂😂 you are the best, Adriene!👌🏻👏🏻👍🏻",Daniel Brylka,2020-10-24T17:28:52Z,0
"You do so much to make what you do fun and interesting not only for us but also for yourself, it&#39;s so admirable. ❤️👽 And cool.",Serena Ndekeremo,2020-10-22T14:02:20Z,1
It would be so funny (and cruel) if Adriene added a screamer at the end of video when it cuts to black,Francis,2020-10-21T10:52:32Z,1
