comment,id,date,num_likes
Hello my friends.<br />This one is a big request. <br />Take 20 minutes to reset and Find What Feels Good.<br />Unlock that inner wisdom. Trust that you have everything you need. <br />I’m here to help!,Yoga With Adriene,2019-03-03T13:54:33Z,375
"Love you. Thank you, Adriene.",Kara Miller,2021-05-04T19:58:16Z,0
amazing release in the laying down butterfly...the pawing the thigh and then the flick ....suddenly all the tension was gone! Loving this daily practise with you! Cheers!,Jen V,2020-11-26T18:33:46Z,0
Thank you Adriene.....Love and Peace to my fellow Anxiety yogis.,j tansey,2019-04-04T13:24:39Z,0
Yoga With Adriene day,Jane V,2019-03-28T09:30:12Z,0
Yoga With Adriene   Thank you so much and I just wanna say I love you,Annye Annie,2019-03-22T08:24:58Z,0
"I am currently feeling tormented by a dismaying thought and being that I find much solace and perspective in your words and guidance and you have as such somehow become a yogini to me - like it or not, I would ask a rather morbid question. If it were that you were watching the TV news - footage of a runaway fire, with a close up view of a bunny (for instance) fraught with terror, frantically trying to escape the blaze – to no avail, most of us would immediately change the channel, if however it was your very own fragile child in the place of the rabbit, would you still be able look away. How do you refrain from being consumed by hatred when you then see the fire-starter strutting around without the slightest sign of remorse, in fact every time you look they are lighting up another fire. But then when you look a little closer you see that you are the remorseless fire-starter the fragile child and even the rabbit. God is the one watching the horror scene on the telly <br />Namaste lovely Adriene.",Christ saevio,2021-05-08T22:22:24Z,0
Benji is totally into his savasana.,TheDam1776,2021-05-06T19:32:53Z,0
what a lovely practice 🥺,Danielle Infante,2021-05-06T17:51:33Z,0
"THANK YOU, Adriene, <br />those calm and deep breaths and shoulder stretches/releases were also very Covid-recovery friendly 🙏  at least for me, thank You for that, it feels so great!!! <br />And You and Benji also brightened up my mood, since i need to email my boss that I’ll need some more days to rest after quarantine and idk why this stressed me so out ... .. it’s probably the crazy system. <br /><br />Well, stay healthy everyone 🌱💕 take good care 🧘‍♀️🙏🙃 greetings from over the ocean 😉",Heiki Ka,2021-05-06T14:49:48Z,0
"I followed the 12 min conditioning with this session and one word comes to mind:  unwinding, no two words: stretched.  Gracias!",Tony Rodriguez,2021-05-06T14:17:55Z,0
"Adriene said ‘we’re all in this together’ and my brain immediately went to High School Musical. 😆 Almost didn’t make it on the mat today but, as always, I’m glad I showed up!",Jazz Dickinson,2021-05-06T05:39:49Z,0
Great session. And calming,Susan Winter,2021-05-05T16:45:47Z,0
This channel saved me. Everything I’ve learned on the mat is applied off the mat whether I’m aware of it or not. Thank you Adriene.,Jessica Beof,2021-05-05T14:58:49Z,1
That was such a beautiful practice 🧘🏻‍♂️❤️ thank you so much X,Mahmoud Khan,2021-05-05T10:10:50Z,1
🙏🏼♥️,Leena Launay,2021-05-05T07:58:51Z,1
I was so excited to do this practice at the end of my day. Day 4 of TRUST and 4th month this year of following the daily calendars. Im so glad I&#39;ve kept my devotion to yoga and my mat because it helps me get through the tough days but also appreciate the easy or awesome days.,Anabel Krishnan,2021-05-05T05:05:14Z,6
Heaven… this practice felt like heaven. Thank you.,Malcolm Forbes,2021-05-05T04:10:11Z,3
So beautiful. Just what I needed today. Namaste. 🙏🏻💖,Amy,2021-05-05T02:45:32Z,3
"This was everything I needed today, thank you!",Louise Richards,2021-05-05T02:40:44Z,0
Thanks for a great practice!,Disco Anna,2021-05-05T02:31:31Z,0
"Sorry for the delay. Been wanting to make Yoga a habit this month and May (sorry for the delay). Looking forward to tomorrow morning and to hopefully making the difference and catching the first three sessions in due time. Thanks again for doing this, Adriene!",TChops 2019,2021-05-05T01:34:52Z,0
"Great calming practice, thank you Adriene ❤️",Izabela Benjamin,2021-05-05T01:14:51Z,1
Also here for Trust - May 2021; dragged myself onto the mat AFTER dinner and so grateful that I did. Namaste Adriene and this YWA/FWFG community!,vbkaren1,2021-05-05T00:53:29Z,3
"Whenever i play these videos, my cat always sees adriene and benji on the screen and she starts pawing at it!",layzer,2021-05-05T00:13:43Z,6
Simply thank you ❤,Charlene Aubertin,2021-05-05T00:12:11Z,1
Beautiful practice. Thanks Adriene!,Shana Page,2021-05-04T23:03:41Z,2
I needed those sweet words at the end. I truly felt a community of support. Thank you Adrienne for this.❤️🕉,D E,2021-05-04T23:01:46Z,4
