comment,id,date,num_likes
"Hello everyone!  One week in the books! <br /><br />Often when we are met with challenges or when we feel stuck, we feel like we have to work harder, push harder, so today is a beautiful reminder to relax, lean in, and find a softness and an ease.<br /><br />Enjoy this moving meditation. An opportunity to get un-stuck. Lean in and get your sway on.",Yoga With Adriene,2019-01-09T14:05:54Z,478
Merci! Don t let ease with ease scare you x,Murielle Cordemans,2021-04-17T07:06:27Z,0
"Aww! God bless you, sending love to you and Benji. You are a goddess! Thank you for your wisdom and sharing this life with us.",Apex Mom,2021-03-23T15:02:32Z,0
Thanks for the dedicate challenge and for the lovely meditation! <br />PS: also love the Crown on Netflix,Sara Aguilar,2020-07-21T11:34:57Z,0
"Loved it, thank you!  Day 29<a href=""http://www.youtube.com/results?search_query=%23ywa"">#ywa</a> MEDITATE - Namaste ~",Tamiah Johnston,2020-05-29T14:29:48Z,0
"I feel like I didnt do much to unload some bad/sad tgoughts passed before &amp; during the session. BUT, with yoga as long as you have an intention, no matter what your were doing, you ARE doing it right. Or at least thats what I hope for 🙈 . I was stiff for this session but it was nice to enjoy the privilege of silence... Thanks Adriene! Peaceful mind to all. Namaste... 🙏",Delan Mezban Abdullah,2020-02-28T07:31:37Z,0
MEDITATE your way<br />Into each and every day<br />And you’ll be okay,Dee.Romano,2021-05-08T11:42:56Z,0
I think this is the best day 8 video you ever made. I keep coming back to it once in a month or 2 months. It&#39;s a secret joint opener and always makes me feel fulfilled. such an experience.,Rahime Alsanğur,2021-04-25T19:04:56Z,0
I stated this one a little late but I&#39;m loving every bit of it. I really needed this today. Thank you for being amazing Adriene and for guiding me on how to be  kind to myself. &lt;3,Kavishni A.M,2021-04-25T15:22:15Z,0
Amazing!,Valery Kabs,2021-04-20T17:12:54Z,0
"I think sometimes I just want a reassuring voice to be with me as I feel all the feels, because not a lot of yoga happened this morning, but tears and just really dropping into some layers of grief did. I kept trying to come back to the yoga but in the end held myself as I cried. And I didn’t feel as alone having Adriene gently talking... holding the space. <br /><br />I know I’m one of literally thousands, but the ‘friendship’ — friendly space that I find here with you...feels safe and good and held! Thank you 🙏🏼 🙏🏽",F • I • O • N • A,2021-04-18T22:32:50Z,1
We are By Design,BY DESIGN,2021-04-12T04:43:15Z,0
When I laid on my back all my vertebrae decided to sing a song... I literally felt my back just release in that moment.. I also know that my hips are super tight so had to bring the floor up to me so I used my yoga blocks to help. But a very nice practice today.,Jacki Siddall,2021-04-09T10:30:14Z,0
Thank you Adrienne yes the Crown is brilliant! Your yoga videos are fabulous! I did have difficulty with the exercise today as seem to be unable to put my legs folded like that and lean forward without pain. I could not even get to my forearms but I just did what I could maybe I need to practise this one more. I truly enjoy starting my days with your videos! Thank you xxx💕😘🙏 Namaste,Astrid Jeary,2021-04-08T08:24:25Z,0
Lately with these relaxing practices I end up falling asleep in corpse pose 😆,Kathy Lopez,2021-04-03T06:39:21Z,1
"I really loved this practice! At first I was like, nah, I don&#39;t want to do a slow practice, but I am sooo glad I did it! :) Thank you Adriene :) I&#39;m loving this challenge so much and it really is helping me &lt;3",Olethea,2021-04-02T08:43:31Z,1
Perfect before bedtime. Thanks A.,Vin Dom,2021-03-31T13:00:57Z,1
Brilliant class! You&#39;re too funny. Lots of love and many thank youuuuuus x,Ruth Fernandez,2021-03-31T12:32:05Z,1
Nice training... Sidenote: Adrienne sounds funny when I go through the practice at double speed..,Tom Pavlič,2021-03-26T07:08:51Z,0
Just what I needed in my journies of quarantine 2021 😍,Yossa YSU,2021-03-23T08:41:04Z,0
"Thank you Adriene, this is exactly what I needed today.",Saoirse O'Brien,2021-03-16T02:09:25Z,0
"I just remembered doing this one a couple of years ago,  it looks like it’s going to be a nice gentle practice,all soft and whatnot.  But, for me it is one of the hardest of the whole 30 days.  It just lets me know how the years have tightened up my body, I can’t bend into any of the relaxing postures at all.  Never mind, just have to stick with it and hope.",Richard Whitfield,2021-03-12T09:17:16Z,0
"Me: Yikes, 28 minutes of meditation practice<br />Adriene: Namaste<br />Me: What.... that was the fastest 28 mins ever!",Anna Smith,2021-03-09T19:29:18Z,0
So me❤️,Lori Romero,2021-03-10T13:47:13Z,0
I love day 8 meditate it comes and goes so fast (to fast!🤨) But it marks the end of week 1 &amp; now onto week 2👍😀✌️,VvAaMmPpIiRrEe,2021-03-08T09:00:44Z,2
I am not crying 😔am I doing wrong?,GSCN S,2021-03-02T02:12:01Z,0
Love how you balance the yoga practice ♥️♥️♥️. Thank you 🙏🏻,Donna Lisa Licaros,2021-02-26T08:47:34Z,0
"After 10 days off due to surgery, I am back ! Couldn’t be any better than this practice 🌈 thank you 🌸",Marie Godfroid,2021-02-22T21:58:43Z,0
I can tell Benji liked todays practice,Nightysky aj,2021-02-21T08:37:09Z,0
Perfect practise to do before bed time...Loved it! &lt;3,Erika Montebello,2021-02-18T20:48:51Z,0
♥️thanks ♥️,Mia Haglund Heelas,2021-02-16T06:44:07Z,0
Thank you ❤️,MyTink18,2021-02-15T12:59:00Z,0
"yeah, The Crown! and two years later, more episodes to enjoy! thanks for a well-rounded approach, Adriene!",Kate Dauphinee,2021-02-10T05:32:49Z,2
I just love the pretty view of the boat and the lake! Please find another beautiful place for your next series. It really adds to the mood :),Tracy Ritter,2021-02-09T02:20:43Z,1
What! That was the shortest 28 minutes of my life! So wonderful!<br /><br />8/8 and 38 consecutive days 😲😆<br /><br />❤️❤️❤️❤️❤️❤️❤️❤️,DenisChenard,2021-02-09T00:26:02Z,1
I did it. Had no idea we were meditating today and it IS JUST WHAT I NEEDED. Namaste loved ones,Penny Kazmierski,2021-02-08T22:46:30Z,0
&lt;3,heygyal,2021-02-08T21:28:57Z,0
Loved this so much! Thank you.,EllieJayden,2021-02-08T20:33:38Z,0
I feel fortunate that this was next up after a cardio workout.,Jay Sinnott,2021-01-16T18:31:56Z,0
Chill zone,Jeremy Richard,2021-01-16T03:09:23Z,0
"Thank you so much! It was really hard for me to concentrate and to not think about some stuff that I need to do after the practice. But you&#39;ve just said that that&#39;s okay as we are all human being, so I just need to do my best to feel the moment. Your practices help me not only in my body health journey, but also in my self love experience. To not judge myself during the practices is much more easier task for me now! Thank you!! PS. And when I put the blanket ander the knees in the end of the practice and lay on the pillow I&#39;ve just felt as I&#39;m on a message session. All this cracking  and total back pain relief.... just amazing.",Nika Spitsa,2021-01-10T22:03:55Z,0
Love you all too! :) Keep rocking &lt;3,CoDLover7771,2021-01-07T18:16:35Z,0
Thank you soooo much for this awesome practice! Your playlist always manages to get me hocked up again with yoga and some time for myself to get back on track ! Thank you for your wonderful way of sharing !,Juale,2021-01-07T18:04:06Z,0
Thoroughly enjoyed this meditation class.  I needed to be kind to my body today so thank you so much.,Judy Nicastro,2020-12-29T20:48:38Z,0
"A lovely practice - a permission to dedicate some time tending to the self in a slow, calm, and relaxing manner. Thank you, Adriene :)",blessieva,2020-12-29T14:29:35Z,0
"...........  Fibroid Treatment ........... As a sign of gratitude to Dr. Taiwa Abu for how he completely cured my wife from fibroid, I decided to reach out to those still suffering from this Disease.  My wife suffered from fibroid for more than 6 year of marriage after our first son and it was really tough and heartbreaking for me because she was my all and the symptoms were terrible, she had irregular and painful menstrual flow and the size of it was 6cm, and she always complain of stomach pain. We tried various therapies prescribed by our neurologist but none could cure her. I searched for a cure and I saw a testimony by a woman from the UK who was cured and so many others with similar body problems, and she left the whatsapp number.. +2349047218377   of the doctor who had the natural cure for fibroid. I never imagined fibroid has a natural cure if not surgery not until i contacted him and he assured me my wife will be fine. I got the herbal medication he recommended and my wife used it as instructed by  Dr.Taiwo , and,after 4 weeks we went to the hospital for a scan and the doctor confirmed that there is no trace of fibroid and now she is fully okay, even up till this moment she is so full of life. fibroid has a cure and it is a herbal cure contact  doctor,  Dr. Taiwo Abu for more information about this natural treatment.......<br />you can contact Dr. Taiwo by:<br />Email: drtaiwoabu@gmail.com ..... OR<br />Call/WhatsApp him on: +2349047218377",Liam Wilson,2020-12-27T07:55:36Z,0
“Cool way to be human” lol love it 😂❤️💚☃️❄️,anne ferraro,2020-12-25T17:57:33Z,0
"So here I am, a year later, just doing about a week or two of this 30 day practice to prepare me for getting into the next 30 day one (it has been a while since I have done some yoga since I had a baby).<br /><br />This one is how I remembered just how messed up my back is. Although I was able to get up on my own this time, I could not get relaxed enough to lay on my back without it hurting like the dickens.",KnitterBocher,2020-12-24T01:21:41Z,0
"<a href=""https://www.youtube.com/watch?v=lHwYuOWiGBI&amp;t=0m03s"">0:03</a> she said that in true 30 day yoga too! the exact same! 😜",Huili Gean,2020-12-24T00:41:10Z,1
Awesome stretch :),Kristine Simonson,2020-12-21T22:33:12Z,0
"Really loved this practice! It was so nice to just breath in and out, take it easy, no stress or nothing. It was just what I needed today! <br />Thank you for amazing at home practices! 💗",Cassandra Tammilehto,2020-12-17T20:04:04Z,0
Words can&#39;t describe what this practice means to me sending you and this beautiful community so much love,Lindsay Riggins,2020-12-10T18:52:48Z,0
"New to yoga, thank you for being my guru in this journey! The crown is brilliant I&#39;m watching season 4! Namaste",Rina Soni,2020-12-06T07:58:25Z,0
Yes never thought I would but really enjoyed this ...thank you x ..made me so aware of my inner self 💓,Judi Baldock,2020-11-29T18:27:47Z,0
"Stopped part way through to add this comment! You normally seem aware of different abilities and flexibility, but in this class you seem to expect everyone to fold forward and put their forearms on the ground! Not possible for many of us, you need to give alternative positions 😔",Anne Burnett,2020-11-28T17:19:17Z,0
"Where can I find this outfit, please? 😍",Jackie Johnston,2020-11-26T20:59:15Z,0
Beautiful Adriene! thank you  ❤,Alexis Chacon,2020-11-25T15:08:51Z,0
I had to pause the video in order to light my candle. 🕯️,Forgotten Palace,2020-11-11T12:50:09Z,0
"Yes, ma&#39;m! As a matter of coincidence, I watched the last episode of season three only a few hours ago. And yes, I am talking about… The crown.",Katlien,2020-11-08T06:04:42Z,0
"Oh, and was it yesterday that you asked for some songs with &quot;fire&quot; in the title, please check this one out: uptempo South African song: &quot;when the fire is low&quot; by Freshly Ground. Huge hug from Brussels, Belgium.",Katlien,2020-11-08T06:12:23Z,0
I have 3 days left from dedicate but I am going back to different days and doing them again. It&#39;s still so difficult to take your kind words to heart. I still run into a wall. It&#39;s really difficult to trust. At least now I see that yoga is way more than just the movement.,Oshanii,2020-11-03T21:31:37Z,0
Just in time for Election Day. 🧘🏼‍♀️,Tannis B,2020-11-03T15:10:54Z,0
After not doing yoga for a couple of months this video was perfect for starting again :),Meirion Hughes,2020-10-28T19:07:41Z,0
Orange and blue.<br />This one’s for you Dad.,Reem Yassin,2020-10-22T01:05:48Z,1
Yes I love The Crown! I think Queen Elizabeth would of benefitted from an at home yoga practice Adriene. Although I’m not sure where should have put her purse🤣,Julie Tillmann,2020-10-17T17:29:12Z,0
Why so fast?! This one is my fave with all your 30 day yoga series. Just love how it calmed my mind and relaxed my body. Thank Adriene.,Mary Ann Fraga,2020-10-09T11:09:44Z,0
I thought I wanted a vigorous practice today and almost changed the video but then decided to trust the journey and do Day 8 without complaint...and this was wonderful! I didn’t want it to end ❤️,Kathryn Korchok,2020-10-08T21:02:32Z,1
Your practice and words help a great deal Adrienne ☀️,pawandeep kaur,2020-10-08T13:17:24Z,0
I love day 8. Dialing into self. Blessings always,Christeen Francis,2020-10-08T10:05:25Z,1
"&quot;Don&#39;t hate, meditate, feel great&quot; would look great on a YWA t-shirt!",poke1093,2020-10-07T14:51:56Z,5
We’re getting high tomorrow ?!?!,Elle Spinelli,2020-09-29T20:17:50Z,0
"When I went to lie down, my lower back was aching too much and I had to bend my knees. Even then it was aching! This happens quite often and I don’t know why! Has anyone experienced something similar? x",Joanna Woznicka,2020-09-27T14:21:21Z,1
&lt;3,Bob Clausen,2020-09-26T18:14:50Z,0
Just what i needed. FWFG  with the great yoga lessons from  Adrienne  it it so much easier to find  what feels good. Thank you for your time and energy. Lots of love  and sleep well xx. it is bedtime in  Europe.,Bettina van Dam,2020-09-21T21:00:53Z,0
Lockdown stage 4 Melbourne.  Yoga has been a godsend Adriene.  Thanks.,Philip Reynolds,2020-09-17T04:16:40Z,0
As an ER nurse just surviving in the world right now... this journey is bringing me back to myself. Thank you for your encouraging words... they mean more to us than you know.,Savannah Coston,2020-09-17T01:18:11Z,0
"Adrienne you are incredible.  I have battled plantar fasciitis in my left foot for over 3 years, constantly trying to &quot;stretch it out&quot;, as well as to understand that the issue could be traced back to the network of muscles from my back and hips all the way down to that band of tissue past my heel. Meditation today showed me that my entire left side of my body is much more tight and constricted, and will need lots of attention to be where my right side is on a normal day. <br /><br />Thank you for everything you provide, both physically and spiritually, to those of us on this journey. Namaste ❤️",whenimgone98,2020-09-13T16:09:22Z,1
🙏❤️,Clare Lora,2020-09-13T02:17:39Z,0
"Just got back from a camping trip, the first vacation in month (since March) or years (since starting graduate studies) and so glad that tonight’s mediation allowed me to stretch out as well as calm down! Thank you 🙏🏻 namaste",Kyle Stooshnov,2020-09-09T06:11:04Z,0
"I love you Adriene, you&#39;re such a sweetheart ! Thank you for everything",Pluche,2020-09-08T15:51:19Z,0
Soooo good!,Clare Loveless,2020-09-08T10:52:19Z,0
Queen Adriene is the only crown-related show I have time for,S De Nardi,2020-09-08T01:03:02Z,0
"Sadhguru says &quot;Become Love&quot;. Adriene, you have done it!",Shuchita Jain,2020-09-03T04:49:43Z,0
Check in day 8!,Zhu Yuanchun,2020-09-01T03:42:45Z,0
"Great meditation! And yes, i saw The Crown...i am a fan of the firsts seasons...the last one not so much",Sigrid Nielsen,2020-08-28T12:48:04Z,0
"Another lovely day.  I am usually so mean to myself and critical of myself when stretching, and it was so good to be reminded to approach these stretches mindfully and from where I am.",themoobeast,2020-08-21T12:41:30Z,0
I fell asleep....woke up by my own snooring a few minutes later. Guess I was tired,camilla nilsson,2020-08-14T21:42:58Z,1
"I fall asleep on my mat all the time... Lol Idk if I&#39;m tired or if Adrienes voice relaxes me so much that I just crash... Maybe a little bit of both. Tomorrow is my day 8,Im sure I&#39;ll be snoozing too... 😂 Namaste 🙏🏽",Cristy Creates,2020-08-20T17:17:03Z,0
