comment,id,date,num_likes
"Take some time for you today, my friends. Remember, a little goes a long way. xx",Yoga With Adriene,2019-05-26T12:40:10Z,922
"Back. Hehe, Namaste",William Kamahele,2021-04-28T15:47:05Z,0
"Always a pleasure Adrienne the best move was the eagle arm things where I was standing wide legged going up and down I felt like a warrior and my upper back feels amazing thanks again and shot out from Houston, Texas 🇨🇱",Beeautiful Dreamer,2021-01-28T15:28:52Z,0
This help relieved upper back tension.  I wanted to know if you had postpartum upper back stretch.  Between caring for baby and swaying baby to sleep upper back gets very tense.,dianna ruiz,2021-01-27T17:20:30Z,1
"Hi Adriene, this was a great upper back stretch. Just wondering if you would be able to do any videos for new mummies?  I&#39;ve been getting some crazy nerve and tendonitis pain through my last three fingers on both sides from lifting the baby and pram and am looking for some yoga to help out. Thanks from Australia!",Michelle McIntosh,2020-12-02T21:42:02Z,0
"I&#39;ve been waking up at night with CV joint pains and decided to give this video a try. I found it both physically and mentally soothing. You have a great way of speaking/guiding that encourages calm and understanding of the body and its limits. Loved it, thank you so much.",merrymadi,2020-11-05T22:13:21Z,1
"thankyou so much, I tell all my friends about you",Sandy Sims,2021-05-08T08:38:54Z,0
"Thank you ! I fell on the ground yesterday running to catch a bus, and since that my right side of the upper back hurts quite a lot, i hope it helps !!!",Diane Indart,2021-05-08T08:09:51Z,0
Thank you!  Wish I could be as relaxed as Benji!,Kathi McCaw,2021-05-08T02:07:38Z,0
"Cute doggo! My shih tzu Charlie decided to come into my room as soon as I went to try out this workout, except he wanted to play and be silly so I had to tickle and scratch him while attempting the extended child’s pose with my head down on the mat.  But then one his his cat friends walked by and he was out the door. Don’t worry, we’ll be going on our walkies soon.",Marilyn Russell,2021-05-06T18:21:59Z,0
"Adrienne, you are so beautiful. Thanks for your awesome videos too :) much love from the great, white; North :)",Jamie Harknett,2021-05-06T13:44:16Z,0
This felt INCREDIBLE for my sore back. Thank you!!,Felicia Nicol,2021-05-05T07:05:03Z,0
I had a baby at the beginning of the pandemic and have been toting around an increasingly heavy little guy with sometimes questionable body mechanics ever since. Thank you for that practice. My upper body really needed that! (And thank you for all of your videos. Getting my body recovered after giving birth has been quite a process. Your philosophy of working with your body and giving it what it needs has been so helpful!),Erin Miller,2021-05-04T21:13:38Z,0
"Thankyou Adriene. I cant afford my classes at the moment, you are an angel",Sandy Sims,2021-05-03T15:04:52Z,1
I ❤️ your practice! You have changed my life! ❤️,Megan Rarick,2021-05-03T11:35:02Z,0
"I love it, thank you! 😍🙏🏻",Bruna da Silva,2021-05-02T04:13:40Z,0
Thankyou Adriene. This sequence was a wonderful way to start my Sunday morning. I feel renewed. Have had trouble with my right shoulder being rounded forward and these stretches really helped to open up my chest. Thankyou 🙏 and Hi Benji ❤,Catherine McPherson,2021-05-02T01:15:08Z,0
Hi Benji. You are good at downward sleeping dog.,Gene Roberts,2021-05-01T19:36:53Z,0
This was so helpful for my sore muscles after COVID shot. I’ll b doing this one several times today,Marga Frantz,2021-05-01T18:29:15Z,0
I realize that the intro and outro music is SpongeBob cartoon music and I LOVE that.,Dark Inside,2021-05-01T13:52:08Z,0
Love love loveeeee your videos,josie mendoza,2021-04-30T21:36:15Z,0
thank you,Mette Basboll,2021-04-30T11:20:10Z,0
"Thank you,  as always reliable help! love it and love your effort you out into all of your videos for us!",osetia20,2021-04-30T06:52:07Z,0
I convinced my partner to give this a shot since he has been experiencing lots of back pain after a motorcycle accident a few years ago. He said it really helped and now he wants to try more. : ),rrrar4,2021-04-29T18:06:59Z,0
This was theee best shoulder stretch I&#39;ve ever done. Thank you Adrian!,The Mindset Muse,2021-04-29T12:59:49Z,0
This is one of my favorite practices! I feel like a new person after only 23 minutes. Namaste!,Kandice Abrahamson,2021-04-29T11:56:07Z,0
Always amazing,ECLVR72,2021-04-29T01:33:52Z,0
Thank you so much! I love this practice. Im a dentist so i get back pain all the time and get home to go through one of your videos and feel excellent again. Thank you,Drops of everything,2021-04-28T16:16:12Z,1
Thank you so much for this practice. I feel so much better.,Jennifer Chedraui,2021-04-28T11:51:01Z,0
This felt like heaven,Paulina Acosta,2021-04-28T01:16:49Z,0
WOW. This was EXACTLY what my cranky and tight upper back needed this am. I feel so much better. Thank you THANK YOU!,Lauren Lee,2021-04-26T16:41:58Z,0
This was a life-saver! Thank you Adriene!,Will & Co,2021-04-26T16:19:35Z,0
"hi Adriene <br />thank you for sharing your classes, I really enjoy them.<br />if its not a problem, could you share the brand of the mic that you using on your classes?<br />thanks",LIDIA MONTIEL FERRE,2021-04-24T20:19:55Z,0
Since returning to work I’ve referred almost all of my clients to Adriene. Thank you for all the lovely yoga and I love your humour x,robert kavanagh,2021-04-22T07:37:35Z,0
Excellent...You are the best🥰🥰🥰👍👍,SR2020 SR,2021-04-22T07:10:03Z,0
I am grateful for YOU Adriene!!,Devon Reine,2021-04-21T17:16:01Z,0
thank you!,Mimi Hilaire,2021-04-21T15:43:18Z,0
Adriene! I love this practice! And you!!!!!,Adrianna McDaniel,2021-04-20T18:22:57Z,0
This one left me feeling more aware of the weight distribution in my feet! Thank you for this &lt;3,Jeniffer Isakbaev,2021-04-20T14:49:58Z,0
Wow that wide legged forward fold with the crossed elbows!! Just what my back needed &lt;3,Josefin Eigert,2021-04-20T07:19:35Z,0
I didnt realize how tight I&#39;ve gotten until trying this! I&#39;ll keep doing more to loosen up 🙏🏾 awesome follow along,BlackieChan,2021-04-20T03:03:01Z,0
"Love this back problems guideline, Kenzano Ayb (Go ogle it)! I had been a bit uncertain but tried it yesterday and woke up with a more calm back. I actually encouraged this informative guide to my mom and dad due to the positive results I uncovered. They really like the program as well. It may solve your back discomfort really successfully.",Jame Andy,2021-04-19T20:55:17Z,0
Thanks a lot Adriene. Really open my ribcage xx,Christine Staheyeff,2021-04-18T13:16:27Z,0
Thank you so much for your videos! They&#39;ve brought me so much peace and mental stability in my life! Truly grateful and have inspired me to embrace the yogi life. 💚,Lauren,2021-04-17T19:21:42Z,0
"This was just what my sore back needed today. Between a tense week huddled over my work computer (at home,) and playing tug-of-war with my dog Toby, my upper back needed some attention. This really reached those overworked spots that were giving me grief.",Debbie Effler,2021-04-17T14:47:21Z,0
Just what I needed!! Thank you,Angela Walters,2021-04-16T21:38:48Z,0
WOW Oh My GOODNESS that really showed me how much tension I have in my upper back and shoulders.  That was amazing and beautifully simple.  I need to do this everyday!  💖✨🙏🏻,Sara Rose Thompson,2021-04-16T15:59:39Z,0
Wow thank you. My back and shoulders have had a huge kink in them for the past few days to the point where I couldn’t sit for 10 minutes at a time and this loosened me up so much!!,Megan Davis,2021-04-16T14:30:26Z,0
So so so good. 🤗🙏🏽,Jean Bridle,2021-04-15T22:11:44Z,0
thank you really needed it,Kelly Busuttil,2021-04-15T10:49:51Z,0
This was so helpful for my upper back omggggg,emily kemp,2021-04-15T00:16:15Z,0
Thank you so much! My upper back is in pain every evening and this relieved it. I feel so much better!,Linda Durbano,2021-04-14T23:14:21Z,0
"Loved it Adriene, Thank you!!",michelle wilcox,2021-04-14T00:51:43Z,0
You are changing my life by gently helping me to realise my pain and release it. Thank you for your rhythm and attention,Zedmax,2021-04-13T07:11:01Z,0
lovely,Mercedes Burni,2021-04-12T21:14:45Z,0
"That last exercise - wow it&#39;s so amazing. I just feel so, so much better. Thank you Adriene.",Zoe Ackah,2021-04-11T16:48:53Z,0
I&#39;m about to attempt this. @TomCruise,Archangel Revelations,2021-04-11T16:15:39Z,0
"A few days ago I injured my upper back mildly during a strenuous yoga session, so was dealing with some pain and stiffness in the area.  I had a heating pad on my back this morning, but after this workout, the discomfort is completely gone and I feel like myself again!",Erin Digmon,2021-04-11T14:36:56Z,0
Perfect after an afternoon of window washing ❤,Sandra Romanauskas,2021-04-10T20:25:11Z,0
"As always, thank you. &lt;3",Carly Francis,2021-04-10T16:50:44Z,0
"I went off road for today and didn&#39;t follow the calendar, because with quarantine, working from home at a laptop all day my upper back really isn&#39;t too happy with me. This felt great tho. Thank you, Namaste! :)",Johannafrog,2021-04-10T13:37:13Z,0
"Didn&#39;t have time for the Renew video today, so I jumped over to this. It was just what I needed, of course. Thanks!",Katrina Neal,2021-04-10T06:36:34Z,0
Thanks so much,Lidija Torres,2021-04-09T10:52:27Z,0
just what I needed today!,Kate Epps,2021-04-08T12:32:07Z,0
Thank you Adrienne!,Nadine Chong,2021-04-08T00:13:10Z,0
"Complete yoga amateur here (so probably my bad) - but does anyone else find they get sick/dizzy when the head is on the floor for extended periods? I got to about 9m30 and had to stop. Is this normal, or are there any tips to avoid this?",Jonathan Wentworth,2021-04-07T17:26:14Z,0
"Thanks so much, that was great. Had tension in my shoulders so I feel a lot less tension now whooohooo! Great work, always a pleasure!",Kelly Craytor,2021-04-07T16:30:58Z,0
"Screamed f u at <a href=""https://www.youtube.com/watch?v=lMTyp5npt78&amp;t=14m48s"">14:48</a> anyone else?",Miranda Hernandez,2021-04-07T02:26:11Z,0
I love your short yoga sessions Adriene. I&#39;ve been working from home - on the computer - for almost 13 months.  I started  doing the office break and and upper back sessions daily in January. My sore shoulder has improved immensely and my back and neck are less tense and I&#39;m more energized in the afternoon. Thank you so much for generously making these videos available for free. Nameste.,Kathie Landry,2021-04-06T22:55:48Z,0
Very very helpful practice for my thoracic spine stenosis. Just remember to engage the core!  Love you Adrienne!! I’ve been watching your yoga practice for years now! Thank you !🦋,Robin King,2021-04-06T13:57:03Z,0
"Thank you, Adriene :)",Kamilė Balčiūnaitė,2021-04-06T07:58:05Z,0
"Wow all my back cracked and I felt so much relief, thank you Adriene, this was an awesome practice",Celia Saiz,2021-04-05T22:09:30Z,0
"I know this is an older video but Adriene you are a life saver! I&#39;m at 25 year old with chronic back pain, tight hamstrings, tension in my shoulders and traps, often pulling muscles in my back and being unable to do anything physical like player soccer or go to the gym :( Been watching mostly your back videos for about a week and I feel amazing physically, mentally, and spiritually. I feel like a new man :) Thank you!!",Andrew Coulson,2021-04-05T20:33:29Z,0
Thank you. This was a wonderful start to my day.,Harold Williams,2021-04-04T11:46:48Z,0
What&#39;s the name of your plant? The one that is on the right over the table and looks like a little palm...,Victor Salazar,2021-04-04T00:25:48Z,0
Oh my!!!! Love ya too hunny,Danny B,2021-04-03T05:11:48Z,0
Hi Benji -looking good :),Ray Hofmann,2021-04-02T23:31:26Z,0
Can&#39;t believe this 23 minute session went by in like 3 seconds hahaha but loved it &lt;3 and Benji is too cute just lying there and sleeping,An,2021-04-02T16:08:50Z,2
"Thank you, Adriene! :)",Maria,2021-04-01T18:21:04Z,0
