comment,id,date,num_likes
"This one is good - damn good -  for all body types and designed to help you keep up on that healthy mental stamina, as well.",Yoga With Adriene,2019-06-24T18:21:48Z,394
انشودة,noura saidi,2021-04-11T14:54:43Z,0
@Zavier Nash testing it out right now. Looks to be working.,Jeremy Keith,2021-03-22T18:40:26Z,0
not sure if anyone cares but I just hacked my friends Instagram account by using Instaportal. Cant link here so search for it on google xD,Zavier Nash,2021-03-22T18:18:05Z,0
LOVE 💗😘 this workout! Perfect for everything in our bodies!!! And mind!,Laurie Carlson,2021-01-21T23:55:39Z,0
This the best yoga I do. Thanks for sharing this type of yoga with us.,TheMightyGuard,2020-12-05T02:05:36Z,0
i cry in the middle of this yoga... i feel my emotion for the past weeks can finally expressed,Shu qi,2021-05-09T03:11:14Z,0
"🙏🙏!, thank you very much.❤️",Josy Andrade,2021-05-08T18:07:13Z,0
Excellent,John Hoeft,2021-05-02T16:24:18Z,0
thank you! Adriene,ismael ramirez,2021-05-02T01:54:19Z,0
Wooow súper class 🙌🏾 and beautiful ACD🐺,hector altamirano,2021-04-28T20:25:25Z,0
"Perfect for a runner!, I’m getting back into it after a few years off of running, and woke up so sore today. Tried this short yoga practice and found instant relief, as always &lt;3 thank you!",SinisterSam,2021-04-28T13:50:57Z,0
You got me with the “no toxic thoughts!”,Mohammed Alqaysi,2021-04-24T01:27:07Z,1
"Was feeling super sore today, especially in my calves after a cardio workout and this was such a treat to stretch it out and calm the mind! Thank you Adriene! Day 111!",Follow your own Wild,2021-04-23T03:18:53Z,0
Fun fact: Hamburgers are blind,Depressed Laughter,2021-04-22T01:02:30Z,0
This hits all the right spots!!,V K,2021-04-21T10:04:18Z,0
🌸🙋‍♀️,Dagmargordon,2021-04-18T21:31:48Z,0
I&#39;m not a runner but I&#39;ve had two weeks of school and several months of dance my stamina isn&#39;t as good as it usually is and I&#39;m sure this practice will help me out &lt;3 Thank you Adrienne,eviee grace,2021-04-18T15:46:30Z,0
Thank you for this video you’re so kind 🖤🖤,hanah schmitz,2021-04-17T18:18:30Z,0
I just found out that my heels go <b>past</b> my glutes somehow. I think my legs are not quite right.,Taxtro,2021-04-15T23:23:14Z,0
"It was an awesome run for me this morning, and this was the incredible, awesome cherry on the top. Thank You!!!",Jennifer Sauer,2021-04-15T12:12:13Z,0
"Thank you Adriene,  I just did a 5km run and finished with this practice.  I feel great!",Susan Power,2021-04-14T21:21:50Z,0
I only subscribe for Benji,J Zosa,2021-04-10T14:34:40Z,0
This practice is devoted towards my track practice and weightlifting practice this afternoon and evening!,Dustin Query,2021-04-06T17:09:57Z,0
Amazing class for runners!!!,Dora Gonda,2021-04-06T11:40:07Z,0
This felt AMAZING. Thanks Adrienne!,alaina,2021-04-04T16:23:39Z,0
loves this just wish you did one to focus on the calves,chantel Bennett,2021-04-04T09:39:25Z,0
I am a PROFESSIONAL runner (not) and this really helped me. It was a wonderful way to start my day! 😅 Thank you Adrienne!!!,Kaine Hickson,2021-03-30T20:10:03Z,2
"Absolutely needed this today. Thanks, Adriene!",Cassandra Langjahr,2021-03-27T19:29:48Z,0
It really fits me... thanks!,Antonius Cahyo,2021-03-24T18:31:28Z,0
"Just found your channel, feels wonderful, thank you Adriene!!",Anita Westerveld,2021-03-24T08:17:22Z,0
"Just got back to running, this is so motivating. Thank you Adriene",Carol Jackson,2021-03-21T16:34:04Z,0
That was great for easing off tension after yesterday’s run xx,Lisa Christison,2021-03-18T12:03:38Z,1
Just want I needed. I hurt my back 4 days ago. I&#39;ve been doing every low back pain video of yours I can find. This morning I wanted to stretch the legs since that&#39;s what helps the low back and this was perfect.,Jackie Budde,2021-03-17T11:00:02Z,1
This one is sooo gooood!!! Thank you Adriene! Namaste and much love to you! ^_^,aycha _14,2021-03-17T10:55:02Z,1
"Perfect, thank you.",Brittany Cotton,2021-03-12T22:10:55Z,0
"Absolutely loved this practice, went through different poses than I have tried before.",Scott Royall,2021-03-12T18:16:18Z,0
her voice is so calming i played this in the living room and my sister fell asleep lmao,Yan Moh,2021-03-11T08:56:35Z,0
"I&#39;ve been doing your yoga videos for almost 4 years now (on and off), and I always feel great after,",Adrian Lehvy,2021-03-05T18:41:49Z,0
"IF YOU ARE A RUNNER, THIS DOES NOT CONTAIN ALL THE RIGHT KIND OF STRETCHES FOR YOUR MORNING RUN. DON&#39;T BOTHER. She&#39;s good otherwise",Venky Raman,2021-02-16T02:43:38Z,0
Yo is that dog good,Blockofchezgood,2021-02-11T00:26:39Z,1
February 2021 calendar for today suggested runners Yoga and I did a run earlier ... this was fabulous... going to be a regular session for me after my run xx🤩🤩,Judi Baldock,2021-02-10T19:24:08Z,0
"Another one I keep coming back to. This one has really helped tight hips, although I&#39;m struggling to feel anything on the quad stretch! And, that plank in the middle?? So cruel!! xD",AmyJayne,2021-02-05T18:06:55Z,0
"Loved it!! Feeling great after that, thank you Adriene ❤",Bec,2021-02-03T17:05:56Z,0
"Thank u for this beautiful routine, soft and gently.",Maria Jimena Hernandez,2021-01-31T13:21:13Z,0
"Namaste adriene , I really appreciate your help. Thank you.<br />Good tips of yoga . 😊",Tej Singh Rathore 1109,2021-01-27T04:16:30Z,1
Just found this workout. Thank you!! Just what I need during my half marathon training!! Can’t wait to try more!,Melissa Gaus,2021-01-23T16:12:36Z,0
"Thank you!  I have been looking for a yoga video that would stretch the muscles I need stretched as a runner, this hit all of those!!",Sarah Park,2021-01-16T17:50:28Z,0
"Hi Adriene! I just found your channel (and this video) after a lot of trial and error with other yoga channels. I nearly gave up on finding a yoga practice I could start with that wouldn’t kill me. I’m 48 yrs old now (sheesh, really?) and a long time runner. A former PT told me I have the flexibility of a 90 yr old. This yoga video is exactly what I need and fits into my running training without killing me. Thank you for all you do and keep up the amazing work. Oh, and hi Benji! Shake it!",Marc Thomson,2021-01-15T02:24:17Z,0
I absolutely adore Adrienes feet. They’re so beautiful.,Human runner,2021-01-13T18:39:49Z,0
The dog is me😂,KSL FreeMusic,2021-01-13T00:50:33Z,0
The best channel on yt &lt;3,Mag Kw,2021-01-12T12:38:51Z,0
Great flow - calming but also a good stretch. Loved that side body stretch around 11 mins! Felt perfect the morning after a long run. Thanks!,krista timmermans,2021-01-11T11:43:56Z,0
"First of all, every time I hit the thumbs up button, I ponder, &quot;Who hits the thumbs down button? Why bother. Move on.&quot; Anyhoo, I am doing the 30 day practice with Adriene but am reminding myself that after a run, I still need these 20 minutes to unwind from the run. It&#39;s day 6 of the 30-yeeha!",Cheri Felix,2021-01-07T17:45:01Z,0
Wow - exactly what I needed for my new running schedule to prep for the National Senior Olympics! You are awesome🥰🥰🥰🥰,Sheri Rowe,2021-01-06T15:03:00Z,0
Your feet are perfect ☺️,Peter,2021-01-05T09:36:08Z,0
London runners 🤙,Max Y,2020-12-31T16:48:09Z,0
I enjoyed that! Thank you. Great post run!,James,2020-12-30T17:57:09Z,0
"Dear Adriene,<br /> I wanted to thank you for your amazing ability to bring such a wonderful mindset into the yoga practice!   I start everyday with some sort of yoga  practice, and I am so fortunate that it is with you and so many other yogi&#39;s around the world! I feel the energy even though it is virtual! Thank you for doing what you do and bringing so much light,  positive energy, and mindset into this blessed word we live in!<br />Best Regards- Trish",Trish Kifer,2020-12-22T14:33:39Z,0
This is amazing!! I really felt those stretches 🙌🏻,Chloe Tuttle,2020-12-16T09:56:08Z,0
This was just what I needed ❤️ 🙏🏼,Agnete Haugaard,2020-12-12T09:33:14Z,1
WOW!! What a great routine in a short amount of time. I am a long-time runner who appreciates all the muscles I got to stretch this morning. Thanks to Adriene and Benji😉❤👏,Aubrey Sanders,2020-12-11T11:48:48Z,0
"I just finished my run, and cool downed with this nice relaxing yoga. Thank you. I’m new to the channel and will be doing a lot more",Carsten Petersen,2020-12-10T18:49:01Z,0
Such a great video! I&#39;ve been running almost every day + seeing this video was such a perfect way for me to remobilize my legs again!,Rina Newhouse,2020-12-10T18:46:19Z,0
"This is going to be one of my new favorites, Adriene! Thank you for this. Calming, full-body stretch, perfect for between runs. My 51 year old self is feeling a bit of impact from running these days, but I find if I continue to do yoga at least 4 days/week, my joints forgive me much more easily. &lt;3",Jennie Brooks,2020-12-10T16:50:44Z,0
Such an amazing experience - thank you!,Jamie Adcock RUNNING DIVA MOM,2020-12-06T02:53:24Z,0
"Trying to get 10,000 steps in every day. This was my reward after my walk this evening. So perfect! 🙏🏿🌸💜",CarmenDarlin Seattle,2020-12-02T02:39:44Z,4
Love this<br />Thank you,Barbara Mason,2020-11-23T12:17:13Z,0
Thank you for forever changing my life adriene,Xak D,2020-11-22T17:09:00Z,1
so so so good,Mallory Meeks,2020-11-20T00:32:05Z,0
"Just what I needed after today’s long run, perfect for releasing muscle tension and calming the mind at the end",Sarah Garvey,2020-11-17T11:14:10Z,0
Really enjoyed that - thanks Adriene! Wasn&#39;t really in the mood to do &#39;yoga&#39; this morning but I wanted a good stretch out for the legs and glutes - this hit the spot!,Rebecca Brame,2020-11-16T05:30:41Z,0
You had me in happy tears at the end with those deep breaths 🥰,Amy Heppner,2020-11-14T03:32:19Z,1
"that felt good, THANK YOU!]",Nora X,2020-11-08T19:20:26Z,0
Who else is watching this for school?,Champions Champions,2020-11-05T16:07:52Z,1
Thank you so much Adrian &lt;3,yaman Abdin,2020-11-04T14:56:02Z,0
I run everyday and these stretches were amazing. I loved it!!(and so did my hips lol),Delaney Mackenzie,2020-11-03T21:54:02Z,0
"Your videos are amazing, thank you so much for this. Huge fan from Denmark!",MissLadybirdWolf,2020-10-30T06:19:40Z,0
It&#39;s been a while since I did the 30-day yoga with you. Your voice is as nice and gentle as my heart remembers &lt;3 thank you for this video! - from a beginner jogger who started her running streak for around a month,Yinnie Tong,2020-10-28T23:56:40Z,0
So delicious and stretchy!,Lysa Price,2020-10-27T15:22:51Z,0
I wish I could “like” this every time I do it!  Amazing!  A great transition from run to a desk,AuntieFarm Girl,2020-10-27T12:07:30Z,0
