comment,id,date,num_likes
I felt so warm when I saw Zoe&#39;s vlog it was a rough day thanx so muucchh for being such a warm heart person that can give us energy and make us feel good.,Rayol channel,2020-07-01T08:27:34Z,3
does anyone know where Zoë’s orange jumpsuit thing is from? Xx,Annie Baldam,2020-07-01T08:25:43Z,0
Zoe is the only person that I fucking love hearing about what she washes her bloody whites with.. like please tell me hahha what an actual sweetheart xx,Emily Collinson,2020-07-01T08:20:13Z,0
Omg where did you get those office chairs? They are perfect for my home office. I know you not going to probably read it but if you will just let me know where did you get them. Love you :*,vixa93,2020-07-01T08:20:04Z,4
getchu a friend like Amy who answers on the first facetime ring,Katherine Harnick,2020-07-01T07:57:34Z,3
"In the last 2 days, I had horrible hayfever. I love sweets and sugary things to Zo. I want Jane&#39;s Patisserie Slutty Brownie. Just by watching your video and seeing it made, I want to buy some then make some later.",rebecca sara coffey,2020-07-01T06:56:40Z,0
I&#39;ve been waiiting for this!!,Ellie young,2020-07-01T06:19:35Z,0
"To spread the batter easily, having your hands a bit wet with water helps A LOT especially when you don&#39;t have a baking tray that&#39;s originally the right size :) I do that all the time and it does wonders!",-ihhssan-,2020-07-01T05:52:31Z,0
"Okay is it just me or does Zoe look a tiny bit like Lavander Brown from Harry Potter with that headband? (especially around <a href=""https://www.youtube.com/watch?v=S8T4INzdSCk&amp;t=23m12s"">23:12</a>) Looking beautiful as always !",-ihhssan-,2020-07-01T05:48:47Z,0
Yay! Zoe vlogs are back. Quick question - where are your office chairs from? They look extra comfy...,Jennifer Luo,2020-07-01T04:43:08Z,1
We have the blue &amp; pink bottles of unstoppable bead things😂. I prefer the blue one too☺️.,Aryannah,2020-07-01T04:33:37Z,0
"I haven’t been watching YouTube in a while, and I remember watching your videos a couple years ago and I used to be obsessed and I’m becoming obsessed again!! Love you!",She She,2020-07-01T02:51:11Z,0
Its only July and im already impatiently waiting for Zoe’s autumnal vlogs 😍,Raya Sh,2020-07-01T01:49:28Z,8
lovee seeing your vlogs make me so chilled and less anxeity thankou,Evie Madeleine,2020-07-01T01:13:35Z,1
Nice,Da Zhwand Falsafa,2020-07-01T00:57:56Z,0
"2 weeks ago I had a real life mr magpie come down our chimney and  into our living room!!!!!!! The drama of getting him out , it was hilarious",Jenny Watkins,2020-07-01T00:51:21Z,0
I love your vlogs Zoe they are so relaxin!!,Anette Galindo,2020-07-01T00:35:23Z,1
sometimes i make sluttly brownies and instead of oreos i add reese’s peanut butter <br />cups!!,Anakaren Guzman,2020-07-01T00:22:01Z,0
"You’re lucky to have that ability to look at the page when typing.. my eyes physically won’t let me, keyboard it is 🤣",Leesh Sparkle,2020-07-01T00:06:29Z,1
Hearing you talk about having kids makes me so warm and fuzzy you’re going to both be such amazing parents 🥺🥺🥺,Gemma Johnson,2020-06-30T23:47:05Z,26
"How amazing you are... ❤ I discovered your accounts 8 or 9 years ago and I&#39;m still enjoying every bit of your content. You&#39;ve helped me dealing with my anxiety multiple times, you&#39;ve made me smile and you&#39;re still my most favourite YouTuber. You&#39;re unique, real, honest and you have such a beautiful personality. I miss you and I want you to know that we always appreciate, enjoy and love everything you post.  Thank you... THANK YOU FOR EVERYTHING, THANK YOU FOR BEING YOU. I LOVE YOU ❤",V,2020-06-30T23:00:11Z,4
What. A. Coincidence. It started raining 4 minutes into the video.,mirukaze,2020-06-30T09:23:23Z,0
Absolutely incredible loved this so much,Ali Lamb,2020-06-30T09:03:39Z,0
Missed your vlogs kisses from Greece!!!,Nasia Georgakopoulou,2020-06-30T09:02:58Z,0
"Love homey vlogs. They make me feel all cosy in the evenings etc!<br />Does anyone want to check my channel out, I do vlogs too x",Amy Bell,2020-06-30T09:02:00Z,0
Watching your vlogs makes me feel all homey and it’s currently raining now too xx,mr avocado,2020-06-30T09:01:00Z,2
I misses your videos so much🥺💟,Sotiria Lazaridou,2020-06-29T18:06:41Z,1
I’ve been waiting for this!! 😊😊,Katie Brunyee,2020-06-29T18:06:40Z,1
Haven&#39;t watched Zoe in so long and I&#39;m so happy to see how much more comfortable she is and how positive the comments are,Aisling Bradshaw,2020-06-29T18:04:21Z,27
Zoe’s videos are my favourite they give me so much comfort and coziness and help my anxiety! Does anyone know where her orange jumpsuit is from in her IGTV she posted ?,Ryann O'Brien,2020-06-29T18:04:02Z,0
I think you should stream your animal crossings too! I would love to watch!!!!,Haley C,2020-06-29T18:03:50Z,0
I love you,Ana Carolina santos,2020-06-29T18:02:25Z,0
i always miss her so much omg,ltk,2020-06-29T18:02:11Z,0
Zoe probably won&#39;t see this... but does anyone know what handheld electric whisk she is using when making the brownies? I want it!,Nicola Marks,2020-06-29T17:59:26Z,1
I had been waiting for so long. I love your vlogs,Theculber,2020-06-29T17:59:10Z,0
So happy you uploaded! Your videos are such an escape 💗😌🍃,Erika Paige,2020-06-29T17:58:48Z,2
"I don&#39;t know if anyone mentioned it yet in here, but you could add a bit of vinegar + alcohol to your fabric softener mix and it will not only get rid of any odors - vinegar is great for that -, but it will evaporate a lot quicker because of the alcohol! I use it on couches and also rugs!",Luly Miranda,2020-06-29T17:57:33Z,0
"Looove watching your videos Zoe, you inspired me to make my channel! You are so lovely and pure and you always make me feel happier ahaha xxx",Chloe Ellis,2020-06-29T17:56:17Z,0
"@<a href=""https://www.youtube.com/watch?v=S8T4INzdSCk&amp;t=5m19s"">5:19</a> savage Zoe😂",Ananya Dutta,2020-06-29T17:56:13Z,4
supersuper happy to get notified for a new zoe vlog &lt;333,goingbyjules,2020-06-29T17:55:24Z,0
Loved this vlog!! Showing us a little more of basic home stuff like everyday cleaning jobs! Anyone else find it satisfying watching people clean?🤣,Caitlin Megan Peachey,2020-06-29T17:55:24Z,30
Really enjoyed watching this vlog cause I found it so relatable! Glad you posted it Zoe 😊,Beatriz Pedrosa,2020-06-29T17:52:52Z,0
I made slutty brownies for my dad for Father’s Day! They were SO delicious. It’s nice and something fun and different to do!,Kelsey Proctor,2020-06-29T17:52:35Z,0
That brookie looks delish,Sharon Lee,2020-06-29T17:51:14Z,0
"It makes me so sad to see you saying on insta how you feel like your content is ‘dull’. For me, and a lot of us, you ARE youtube and I would happily sit and watch anything you put out there. Always makes my day seeing that you’ve vlogged. I’ve actually spent all of lockdown rewatching yours and alfie’s vlogs, so I’m super happy to see a new upload. Please never stop being you and putting what YOU want out there. We love you and support you regardless x",Katrine Moran,2020-06-29T17:48:32Z,209
ahhhh I MISS YOU,Ana Carolina santos,2020-06-29T17:47:47Z,1
Hey! Does somebody know what is the name of the keyboard and where I could find one?:) Thank you! &lt;3,Anni,2020-06-29T17:46:16Z,0
U make me feel so cozy☺️✨,Crispy_lettuce j05,2020-06-29T17:45:28Z,1
"After getting the nasal scrape Covid testing, I feel like my hay fever is waaaay worse.",Samantha Kirsten,2020-06-29T17:40:57Z,3
Does anyone know where Zoe’s cream cardigan is from in the start of the video? Xx,Daisy Miller,2020-06-29T17:38:26Z,0
thé nostalgia,Charlotte x,2020-06-29T17:37:43Z,0
"To be honest I totally get doing your work anywhere at the start of lockdown, but we didn&#39;t expect it to last this long .<br />Yummy yummy in my tummy, ingredients on my shopping list can&#39;t wait to see the results.<br />Stay safe stay well xxx<br />Take care everyone 😉",Karen Curtis,2020-06-29T17:37:36Z,2
Been waiting for a vlog😍 best thing to watch during lockdown ❤️,Marni Harber,2020-06-29T17:37:33Z,0
How much i missed youuuuuu ❤️✨,Angélica Guadalupe Sánchez Silva,2020-06-29T17:37:17Z,0
With the hat that Alfie was wearing at the start of the vlog he looked like that man for the wanted police picture that everyone thought was him😂😂,ChloeHalls Xx,2020-06-29T17:36:18Z,56
I can&#39;t describe how happy I was to see the notification come up,Nicola Morrish,2020-06-29T17:34:05Z,2
Hello mr magpie hows your wife,Mia Mcgann,2020-06-29T17:33:30Z,0
"Loving this video, zoe always makes me feel motivated xxx",Mia Mcgann,2020-06-29T17:33:18Z,0
This kind of vlogs is my fave  where i watch someone is proactive and cooking ❤️😍😍,Yotuko yoyo,2020-06-29T17:33:07Z,0
"I might do a version of that brownie with what I have at home, it looks delish 👌🏼",Celinne J. Rodriguez,2020-06-29T17:33:00Z,0
I was watching the driving to Edinburgh vlogs when this popped up! Made my day!!! xx 😊❤️😍😘,Emma Douglas,2020-06-29T17:31:35Z,0
Wow that keyboard though 😍 thanks for the vlog Zoe 😍,Jen Channel,2020-06-29T17:27:32Z,0
Zoë’s vlogs have been getting me threw lockdown including old ones. I love your channel Zoë and if you ever need time to yourself don’t stress about it and take the time for yourself.,Hannah Kendall,2020-06-29T17:26:29Z,0
