comment,id,date,num_likes
i’m very excited for this!!,Nimbob94,2020-02-10T05:53:35Z,0
Just pre-orderd!,Fanny Andersson,2020-02-09T23:01:38Z,0
What age would you recommend the book for,Angelica Clever,2020-02-09T18:53:48Z,0
This is so exciting!!!!!,HenBeck3,2020-02-09T09:55:00Z,0
I&#39;M SO EXCITED FOR THIS FICTION - I LOVE ANYTHING CRIME AND MURDER MYSTERY!! CAN&#39;T WAIT XX,bilishu aliss,2020-02-09T08:52:15Z,0
Can’t wait! I’m so excited to read it!! Congrats and well done Zoe!!,Erin Barry,2020-02-09T03:12:27Z,0
omg i would love a series of behind the scenes of the writing process,mikea hiooi,2020-02-08T18:04:48Z,0
This series sounds right up my street! I don&#39;t know if I would be classed as a young adult though!,Issy Rachel,2020-02-08T17:22:03Z,0
"Teddy like Mark&#39;s lovely fur baby? Also, I&#39;m SO PUMPED for this! I&#39;ve been really into thriller and murder mysteries lately and I can&#39;t wait for this! :D",Averi Hobbs,2020-02-08T15:34:06Z,1
OMG! This book sounds right up my alley.... I’m so excited for it to come out now! 😂😂🙌,Flo Crowe,2020-02-08T15:08:21Z,0
"The version we now know for the Magpie numbers was created for the TV show Magpie  (ITV&#39;s answer to Blue Peter) in the 70s. The original version was much darker so was changed to be more children-friendly. Originally it was...<br /><br /><br />One for sorrow,<br />Two for mirth<br />Three for a funeral,<br />Four for birth<br />Five for heaven<br />Six for hell<br />Seven for the devil, his own self<br /><br /><br />My mother was brought up on that one! Scary!",fluffyfour,2020-02-08T15:03:31Z,0
at the back you can see the cover of the book! But cannot wait to read ittt,Chloe Geoghegan,2020-02-08T13:35:53Z,0
CANT WAIT TO READ THIS 🖤🖤🖤,Kristina Shey,2020-02-08T12:17:54Z,0
❤️❤️❤️❤️❤️,Shivani Gogar,2020-02-08T11:51:19Z,0
pre ordered and im so excited,Katy Riddy,2020-02-08T11:32:43Z,0
Sounds interesting! love a good mystery/crime book😊,Lauren,2020-02-08T11:13:21Z,2
Love your glasses. Where are they from pls? Is it ray ban? What model? Thanks xxx,Lisa Bottiglieri,2020-02-08T09:59:31Z,0
Oh my god I can’t wait to get this book! I loved your photo shoot too!!! I love how you both are doing two different characters.,bilinas mini,2020-02-08T06:04:35Z,1
"Aww! Yay! As someone who dreams about writing and publishing my own fiction novel, maybe series, this is so inspiring to watch. Especially the meeting bits and hearing how it was all developed. So exciting!",Katey Abraham,2020-02-08T04:40:57Z,0
My daughters 1st birthday on Halloween can’t wait for this book x,zuzana hall,2020-02-08T01:01:32Z,0
Loving the vlogs!! Keep it up!,Emma Vincent,2020-02-07T22:53:23Z,0
Does anyone know a dupe for the channel cream contour,Emma Eastham,2020-02-07T22:16:01Z,0
Loving your recent vlogs!,Lili Gonzalez,2020-02-07T21:30:10Z,0
I will never get tired of your videos 💕,Jade Lauren,2020-02-07T21:01:46Z,1
i have a new youtube video up on my channel if anyone would like to go and support?? all support will OF COURSE be returned xxxx,Georgia Louise,2020-02-07T19:39:57Z,0
There was a case of coronavirus in brighton,Grim TDM,2020-02-07T19:10:39Z,0
I never get tired of seeing your all women girlboss teams around the table! LOVE LOVE LOVE,Digital Nomad Girl,2020-02-07T17:48:50Z,0
Congratulations Zoe. I will pew order very soon. I&#39;m 40 but still super interested in reading the book as it sounds so cool and interesting. Yay I&#39;m super excited for you.,Nicky Clark,2020-02-07T17:21:58Z,0
"Just pre ordered your book which I am BUZZING about for you girls (and also for me to read it!). Great vlog as always and a brilliant &quot;big reveal&quot;, loved all the little behind the scenes clips🤓",Ashleigh Clayton,2020-02-07T15:09:27Z,0
Really enjoyable vlog. The book sounds amazing. I&#39;m not a reading person but your explanation of the book makes me want to buy/ read the book.,Gary P,2020-02-07T14:58:35Z,0
I went to M&amp;S the other day to get my trusty Triple Chocolate Crunch cereal and i found the Extremely Chocolatey that zoe has been raving non-stop so i had to get it lol and oh God it instantly became my fave!! I&#39;m already planning for my next M&amp;S trip to get another one of those hahaha thanks zoe!!,Sheila R,2020-02-07T14:20:35Z,0
I&#39;d love for you to talk more about how you went about plotting the novel. I&#39;m assuming the cards behind you is your outline but what do the different colours represent etc. and how did you go about weaving the strands together and plot-twists etc.?,Rachel Saunders,2020-02-07T13:57:38Z,0
Oh I cannot wait!!!,bilishu aliss,2020-02-09T08:52:46Z,0
Oh I cannot wait!!!,mikea hiooi,2020-02-08T18:05:19Z,0
Oh I cannot wait!!!,bilinas mini,2020-02-08T06:05:06Z,0
"I preordered the book on Wednesday from Waterstones, but I haven’t gotten any confirmations about my order yet, has this happened to anyone else?",Tone Maria Jonassen,2020-02-07T13:36:51Z,0
Yay x,Sharon Walker,2020-02-07T11:30:13Z,0
"Amy, where is your lovely top from? x",Laura Sullivan,2020-02-07T09:28:06Z,0
Super happy for you babes! Congratulations! &lt;3,Angelina,2020-02-07T09:20:03Z,0
I actually cant wait for this 🧡🙌🙌,Eleni E,2020-02-07T07:44:41Z,0
I cannot wait to read it!!! Love you,kenz k,2020-02-07T02:58:01Z,0
Oh my goodness! I’m soooo excited!!!!,Taylor Abel,2020-02-07T02:39:40Z,0
I can’t wait!! 👏👏👏,Donna Shaw,2020-02-07T00:34:04Z,0
"I can relate to weird Google searches, because I&#39;m doing a creative writing course atm and I was given &#39;spy&#39; as a character and &#39;up all night&#39; as the setting for a short story, so I was googling what bombs look like and stuff 😂 I was a bit worried the government would think I was a terrorist 😂",Olivia Miller-Davis,2020-02-06T23:56:09Z,0
SO HAPPY YOURE BACK,Alexis Smith,2020-02-06T22:36:28Z,0
"At least in the US, Glossier does sell clear boy brow! I usually use it alone or over benefit brow pencil",Olivia Vizza,2020-02-06T19:49:09Z,0
Oh I love your hoody 😍,Samantha Older,2020-02-06T18:27:05Z,0
I&#39;m guessing the aim is for 7 books?!,Country Carousel,2020-02-06T16:34:49Z,1
Super exciting! sounds like a fun project to work on,dolliemunn,2020-02-06T16:31:47Z,0
Oh I cannot wait!!!,Hannah Eller,2020-02-06T16:13:41Z,0
Zoe is so good at makeup,Floral Princess,2020-02-06T16:03:07Z,1
Just bought a signed copy. Cannot wait to read!,Alex Clement,2020-02-06T15:40:53Z,0
I think the title is very promising!,Sara S.,2020-02-06T15:34:03Z,0
Watching this while eating dark chocolate biscuits! will try the ones you love next!,Sanya D'silva,2020-02-06T12:36:23Z,0
Very excited,katherine collins,2020-02-06T12:03:27Z,0
This is so exciting! I am so glad that you are back to vlogging because your vlogs are the best!<br />Ps. YouTuber here if anyone wants to subscribe:),Kaitlyn Chartrand,2020-02-06T11:59:32Z,0
Can’t wait to read it!,Madeleine Sten,2020-02-06T11:22:38Z,0
just preordered!! so happy for you two!,Maria,2020-02-06T08:20:09Z,0
this type of book is my jam!!! i’m so excited to see what you two come up with,Jess,2020-02-06T06:53:33Z,0
