comment,id,date,num_likes
How did I miss your upload ughh! At least I’m here. ❤️ missed you,DiscClub6,2020-02-10T05:28:52Z,1
"your vlogs have always been my fave, and I absolutely love when you film getting ready in the morning would love to see more of it! ♥️",julia meza,2020-02-10T03:53:13Z,3
&quot;Playing mums and dads&quot; we called it playing house lol. In the US though,Elya Hartley,2020-02-10T02:20:33Z,74
oh it feels so good to watch a vlog of yours,Sonia Tumkur,2020-02-10T01:43:41Z,0
Did she mention where the grey overalls where from?,kristen hopkins,2020-02-10T00:12:27Z,0
Plz plz plz do a house tour cause ur house is so beautiful,Annabelle Gilbert,2020-02-09T23:23:05Z,0
"Wear the shiny dress at a 20&#39;s themed party, it&#39;ll go with that theme quite nice!",Aman Pannu,2020-02-09T17:38:02Z,1
Can you please do a hair tutorial? ;),ximena gamboa,2020-02-09T17:17:49Z,1
Girl! Where is that bra from?!,Kala Russell,2020-02-09T16:43:37Z,1
"What&#39;s that noise at <a href=""https://www.youtube.com/watch?v=rJhJQi8WssY&amp;t=26m20s"">26:20</a>? I thought my stomach growled 😂",Pip Girl,2020-02-09T16:40:19Z,0
Zoe U loking wowwww,Guzel mohammad,2020-02-09T16:20:53Z,0
Where were your dungarees from? X,Emma Lawrence,2020-02-09T14:51:13Z,0
I need to know where your dungarees are from!? 🙏🏻 Pleeeeeease!,Noelia Ortego,2020-02-09T13:00:48Z,0
My wisdom teeth are giving me nightmares this January/February BUT I’m getting them removed pretty soon. What do they say again? What starts bad ends well? Hopefully 😭<br /><br />Missed you! ❤️,Samanta Rizzi,2020-02-09T08:30:56Z,0
I have also been rereading the Harry Potter series! Your style is so incredible btw,raecat90,2020-02-09T05:51:28Z,0
I loved that skirt with the white turtle neck as an outfit. Too cute!,Lindsay Elise,2020-02-09T05:01:57Z,0
What were you wearing before you tried on the clothes? I LOVE the white shirt and gray overall romper. Where is it from?,Meghan Tremmel,2020-02-09T01:00:31Z,0
"Oh, Zoe! I am so envious. You are going to love reading the books for the first time. They did a great job with the movies, but nothing beats the books. Enjoy.",Susan Hull,2020-02-08T20:57:06Z,0
Hair is so lovely !,Gem Bradley,2020-02-08T20:29:44Z,0
BEAUTIFUL BLUE EYES! Rudi from EUROPA. PS: nice voice!,Manfred Bismark,2020-02-08T17:36:03Z,0
"It says its a size M, maybe you can get a smaller size",Leanne van Borssum,2020-02-08T17:26:16Z,0
IKEA can absolutely be overwhelming 🥺 Liked the clothes try on 👍🏻,Melanie Mc,2020-02-08T17:02:43Z,0
