comment,id,date,num_likes
"I can customize a mask for you. <a href=""http://sewwhatinc.shop/"">Sewwhatinc.shop</a>",Michelle Tschupp,2020-12-22T08:54:41Z,1
The car conversation is literally me with my family every single time! I want to say something and they interrupt me or talk over me. Over and over again and again and again. Until I just give up trying to say anything.,CraftyRenate,2020-12-22T08:53:27Z,11
This vlog was just what I needed. Chats about anything and everything. So so funny. I love seeing your relationship quirks. Makes me feel like my relationship is normal too as ours is very similar ☺️,Katie Heather,2020-12-22T08:41:38Z,1
The best place to get masks is Etsy 😍 I got a tun and they fit perfectly x,Rebecca Clack,2020-12-22T08:37:54Z,0
"There is a company here in Canada called WeddingStar where I&#39;ve been getting all of our masks from (on Amazon.ca); they do have children&#39;s sizes as well -- maybe they&#39;ll fit you better? You&#39;d just have to check and see if they ship international, but I don&#39;t see why they wouldn&#39;t. :)",peacedogdesigns,2020-12-22T08:34:18Z,1
I love this video both so funny,Laura,2020-12-22T08:28:17Z,0
"Zoe you should get the face masks made for kids, they&#39;ll be perfect for your face size. 🥰",Fatima Begum,2020-12-22T08:25:12Z,0
I’ve seen some child sized masks fit adults with smaller faces well.,Mandy,2020-12-22T08:23:43Z,0
💗🎄💗🎄💗🎄💗🎄💗,Aurélie Jenna,2020-12-22T08:23:15Z,0
idk if you’ll see this but i sew masks and can make some smaller for you 🥺,aury [any pronouns],2020-12-22T08:20:47Z,0
"Have you tried Uniqlo for facemasks, Zoe?",QueenOfTartan,2020-12-22T08:15:37Z,0
"Boohoo sell a pack of black satin face masks, they come up really small, they would probably be perfect for you Zoe!",Daisy Tickel,2020-12-22T08:00:52Z,0
Not me desperately wanting to know what Zoe&#39;s trying to say about London,Sukai Crutchfield Billinge,2020-12-22T07:55:48Z,15
have you tried style cheat for face masks? there the only ones that fit me nicely and are also breathable and don&#39;t fog up my glasses x,maria Tozer,2020-12-22T07:51:33Z,0
