comment,id,date,num_likes
"&quot;YES ALFIE, DOING AN INCREDIBLE JOB THERE&quot;<br />Decorating my family tree this morning, such a good start of the day!",it's Francesca,2020-12-06T09:02:51Z,3
Christmas is always stressful😂Me and my husband always argue.,Kathi,2020-12-06T08:57:11Z,0
"Love those vlogmas, zoe is the best from far! She brings my Christmas spirit level to the top! <br /><br />Which Christmas movie was she talking about ?<br /><br /> I couldn&#39;t get the name (I&#39;m french doing my best to understand it all)🥰🥳✨",sarah olivier de sardan,2020-12-06T08:49:45Z,0
That piece of cheese in your wellie though.. surely a little mouse brought it and got cozy in there? Xx,Charlotte,2020-12-06T08:45:03Z,0
You have a words get planting the Christmas trees. Seven years your children can cut down their own trees 🌲 x,FoodieForce Lucy,2020-12-06T08:42:16Z,0
"Arguing over the Christmas tree: Every. Single. Year. 😂 we went to get ours yesterday and it was actually quite funny as you could see loads of couples plodding round a muddy field looking so grumpy 😂 but it’s all worth it once it’s up, done and decorated!",Susie Lewis,2020-12-06T08:41:32Z,0
"As someone who doesn&#39;t celebrate Christmas, I find the whole Christmas thing really pretty but rather odd.",Jane Krauss,2020-12-06T08:36:17Z,0
"There’s something very refreshing about hearing about you all argue, as it’s obviously not something we ever see. I can reassure you, it’s ABSOLUTELY so normal!!!",India Bainick,2020-12-06T08:34:11Z,0
"Haha, I&#39;m glad it&#39;s not just me. My boyfriend and I argued this year because of the lights 😂",Rachel Lacey,2020-12-06T08:32:11Z,0
we always argue on Christmas tree day!,Lucy Warner,2020-12-06T08:26:46Z,0
"Zoe, I&#39;m so glad you&#39;re not the crazy one to put your christmas tree in the beginning of november - and it&#39;s not that I don&#39;t like christmas, but I can not feel the spirit until december.  So I enjoyed this video so much ❤️",orangge386,2020-12-06T08:21:26Z,0
had an argument couple of days ago when we were decorating the christmas tree hahahahahaha,Demi Day,2020-12-06T07:43:29Z,1
Does anybody know where Zoe &amp; Alfies Christmas tree lights are from?,Martha Sears,2020-12-06T07:29:58Z,0
Where is your purse from? Thank you in advance,JA,2020-12-06T07:27:09Z,1
Thank you! 🎄,Kendra Cameron,2020-12-06T07:16:45Z,0
Every year I wish I knew where your lights are from ha ha they are so nice on the tree x x x,Rachael KP,2020-12-06T07:14:14Z,0
"I love all of zoe&#39;s ornaments, in my house we always go for regular bubbles but she has such a wide variety of styles and designs and I love it so much!! It looks amazing 🤩🤩",Rosalinda Castillo,2020-12-06T07:07:10Z,0
Omg!! Yes me and my hubby argued too. It was our first time together. And i really thought its just us😅,Christina Monachan,2020-12-06T07:01:52Z,0
"My husband and I always end up arguing on Christmas Eve, it’s now like a tradition 😂 there’s always stuff we’ve left to the last minute and I end up running about like a crazy woman so I get super stressed and then get annoyed at him for not helping enough or being stressed lol. By mid evening once everything’s done, I’ve got a glass of Prosecco and we can relax it’s all good 😉 xxx",Laura Emmerson,2020-12-06T06:58:07Z,0
I feel really uncomfortable with the fact that it&#39;s already vlogmas. This year feels like it just started but also like it will never end,sarcoidosis,2020-12-06T06:56:20Z,0
Me and my family always get a real tree every Christmas too &amp; this year we got a 12 foot tree! I love it ❤️🎄,Hannah Michelle,2020-12-06T06:55:50Z,1
"So we use an artificial tree but we do have this curse whenever we go out to buy my daughter&#39;s Christmas presents, it&#39;s always the little things 😂😂",Rosalinda Castillo,2020-12-06T06:54:05Z,0
christmas tree day is always my favourite vlogmas video of yours zoe! makes it feel like its actaully christmas xxx,sophie duckworth,2020-12-06T06:53:37Z,0
💚💚🎄💚,Nathan Elias,2020-12-06T06:45:00Z,0
"I can totally get the arguments but for us it’s the whole thing about putting the decs up not just the tree! It’s the going in the loft getting them down and putting normal stuff away. Yesterday we couldn’t find the lights, no idea where they are , had to go out and get some and for me they’re the worst part of the whole thing!  But tbh I was determined to enjoy the process this year after all the horrible stuff that’s been happening! So no falling out and everything looks festive!🌈❤️🎄",MsShaumar,2020-12-06T06:41:06Z,0
"Can I just say Zoe, your vlogmas, 2020 is JUST as good and cosy as any year if not even better so far❤❤❤❤ Thank you 🌟🌟",Marthe Cecilie Olsen,2020-12-06T06:26:49Z,0
i LOVE arthur christmas as well,Marisa,2020-12-06T06:19:28Z,2
"You are not alone, we fought about the tree last year, whether or not we should get it that day, where to get it from, what size, where to eat, leave it in the car or take it out in the rain, putting it up. I looked back at my vlogmas from last year and seeing that day stresses me out and makes me nervous for when we get it this year.",Brittany Elyse BK,2020-12-06T06:19:20Z,0
"<a href=""https://www.youtube.com/watch?v=ANNpIk7wsBQ&amp;t=5m00s"">5:00</a> it’s my fear too !",Paige Statham,2020-12-06T06:15:26Z,0
What film was she talking about??,Darya Kornilova,2020-12-06T05:47:20Z,0
We had to stop getting a real tree because my parents would always argue when it went up AND when they took it down 😂😂 I see they’re not alone!,Courtney Mrozik,2020-12-06T05:31:03Z,0
Wish we could buy string lights like Zoe and Alfie have here in the US.,Jerrica Goodwin,2020-12-06T05:03:39Z,0
Oh my gosh any kind of decorating or set up my husband and I have learned what we can do together and what we need to do separately in order to still like each other at the end of the day and not get grumpy. 😂,Katie Lins,2020-12-06T05:03:04Z,0
Anyone else feel like the camera is just slightly out of focus/tiny bit blurred through the vlogs this year?,Emily C,2020-12-06T04:57:32Z,0
I feel like of all 6 or something years of vlogmas I have NEVER gotten to know you and Alfie as a couple like I did in this one. It was a joy.,Betsy,2020-12-06T04:45:33Z,0
Aww Your vlogmas is the best 🎄 I get excited everyday to watch your festive spirit ❤️,Buster the Bulldog,2020-12-06T04:44:36Z,0
"if my future relationship isn&#39;t like zoe and alfie I don&#39;t want it, they&#39;re literally so perfect for each other",Dylan Lobb,2020-12-06T04:26:40Z,0
Crazy to think that Christmas tree was probably planted the year you started doing vlogmas!,Amelia Martin,2020-12-06T04:18:39Z,15
Amanda going “Look at me i’m double filming!” hahaha how cute,rvchelle,2020-12-06T04:02:35Z,6
ok but where did you get the Christmas tree lights from their so pretty,Yaz,2020-12-06T04:01:15Z,0
"i think that&#39;s the loveliest tree i&#39;ve seen from your vlogs! really love your vlogmas, i come here regularly for years now &lt;3",Nadine Silvestre,2020-12-06T03:47:20Z,1
I love your Vlogmas so flipping much!!!!!!!!!!!!,holly parker,2020-12-06T03:32:24Z,0
Do people in the UK not have to have masks on outside? wow the US cannot relate,dancelover1235,2020-12-06T03:24:00Z,5
My dad is the only one alloud to decorate our Christmas tree because we have all glass baubles🤣,Shannon Bailey,2020-12-06T03:19:33Z,0
Literally my husband and I fought the day before and day of getting our tree! You&#39;re not alone! All is well now thankfully 😂,Kelsey Straka,2020-12-06T03:19:06Z,1
Your tree looks so magical!,Débora Monteiro,2020-12-06T03:15:21Z,0
Why is you talking about planting a Christmas tree and sitting in that spot so dajarvu to me?,Charlotte Elphick,2020-12-06T03:13:04Z,0
My husband and I are now on this &quot;flocked tree&quot; kick which are the ones that look completely white/snowy but are still real trees.  I didn&#39;t realize until our first one that they don&#39;t drop needles and they don&#39;t need to be watered.  I&#39;m kinda obsessed!  Plus they look so retro. ❄️,Seanna Miriah,2020-12-06T03:12:34Z,0
"Enjoyed seeing Chandler at <a href=""https://www.youtube.com/watch?v=ANNpIk7wsBQ&amp;t=20m35s"">20:35</a> lol xx",Neha Myadam,2020-12-06T03:02:45Z,0
I need a Christmas House Tour once you’re finished 🥺❤️,Aliyah Smith,2020-12-06T02:57:05Z,0
I thought I was the only one scared of spiders in my boots!😂,Olivia Santos,2020-12-06T02:50:06Z,3
The tree is lovely!,skylilly1,2020-12-06T02:47:17Z,0
"If you had picked a Christmas tree during the first year of vlogmas you did, you’d have a full grown Christmas tree right about now 🤪",Jaime-Lee Simpfendorfer,2020-12-06T02:43:04Z,2
what is the name of the film....sometime around 19 min..... ? love vlogmas Zoe!! thank you. we LOVE it!!!,Alissa Rae,2020-12-06T02:31:37Z,0
wait I wanna see the perfect star placement on top!,Megan Neely,2020-12-06T02:30:32Z,1
B E A U T I F U L !,Carrie Kay,2020-12-06T02:23:06Z,0
"Says how perfect the star is, and then doesn&#39;t show us!! haha but let&#39;s see if Alfie&#39;s has it :)",Kiera Tremblay,2020-12-06T02:21:55Z,0
Oh I wish you showed the top of the tree! I wanna see the star,Carina,2020-12-06T02:12:24Z,1
"There is a Christmas movie from 1983, called &quot;A Christmas Story&quot; that I think you will love.   It is on video, but not sure of the video compatibility as it is a movie from the US.   It is adorable, quirky and full of Christmas spirit.   It might be on Netflix.",Just a Girl,2020-12-06T02:06:31Z,0
"suddenly, with a Zoella vlogmas, 2020 is A-okay",Kailee Walters,2020-12-06T02:03:05Z,0
"Our family ALWAYS argues about the tree, it&#39;s always a fight with the size and height. Someone always isn&#39;t happy!!!",Josh Bershon,2020-12-06T01:59:33Z,0
can you show the top of the tree?? we couldn&#39;t see the star hahahah,Grace Gordon,2020-12-06T01:57:30Z,0
oh girl now you talking  decrote  that tree I will be watching  you guys  dress the place up,Namrita Manoo,2020-12-06T01:55:49Z,0
i would take the nearest christmas tree near me lol idc i just like decorating it,Grace Gordon,2020-12-06T01:45:11Z,0
Kinda love their Tesla,Will Richardson -,2020-12-06T01:37:34Z,0
I always love the living room tree,Diana Capano,2020-12-06T01:37:15Z,0
Could someone tell me what movie she mentioned at the end? I couldn’t make out what she was saying. 😩,Abigail Thornton,2020-12-06T01:35:50Z,0
What car is Alfie driving?,Katie Short,2020-12-06T01:35:26Z,0
Hey guys! Does anyone know where these lights are from?! I love how close they are set together. Thank you!,Ashely R,2020-12-06T01:26:10Z,0
We always argue on thanksgiving😂,Cassie Hawkins,2020-12-06T01:20:15Z,0
"We usually argue too, but it went surprisingly smooth this year we found our tree within 5 minutes!",Sophie Johnson,2020-12-06T01:18:26Z,0
Imagine if they started arguing about when they last argued 😂,Isaac Thomas,2020-12-06T01:16:17Z,3
Tree needs more lights.,MAD MADDIE,2020-12-06T01:14:08Z,1
"I think you are looking at the argument curse the wrong way, it&#39;s not that you argue each year, it&#39;s that you are in a strong enough relationship that you can have an argument each year and still getting past it enough to laugh at it! I Love your tree btw!",Lizz Locke,2020-12-06T01:13:46Z,0
I love the ARTHER CHRISTMAS movie.<br />One of my absolute favorites!,MAD MADDIE,2020-12-06T01:11:52Z,2
"hear me out, isn&#39;t the christmas tree tradition so odd? one season a year we all bring a tree into our houses and put lights on it and presents under it...",cassandra combs,2020-12-06T01:11:34Z,2
"Zoe, your vlogmas are the best! Love watching them. Saludos dese Colombia.",Sarah Galeano Lopez,2020-12-06T01:07:43Z,0
This tranditional christmasy video makes me subscribe your channel !,I'm Stacie,2020-12-06T00:47:52Z,0
Mum and I always fight putting the tree up !,Tiffazaz,2020-12-06T00:47:38Z,0
my family cant have a real tree because my mom and granddad are allergic (I might be too but I&#39;m not 100% sure),superhpfan00,2020-12-06T00:39:28Z,0
Love how you guys are keeping it real! Everyone has those silly arguments love u guys xxxx☘✌😁,Mairead Sloane,2020-12-06T00:39:02Z,0
Now we need to know your top 5 favorite Christmas movies 😂 loving vlogmas ❤️,Jordyn Webbeking,2020-12-06T00:37:34Z,0
Me and my boyfriend never argue about anything but we have little arguments. Like for example he might say: &quot;Don&#39;t talk about this person babes.&quot; And I  will say:  &quot;&quot;Oh ok then I will just sit in silence and not say anything.&quot; Mine and my boyfriend&#39;s relationship is very good. We both loe eachother so much.,Emily Finn,2020-12-06T00:35:26Z,0
there is no Perfect Christmas tree.,Emily Stemp,2020-12-06T00:33:07Z,0
It’s so good to hear that not everyone’s relationship is perfect. And that Zoe can be so open and honest about her relationship. 😇,Kate Buckle,2020-12-06T00:31:05Z,1
