comment,id,date,num_likes
you guys should come to la for you next christmas trip! lol,storiesinthedust,2020-12-05T09:16:17Z,0
I&#39;d like a video entirely dedicated to Nala. As in a day in the life of.,Dielle Thurston,2020-12-05T09:01:17Z,3
As if periods weren’t bad enough lol it makes us blind too 😭,Korinna,2020-12-05T08:50:12Z,238
I love the sweater you are wearing where did you get it from,Kristen Goliath,2020-12-05T08:36:37Z,1
LOVE you.... (Even though I just see you for 20 mins a day haha!) Ps: what a satisfying bath fill 😅,Blossom xx,2020-12-05T08:33:19Z,0
Your makeup was so beautiful 🤩,Lemonlemon,2020-12-05T08:31:14Z,1
her vlogmas is the only thing keeping me sane. thanx zoe :(,3layah11,2020-12-05T08:23:01Z,1
"Hi So I&#39;m a Dispensing Optician, you&#39;ll find your eyes get blurrier when you&#39;re using screens as it reduces your blink reflex. SO you blink less, and eyes get dry and blurr vision. It&#39;s important to use the 20-20-20 rule. Every 20mins, look 20meters away for 20 seconds. This lets your eyes re-adjust and stops any strain or potential headaches due to accommodative strain. :)",Carly McPhail,2020-12-05T08:20:07Z,1
As someone who has been using glasses since age 3 I can confirm that my vision gets a little bit worst that it already is everytime I start my period so it&#39;s not just you...,Rosalinda Castillo,2020-12-05T08:02:23Z,6
"I swear red lip should be your go to, it makes your eyes pop and it&#39;s looks stunning, also the look was so festive, loved it🤩🤩",Rosalinda Castillo,2020-12-05T07:53:30Z,13
need your towel Zoe. NEED,Alice Wong,2020-12-05T07:48:55Z,1
Rituals deodorant is amazing,Anna,2020-12-05T07:48:06Z,0
Thank you for doing Vlogmas! I just love it so much and it makes me so happy,maria reinhardt,2020-12-05T07:44:48Z,0
Zoe i hope you do a full house tour 🥺 its not too late,tg n,2020-12-05T07:41:21Z,6
Love your vlogs so much! They make me so happy!! Also you mentioned your skin clearing up so much over time - did that just happen by itself or do you have any product recommendations to help? Desperately trying to clear mine!,eclectic emerald,2020-12-05T07:38:42Z,1
I feel like I&#39;m going through 2nd puberty b/c my periods are changing and becoming different. My doctor got me to do an ultrasound and found i have ovarian cysts that are at least 2cm big and that&#39;s why i&#39;ve been having so much pain. Boohoo,catherineliu06,2020-12-05T07:33:03Z,1
This looks like an awesome day. You always do your makeup so well. What brushes do you use?,Sarah Brook,2020-12-05T07:32:52Z,0
Please can you do a house tour? I know all the rooms in the house but i don’t understand the layout and it bugs me so much 😂,Jennifer Rosell,2020-12-05T07:28:00Z,54
Lol when you spat the chocolate out to check what it was 😂x,Katie Smith,2020-12-05T07:23:17Z,0
Pretty soon the thin brows will be back in style again and the thick  dark ones will be the ones we are all laughing about.,piperlynne1,2020-12-05T07:14:55Z,0
How do you get your teeth so white!? 😂,Libby Worthington,2020-12-05T07:05:38Z,0
"I have always wondered, since Zoe has a metal bath tub isn’t it always cold to touch? Therefore, does she really enjoy baths in there?",Gagandeep Kaur,2020-12-05T06:59:50Z,0
Where is your leaf / mushroom sweater/cardigan????? this would be a perfect gift for my sister for Christmas!!!!,Molly Bergkamp,2020-12-05T06:57:13Z,1
Love the vlogmass 🎄🎄🎄 the only good thing to watch during pandemic 😷 love you zoe ❤️❤️❤️ much love from NYC,Laila Farhat,2020-12-05T06:56:10Z,0
very sweet vlog,hadassa morais,2020-12-05T06:54:36Z,0
Great that it’s plastic free! I just did an order,John Smith,2020-12-05T06:53:06Z,1
no way! every year for the past like three years i’ve binged your previous vlogmas’ during the summer!,Isabel Turner,2020-12-05T06:49:28Z,0
"I’ve had anxiety for as long as I can remember and I am here to tell you that being extra in tune with your body is absolutely part of it. My mom used to call it body scanning where you kinda go through yourself from head to toe and check in with each bit.. makes going to the doctor interesting when they say oh wow, you’re very in tune with your body 😄",Holly Sauer,2020-12-05T06:46:33Z,7
Scrolling through the comments hoping someone knows where the cardigan is from!!,Rachel Iddon,2020-12-05T06:43:15Z,0
That&#39;s so interesting about periods and vision...I swear my vision got better during pregnancy..weird! x,Danni 1985,2020-12-05T06:19:39Z,0
Yay this just made my day!! Love you !!,Kimberly Fabro Leon,2020-12-05T06:17:50Z,0
i recognized the home alone music right away ahahha,Marisa,2020-12-05T06:10:53Z,1
"i wait for your vlogmas every year, it doesn&#39;t matter if you didn&#39;t do anything that day, a chill documentation of ur day even if it was very standard and didn&#39;t have any activities in it, it is still fun and cozy to watch, so i do not want you to feel pressured at all to post something over the top of oozing with creativity",sally abed al-aal,2020-12-05T06:05:02Z,0
Alfie should let us in on his entrepreneurial side on his vlogs! Would be super interesting,Ringo *,2020-12-05T06:04:51Z,0
"honestly i’m so full with spirit because of Zoe’s VLOGMAS! every year i feel so festive and it’s all thanks to her. lots of love Zoe, thank you for everything x",Maryam,2020-12-05T05:59:26Z,0
ZOeeeeee......just cut your other masks in half honey!!!,joanolet,2020-12-05T05:10:52Z,0
