comment,id,date,num_likes
Auto Comment with Whitelist option for Instagram and other features. This app only costs $3.,Powerful Instagram Tool,2020-11-12T09:32:32Z,1
Hey Zoe! Do you know if your doing vlogmas this year? Compleatly understand if your not🤩🥰🎄,Youtube Watch,2020-11-12T09:25:03Z,7
Soooo excited for long vlogs✨♥️,Monica Arizmendi,2020-11-12T08:46:05Z,1
Mark&#39;s got some competition with Joe doing the haul with Zoe this year ahaha!!,Alana Carrington,2020-11-12T08:45:54Z,5
"I&#39;ve watched your videos on both channels for years (roughly since 2013) and I&#39;ve been loving both channels. As you transitioned to vlogging only, I feel like I transitioned with you as well because around that time I started watching more bloggers and bullet journal videos and such. Your vlogs are very relaxing and I love listening/watching them while I work from home ^^ &lt;3",Lana Kohut,2020-11-12T08:42:08Z,2
I did the artiban play!!!!!! Was literally so shook when joe stated singing that song 😂😂😂,lauren,2020-11-12T08:27:31Z,1
Please tell me you&#39;re doing a Vlogmas this year! We definitely need it after this awful year 😪 Your Vlogmas is one of the things I&#39;m looking forward to at the end of this year 🙌🏻❤️,Charz Amz,2020-11-12T08:13:21Z,7
"You’ve got mail!!! Omg such a great film, one of my absolute faves!❤️",Heidi North,2020-11-12T08:09:57Z,1
Forget watermelon sugar it’s warm vanilla sugar 😂,Claire Farmery,2020-11-12T07:45:50Z,3
Please stay 2 meters away from Nala as well.,Donna Brown,2020-11-12T07:43:58Z,1
Loving seeing Joe in your vlogs again❤️,Claire Farmery,2020-11-12T07:40:10Z,2
Only Joe would decide to put that pumpkin on his head😂,Claire Farmery,2020-11-12T07:36:42Z,4
"It’s not just you, my leaves candle smells different too.  I hope the caramel drizzle isn’t off too or my Christmas will be ruined.",Brandon Knight,2020-11-12T06:57:15Z,2
2nd book!? I’m so excited!❤️,Claire Farmery,2020-11-12T06:45:21Z,1
I’m getting your new book for Christmas and I can’t wait to read it!❤️,Claire Farmery,2020-11-12T06:42:48Z,1
What’s a womble...,Olivia Tzeng,2020-11-12T06:07:22Z,0
Just bought the audio book.,superlibbyanne,2020-11-12T05:10:11Z,1
"My life would have been very different had I not started following you, Zoe. Thank you so much for being who you are. Lots of love! 🤗",Momina Hafeez,2020-11-12T04:34:05Z,1
I have your other book,Shannon Bailey,2020-11-12T04:27:36Z,0
"I have been watching your videos since the primary haul in the monkey onesie (yes a long time haha). I understand why you stop, people grow and change and it would be crazy to expect you to be the same for 10 year! However, please don’t delete the videos on zoella, I love going back a rewatch old videos, they really help me on down days, and you and that channel ( and this one) got me through some really hard time. Love you lots Zoe xx",Bethany Tinkler,2020-11-12T03:42:45Z,1
Your vlog make my day 😻😻😻 I’ve got exams in a couple days but still gotta watch Zoe 🧡🧡 please upload regular vlogs,Glambypari,2020-11-12T03:36:13Z,1
I would love the hear how you stay organised and plan out all elements of your career x,Bethany Tinkler,2020-11-12T03:26:07Z,0
2020 favorites!!!!!,Taylor Bandy,2020-11-12T03:10:58Z,0
"When I worked in film and I used to meet actors and actresses, I would always shut down. I just tend to be an observer. It’s the strangest thing, because I am so not quite!!!",CindyRose,2020-11-12T03:08:28Z,0
Joe’s “hi” sent me into orbit 💀😂,zoemeetagain _,2020-11-12T02:46:47Z,3
I still love watching Volgs more ❤️you’re are the best they are long!❤️also the bath n body works leaves candle seems amazing I love it! Used mine all up already,Haili L,2020-11-12T02:30:50Z,0
Is it me or has joes voice changed?,T,2020-11-12T02:04:06Z,0
You look like sarah Cameron 🥺☺,handsome boy,2020-11-12T01:35:37Z,0
Subscribe to my channel if YouTube is down ❤️,Danielle Chantee,2020-11-12T01:30:32Z,0
Oh so YouTube’s down but we can still comment... THE WORLD IS OVER,Conna Reed,2020-11-12T01:04:32Z,2
Started watching this video last night and was going to finish it tonight am gutted that it’s been taken down anyone know why Zoe deleted it ??,Alison wilkinson,2020-11-12T01:03:38Z,1
Finished it yesterday and really enjoyed it can’t wait for the next one,Cara Mckeefery,2020-11-12T00:57:49Z,0
You should get some of Bath and Body Works Christmas candles! They did really good with them this year!!,Katie O'Hara,2020-11-12T00:49:28Z,1
YOUTUBE IS DOWNNNNNNNNNNNNNNNNNN YOUTUBE IS DOWNNNNNNNNNNNNNNNNNN YOUTUBE IS DOWNNNNNNNNNNNNNNNNNN YOUTUBE IS DOWNNNNNNNNNNNNNNNNNN YOUTUBE IS DOWNNNNNNNNNNNNNNNNNN YOUTUBE IS DOWNNNNNNNNNNNNNNNNNN <br />sorry cant watch your vid : ),FrogZ FrogZ,2020-11-12T00:22:19Z,0
Good video,Dylan Sousa,2020-11-12T00:18:54Z,0
Anyone else getting season 9 Dr Reid vibes from Joe’s haircut or is it just me 😂😂,Hawa E,2020-11-12T00:12:04Z,3
I have to agree with your channels. We grew up too. I’m 32 and I so appreciate the more adult and raw content here.,Jacqueline Garcia,2020-11-11T23:59:52Z,0
I miss your favorites videos but id much rather you be happier and less stressed!!,lizzie echols,2020-11-11T23:59:39Z,0
Why do you not delete your old channel? Or do you still earn from views on those videos? Just curious? X,Jordyn Davies,2020-11-11T23:52:30Z,1
I noticed that about Leaves too! It&#39;s not the scent i grew to love.,Dorie,2020-11-11T23:42:23Z,0
I’m the person that spends to much time in the candle isle 😂,Kevin Mckinlay98,2020-11-11T23:30:16Z,0
"The vlogs have always been my favorite! And the best ones are always the ones you enjoy - you’re a person and deserve to make what YOU want. As a creator (not on YouTube, but for work) I know it can get to a place where you feel like you’re just doing things for someone else, and not yourself, and that can be so draining. You do you love 💛 that’s the best part about creativity. Yes you make things for others to enjoy, but it can also just be for you if you’d like. It’s expression. So excited for the holiday season and whatever festive things you have to share! Lots of love x",karissa_tjet,2020-11-11T23:27:34Z,0
I like how zoe actually signed the book lol I have watched you both since I was 4 and dreamed of meeting you since then and still now lol,Charlie Merrick,2020-11-11T23:02:26Z,0
We did the Artaban school play!,Emily Long,2020-11-11T23:00:45Z,0
"I love watching zoes blogs whilst I&#39;m in the shower,, it&#39;s very calming just listening to how she&#39;s been up too and what&#39;s happening furthermore in the future :))",Emily walker,2020-11-11T22:59:26Z,0
Rose water and Ivy is my FAVORITE scent at BB&amp;W!! I have everything in that scent.,Skyler Webster,2020-11-11T22:53:33Z,0
Why can´t I see the subtitles anymore? :(,Sara PH,2020-11-11T22:53:05Z,2
And honestly I really love having your old videos available. There are videos that are so nostalgic and comforting that they&#39;re all I want to come home to on a bad day.,Emily Moore,2020-11-11T22:47:16Z,0
"Literally crying at Joe bahahaha. Having grown up watching you, I completely understand what you mean. The recent content is my favourite because it feels so much more real and its clear you&#39;re happier!",Emily Moore,2020-11-11T22:45:03Z,2
Poor effort Alfie Deyes 😂,LittleDorritt,2020-11-11T22:35:54Z,0
Any plans for December and vlogmas?,Wendy Wright,2020-11-11T22:33:24Z,0
"i’m still just SO happy we get videos from you. whatever channel they’re on and whatever they involve, it’s my favourite notification to receive. zoella will always hold a special place in my heart and i can’t lie, i’d be devastated if you deleted your videos over there. i feel like it’s a museum of my teen years as i always used your channel as an escape and watching them back occasionally just brings me such comfort. overall though i’m just happy that you’ve found something that works for YOU and still allow us to be a part of your journey. i feel like you’re the best pal i’ve never met😭✨",Katrine Moran,2020-11-11T22:31:13Z,0
i just finished the book and i CANT wait till next year for the next one!!!,Joleen Neal,2020-11-11T22:14:43Z,0
I love your vlogs but can I say how much I miss your primark hauls 😅😅🙈 okay bye,Maria castañeda,2020-11-11T22:14:02Z,0
