comment,id,date,num_likes
Hope Nala feels better real soon!! Bless her and her little bandaged leg xx,Anita Shemon,2020-12-10T09:33:20Z,0
I prefer your hair without extensions! Just let it grow out 💕,Viktória Kovács,2020-12-10T09:16:46Z,0
"The light show reminds me of Vivid in Sydney, Australia 🙂",Anna,2020-12-10T09:09:41Z,1
"Hope Nala is okay, my dogs are the same at the vets, had to take boo because she hurt her paw a few weeks ago and as we got to the door of the vets to hand her over, she bolted, pulled the lead out our hand and ran to the car. <br />It was scary because her paw was still bleeding at the time.",Erica Wragg,2020-12-10T09:06:56Z,0
"I completely relate to your vet situation! My cat absolutely hates it &amp; I wish he could just understand me when I say that it’ll be fine 😂and yeah, it breaks my heart when I take him there! God knows what I’ll be like when I take my kids to school for the first time! 😂😂😂💕",RosieMackk,2020-12-10T08:59:48Z,0
I hope Nala will get better ♥,autistichloe disneyfan,2020-12-10T08:53:49Z,0
"I am constantly changing my bedroom around. I find it so fun, it is in the process of transforming into a Slytherin x Draco Malfoy theme.",Jazzy Jamie,2020-12-10T08:47:38Z,3
Another cosy vlog. Hope Nala is doing ok. Bless you all.,Dielle Thurston,2020-12-10T08:29:17Z,1
"Hey Zoe, I have been a viewer of yours since I was in grade 6, I am currently in grade 12 and love you so much. I Look forwards to your Christmas vlogs every single year as they honestly put me in such a happy festive mood. I really appreciate all the effort you go to when making and editing these videos, they are always so amazing. Your house always looks so beautiful and your spirit is so cheerful. Every December even if I haven&#39;t watched your videos for a while I watch every single vlogmas episode. Your hardwork is so valued thank you from Jemma your Australian fan  :)",jem beach,2020-12-10T08:28:48Z,0
💙,A DUTCHIE IN STOCKHOLM / LORRAINE BRANRATU,2020-12-10T08:26:54Z,0
"You are a good dog mum zoe, nala loves you.",Claudia Vega,2020-12-10T08:14:14Z,1
Im glad youre a spotify person,Aini Sofea,2020-12-10T08:12:30Z,0
Poor nala :( hope she gets better soon.,Deniz Gün,2020-12-10T08:01:15Z,1
for a christmas radio station try heart xmas. it works for me,freya hodgson,2020-12-10T07:51:51Z,0
I think I would find a more gentle vet. I know its normal for them to be scared but that sounds a bit too scared. poor baby,Robin Richmond,2020-12-10T07:51:25Z,0
I feel like a piece of plaid wrapping paper in a picture frame would look great on the shelf.,PennyRoseHandmade,2020-12-10T07:49:46Z,0
Loved the video! Thank you for providing such uplifting content in difficult times like these! Sending lots of love from a small YouTuber ❤️❤️,Anna's Style Dictionary,2020-12-10T07:44:50Z,0
"I do prefer your hair like this, without the extensions. I like it short and half long like now. (Personal preference, you do you)",Amber Lcj,2020-12-10T07:12:50Z,0
I was also devastated that there was no Christmas radio station this year!!!,Pippa Marie,2020-12-10T07:09:26Z,0
Aww little Nala❤️😭 all the kisses to her!,Iiris Sallinen,2020-12-10T07:04:13Z,0
Aw feel better soon Nala xxx,Katie Malloy,2020-12-10T07:02:57Z,0
"do you guys mind helping me out and filling this form real quick?<br /><a href=""https://forms.gle/gYtPRMijcCN1mb7T7"">https://forms.gle/gYtPRMijcCN1mb7T7</a>",Shlok Jain,2020-12-10T06:22:49Z,0
Truth kindness tolerance is Good,liu mark,2020-12-10T06:20:55Z,0
Aww poor Nala she&#39;s such a cutie. Her bandage leg looked so cute. Praying for a speedy recovery. 😍,YorElise Day,2020-12-10T06:20:31Z,0
There is a Christmas radio station heart Xmas!!,Kristie Rolfe,2020-12-10T06:19:27Z,0
UGH! teach me how to make my vlogs this CUTE!!! 😍😍😍,Jo Stotts,2020-12-10T06:10:50Z,0
Pulls out item from door #8 Advent calendar - “What have we got in here...what the hell is THAT...??! Hmm no idea. I’ll eat it anyway” Hahahaha!!! 😂😂👍,Amanda,2020-12-10T06:03:25Z,0
"If you liked Sugar Rush I’d highly recommend Nailed It on Netflix - the bakers aren’t very skilled and it usually ends in disaster 😂 it’s the funniest show ever and quite wholesome, I love it!!! The professional chef on it, Jacques Torres, is adorable 💜 Also hope Nala is doing okay!",Zoe Ellaway,2020-12-10T05:58:55Z,0
You should try The Great Canadian Baking Show. &lt;3,Dee Cohen,2020-12-10T05:56:25Z,0
Can we maybe get a Christmas-Housetour?😇💝,Elas1992,2020-12-10T05:56:00Z,0
I’m sure someone has already added a similar comment but I have those same lights and I hide the battery pack by putting a giant white snowball pom-pom around it.,Lisa Regehr,2020-12-10T05:48:05Z,0
"omg those star lanterns at <a href=""https://www.youtube.com/watch?v=M3uofymciXQ&amp;t=13m53s"">13:53</a> reminded me of a filipino christmas tradition we have where we hang up these lanterns called parols and most of the time (usually when they’re handmade) they’re shaped in stars!! disney’s 2020 christmas advert is actually all about that tradition and it’s super cute",alyssa villarreal,2020-12-10T05:22:30Z,9
"Poor Nala, I hope she feel better and that you get to pet and cuddle her forever because she is the cutest dog ever❣❣",Rosalinda Castillo,2020-12-10T05:21:45Z,0
"I love the advent calendar and the crackers, it&#39;s such a caring and loving alternative, like it gives such a positive vibe to the hole idea❣❣",Rosalinda Castillo,2020-12-10T05:20:56Z,0
Next time you go wear sunglasses they make the lights look really cool.,Donna Brown,2020-12-10T05:15:48Z,0
"Hey Zoe! Weird suggestion but you could try applying magnetic tape to the back of the battery pack for the string lights, then you could stick it to the pole or the light more securely. I have battery lights on my fridge and used that so it’s easier to turn off/on and won’t fall off!",danielFARAHday,2020-12-10T05:03:07Z,0
Alfie should take some vitamin C! It really helps with mouth ulcers! ALSO LOVE THE VLOGMAS&#39;S THIS YEAR!!  ❤️🎄,Priya Mishra,2020-12-10T04:56:07Z,1
There’s no Christmas radio station??? I’m  confused and disturbed. I live in the United States and there is three I found today.,Emerald Daley,2020-12-10T04:38:32Z,0
アパートですか？イギリス🇬🇧人？,槇本真美,2020-12-10T04:38:26Z,0
I&#39;m from Brazil,Canal bieel braazil,2020-12-10T04:19:21Z,0
oh I am so sorry.... I am glad nana is home and has a cozy sweetie mom to cuddle on... thank you. xo and pottering ! yes!!!,Alissa Rae Hill,2020-12-10T04:11:34Z,0
The advant calendar for charity’s you have is so freaking amazing I wish we had one like that where I live,Jen Croall,2020-12-10T04:00:19Z,0
NALAS LIL LEG CAST WARMS HY HEART SHES SO PRECIOUS,courtneylynnlove,2020-12-10T03:46:09Z,0
Can you please do a house tour,Shantel Morish,2020-12-10T03:16:39Z,0
"When Zoe didn’t know what to put in the shelf, I was constantly thinking about those creepy elfs that used to be in theirs stairs lol 😂",Ju Sonoda,2020-12-10T03:14:50Z,11
seeing Nala like that breaks my heart omg. lil baby :(,Rafia Saleh,2020-12-10T03:10:15Z,3
Maybe get a miniature hessian/ jute sack for the visible battery pack &amp; maybe look for one that says ‘Santa’s treats/ Reindeer Food’ something like that 😂,Emma Wilson,2020-12-10T03:09:51Z,0
awe we have the same advent calendar! 🥰🥰,ali green,2020-12-10T02:59:54Z,0
sweet nala,Shelley N,2020-12-10T02:46:54Z,0
I cut out attractive Christmas gift bags and put them in frames for free Christmas art.,Plan in Progress,2020-12-10T02:45:47Z,0
Where was that light place,lucywombat,2020-12-10T02:44:28Z,0
"Funny, we say &quot;putter&quot; in the US",Anna N,2020-12-10T02:32:26Z,0
alfie never dresses correctly for cold days 😂 im cold just looking at him,Xoxo,2020-12-10T02:21:46Z,36
i like double day vlogs better :) would rather have a long video every couple days than a short one every day,Eva Shae Crouse,2020-12-10T01:49:21Z,0
"I really enjoy this kind of video, so cozy!! Poor Nala, I hope she gets better soon",Anna Carla,2020-12-10T01:41:05Z,0
you could put a pic of nala in a festive outfit since it’s near her dog bowls. or a pic of you and alfie from christmas nyc,Tara G,2020-12-10T01:36:14Z,0
I really felt for Nala when you mentioned her surgery💗 I work in a vet clinic and a lot of it right now has turned into consoling owners AND pets who are separated that it’s going to be okay and we make sure to give extra love and cuddles to our furry friends!!🐾 they’re in the hands of great care though!,Madison Stachowiak,2020-12-10T01:08:49Z,0
I am so sad for your baby.  I have a fawn Maggie pug and I know how you feel.  I have older children but that pug is my baby and those eyes she gives kills me.,Just G,2020-12-10T01:07:15Z,0
Zoe’s vlogs will always be my favorite ones to watch,Brenda Martinez,2020-12-10T01:04:07Z,0
Her little cast!! 💕💕💕 Hope she has a speedy recovery!,Jennifer Dowd,2020-12-10T00:51:38Z,1
"Dear Mam,<br />I want to make your YouTube thumbnail😑<br />WhatsApps:+8801893969795🙂",Tanjid,2020-12-10T00:47:47Z,0
you could put some christmas cards on that shelf!!!,Amma Getchell,2020-12-10T00:24:57Z,0
The sigh after you realized there is no christmas radio hahaha,Madison Denbrock,2020-12-10T00:21:32Z,0
Zoe don’t be upset if you think Nala hates you for taking her to the vet because (fact) doggies only hold their grudges for approximately 2 minutes 🤣❤️,Confused Fox,2020-12-10T00:18:42Z,0
"In April during the first lock down we had to very sadly have our dog of 15 years put to sleep. It was definitely the best thing for her, she was deaf, mostly blind and couldn&#39;t walk. She would cry in pain.. :( To this day I think about her and my heart aches.. Because of the lock down we had to just hand her over and couldn&#39;t be with her in her final moments :,(",Caitlin Brown,2020-12-10T00:15:13Z,0
Zoe have you watched the Mr Christmas makeover show on Netflix? It&#39;s SO good!,Ourlovesway,2020-12-10T00:12:22Z,0
