comment,id,date,num_likes
Jane makes yummy treats,rebecca sara coffey,2020-12-07T08:52:05Z,0
Im so glad you are doing vlogmas this year. Ive struggled all year for holidays to feel like holidays (Halloween is my favorite holiday and even with watching a bunch of scary movies it felt off this year). Your vlogmas vids always make me feel Christmassy and hopefully will this year too .,Chi-Chi,2020-12-07T08:50:33Z,0
Those cookies look insane 😍 think I’ll have to try them for myself!,Katie May,2020-12-07T08:49:12Z,1
i loved this! literally just felt like i was hanging out with you all day 💓,Tia Elizabeth,2020-12-07T08:33:20Z,1
What a lovely start to my day❤️,Ffion Sheppard,2020-12-07T08:18:24Z,0
"Whenever I feel anxious or unsettled when I go to bed, I put your vlogs on and it makes me feel more calm😇💛",Sofie Speer,2020-12-07T08:17:42Z,11
"If the Vlogs continue like THIS then this might be my favorite VLOGMAS, only thing missing ist markyy 🥺❤️",Rynka,2020-12-07T08:16:10Z,2
Can you show us some of the scrapbooking you’ve been doing? If you need some ideas for vlogmas!,Meaghan M,2020-12-07T08:11:22Z,0
That’s a lot of effort for only 8 cookies,JESS AM I,2020-12-07T07:58:38Z,1
Whereabouts was the flower market? I’d love to go!❤️,Summer&Ollie,2020-12-07T07:56:24Z,0
Yay,swimchickky,2020-12-07T07:49:29Z,0
the reindeer crumpets triggered my trypophobia omg,vayda,2020-12-07T07:45:44Z,2
"“Red sky at night sailors delight , red sky at morn sailors be warned “ - my grandpa lol 😂 legit applies",Sara Formo,2020-12-07T07:38:48Z,6
Care Packages will deliver Sunshine to your friend&#39;s Doorstep... xoxoxo,Michelle J,2020-12-07T07:35:12Z,0
Zoe&#39;s Vlogmas makes me so happy this year. I just love it so much! ❤️❤️,PoProstuAnia,2020-12-07T07:05:57Z,0
"Hey Zoe, please do tell me where your bracelet is from? and I really love watching your vlogs.",Akash Sidhu,2020-12-07T06:57:14Z,0
"Loving Vlogmas this year, still re-watching all the old ones. Fav bit today hands down as you enter the flower market my favourite song was playing in the background, I get so happy when I hear it randomly playing.",Miss Pendragon,2020-12-07T06:53:14Z,0
Anyone know what size Alfie wears in the future self hoodies and joggers? Just ordered a set as a gift🤞 hopefully they’re the right size,Hillary Barbour,2020-12-07T06:53:13Z,0
