comment,id,date,num_likes
I just took the love language test and mine is quality time,Leah Taylor,2020-12-20T09:26:22Z,0
haha I think everyone has one of those cupboards ours is named the ‘don’t know cupboard’ 😂,Milly Maytum,2020-12-20T09:23:52Z,0
Thank you zoealla for the vlogmass but can you continue it after Christmas just to finish this year on a good note 🥺🥺😍❤️,Laila Farhat,2020-12-20T09:14:02Z,0
Home Alone is on Disney Plus. Today I am planning on watching Elf because it would feel like a crime not to before Christmas.,Molly Elton,2020-12-20T09:02:15Z,0
"Love the idea of a drive-in movie, reminds me so much of Grease - anyone else? xxx",Victoria Walters,2020-12-20T08:57:07Z,0
This is a such a cute evening for you and all the Zoella gang 🥰,Angela Holland,2020-12-20T08:55:34Z,0
I wish vlogmas never had to end. ❤️,Paperaeroplanegirl,2020-12-20T08:55:11Z,1
"Forever my favourite vlogmas. Just zoe in general gives me the biggest pick me up feels 💓 love the normality &amp; simplicity of her videos, just being so true to herself 💖 thank you for being my little escape on the internet. Forever wishing we were friends xxx",Molly Baker,2020-12-20T08:51:50Z,0
Mine was &quot;words of affirmation&quot; too 😊,aunalogy,2020-12-20T08:48:59Z,0
"My love language is Gifts, but not in a materialistic way, it&#39;s the fact that the person thought of you to get you whatever it is. So I say my love language is thoughtfulness.",Kayla Sayari,2020-12-20T08:35:39Z,3
I stick all my cards and notes in a book and also include the date and person who wrote to me ☺️ i even keep tickets 😂,shermaine lim,2020-12-20T08:08:43Z,0
One of my favourite vlogs yet 😍😍😍😍,Sisha Sidorkina,2020-12-20T07:53:57Z,0
My love language is words of affirmation too! I can never throw away a card either 😄 And I randomly found speculoos Twix here in Germany last week and it’s so good!,Lisl Marisl,2020-12-20T07:41:38Z,0
Your such a lovely person! Always thinking of others! Your team are very lucky to have you as there boss.  Drive in cinemas need to happen here!,Felicity x,2020-12-20T07:22:43Z,0
You should do New Year&#39;s cards instead :) I think that&#39;d be really cute and different!,Kayla Ascenzo,2020-12-20T07:12:43Z,0
zoe and alfie&#39;s content is literally so wholesome it&#39;s different than anything else on youtube i swear! this vlogmas especially is so real and festive and just brings me so much happiness every day when I get to watch it &lt;3,talia morfopoulos,2020-12-20T07:08:23Z,16
"Write the cards, it doesn’t matter if they arrive after Christmas 🎄 it will be more of a surprise for the people receiving them x",Rhian Arbuckle,2020-12-20T07:01:39Z,0
Your blogs always gives me happiness and I hope you know that. I love you from afar,Vanessa Fraser,2020-12-20T06:50:23Z,0
"This is such a sweet, warm comment section. Hugs to everyone!",ohgosh,2020-12-20T06:45:21Z,1
"My love language is physical touch, followed by quality time ❤️",Amday13,2020-12-20T06:44:22Z,0
For me the MOST festive thing EVERRR... is Zoe&#39;s gorgeous Christmas tree with the lights and decorations.. Makes my heart warm up to much love you Zoe and Alfie 🎄,Sarah White,2020-12-20T06:14:58Z,4
Thank you for doing vlogmas this year! I&#39;ve been really enjoying it and it always makes me feel cozy and happy!,Brianna Rogers,2020-12-20T06:14:53Z,0
Zoe I started watching you when I was in middle school I’m about to be 21 now and coming back to your videos makes me feels so warm and childlike again I absolutely love you and Alfie definitely almost cried thinking about it,izzy faith,2020-12-20T05:55:18Z,0
You two and hearing your voices brings this sense of feeling at home ❤️,izzy faith,2020-12-20T05:57:35Z,0
That quiz was great! My love language is quality time :),inger louise,2020-12-20T05:51:55Z,0
I just loved how genuine you are Zoe. I love you from the bottom of my heart. I will support you all the way. ❤️,Aiyee Ando,2020-12-20T05:51:33Z,0
The first patented Drive In  were invented in New Jersey in 1933 by Richard Hollingshead,Seth K Johnson,2020-12-20T05:34:44Z,0
I took the love language quiz and here were my results!<br />↓↓<br />37% Quality time<br />33% Acts of service<br />17% Physical touch<br />7%   Words of affirmation<br />7%   Receiving gifts<br /><br />This makes sense because I&#39;m not that good with long distance relationships.😂,Dark Teal,2020-12-20T05:02:39Z,2
I havnt been able to find other good vlogmasses where people are just doing simple real life things. Any recoms for real vlogs that are not just super xtra?,Rayla,2020-12-20T04:55:04Z,0
"To all those people in London and the South East who are now in Tier 4,  that cannot celebrate Christmas this year thanks to Borris.  We all who live in these areas want everyone else to think about us who can celebrate Christmas with their family.",Kenneth Crozier,2020-12-20T04:54:39Z,0
Thank you for the virtual hug 💕,Alexa Moran,2020-12-20T04:47:07Z,0
I took a love language test and mine is &quot;quality time&quot; :),FashionWhatever,2020-12-20T04:36:13Z,0
Drive-ins are my favourite so this would absolutely be my favourite office Christmas party even when COVID wasn&#39;t happening lol,SnidySenses,2020-12-20T04:31:19Z,0
they&#39;ve gotta bring those twix winter spice to america,Meghan Magee,2020-12-20T04:31:13Z,2
thanku. So much zoë for doing this vlogssss we love it soo much,inactivated,2020-12-20T04:28:31Z,0
Both mine and my partners top 2 love languages are touch and actions but I have kept the sticky note he gave me on our last anniversary that says I love you because sometimes it’s the little things as much as the grander gestures,Rebecca Lee,2020-12-20T04:26:13Z,0
where is the throw blanket from??,Casey Cole,2020-12-20T04:20:11Z,0
Wait it’s so crazy to me that you guys watch the movie in the seats. In America we back in and sit in the trunk to watch.,Sydney T,2020-12-20T04:00:27Z,0
Mine is words of affirmation as well! Your vlogs are the reason why I feel so festive during this weird time!,Alyssa Hensley,2020-12-20T03:47:10Z,0
I am currently watching this being in teir 4,Ellie. Equine,2020-12-20T03:45:02Z,0
Mines quality time,Ellie. Equine,2020-12-20T03:44:32Z,0
I&#39;m thankful for your vlogs! They&#39;re making my holidays feel more festive for several years now. I love you! 💕 I&#39;m hoping for the best for you and I hope you&#39;re always happy ☺️,sam,2020-12-20T03:42:39Z,0
"I’m from the US, I don’t know the UK’s tier 4 restrictions.. does this mean her and alfie’s family will not be able to get together now?",Maria,2020-12-20T03:03:37Z,0
I have enjoyed vlogmas Gona miss these🙈,bellefemme6677,2020-12-20T02:53:37Z,0
Such a brilliant Christmas party idea Zoe!  W have lived in America for 5 years and I&#39;ve never seen a drive-in movie here - something is obviously very wrong!!!! LOL!!  Xx,Juliana Sylvester,2020-12-20T02:49:33Z,0
Your videos make me feel less lonely. I am so happy you do vlogmas this year. Thank you 💖,Aline Alberto,2020-12-20T02:47:14Z,1
Gift giving and receiving is definitely my love language! and I totally knew that words of affirmation would be Zoe&#39;s love language! xx,Miriam Carpenter,2020-12-20T02:36:11Z,0
Nope drive-in&#39;s are pretty much dead even in the US and Canada.  It would be fun if they would make a come back though.  Unfortunately winter wouldn&#39;t work that well with snow and the cold because you&#39;d have to leave your car running or they would have to supply heaters and electrical so you could plug the heater in.,piperlynne1,2020-12-20T02:35:18Z,0
I just did a love language test and I got &#39;quality time&#39; as my primary love language :),Annwen Butler,2020-12-20T02:29:12Z,0
No you need 2 or more weeks to send a care.,Emily Stemp,2020-12-20T02:27:54Z,0
The drive in near me was on the brink of closing down for years now and the one bright side of covid is the revival of the drive in movie!,Blair H,2020-12-20T02:25:24Z,0
Drive-in movies used to be a thing in the 60s-80s but as of recent they have gone away in America.,The Hufflepuff Hermione,2020-12-20T02:22:36Z,0
"Awwww Zoe and Alfie such a wonderful couple, so giving to your staff and friends . Wow what a great idea. That was the best idea ever. The snacks and food wonderful. Your staff must just love their work environment. So so heartwarming. Xo",Jill Armstrong,2020-12-20T02:21:39Z,0
You guys trying a Twix!  Love it lol.  Love from NJ.  We have had Twix here forever! Lol,Rosa Hawkins,2020-12-20T02:13:58Z,0
New Jersey USA 🇺🇸,Rosa Hawkins,2020-12-20T02:14:41Z,0
I love going to the drive in!! It’s so much more fun than going to a movie theater,Hannah Ford,2020-12-20T02:11:13Z,0
Anyone know where Zoe&#39;s gold bracelet is from?,lotusfarmer,2020-12-20T02:02:07Z,0
Am always so happy when I watch your vlogmas!! Thanks for doing this every year Zoe!! Love you lots!!💕💕💕,Stephanie Lake,2020-12-20T01:34:45Z,0
"I’m loving watching vlogmas.  I was watching a video it was Erin,  from David Dobrik, vlog squad.  Her husband TJ been watching your videos.  He made the sourdough with balsamic, and tomatoes , you made on your channel.  🎄🌲🎁🎅",Elizabeth Powell,2020-12-20T01:30:15Z,0
&quot;Acts of service&quot; is my love language!,Patrícia Carvalho,2020-12-20T01:29:00Z,0
J’adore tes vidés 🥰,Frederique Moisan,2020-12-20T01:23:56Z,0
"It sounds like you run an amazing company, you sound like the best boss! All your employees are very lucky!",Madai Martinez,2020-12-20T01:16:10Z,0
LOVE LOVE LOVE VLOGMASSSS. ZOE WE LOVE YOU SO MUCH. YOU HAVE NO IDEA 💕💕💕💕💕💕💕💕💕💕💕,Veni G,2020-12-20T01:15:19Z,0
"The drive in movie party was genius ....loved the gift sack also.  Thanks for sharing with us.  <a href=""http://www.youtube.com/results?search_query=%23merrychristmas"">#merrychristmas</a>",Joycelyn Steib,2020-12-20T01:09:08Z,0
So fun!!,Melanie Shirkey,2020-12-20T01:00:00Z,0
We sell the festive spice twix in bargain booze,Phillips Charlie,2020-12-20T00:54:57Z,0
Her heyyyyy and his heeeelloo ❤❤🙈,zeineb allouche,2020-12-20T00:51:21Z,0
My love language is gifts!,Eleanor Sessions,2020-12-20T00:46:50Z,0
I have been watching this vlogmas all the way through and I knew nala got some shots or blood drawn so they had to wrap it but does anyone know why she still has it on? Did she break her leg or something?,Dimonae Hunter,2020-12-20T00:42:51Z,0
"Love language will probably change yes, I tried it and mine had change only by a little mind you. Write those cards Zoe!",Claire Little,2020-12-20T00:38:37Z,0
"To anyone reading this, I hope you’re feeling well and having a lovely day! Stay safe and remember to keep smiling in these weird times,  sending lots of love from a small YouTuber❤️ ❤️",Anna's Style Dictionary,2020-12-20T00:34:12Z,4
My partner love language is physical touch he always has his hands on me in a very innocent way he likes to brush up against me when we’re walking have his foot on me on the sofa wants to sit close and it’s nice to just have his presence there! Mine is quality time! We don’t get a lot of that at the moment so I think that’s why it’s most important to me!,jasmine s,2020-12-20T00:28:58Z,0
🎄🎅🎁💛🧡,ky _,2020-12-20T00:24:04Z,0
Both me and my partner are the quality time love language,baillie cobb,2020-12-20T00:23:23Z,0
"Hi Zoe, what is your Animal Crossing island dream address? :)",Sprouse28,2020-12-20T00:23:17Z,0
"<a href=""https://www.youtube.com/watch?v=YV-ZpkNpcWg&amp;t=5m52s"">5:52</a> is my favorite 🤣 awe nala!! So cute",its me sina,2020-12-20T00:07:37Z,0
"Most of the drive in theaters in the US have closed down years ago, but maybe they&#39;ll bring them back. Always a  fun time when I was a kid.",Barbara Jaus,2020-12-20T00:07:08Z,0
"i love how alfie instantly stopped what he was doing on his laptop to listen to you when you were talking, i think that was really sweet",Beth X,2020-12-20T00:02:42Z,43
"IM SO SO SO GLAD YOU BROUGHT THE LOVE LANGUAGES TO A WORLD STAGE (so to speak). My family has been advocating for this for so long and we grew up knowing eachothers’ and our own, and living in that way. Trust me, it makes life so much better. My love language is words of affirmation in giving love and touch in receiving love. But of course, everyone has so many different ways in which they love. 💗💗💗",Grazía Szczerbanov,2020-12-20T00:02:33Z,0
I really hope next year will all go back to normal as I think this year hasn&#39;t been the most nicest of this year. So I think that next year will be the year where everything just goes back to normal. And I would like to thank Zoella for still doing vlogmas this year. It makes me feel so happy when it comes to bedtime and I can get cosy in bed and watch a you tube vlogger vlogmas. It also makes my evening as I have been feeling so sad this year. So I feel like Zoella doing vlogmas has made me feel so festive. I would also like to say sorry to Zoe because she couldn&#39;t have her proper christmas office party.  But next year that everyone will be able to go to Christmas parties. Because its not good for everyone&#39;s mental health to be looking at a laptop/computer screen every day. And its certainly not good for everyone to be looking at their phones everyday. I do love talking to people on my phone but I think what is more healthy for everyone to see people in real - life. Because then everyone can see eachother face - to - face.,Emily Finn,2020-12-20T00:00:56Z,1
"i just done the love language test, mind was words of affimation which i found interesting",Beth X,2020-12-20T00:00:04Z,0
