comment,id,date,num_likes
loved this! made me nostalgic of your old haul videos 🙌❤️,siciliano_steph,2020-12-04T09:48:36Z,2
So many people on youtube do CRAZY over the top decoration for Christmas. But yours is so much more relatable and beautiful!,Bea Maria,2020-12-04T09:39:00Z,1
That     candelabra  you had  made me  think of Lumiere  from Beauty and The Beast   so much,Jenzzyuk,2020-12-04T09:21:02Z,2
"Finished the vlog and came back to like it only to realise I’d already liked it, I just love vlogmas. 😊",Paperaeroplanegirl,2020-12-04T09:10:50Z,0
Their house is goals AF so I’m happy to watch at home vlogs lmao,jenna,2020-12-04T09:10:07Z,4
Ginger bread car fragrance! Oooh I want that! Oh wait... I don&#39;t have a car :(,Boho Bookworm,2020-12-04T09:02:47Z,0
I’ve been so down lately so I haven’t felt the Christmas spirit or joy at all.. I wasn’t even clicking on Zoe’s vlogmas at first when it came out now because I wasn’t feeling it at all.<br />BUT I’m so glad I did so now because it makes you somehow forget everything around you and I actually finally felt some spirit and now I can’t wait for the other parts of vlogmas 🥰✨,F. Sofia,2020-12-04T09:01:22Z,1
"I’m confused by ‘half seven’. Is that <a href=""https://www.youtube.com/watch?v=cL0r-QjXcXw&amp;t=6m30s"">6:30</a> or <a href=""https://www.youtube.com/watch?v=cL0r-QjXcXw&amp;t=7m30s"">7:30</a>? Shouldn’t it be <a href=""https://www.youtube.com/watch?v=cL0r-QjXcXw&amp;t=6m30s"">6:30</a> since it is half of the seventh hour? <br />Already loving vlogmas xx",Poppy Pup,2020-12-04T09:01:09Z,0
Best time of the year ever ❤️,Eva Trs,2020-12-04T08:56:01Z,1
"For your candles to protect the table cloth use these. <a href=""https://www.johnlewis.com/john-lewis-the-basics-drip-rings/p1159439"">https://www.johnlewis.com/john-lewis-the-basics-drip-rings/p1159439</a>",Marc Alex Taylor,2020-12-04T08:38:35Z,0
"Hi Zoe, I&#39;m new to your channel and I love it!! What an amazing haul! I love the candles and charger plates.  Looking forward to watching more of your videos.😊",Liz Dorrington,2020-12-04T08:38:26Z,0
Put your candles in a paper muffin form to catch the wax 😊,LiliCrush,2020-12-04T08:22:55Z,0
You doing flogmass is my favourite part of the year you single handedly get me in the Christmas spirit every year 😄😄😄😄😄,Bex kent,2020-12-04T08:22:12Z,1
"When she unpacked the things, I was so distracted by the candles in the background.  It somehow totally stressed me how close the candles were to the Christmas wreath. 😅 🕯🕯 Also: Zoe&#39;s comment on what Alfie did when he walked in revealed the action haha.  They are so cute.",XNoraX Inspiration,2020-12-04T08:14:16Z,0
OMG i instantly thought of Lumier too!!!!! Hahaha thats so funny,maisy mei,2020-12-04T08:02:36Z,1
these vlogmas videos keep me going every day,Ella Walsh,2020-12-04T07:59:52Z,1
I cant tell if ur lying when u say ur going to bed near 7pm 😭😂,maisy mei,2020-12-04T07:57:31Z,1
basically when you light the candle there is a warmth sensor battery thing in the candle and it turns on the lights ☺️,Noemi,2020-12-04T07:50:43Z,0
"HI Zoe, really enjoyed today&#39;s vlog and love the gorgeous decorations. Was wondering if you could tell me what actually are charger plates? I might buy one for my mum for Christmas 🎄",DORA Batalona,2020-12-04T07:44:00Z,1
"me, a filipino hearing Zoe say &quot;Tee Tea&quot; : 😂😂😂😂",Shane Medrano,2020-12-04T07:43:58Z,4
when steve said hello I thought it was marcus🥲,Emma Charlotte,2020-12-04T07:40:07Z,0
roller skates are the most typical alfie deyes thing i’ve ever seen :),mia,2020-12-04T07:34:43Z,3
I put my pillar and dinner candles on a small serving tray or a charger plate then all you have to do is clean the tray. Xx,chloe williams,2020-12-04T07:33:54Z,0
I ADORE the little Home Alone “there are people in the house” themed Christmas intro Zoe 😍 TOO CUTE!!,Confused Fox,2020-12-04T07:04:08Z,26
Our safe place❤️<br />I feel so calm and cozy thanks to Zoe’s vlogmas!!,сонья,2020-12-04T06:51:50Z,0
I absolutely love it when you do your Christmas Eve food shop haul. Like you did a year or so ago. Best video! You just get me in the Christmas mood. And we need a bit of nice Christmas spirit. Agreed so much with what you said about the I’m a celebrity with the positive and not the arguing too. Xx,Lig Rayner,2020-12-04T06:50:13Z,1
Zoe’s Vlogmas is this year’s spa equivalent in a nutshell. I’ve not been this relaxed in ages!,Hannah,2020-12-04T06:49:37Z,0
Amazing! I have enjoyed watching your fantastic video..❤️,Travel Drone,2020-12-04T06:47:06Z,0
This put me in a more festive mood ^_^,pandamonster00,2020-12-04T06:35:44Z,1
Tee Tea omg! hello to my fellow Filipinos 😂,Blessy May Bandong,2020-12-04T06:21:51Z,3
“someone’s dingelinging me” 😂😂 that’s the first time i’ve ever heard anyone say that and i laughed so much!😅 loving your vlogmas this year Zoe! (and all of your vlogs in general),inger louise,2020-12-04T06:15:14Z,7
"Trying to see through the cutlery what Alfie did at <a href=""https://www.youtube.com/watch?v=cL0r-QjXcXw&amp;t=14m58s"">14:58</a> 👀 👀  👀 😂😂😂",MS 23,2020-12-04T06:12:39Z,13
Put your dinner candles in the freezer Christmas morning and take them out when you’re about to light them for dinner! They will burn slower and not make such a mess! Xoxo,Taylor Philip,2020-12-04T06:07:55Z,262
Is the owner a Filipino? Because Tee Tea is something.,KINGMRKLYN REACTIONS,2020-12-04T05:39:37Z,1
Obsessed with your earrings zo :)) also happy you’re doing vlogmas- bringing a sense of normalcy for the times!,Naomi Muñoz,2020-12-04T05:37:29Z,0
"candle that lights up prob has a photoresistor somewhere which reacts to bright light, try to hold it very close to bright light sourse and see what happens. Or if not let it burn through and see whats inside, and let us (ok, me the nerd) know please",Tanya,2020-12-04T05:29:22Z,0
"have you guys ever noticed that zoe never wins rock, paper, scissors :(",Mohana Venkatapuram,2020-12-03T17:17:23Z,2
"Zoella, put the dinner candles with a cute mini charger or coaster underneath the holder.",AwkwardnessIsAwesome,2020-12-03T17:15:37Z,10
did they ever have a second dog or am I tripping,Anya's World,2020-12-03T17:14:43Z,1
"Put your candles in the freezer for 24 hours, makes them burn slower and not drip as much! Just be careful, cause some candels might break from the low temperature.",johanna bertilsson,2020-12-03T17:13:13Z,19
really jealous you all can go out. i wish we could as well.,claire,2020-12-03T17:13:12Z,4
"Thanks for the video zoe, love it!",Hey you,2020-12-03T17:12:34Z,0
Get a charger plate with a big star on to go under your candle stick so it doesn’t ruin your table cloth? X,Heather McCormack,2020-12-03T17:11:28Z,11
"You could get a plain one and write cute Christmassy things around the outside with a sharpie, you’ve got lovely handwriting! And nobody else with have it. That way you can just clean it off when it’s messy x",Heather McCormack,2020-12-03T17:15:50Z,5
Uhhh I’m so thankful for those videos,Samantha Scot,2020-12-03T17:10:33Z,2
I can’t believe how bright it is at 7am ! It’s pitch black where I am at that time,kamal sundari,2020-12-03T17:08:32Z,7
"What happened to your &#39;all is merry, all is bright&#39; cushions? Also, where are they from? Happy Vlogmas! X",Emily Bird,2020-12-03T17:08:13Z,12
You look gorgeous 💗💗💗💗,KayJhoselin,2020-12-03T17:02:24Z,3
You can put a fancy gold tray under the candle holder maybe?,Selin Akduman,2020-12-03T17:02:17Z,2
"I love your decorations! Im wondering if theyre gonna buy a natural tree? I hope so, i just love the smell of natural tree in the morning",SamSantillanL,2020-12-03T17:02:14Z,1
aww so cute I just noticed the figures in the windows in the intro are the same as when Kevin staged the party in home alone! what a nice detail,Anna Ruth,2020-12-03T17:02:10Z,1
this intro might be the best,Stefania Teleru,2020-12-03T17:01:28Z,2
Yay vlogmas day 2 thank you!,Katie B,2020-12-03T17:00:38Z,0
My favorite Xmas video is when you guys made gingerbread houses a few years back. And I think that same year you did the 24 days of ladies gifts and hid it around the house. The old house.,The2009An,2020-12-03T17:00:21Z,3
“Omg Alfie has roller skates” shit my boyfriend buys🤣,Kelsey Femi,2020-12-03T16:59:20Z,470
Tip for candelabras : put them on a mirror sheet - you can get them from ikea - they look good and the wax drips onto them instead of your tablecloth 😁,Casey O'Brien,2020-12-03T16:59:15Z,4
"I just find it so strange how british people ust let the dog out, kinda like a cat, to go pee and poop wherever they like in the garden... nice for the dog I guess, if they get a real walk or activity later. :)",Lina Strindlund,2020-12-03T16:59:13Z,4
Where is your bracelet from?,Lea,2020-12-03T16:58:50Z,0
Anybody else want to know what Alfie did whilst in skates 😂,TheJadstar,2020-12-03T16:57:58Z,1
Definitely skated in naked😂,sierra,2020-12-03T17:21:09Z,1
"watching under a blanket, love ittt🎄💖",Skye Paige,2020-12-03T16:57:49Z,0
Living for these,DIY Jess,2020-12-03T16:57:44Z,0
"Zoe I appreciate it so much that you&#39;re sharing parts of your December with us yet again! I hope you can find peace and relaxation in the days leading up to Christmas. I want you to know that we all love any of your videos, you have such a calming presence :) Love you! Happy December!",Emma Elle,2020-12-03T16:57:08Z,5
Please tell Holly that she is missed! She has the most contagious smile &amp; laugh 💓,Jan Friedman,2020-12-03T16:57:02Z,134
ive never missed a Zoë vlogmas since 2013! it makes me feel sooo festive and happy ✨,Crystal Deliz,2020-12-03T16:56:59Z,1
Good old Vlogmas as we like &lt;3 thanks Zoe!!,Bealthie,2020-12-03T16:56:58Z,0
First day post thanksgiving: <br /><b>cue the Christmas music</b>,imannasan,2020-12-03T16:56:44Z,6
Physically sick from over studying...curled up in a ball watching ...makes me feel better :) i rewatch your vlogmas when i am feeling blue all year round 2018/19 is my fav e,Martha Solomon,2020-12-03T16:56:14Z,79
nala is the best doggie,Annajane Murphy,2020-12-03T16:55:06Z,2
"Thank you so much for doing Vlogmas during COVID. Your vlogs are cozy, funny, entertaining, &amp; inspiring (especially with your decorating skills!). It is a comforting respite.",Jan Friedman,2020-12-03T16:55:02Z,2
We Brazilian loves your channel!💕,Alef Marçal,2020-12-03T16:55:01Z,0
Do you donate the stuff you don&#39;t want anymore?,JoSalvador,2020-12-03T16:54:15Z,2
Nala at the end is hilarious,Eleanor Sessions,2020-12-03T16:53:50Z,2
Favourite part of my day!,Izlu C,2020-12-03T16:53:32Z,0
"Please don&#39;t feel like you didn&#39;t have a productive morning just because all you did was edit :) I feel like people don&#39;t take in the time a task takes them into their productivity. You can have done multiple small tasks in a day and feel like you were being productive, but if they were all pretty small and you didn&#39;t do the longer tasks that are actually important, you weren&#39;t actually that productive. That&#39;s why I always make a priority list in my to do list so I can make sure I actually do the things I need to do, instead of doing a lot of small things that don&#39;t matter as much. You finishing your edit is probably your priority task (especially since you can&#39;t really go anywhere) you had a very productive morning, ready for the rest of the day :) Ofcourse you have days where you don&#39;t have to do as much, but I find making a priority list with the top 3 things to do a very good way of keeping track of what I HAVE to do versus what I would WANT to do for fun. I don&#39;t know if this makes any sense tho hahahah",L.Hahahah,2020-12-03T16:51:56Z,15
Alfie saying &quot;i&#39;m the realest&quot; after Zoe said &quot;first things first&quot; was the best thing ever😂,Liliane Ullrich,2020-12-03T16:51:36Z,481
"Your vlogs are such an escape for me, so thank you for trying this vlogmas! :)",Ellyn Simon,2020-12-03T16:51:05Z,4
