comment,id,date,num_likes
Could you film an animal crossing lets play? If you&#39;re still playing it that is. The winter vibes are super cute so it&#39;s also festive,Star strike103,2020-12-04T16:00:36Z,3
"Video on top 10 Chris,as movies and 10 songs",Marnienadine,2020-12-03T09:25:56Z,1
I love vlogmas of zoellaa,domarsereia,2020-12-03T09:24:45Z,0
Oooo also Zoe where is your hat from? 🥰,Caley Ashby-bruce,2020-12-03T09:23:59Z,0
I&#39;m so excited !! I have waited for this since last year🥰 the best vlogmas series 🥰🥰🥰,Dominika Wojcik,2020-12-03T09:23:52Z,1
i&#39;ve been watching zoe&#39;s vlogmas since i was in 7th or 8th grade! i&#39;m now in my second year of university! i can&#39;t quite call it christmas without vlogmas!,maureen rose,2020-12-02T18:32:33Z,8
The club in Edinburgh is called Please Don’t Tell (PDT),Cara Slater,2020-12-02T18:32:18Z,24
I would 💯 watch a Christmas film over Vlogmas with you lmao,Caitlin Munzlinger,2020-12-02T18:31:54Z,2
EXCUSE YOU. go back and watch the crown from series one! claire foy is AMAZING as queenie!,TheGiraffesLife,2020-12-02T18:31:27Z,4
Zoe we need a “wfh” loungewear haul/ shop with me online because you always look cozy and so chic and I need to know where to shop lol! It’s a need not a want.,Jordan Elizabeth,2020-12-02T18:31:11Z,15
You and Alfie should do a baking race! Best gingerbread house OR recreating special Xmas foods from films.. like HARRY POTTER!! Xx,Bella Couch,2020-12-02T18:30:06Z,8
I have been watching since the beginning and I love  vlogmas from you they are my favorite!❤️,Tif M,2020-12-02T18:29:15Z,2
"When Zoe jumped out from behind the tree to scare Poppy, when they went to get their Christmas tree!!",S J,2020-12-02T18:28:34Z,8
This completes me. Seeing Zeo do vlogmas makes me super happy 😊 love you Zoé,TonyDeLaRocha,2020-12-02T18:28:33Z,1
For one of your days you can do a complication of all your favourite vlogmas moments. Be a lovely trip down memory lane,Rebecca Podevin,2020-12-02T18:28:14Z,2
It is so sad that i guessed your guys favourite vlog moment and holiday right before you said it lol.. ffs.,Littlest Hobo,2020-12-02T18:27:56Z,1
"At least you are going into tier 2, I live in the North and we are going into tier 3 because Boris hates Northerners :(",This is Me,2020-12-02T18:27:53Z,0
Cutest intro! I’m here for vlogmas :))),Kristina Braly,2020-12-02T18:27:53Z,776
I waited for this moment FOR a full year 😬❤️,Otilia Rachieriu,2020-12-02T18:27:51Z,2
"I’m so grateful that your doing vlogmas, so thank you so much. Your vlogs make me happy 😊.<br />Ideas for videos could be-<br />Just a chill one as I love them.<br />Christmas tree buying.<br />Organising areas of the house.<br />Baking.<br />General chat/catch up on anxiety. <br />Dog walks.",Becky Williams,2020-12-02T18:27:44Z,2
I’ve been waiting sooooooo long for these also I’ve been watching vogmas since 2013,Me,2020-12-02T18:27:34Z,2
My fav moments are the visits to grandad Chippy’s house 🥺 I’m actually sad you won’t be able to go visit him this year.,Melissa Ceballos,2020-12-02T18:27:26Z,1
Xx💕💕,Jackie Brown,2020-12-02T18:26:55Z,1
"I’ve been here since 2015 and here’s a roundown of my favorite moments:<br /><br />1.) when you made Alfie his own Advent calendar (inspired me to do one for my cousin) <br />2.) when you open Advent calendars (chocolate ones, beauty ones, and Nala’s) <br />3.) in Edinburgh when you wore this creepy teeth. I died at Poppy’s reaction<br />4.) when you go grocery shopping and share your haul<br />5.) when you go to your Dad’s or when you’re with Joe <br />6.) this one Vlogmas where you went to your chilhood friend’s house<br />7.) when you wear Christmas onsies<br />8.) when Mark went home drunk",Nichole Marcia,2020-12-02T18:26:40Z,24
When alfie hade the baby on his chest! So sweet and cosy ❤🎄,Erika Ståhl,2020-12-02T18:26:11Z,6
Futureself hoodie does really complement with Zoe&#39;s eyes. Love it!,Enerel Enkh-Amgalan,2020-12-02T18:26:01Z,12
"You know? I was expecting Vlogmas from anyone this year. But I am so so incredibly happy that you are doing it. Even if it’s not every day, I’m excited to see anything lol. Happy Holidays everyone, and if you don’t celebrate anything, happy December!!!",Caitlin Munzlinger,2020-12-02T18:25:55Z,1
I haven&#39;t even watched the hold vlog yet but I LOVE the intro!!! 😍💗🎄,Aesthetic edit,2020-12-02T18:25:52Z,0
i luv this years intro🥺🥺🥺🥺🖤🖤,Julia Ackerman,2020-12-02T18:25:39Z,0
"Mateeee this is the happiest I’ve ever seen Zoe and alfie, they’re so strong atm. They seem more in love than ever🥺xx",Ellie McKinna,2020-12-02T18:25:36Z,45
Ngl I will always watch your vlogmas but this year I love the most!!❤️,osk,2020-12-02T18:25:32Z,0
good afternoon  when you will start to decorate  I love watching  you decorate your house,Namrita Manoo,2020-12-02T18:25:30Z,0
I love the intro💓,Radical Bimbo,2020-12-02T18:25:23Z,0
