comment,id,date,num_likes
I am someone who is with this channel since you were 19. 😂 This really makes me feel soo good tbh !,Riddhi Savoiverekar,2020-11-02T12:14:10Z,13
Question : what is the best advice for moving with a significant other?,Sarah Moka,2020-11-02T11:47:47Z,8
Please can you do a A/W style video! I always feel so frumpy in a jumper and jeans but I want to still look nice! 😭♥️,Chlo Bill,2020-11-02T11:35:07Z,1
I’ve been here since you were 19/20! God I feel old now,Emily Quill,2020-11-02T11:22:04Z,7
I&#39;ve been a fan and following you for 8-9 years 💜😘 it&#39;s so amazing to see how far you&#39;ve grown :)),sleepysuga,2020-11-02T10:42:23Z,0
"I watched your vlogs for soooo many years and kind of got out of it (people get older, oops) and I recently started watching them again and this was such a throwback and nostalgic kind of video, kind of like coming back home again!!! love you zoe!!!  💕",Lisanne Roldaan,2020-11-02T10:00:04Z,1
"We - I’m guessing most of your followers - really do care about you Zoe!! We’re here for every bit of it. Always enjoy hearing you talk, what ever the subject. Your videos are so comforting. Talk about anything you want!! We will always have your back. Love you ♥️",Alva Jarl,2020-11-02T09:15:19Z,0
"i was 11 years old when I started watching your videos, now im going to be 20 soon. I feel like YouTube feels much more like just entertainment but back then I felt like if you were my old sister giving advices and making my days much happier when I watched your videos.",Alba Mariñas Luna,2020-11-02T08:58:48Z,0
"It’s so interesting hearing you talk about emetophobia as I suffer with it too, anxiety and panic attacks are all linked. Also completely understand about being able to stop yourself from being sick! Also the pregnancy Q gets asked a lot and no one seems to appreciate it’s not that easy when you have a phobia :)",Charley Bickham,2020-11-02T08:53:35Z,3
"I’ve been watching you for 9 years &amp; I agree, I preferred YouTube in the beginning! But still love you &amp; your content all the same 🤍",Chloe Parker,2020-11-02T08:43:11Z,0
"I also have emetaphobia and am a hella fussy eater haha. I feel that so hard wow. Also you are absolutely not alone! I have willed myself to not vomit so many times when my body was fighting otherwise. For that reason, I have managed to not vomit for 15 years.",Aislinn Cooling,2020-11-02T08:43:03Z,3
"Yes! I’ve been here since you were sat in your bedroom in front of the mantle/fireplace doing makeup and hair tutorials lol. I’ve loved watching your videos over the years, I feel like I can relate to you so much and I do miss the cozy days haha I feel like YouTube has changed a lot but I’m so grateful that you are still making content and I get to enjoy my little escape from reality bc there’s so many creators  I remember watching all the time and most of them don’t really make any content anymore but again thank you for your videos they really make me happy, Love you Zoe!!",Esly Martinez,2020-11-02T07:56:14Z,0
Hey just so you know for next time... Whenever i get a sty i get a wooden spoon and wrap and warm cloth around the spoon part and hold it to my eye. I dont know how or why but it really works (maybe it is the shape or something...),Samantha Knight,2020-11-02T07:03:46Z,0
"omg i’ve never heard anyone talk about having emetophobia, seriously thank you so much for talking about that it was so good being able to relate to someone and so reassuring knowing other people feel the exact same way as me",Abby Brewer,2020-11-02T06:34:20Z,1
I have followed you for years and been a fan since the early phases of your channel.. I guess it is part of growing more mature that we need more privacy and in parallel we actually become more honest.. it is very natural in the process of change.. People who actually know you will totally understand that you are just developing into a wiser  human being. Loads of love :),Hajar Nait Hammou,2020-11-02T06:32:20Z,0
Been here since you were 19!!! Woo woooo Since I was 18!,Marina Patricia,2020-11-02T06:25:44Z,0
"I also suffer from emetaphobia😭 I’ve become slightly better than I used to be, but it’s still so debilitating and I have to work around it almost, hope you’re well! 💛",Leah Cawley,2020-11-02T06:13:53Z,1
The cozy days were so good. I feel kind of blessed that youtube was the way it was when I was watching it as a tween. Good role models i had,trefina bil,2020-11-02T06:08:54Z,0
♡♡♡,Melissa Celi,2020-11-02T05:54:31Z,0
"For the stye, use a few drops of johnson &amp; johnson baby shampoo and dilute it with ~1.5 tablespoons of filtered water, and apply to your waterline with the qtip! works for me everytime!",Naomi E.,2020-11-02T05:48:14Z,0
"I have severe emetophobia and I did not struggle with any type of sickness with my pregnancy. I have it worse with thinking about my child getting sick. Like pregnancy was a breeze. I’m great at willing myself not to get sick. But when it comes to my son, I’m out. I can’t. That thought sends me absolutely reeling. He’s 14 months now and the first time he spit up as a newborn was awful. I did get better, but now that he’s older, I have much more anxiety surrounding him getting sick. All that to say, I’m right there with you. I feel the struggle.",Emily Best,2020-11-02T05:17:44Z,0
We care❤️🥰,Kevin Hawkes,2020-11-02T05:11:18Z,1
"Teabags are the best for eyes, hotter the better.",superlibbyanne,2020-11-02T04:31:52Z,0
Seasonal Affective is so rough,Sara B,2020-11-02T04:25:30Z,0
"ok so like sometimes when you speak i just get chills bc we are <b>THE SAME PERSON*. i totally understand everything you&#39;re saying zoe. *&quot;the cozy days&quot;</b> wow, that&#39;s exactly it, that&#39;s exactly how i feel, too. i miss it SO much. i&#39;ve seen you develop over the years and you&#39;re still such a comfort to me! i love your raw, open and honest convos!! as someone who can relate to you in so many ways i LOVE to hear everything you have to say. it&#39;s helped me a lot to know other people go through things or experience things that I have. i remember when i found out years ago about your emetaphobia and it was such a shock to hear someone else talk about smthng i was feeling. pregnancy and sickness is something i think abt all the time. everything you said about it being in the back of your mind like &quot;i&#39;m gonna have to do that one day&quot; and having to stay in a spare bedroom if alfie was sick and  if it was something he had eaten it would be different but still scary YES exactly!",Leona,2020-11-02T03:41:41Z,0
"Woah, I have had emetophobia for years well actually since I was 5 years old and I’m the exact same way! It feels so good to know other people have gone through this issue to",Hayley Jones,2020-11-02T03:19:48Z,0
love watching your video :),Harvest and Gather,2020-11-02T03:15:06Z,0
women aren’t just people that give birth they are so much more than that just cause your a woman doesn’t mean you are going to give birthhhh,grace,2020-11-02T02:50:51Z,191
"When I was 14 I was a huge fan of yours, in a really bad place mentally and I always felt like your videos and interacting with u on twitter were one of the only things helping me through it. Now I’m 23 and thriving but will forever be grateful for the community &amp; safe space u created for 14 year old me ❤️",Hanna,2020-11-02T02:43:15Z,0
I was the same way with emetophobia! It was something I would think about and be really scared. II would force myself not to even when I knew I should.  was able to get over it by just letting it happen once and realizing it isn&#39;t as bad as I had built it up.,Melissa Marie,2020-11-02T02:41:33Z,0
"zoe im here for you! I love when you share your life, it makes me smile. your vlogs are my favorite.",Kaeley,2020-11-02T02:26:44Z,0
Just want to give you some reassurance. I had my little girl 7 months ago and never had any morning sickness throughout my entire pregnancy. So there is hope!,Rachel Trayling,2020-11-02T02:19:28Z,4
I am one of them!! I’m your fan from México,Mara Ninnet Robles López,2020-11-02T02:12:13Z,0
i used to watch zoe so much back in the day! nice to come back here and see how ur doing :),Popcornpiffle,2020-10-29T13:38:09Z,11
"Hi Zoe I can relate to you about the worries of getting pregnant. I didn&#39;t use to want to have kids and recently I felt I really wanted to but now it feels overwhelming. Fertility, baby loss.... So scary!",pookapy20,2020-10-29T13:36:51Z,4
I’ve not been here since you were 19 I don’t think but I’ve deffo been here since you were first living in Brighton! SO LONG 🤗,totallytony,2020-10-29T13:36:33Z,2
The only channel on Youtube I think is cosy is yours! We love u!,Jessica!¡*,2020-10-29T13:36:27Z,1
"I always was here for the cozy days, but it all has changed now. I used to love to stay home to just watch video&#39;s on YouTube where people filmed their live, but I didn&#39;t live my own life. So since YouTube has changed since years ago I started to live my own live more. So yes I still miss that time and just chillin&#39; with my YouTube friends, but I love to live my own live aswell.",TeenSquer,2020-10-29T13:36:11Z,7
"Been following since the beginning (when you were 19 and I was 16-17) and I must say you completely hit the nail on the head with describing old YouTube as cozy. I continue to come back to your channel every video to feel that cozy and safe vibe and you truly continue to provide that feeling for me - especially your videos with Mark! <br /><br />I love how open you’ve been with us over the years but I also really love how you have been able to set boundaries. Growing up watching you, we have all grown up together and I am so proud of who you have become and almost remained to be your true self!! <br />I am genuinely just happy for you Zoe and we all want to see you happy. I will continue to support and follow along as long as you want us to! You have changed and helped so many lives and it’s weird to say but I almost feel like coming to your channel is like meeting up with a lifelong friend.",Lauren Driscoll,2020-10-29T13:36:05Z,8
I’ve been watching you since 2012 and I’ve loved seeing you grow and change. I love your videos!,Gabrielle Wilkerson,2020-10-29T13:34:27Z,1
"Hi Zoe, I really struggle with emetophobia. I get anxiety and panic attacks due to the fear of being sick. I don’t mind anyone else’s sick etc. Just my own for some reason. I have begun to understand why I feel sick and how to prevent that and know I am much better however, I have found that how other people deal with it is super important. It’s so nice relating to someone! Xx",Amy Snodin,2020-10-29T13:34:01Z,11
Been with you since the beginning 💖,lilxchloex93,2020-10-29T13:32:58Z,2
"Hey Zoë, I normally never comment on your video’s but I wanted to say that I’m watching your video’s since the beginning. I do have to say that I miss those video’s of you shopping in Primark with Louise and than showing what you bought in your sunny garden back home. 💓 Of course I know that you got older and therefore you changed and that is super normal, but I loooooved those video’s so much!! They were such fun video’s and an escape for me to watch YouTube. A few years later you began to vlog and those are still my faves, they were always longer than 45 min with so much fun things and addressing serious subjects like anxiety, which helped me so much and I want to thank you for it (I still watch them sometimes hihi). 💓 I still love you and your video’s and I got older with you and I hope to still watch your video’s in a couple of years when you’re again in a new time of your life. Love you lots 🥰💓",Eefje van der Gronden,2020-10-29T13:30:04Z,4
"I’ve been here since the start! Apart from the fact I’ve got a newer channel but me in real life has been watching since I was a teenager. Growing up watching Panacea81 to then progressing on to you and the OGs. I rarely keep up with YouTube these days, maybe because I’m now a business owner and actually have work to do 😂 but also because I just don’t enjoy the atmosphere anymore. <br />I stick with your vlogs, sortedfood (I’m a foodie), emmasrectangle and James &amp; Carys. That’s it and that’s my happy YouTube bubble 💕 P.s if you could re- release the zoella bontanic eau - I’d really appreciate it 😂😍",Georgia Beech,2020-10-29T13:28:38Z,1
Zoe I have been watching your videos for sooo long since day one and Alfie to miss the cozy days but still love your videos to this day I all ways wanted started YouTube but sarced to think back in the day would of started it but now days YouTube dont feel the same like it used to be just sarced to be judged because I have a learning difficultie and worryed it will get in the way think back in the day wish I started YouTube but now days dont feel safe now and worried what people think of me ❤,charntelle cooper,2020-10-29T13:28:32Z,1
here since 2013!! ❤️,Nina Cabatingan,2020-10-29T13:27:04Z,1
"I started watching you in 2010, I was 15 at the time and thought you were the best and coolest on youtube (Your hair were my ultimate goals and still is lol) !! Now I&#39;m 26 and wow, how amazing it has been to watch you all these years :D Still my fave! xx",Elvira Pihl,2020-10-29T13:24:56Z,3
You should dip a cotton pad or cotton wool in freshly boiled hot water from the kettle in a small bowl with like half a teaspoon of salt dissolved in it. Then gently swipe the cotton pad over your stye therefore cleaning the area. It gets rid of the stye so quickly sometimes over night. Works every time for me,Noshin Rouf,2020-10-29T13:24:34Z,3
What do you think will be the next internet?,SarahBailey28,2020-10-29T13:24:11Z,1
This video was such a reminder of how much everything has changed♥️,Yashaswita Gupta,2020-10-29T13:23:31Z,1
10000000000000% agree on what you said re babies and getting older and how you ask about it. Feel exactly the same,Tamsin,2020-10-29T13:22:14Z,1
