comment,id,date,num_likes
Anyone else think Mark should date Johannes from Strictly?,Emily Moffat,2020-12-11T09:23:19Z,15
"I love you both so so much, your talks make me so comfy and warmed! Thanx Zoe for this vlogmas, it make my busy uni/work rushing December much more chilled  💌",Софья Бушова,2020-12-11T09:19:06Z,1
i think it feels more open and real somehow. you leave more jokes/cuss words etc in the videos and it feels like its the real you. I think thats what makes it special,Ivet Doychevska,2020-12-11T09:18:31Z,231
"I mean my bf is 6&#39;&#39;6&#39; but he is not gay, but all the other things you&#39;ve described are like describing him. There&#39;s gotta be a gay copy of my bf somewhere. So I&#39;m sure its definitely possible to find a perfect match for Mark",Tanya,2020-12-11T09:15:06Z,2
Beach assassin!,Donna Brown,2020-12-11T09:11:14Z,0
Helloooo zoe🎈🎈 i am watching from Turkey to you and i like you🎄,yeşim,2020-12-11T09:09:49Z,0
I just LOVE vlogmas this year! Normally I don&#39;t even have time to watch every video... but this year... THIS YEAR... I just can&#39;t miss a single one of them!,Emma Skantz,2020-12-11T09:05:18Z,0
I can&#39;t imagine what else can help me get through these days  if not for Zoe&#39;s Vlogmas <br />I&#39;m feeling alive again,Polina Nechipas,2020-12-11T09:01:15Z,0
At 24 mins when mark siads idk what it is I felt that .I haven’t watched one of your vlogmasses in forever  but I’m watching theses makes me so happy,themagic fairy,2020-12-11T08:46:29Z,0
I honestly love these videos. I’ve been having hard time recently so I love just sitting down and watching these for half an hour. Which is why I love the length; they just make me feel so calm because they have such a homely vibe. ❤️,Lee-Anne Duffy,2020-12-11T08:38:47Z,0
this duo always has me in tears! love you both!,Areej van der schyff,2020-12-11T08:36:36Z,8
omg the saying goodbye to mark made me cry. I can&#39;t imagine how hard it must be. 🥺this vlog was such an emotional roller coaster. 🤍,AlyssaSays,2020-12-11T08:26:39Z,6
This year you feel more relaxed for sureee.,Alize,2020-12-11T08:24:19Z,0
the things we like to see &lt;3,Conor Vlogs,2020-12-11T08:23:44Z,0
I love this vlogmas zoe its relaxed and feels normal without needing  to witness events back to back,Star Seed,2020-12-11T07:59:48Z,0
"Maybe, Mark will find love at the Christmas Market 😉",Lilia Jayne,2020-12-11T07:58:47Z,0
I feel like they can both sing soo good they could definitely do like a song or a cover or something like this ❤️,__Sophieee__,2020-12-11T07:57:10Z,1
Best vlog lmao loved it,Olivia Tzeng,2020-12-11T07:41:15Z,0
"Mark is literally my ideal man! I can only wish fate would work out for a date with him! I swear, I check every box....except the height....but I love taller than me! A boy can dream to have someone like Mark! But I doubt he&#39;d want an American guy since it&#39;s so far. 😭😭",Nicholas Ness,2020-12-11T07:40:47Z,1
So proud of Mark! 🥰🥰🥰🥰🥰🥰🥰🥰,asceses Glitter,2020-12-11T07:26:09Z,0
Watch out for those gargoyles 😊,Belle Baker,2020-12-11T07:25:11Z,0
"Do you know that the French words written on your matche&#39;s lighter thing are alcohol names: beer, anise liquor and brandy <br />It&#39;s pretty funny",lucie,2020-12-11T07:17:25Z,7
I have been watching you since 2013 and kinda dropped off in 2017/2018 and theirs definitely something different about you! I think you’re just more YOU i don’t know. I love your content and you helped me with my anxiety and honestly this vlogmas has been amazing! it feels like old times. I love it,Maddy,2020-12-11T07:16:23Z,1
Mark is just the sweetest 😭😭. Seeing their friendship makes me wanna cry 😭😭,Quudsia Balqis,2020-12-11T07:12:33Z,2
"The moment when Zoe was doing a little haul and Alfie entered a room, saw Zoe and touched her shoulder gently warmed my heart 🥺❤ They love each other!",Oliveronica,2020-12-11T07:06:07Z,40
does anyone know where those hot cocoa cups are from? 😀,S ZHANG,2020-12-11T07:01:03Z,1
"<a href=""https://www.youtube.com/watch?v=of2cE7PvnHk&amp;t=13m41s"">13:41</a> hahahaha! Never heard that one before",Joe Chan,2020-12-11T06:57:52Z,0
"Do think I have smiled so much in <a href=""https://www.youtube.com/watch?v=of2cE7PvnHk&amp;t=34m24s"">34:24</a>",It's Missie Moo,2020-12-11T06:57:14Z,0
"It is because of the lighting, but Mark&#39;s glove looks like his skin colour and it is throwing me off xD like something is wrong with his hand",Rosanne B.,2020-12-11T06:53:16Z,22
The only vlogs I watch and actually laugh out loud with you😂  you know it’s going to be funny when Mark is involved 😂 love it!!!❤️,Marni Harber,2020-12-11T06:16:31Z,1
Mark saying «Open the door for me and I’ll suck you off» is gonna be the highlight of Vlogmas I can already tell 😂,Martine,2020-12-11T06:15:15Z,0
I think this year is my favorite vlogmas because it&#39;s so relatable... everyone is stuck hanging at home being cozy. No one is out on vacation/trips &amp; it makes us feel more connected to know others are going through the same feelings and struggles,Laura Young,2020-12-11T06:13:43Z,0
Love love love watching your videos! Love from South Africa❤️,Tamryn Bullock,2020-12-11T06:06:17Z,0
Lol Marks hand looks the same colour as the glove,fl0wer1234,2020-12-11T05:41:21Z,1
Loveee the neon ribbon idea!!!,Allie Corbitt,2020-12-11T05:36:12Z,1
❤❤❤,Elizabeth Tonovic,2020-12-11T05:35:26Z,0
Ugh Mark is so gorgeous 🥴,Ryan Pinkston,2020-12-11T05:32:45Z,1
"i think this vlogmas feels different because it’s such a rock for us rn, it’s the one thing that has stayed solid in a year of changes. it’s a beam of positivity in an otherwise dark time :}",savvy g,2020-12-11T05:32:34Z,0
The fucking beeflets made me cry laugh 😂,Red RidingHood,2020-12-11T05:28:58Z,0
WhatWould 20 year old Zoe have been like in the pandemic,swami rose,2020-12-11T05:28:51Z,3
Who else thought Nala was laying on some neon orange ribbon for a few seconds while Zoe was wrapping before realizing it was actually her bandage?,kat strong,2020-12-11T05:25:57Z,1
Gosh I always love watching you two together hahaha I can’t stop laughing hahahah,Sun Couple Family,2020-12-11T05:22:00Z,2
"Awwwww when that doggie came up to you guys, my heart just melted and mayhaps I squealed a bit 🥰",Confused Fox,2020-12-11T05:20:45Z,0
"Vlogmas this year has been my fave too, been here since 2012 love from Mexico Zoe!!!",Pau Portas,2020-12-11T05:20:11Z,3
Hi zoe really enjoying ur vlogmas this year. u seem chilled. Love how u and Alfie bounce of each other I think that&#39;s what&#39;s made me really enjoy this one  vlogmas even more. Ur so down to earth and I love ur chemistry with Mark. He seems lovely and deserves a loveing bf xx,Shaun Brooks,2020-12-11T05:11:23Z,0
"I can’t even describe the comfort I feel watching your vlogs, especially when you’re with Mark 🧡 it just feels so safe",Kennedy Mascord,2020-12-11T05:09:28Z,1
You and Mark need your own show 😂😂😂😍,Dindy,2020-12-11T05:02:23Z,0
I didn’t realise Mark hadn’t come out.,Roxy Simmons,2020-12-11T05:00:08Z,139
"Gosh, Mark and Zoe together are so much fun!  I love watching them hangout together. 😍🤩",Larissa Anderson,2020-12-11T04:55:34Z,1
Does anyone else love that Zoe actually respects Covid guidelines unlike some other celebrities and sets a good example for her followers?,Anisha,2020-12-11T04:55:05Z,1367
I agree with mark!! Loving this vlogmas the most. ugh I hope mark finds someone!!!,Melanie,2020-12-11T04:53:02Z,1
"i so agree with Mark - vlogmas this year is my favorite and as always, is lifting my spirits. this video was hilarious",Fiona,2020-12-11T04:51:22Z,0
"i’ve been off youtube for a bit, did mark come out publicly?? im slowly coming out this year so this makes me even more happy",Natalie Rauf,2020-12-11T04:50:19Z,0
"If I was a man &amp; I was single, I would love to date Mark! Love you both 😂❤️😊",Keely Thomas,2020-12-11T04:50:13Z,1
mark wants to date someone with Zoes personality and they would all get along Soo well,Taylor Der,2020-12-11T04:45:39Z,0
"IVE BEEN WAITING FOR THIS ONE, TURN IT UPP",Lucy Cunningham,2020-12-11T04:26:24Z,1
"Literally talking abt checking on someone who posts, i posted something while crying 😭",angel pulitzer,2020-12-11T04:20:30Z,0
It aint vlogmas without mark ❤️❤️,Eve Luen,2020-12-11T04:16:27Z,0
"The BEST vlogmas yet, all the banter and honesty is what makes them feel like home.",Anshita Mehrotra,2020-12-11T04:11:25Z,0
