comment,id,date,num_likes
Love the picture so much better on this camera! 💛,Mckayla Scott,2020-07-05T20:01:58Z,8
i love your hair like this😍,Moon Shine,2020-07-05T19:59:52Z,10
I love your hair this length!!!!,Natasha Breezy,2020-07-05T19:59:26Z,11
Ohhhh I’m so intrigued to know how you get on with this camera! I’m on the fence still if you buy or not x,LukesLife,2020-07-05T19:59:10Z,2
the camera quality is amazing!,Olivia Johnson,2020-07-05T19:57:51Z,6
Love love loveeee the camera quality and I don&#39;t mind the sound aswell,ammara satti,2020-07-05T19:57:16Z,2
Yeah we have picture frame above our wood burning stove and it’s fine xx,Gabriella Dineen,2020-07-05T19:57:06Z,25
PLEASE KEEP POSTING VLOGS AHHHHH I LOVE UR VIDEOS,Jessica Maxwell,2020-07-05T19:56:16Z,2
The video quality of this camera is insane like so much better. The sharpness is good and the focus is insane but the audio makes it sound like you’re underwater x,Brooke McDowell,2020-07-05T19:54:50Z,1801
The sound keep going a bit funny for me 🤔,DearInternet,2020-07-05T19:51:01Z,6
Lovvviiinng the new camera quality! Love the focus and the auto exposure. I didn’t have any issues with sound 🤷‍♀️,Kirsty,2020-07-05T19:49:35Z,7
"beautiful camera quality, audio is unfortunate🥰🧚🏻‍♀️🙈✨",martyna,2020-07-05T19:48:16Z,70
zoe’s vlogs honestly make my day,Hannah Walshaw,2020-07-05T19:47:27Z,2
I got bored after I made my island a 5 star too so I decided to restart and make a while different theme island! Maybe that’s something you could do too,Keisha Noftall,2020-07-05T19:47:25Z,41
Mind if I steal that Coca-Cola jumper? It’s so pretty 🥺❤️,Dean H.,2020-07-05T19:45:51Z,2
"Everyone is saying that the sound is a bit strange, but I think is just because we’re used to the other camera",Kate Silva,2020-07-05T19:44:19Z,6
"You picture should be fine above the wood burner, might just get abit dustier that&#39;s all",Charlie Linton,2020-07-05T19:43:47Z,0
The skylight in the bathroom 😍,SisiYemmieTV,2020-07-05T19:42:46Z,35
Love the quality x,Ruby Moore-Collis,2020-07-05T19:42:12Z,0
I like the new camera,Norbert Valek,2020-07-05T19:42:11Z,1
Ahhhh I missed to vlogs so much.,Paola Serrano,2020-07-05T19:41:55Z,0
The picture is great on this camera. The sound is different but not bad at all,Ella McBee,2020-07-05T19:41:41Z,9
I’d put a cheaper painting above the log burner. I’d put a painting or print up without a glass covering on it as there’s a small chance it could break,Marina Powell,2020-07-05T19:41:35Z,23
Video quality is definitely much better!,alina alam,2020-07-05T19:39:55Z,1
The quality is great,Libby Worthington,2020-07-05T19:37:21Z,2
love the vlog!!!!!!!!,Amanda,2020-07-05T19:34:42Z,3
"Better picture,no doubt!",Ana Santos,2020-07-05T19:34:18Z,1
The vlogging cam is so good colors are perfect but there’s something in the sound bit wired... BTW YOU LOOK STUNNING 💜,EKRAM AD,2020-07-05T19:34:07Z,26
I wish my hair wasn&#39;t so thick 😭,Ashley Ward,2020-07-05T19:31:24Z,0
Anyone know what curler Zoe uses?? 💕,Katie Mathers,2020-07-05T19:28:50Z,0
Really love your hair this length,Ashley Maria,2020-07-05T19:27:45Z,2
Much prefer your hair this length without the extensions!,lexi0207,2020-07-05T19:18:06Z,467
where is your coca cola jumper from ?? 💕,joanne fan,2020-07-05T19:17:46Z,4
I can relate for the pimples around the mouth... I have so many because of the masks..,Anne Andasse,2020-07-05T19:15:50Z,59
"I adore your necklace Zoe, can I ask where you got it? :)",Ciara Walsh,2020-07-05T19:13:32Z,3
we have a piece of art above our similar log burner and its still in perfect condition :),Hannah King,2020-07-05T19:08:15Z,3
Would loveeeee for you to do a hair tutorial on these waves xx,Elise McCulloch,2020-07-05T19:08:00Z,0
"You can plug any USB into the mains part of your phone charger, so you don&#39;t have to charge in a USB port or in your comp.",H B,2020-07-05T19:06:19Z,0
Any animal crossing players here? What are your thoughts on the new update???,Izzy Jackson,2020-07-05T19:06:00Z,0
I don’t blame you for watching your vlogs with Mark! They are excellent!!,Michelle Booth,2020-07-05T19:04:54Z,1
Thankful for your videos right now. I’ve caught up on your recent vlogs whilst painting our hallway! Haha,Megs leach,2020-07-05T19:02:26Z,3
The image seems so sharp and clear! Always love your vlogs Zoe! It’s like I’m hanging out with a friend. Always cozy and comforting. It inspires me to post on my own channel.! 🥰,Michelle Booth,2020-07-05T19:02:07Z,1
I mean .. i watched your vlogmas today.. 😂 It&#39;s not to early. I love autumn and christmas. Makes me so happy.,Elin Svensson,2020-07-05T19:01:33Z,14
All I&#39;ve done for the past week was watch your old vlogs with Mark ❤,Rose Falconbridge,2020-07-05T19:00:00Z,2
Love your natural hair. Looks so fresh!,Vilma,2020-07-05T18:59:52Z,4
these vlogs are so underrated man,ella_trues,2020-07-05T18:58:53Z,7
"I absolutely love your hair the way it is right now! I think its my favourite style of yours, along with the short blonde style you had a couple of years back x",Amy 1103,2020-07-05T18:58:29Z,2
A new cosy video,autistichloe disneyfan,2020-07-05T18:57:48Z,1
I love watching your videos!!,Alejandra Cedillos,2020-07-05T18:57:38Z,2
Please who is the artist of the gorgeous piece above the log burner i need it!,naylahlane,2020-07-05T18:56:40Z,2
very random question - which is the font Zoe uses?,Maria K,2020-07-05T18:56:06Z,0
"Wondering who the artist of that print is! It’s very cool! If anyone knows, let me know!",Sasha L,2020-07-05T18:55:40Z,3
ILOVE YOU 💓💓,sara,2020-07-05T18:55:36Z,1
The colour of your hair looks soo good at the moment!,tonileigh09,2020-07-05T18:54:34Z,1
you just make my whole day. you bring so much light into my life! Especially through these uncertain times. even tho i truly don&#39;t know you. i really do love you &amp; enjoy all that you share!! Don&#39;t know what i would do w/o your vids xoxo,Anne-Marie Browning,2020-07-05T18:54:01Z,13
Stupid question but how long do you stay in your bath ? 🤔,Margaux Btw,2020-07-05T18:53:58Z,0
Really like this camera !,Fatimah,2020-07-05T18:52:23Z,0
Love the video quality ❤️❤️❤️,Shani Qureshi,2020-07-05T18:50:48Z,2
Omg yay I love Zoe makes me so happy when she posted I’ve watched all her videos in quarantine evan tho I already watched most ‘,Shaya Inker,2020-07-05T18:23:54Z,10
"Haha fun fact, my Dad knew George Foreman and they used to live about 30mins from us 😄",XO Morgan,2020-07-05T18:23:47Z,6
On Tuesday i was also watching old zoe and mark vids and even watch some of the christmas ones,x_lottiedots,2020-07-05T18:22:49Z,19
I think the picture is better on this camera but I don’t like the sound as much,Georgina Graham,2020-07-05T18:22:49Z,5310
"I&#39;m so happy you&#39;re uploading more frequently lately ❤ I love your videos, you always make me smile &amp; feel cosy. Your vlogs with Mark are amazing, I binge watch them too 😁. The camera quality is amazing, but the audio sounds a little bit as if you were underwater (1st I thought it&#39;s because you started filming in a bathroom, but then you moved to the bedroom and it stayed the same)",Sara who,2020-07-05T18:22:11Z,59
Its never too early to talk about christmas in my opinion 😂,Sarah Elizabeth,2020-07-05T18:21:21Z,344
I honestly love the new hair! I think it really suit u 💕💕💕,Lauren Fay,2020-07-05T18:20:50Z,8
I like the camera 🎥 the focus is amazing I think it’s good,Charlotte O'Brien,2020-07-05T18:20:14Z,2
I actually love your hair that length not too long but not too short either it looks so nice and the colour too!,what up its kirby,2020-07-05T18:20:12Z,15
Great video quality!,Patricia C,2020-07-05T18:20:11Z,1
