comment,id,date,num_likes
"Like the make up looks and outfits.<br />P.s your birthday looked insane , wow Alfie and you are couple goals!❤<br />Not watched for a while so don&#39;t mind the updates!",Alice_musical_Lover,2019-10-30T07:18:50Z,2
I like how she is being so much more chill and mature,Megan Hollinshead,2019-05-09T16:01:13Z,9
Having my breakfast watching this this morning! Great way to start the day :),Ana María,2019-05-08T07:54:25Z,5
Life is extremely tiring right now. Year 12. Anyone else relate?,Bekky Jean,2019-05-08T07:49:20Z,3
"Hi zoe!! So happy you&#39;re back vlogging :) Just wondering, at <a href=""https://www.youtube.com/watch?v=0njRIj9qiFs&amp;t=54m31s"">54:31</a> where is your terrazzo chopping board from?! It is sooooo gorgeous. Sorry if this is on another vlog or insta, but just thought i&#39;d ask! Thankyou xx",Aliesha G,2019-05-08T07:40:23Z,12
"I have missed a good old vlog, Zoe. Although I am keeping an eye on you on Insta. :))",Laura Paraschiv,2019-05-08T07:36:27Z,0
"I’m am IN LOVE with the banana foam wash, closely follow by the watermelon rollerball 😍😍😍",Living Simply with Vicky,2019-05-08T07:33:15Z,6
Wrinkles?? What wrinkles?!?!?!?!<br /><br />I&#39;ll show you wrinkles. 🤣,Resplendent Clarity,2019-05-08T07:32:47Z,2
I had a baby girl 😁,bethany,2019-05-08T07:32:05Z,9
If you haven&#39;t listened to the podcast Dirty John you definitely need to!! You will be blown away,MICHELLE Cook,2019-05-08T07:30:23Z,0
"I just moved to London from South Africa with my boyfriend something I&#39;ve been waiting to do for years now! I&#39;m so excited, happy, stressed and all-around emotional lol. Feels good to sit and watch your videos! One thing that feels familiar when I&#39;m surrounded by all these new things!<br /><br />Love your videos so much! Always have",Lara Adkins,2019-05-08T07:29:27Z,120
"It’s been hard to find a job because I have a baby and everyone would think that it’s a problem but finally got a job in a great shop (we sell soaps, creams, bath bombs...) and I also have the best boss!! (Btw I love your videos, I’ve been following you for a loooong time and I still get exited when you put up a video! Lots of love xxxx)",Elena Santandreu Almagro,2019-05-08T07:27:33Z,1
One hour of my favourite vlog option 😍😍😍😍😍,Celina,2019-05-08T07:25:08Z,0
"love you so much Zoe - honestly been watching you for like 5 years now, im 18 and from the beginning you have been such an amazing person to look up to, you are so inspiring. Your vlogs will forever be my favorites &lt;3",laur,2019-05-08T07:24:55Z,0
I see bts in 25 days 🥺🥺🥺😍,Hanskxox,2019-05-08T07:19:41Z,1
I’m so excited I’m coming to Brighton next weekend for mine and my boyfriend’s anniversary! This will be the first time I’ve been to Brighton and I can’t wait!!!❤️❤️,Chloe Liddiatt,2019-05-08T07:16:46Z,2
I&#39;m freaking obsessed with the banana wash!!!!! Will be getting more,MICHELLE Cook,2019-05-08T07:16:23Z,0
I love you so much Zoe !<br />Xxx,Zoe Tsiakos,2019-05-08T05:39:58Z,1
"Life is good right now🌹🌺 one guy I was in one class with since the 5th grade (8years in one class)  and I are now in a relationship and we never thaught that would happend because we weren&#39;t in touch for 2 years or so after school and now we&#39;re together and it just makes me so happy thinking about  &quot;our&quot; story😊❤ whoever read this, have a wonderful day❤",Pieps 99,2019-05-07T17:58:42Z,310
Zoe omg it’s been too long waiting for this vlog I had to binge watch old videos 😂😂🤷‍♀️ love u Zoe 😁😊💗 had an awful week glad u have put a smile on my face,Lola-mae Hodgkinson,2019-05-07T17:58:40Z,12
