comment,id,date,num_likes
Wow you guys start really late in the UK.  In the US they recommend getting your first smear test at 18.,Ashley Williams,2019-10-31T19:23:15Z,5
Ah I’ve always been so worried about having this done and I’ve hated being a girl because of these things but it’s good that people like you are saying that’s it’s okay and important to do these things,Simple Piano,2019-10-30T11:27:46Z,8
I absolutely applaud you for this Zoe! Well done! There were things raised and mentioned by the nurse that I didn&#39;t know even at 39. Thank you xx,archiepops,2019-10-29T19:10:21Z,6
I actually got my letter for my first smear test and I am 24 and middle of November I am going to my very first appointment and watching this video is actually a comfort to me because knowing how much time it does take and I really appreciate the honesty because I had the vaccinations of hpv when I was twelve years old and since then I had education for cervical cancer and how a smear test can help prevent cervical cancer so thank you Zoe,Heather Gray,2019-10-29T16:53:39Z,12
"Been putting off for the last 1 and a half, due to anxiety over it, afraid that it would hurt...done it today, and it was fine...no need to be worrying about it...only felt discomfort for about 5 seconds..happy I finally did it!",hailey,2019-10-29T11:40:30Z,8
The best video you’ve ever made on either channel!,Conscious Mama,2019-10-29T11:11:59Z,1
Pap smear we call it I’m the states,Sophia Tsir,2019-10-28T00:26:46Z,1
I think this is great! Well done Zoe ❤️,Charley Baxter,2019-09-09T12:08:12Z,4
What a great video! One for the team!,Madeleine BLP,2019-09-09T12:06:51Z,0
"I’m 20 and went for my smear test - honestly nothing to worry about. Just think, the doctors see and do this kind of thing everyday, all the time. Never be afraid to do something that will keep your health in check! I was surprised to see that Zoe would get her results back in 12 weeks. In New Zealand, I got mine back within 2 weeks. Otherwise, she hit the nail on the head and gave a well in-depth video on what happens. 😊😊😊",Leilani Moke,2019-09-09T12:02:09Z,16
This video gave me the confidence to book my smear test and went for it today and it was fine. Thank you zoe for making such a informative video,Terri Leach,2019-09-03T14:12:24Z,212
"This is an incredible video. Thank you Zoe for doing this. I’ve had a couple of smear tests (delayed because of pregnancies) and they are awkward and a little uncomfortable but so important. Such a fantastic and eye opening video, well done 👍🏻",Ali Rolfe,2019-09-03T13:47:01Z,9
Thanks zoe 😊💖for showing me a real test there were things I never thought of like skirt and pants. I would of just thought putting my trousers down to my ankles was fine. I have only seen it on ITV show this morning so it&#39;s not seemed that real before.,Jennifer 5,2019-09-02T08:59:19Z,5
Thank you so much for this!! Makes me feel much less scared,Nicole O’Connor,2019-09-02T08:35:44Z,2
