comment,id,date,num_likes
Do you wear glasses for fashion or for better vision?,star shine,2019-10-28T15:54:00Z,0
"Bless Nala crossing that bridge! She&#39;s so frickin&#39; cute! Also, that hat really suits you, where did you get it from?",Living Simply with Vicky,2019-09-23T15:10:42Z,0
"Those Lee jeans, the pepe jeans trousers and the thin jumper was stunning  💯",Donna Steel,2019-09-23T15:00:49Z,0
i really want a hair tutorial &lt;3 so so pretty &lt;3,Elle Woods,2019-09-23T14:50:33Z,1
Those lee jeans are 🔥 keep them! 😁,Lissi G-E,2019-09-23T10:50:50Z,3
"I think of YouTube like TV/Netflix (I currently don&#39;t have Netflix). I only have Facebook and Twitter, but I&#39;m only personally active on Facebook. I just use Twitter to follow and retweet &quot;celebs&quot;. I&#39;m 28 btw! 💜",Alexandra Hill,2019-09-23T10:36:43Z,0
"Zoe and Alfie look so happy! It feels so great to see them like this 😍 <a href=""http://www.youtube.com/results?search_query=%23goals"">#goals</a>",Sa Nessa,2019-09-23T10:35:38Z,5
I love Alfie’s energy.. you two compliment each other so well,Sónia Rodrigues,2019-09-23T10:34:13Z,5
i love you zoe!! Cant wait for vlogmas!,KKH MIRANDA,2019-09-23T10:24:49Z,0
I honestly wish Zoe and Alfie all the best. They are so flipping adorable.,Teddy Chalamet,2019-09-23T10:20:36Z,52
"I can&#39;t even begin to describe the joy these long, autumnal vlogs bring me.",Fatima Zahra Yerou,2019-09-23T09:54:16Z,6
Love these vlogs!!!!!!!,Paperaeroplanegirl,2019-09-23T09:47:50Z,0
I don&#39;t have Instagram or Facebook or twitter or any other social platform you can think of. I don&#39;t see YouTube as a social media unless you have a channel and you post videos. Watching videos whether it&#39;s vlogs or something educational is not social media...,Zzzs 123,2019-09-23T09:47:29Z,2
I just love how you and Alfie do the simplest things like card games while watching the sunset it’s honestly so cute 🤩,tasha wenke,2019-09-23T09:42:50Z,50
"Aww poor Nala, I imagine because she is so close to the ground that bridge is extra scary for her...LOL I have a Corgi and he gets freaked out by open slats and stuff like that too!",MissTLCmn,2019-09-23T09:42:46Z,0
❤️❤️❤️,Kem’s World,2019-09-23T09:39:48Z,0
"Starting off Autumn by watching this vlog, while I&#39;m in a onesie eating chips. (Or crisps, like some people call it)",Goth Cosplays,2019-09-23T09:10:38Z,0
Long hairs fit you,Christiane Buaben,2019-09-23T09:02:01Z,1
