comment,id,date,num_likes
"ok, Alfie is perfect! I mean food as a surprise? The best !!! And I totally understand you Zoe about the travelling.  I have a lot of anxiety too and last year I took the first step into travelling and loved it.  I had been planning more and more since then.  My next challenge will be to travel solo.  Which gives me a lot of anxiety but at the same time I think it would be an amazing experience.  Because I can do everything I want without being aware of other people wants or taste every step of the way.",grace riv,2019-12-24T13:12:01Z,1
"one of the best vlogmas, loved it!",Riya Bagaria,2019-12-18T10:21:18Z,2
"Omg yes, come to Melbourne Australia, the summers are amazing and the winters are freeezinnnng 💙",Tyl eh,2019-12-18T10:01:01Z,0
Yes please to coming to NZ!!!!!!!,Rhian Arbuckle,2019-12-18T09:46:13Z,0
Yes please come visit Australia 🇦🇺,Chelsea Kellner,2019-12-18T09:19:05Z,0
"zoe never aged, not even a single day in last 10 years . love you",tanushreee,2019-12-18T09:13:44Z,4
I ABSOLUTELY love how you get along with Diane! You must have been waiting for Soooo long for Joe to have a significant other! It’s just so so heartwarming ❤️,Christopher Scott,2019-12-18T09:07:36Z,13
"Oooh you should definitely come to AU &amp; NZ! So much variety, but think Feb-Apr is the best time of year and that’s cutting it a bit close for planning perhaps 🤔💕",Aimee Crosbie,2019-12-18T08:46:07Z,0
Kids change every aspect of your life Zoe. You&#39;re right enjoy it while you can so you don&#39;t look back and wish you went on those big trips!,Ash Topham,2019-12-18T08:27:53Z,3
Love the fact your dad&#39;s decorations are in budweiser box lol,Lily Irving,2019-12-18T08:12:14Z,12
Awe love this so much!!,Karresha New,2019-12-18T07:59:18Z,1
Hope you’ll go on a friend holiday with Mark this year. The vlogs from your Bath holiday is my fave!,SisseChri,2019-12-18T07:38:41Z,7
Vlog more next year,Christiane Buaben,2019-12-18T07:33:06Z,1
"Come to Australia! But you have to come to Melbourne too, don’t just do sydney trust me! ☺️",Emily,2019-12-18T07:30:44Z,3
"So looking forward to travelling vlogs in the future! I&#39;m looking forward to seeing you guys in New Zealand, I&#39;m sure both you and Alfie will love it &lt;3",Jessie Fea,2019-12-18T07:29:17Z,1
So happy to see you all together. Do you get stopped a lot in public?i wonder because those kids seemed like they were chasing you. A very Christmas-y vlog. When Zoe says mukbang made my day,natsmyspace,2019-12-18T06:43:51Z,2
Alfie the Virgo being the one to work out the Christmas tree lights ratio is low key mood,expanding universe,2019-12-18T06:34:13Z,3
New Zealand is #2 on my bucket list. Ireland was #1. Thankfully with the help of my sister I was able to cross that off this years.,Holly Jans,2019-12-18T06:14:22Z,0
wow she said 먹방 mukbang,Jongjong 종종,2019-12-18T06:02:50Z,0
You should for sure come to Australia! It&#39;s just a great country I&#39;m not saying that because that&#39;s where I&#39;m from because I&#39;ve travelled a bit myself and honestly nothing compares to Australia! Good luck with the travel plans for next year! xx,Maddie Lohner,2019-12-18T06:02:14Z,0
I love how happy you look in the last vlogs. It seams to me as if you are not that stressed and heavy on the heart. And u and Alfie look really happy. That is cute. <br />U are cute. Thanks &lt;3,Mini Elle,2019-12-18T05:58:38Z,0
