comment,id,date,num_likes
Oh wow (almost) a movie vlog!!! 😍😍😍,Precious,2019-02-11T10:22:17Z,5
Welcome Back Zoe! Love your first vlog of 2019!,Davina Cox,2019-02-11T10:18:56Z,1
I&#39;ve been here since 2009!! 😍,A M Y N A M I E,2019-02-11T10:07:08Z,4
We missed you Zoe!!! Lots of love xx,Emily Alice,2019-02-11T10:00:17Z,1
i&#39;ve been here since 2010 ...soo almost 10 years….thats crazy ..i remember videos from your cute little room ...lovely apartment ...moving with alfie and now this big house ...omg i feel like i&#39;m moving with you hahah,somebody,2019-02-11T09:58:15Z,3
"We could never leave you!!! I’ve been watching your videos for 7 years through my teens and into my 20’s and you never fail to disappoint, each vlog you make you spread your positivity and joy to all us subscribers without even knowing it! Keep doing you sunshine ❤️",Nicole W,2019-02-11T09:47:16Z,1
Been here for ten years :) Can&#39;t believe it has been that long! I literally grew up with you &lt;3,Julia Jacobsen,2019-02-11T09:46:15Z,0
I have literally been here for the last 10 years,brooke miller,2019-02-11T09:44:48Z,0
yassss zoe is back!,Maisie Bowering,2019-02-11T09:42:18Z,1
I looked at the title and i was like YASSSS COMING BACK WITH A BANGGG xxx<br />Love your content always and forever x,Annabelle x,2019-02-11T09:41:05Z,0
Been here since 2013 xoxoxoxoxoxo,Tegan Gailor,2019-02-11T09:39:08Z,1
Been here since 2011 and I’m never leaving !!! ♥️,Jessicajoycelyn,2019-02-11T09:37:20Z,0
"I Must admit, I&#39;ve been watching for 10 years. Loved every minute",Hannah Engramer,2019-02-11T09:37:05Z,0
Yep I’ve been here since the beginning 💕,Georgia Trembath,2019-02-11T09:29:51Z,0
I&#39;ve been looking forward to watching this all day today! It energized me to finish work today😂,Azusa Omura,2019-02-11T09:23:55Z,0
Ive been here for 10 years :),Zoe Williams,2019-02-11T09:16:14Z,0
"been around since 2013, when i was only 10 years old. crazy how much has changed, woah",Charli,2019-02-11T09:12:11Z,3
ah I was wondering where your vlogs were! worried you’d stopped filming! glad you’re back🤗,Sarah Mulea,2019-02-11T09:07:01Z,2
Yass! I love long vlogs so much you make me so happy . Please don&#39;t feel like you&#39;re not good enough because you are incredible.❤,Wiktoria Stolarz,2019-02-11T09:06:11Z,0
